@relation dataset

@attribute attr_1 real
@attribute attr_2 real
@attribute attr_3 real
@attribute attr_4 real
@attribute attr_5 real
@attribute attr_6 real
@attribute attr_7 real
@attribute attr_8 real
@attribute attr_9 real
@attribute attr_10 real
@attribute attr_11 real
@attribute attr_12 real
@attribute attr_13 real
@attribute attr_14 real
@attribute attr_15 real
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 real
@attribute attr_19 real
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_33 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 real
@attribute attr_41 real
@attribute attr_42 real
@attribute attr_43 real
@attribute attr_44 real
@attribute attr_45 real
@attribute attr_46 real
@attribute attr_47 real
@attribute attr_48 real
@attribute attr_49 real
@attribute attr_50 real
@attribute attr_51 real
@attribute attr_52 real
@attribute attr_53 real
@attribute attr_54 real
@attribute attr_55 real
@attribute attr_56 real
@attribute attr_57 real
@attribute attr_58 real
@attribute attr_59 real
@attribute attr_60 real
@attribute attr_61 real
@attribute attr_62 real
@attribute attr_63 real
@attribute attr_64 real
@attribute attr_65 real
@attribute attr_66 real
@attribute attr_67 real
@attribute attr_68 real
@attribute attr_69 real
@attribute attr_70 real
@attribute attr_71 real
@attribute attr_72 real
@attribute attr_73 real
@attribute attr_74 real
@attribute attr_75 real
@attribute attr_76 real
@attribute attr_77 real
@attribute attr_78 real
@attribute attr_79 real
@attribute attr_80 real
@attribute attr_81 real
@attribute attr_82 real
@attribute attr_83 real
@attribute attr_84 real
@attribute attr_85 real
@attribute attr_86 real
@attribute attr_87 real
@attribute attr_88 real
@attribute attr_89 real
@attribute attr_90 real
@attribute attr_91 real
@attribute attr_92 real
@attribute attr_93 real
@attribute attr_94 real
@attribute attr_95 real
@attribute attr_96 real
@attribute attr_97 real
@attribute attr_98 real
@attribute attr_99 real
@attribute attr_100 real
@attribute attr_101 real
@attribute attr_102 real
@attribute attr_103 real
@attribute attr_104 real
@attribute attr_105 real


@data

1.0,3150.0,920.0,?,190.0,1010.84,?,1200.0,6713.0,56.2,?,6.11,320957.3,3485.8,?,239.5,?,?,?,809.8,?,8003.0,?,?,?,?,628132.9,4986.0,?,60.78,?,?,3663.5,?,?,?,15.0,?,861.8,?,8018.0,?,60.53,?,31940.25,610502.7,6788.0,54.2,59.4,5.41,280451.7,?,58.1,119.75,?,15.0,795.0,818.5,1755.0,8001.0,?,58.55,3347.72,21293.5,589389.6,5728.0,52.4,57.65,5.4,262789.0,?,54.2,59.88,3114.15,15.0,746.8,815.5,?,8013.0,62.78,?,3387.72,?,606524.2,7196.0,51.3,56.13,?,?,2562.3,52.8,?,10445.6,15.0,733.8,?,1755.0,?,?,54.26,2978.26,?,601988.1,?,410.0
1.0,7600.0,1140.0,?,400.0,?,23.0,?,3152.0,?,103.03,3.15,685697.5,3526.1,105.5,208.8,17584.3,15.0,1408.4,?,8842.18,8864.0,105.52,105.32,12113.01,?,1188995.8,?,103.0,101.84,2.65,625829.2,?,?,156.6,13188.23,?,1424.1,1584.3,?,?,?,?,?,34474.5,1067772.0,?,98.2,?,?,602224.7,?,97.2,104.4,?,?,1298.8,?,8699.73,8735.0,?,98.45,13596.37,?,973523.7,3157.0,92.8,96.49,3.05,?,3896.7,96.9,52.2,?,15.0,1294.2,?,8555.54,8585.0,95.35,?,12063.5,?,954628.6,?,86.2,83.21,?,?,?,94.1,?,?,15.0,1143.8,1316.3,8364.78,?,?,?,11379.37,44835.0,?,5000.0,1000.0
1.0,?,?,480.0,100.0,?,15.0,630.0,1627.0,41.0,41.25,1.74,160401.5,1217.5,34.4,285.8,?,?,614.0,608.2,?,?,?,?,1537.96,39066.0,524764.8,?,40.3,40.84,1.15,?,1149.5,34.1,214.35,4866.83,15.0,573.7265312999999,680.29,?,?,43.4,36.45,1535.16,29299.5,466212.2,2628.0,39.3,?,1.52,143737.7,1284.5,33.5,142.9,?,15.0,?,663.97,?,?,?,?,1527.55,19533.0,409677.9,?,38.0,39.43,0.92,134548.4,1191.1,33.7,71.45,1622.28,15.0,574.6,680.5,1755.0,5565.0,41.03,?,?,?,403875.0,2693.0,36.2,37.64,1.55,?,1529.0,31.43,175.7,?,15.0,?,765.8,?,4930.0,?,?,?,37933.0,377828.6,1200.0,170.0
1.0,685.0,202.0,13.7,20.0,459.54,4.0,140.0,?,12.1,10.03,1.24,38193.64,287.2,13.6,17.03,154.4,12.0,?,211.1,?,1649.0,11.62,10.06,392.96,8435.75,141542.6,2952.0,11.6,8.5,1.99,35859.4,?,?,56.6,610.4,12.0,165.1,?,?,1582.0,10.86,9.79,435.1,32776.0,129102.4,2649.0,?,6.97,2.25,32793.7,388.9,?,42.45,?,?,167.9,?,1450.47,?,10.17,?,?,?,?,2312.0,?,5.44,2.58,30012.46,345.3,10.79,?,?,12.0,180.3715071,?,1439.0,1450.0,?,?,?,16388.0,121857.2,1381.0,10.0,3.91,3.0,27231.21,316.5,?,?,152.6,12.0,197.6795574,152.25,?,1456.0,?,?,?,8194.0,?,?,30.0
1.0,3000.0,800.0,1230.0,?,?,?,5000.0,?,203.8,?,6.46,?,10855.3,229.3,?,69444.8,?,2738.8,3148.0,9248.4,9380.0,158.63,169.5,10082.0,49572.0,2318397.0,6370.0,?,154.36,?,?,?,210.7,294.98,?,?,2595.2,3000.0,9329.64,?,148.76,159.0,?,37179.0,1908975.7,5909.0,?,147.44,6.88,?,?,?,?,34722.4,11.0,2284.4,2627.5,9297.06,9347.0,?,?,10149.0,?,1681849.3,7045.0,?,?,4.72,1341072.8,8245.0,173.8,98.33,17361.2,11.0,?,2526.4,?,9306.0,?,?,9291.0,?,1732937.5,5606.0,?,134.8,4.09,1284199.4,?,147.6,432.4,?,14.0,2220.6,2244.1,9231.76,9286.0,136.6,140.2,?,48260.0,1734973.5,5500.0,?
?,2500.0,640.0,1050.0,420.0,647.32,12.0,4800.0,6790.0,203.8,?,?,1640293.0,10855.3,229.3,393.3,?,11.0,?,3148.0,?,?,?,169.5,10082.0,?,?,6370.0,190.3,?,?,1523166.6,12930.0,210.7,294.98,52083.6,11.0,2595.2,3000.0,?,9396.0,148.76,?,?,?,?,5909.0,177.6,147.44,6.88,?,8146.1,188.9,?,?,?,2284.4,2627.5,9297.06,?,140.9,146.2,10149.0,24786.0,1681849.3,7045.0,?,141.34,4.72,1341072.8,8245.0,173.8,98.33,17361.2,?,2451.2,2526.4,?,9306.0,136.56,?,9291.0,12393.0,1732937.5,?,?,?,4.09,1284199.4,6622.5,?,?,73143.5,14.0,?,2244.1,9231.76,9286.0,136.6,?,9821.0,48260.0,1734973.5,?,700.0
1.0,1810.0,492.0,?,640.0,843.98,11.0,5700.0,6458.0,224.7,198.55,?,1622664.0,15001.6,306.7,83.53,16471.38,11.0,2871.3,3662.6,9132.66,?,171.13,178.3,11568.0,12732.0,2435004.3,6790.0,203.8,162.84,6.46,1640293.0,?,229.3,393.3,69444.8,11.0,2738.8,3148.0,9248.4,9380.0,158.63,?,?,49572.0,2318397.0,6370.0,190.3,154.36,?,?,12930.0,210.7,294.98,52083.6,11.0,2595.2,?,?,9396.0,?,159.0,?,37179.0,1908975.7,5909.0,?,147.44,6.88,?,8146.1,188.9,196.65,34722.4,11.0,?,2627.5,9297.06,9347.0,140.9,146.2,10149.0,24786.0,?,7045.0,160.0,141.34,4.72,1341072.8,?,173.8,?,17361.2,11.0,2451.2,2526.4,9254.28,9306.0,?,138.8,9291.0,?,?,5800.0,900.0
1.0,1150.0,380.0,575.0,500.0,?,6.0,?,?,?,204.02,?,1901366.0,?,276.1,334.1,65885.5,?,3499.4,3823.6,9784.77,9867.6,191.63,212.1,7966.5,50928.0,?,?,255.8,?,?,1704943.8,?,292.4,?,49414.13,?,?,?,?,?,190.5,204.8,8857.0,38196.0,?,?,245.1,?,6.54,1670609.2,18690.9,?,?,32942.75,11.0,?,3686.3,9403.58,9489.1,179.96,189.5,11763.0,25464.0,2303248.1,?,224.7,198.55,6.73,?,?,306.7,83.53,16471.38,?,2871.3,3662.6,9132.66,9260.0,171.13,178.3,?,12732.0,2435004.3,6790.0,203.8,162.84,?,?,10855.3,229.3,393.3,69444.8,?,?,3148.0,9248.4,?,158.63,?,?,49572.0,2318397.0,?,?
?,?,540.0,189.9,90.0,?,?,690.0,4638.0,34.6,?,2.28,?,?,29.55,87.85,?,?,?,667.8,1755.0,4730.0,?,?,?,18966.5,?,3840.0,33.4,36.56,?,115107.4,2211.5,28.61,43.93,?,?,229.2,582.9,1755.0,4758.0,34.98,27.13,1859.5,9483.25,?,?,31.4,?,2.69,?,?,27.68,147.9,2882.8,15.0,763.2,?,1755.0,4695.0,32.83,?,?,36818.0,415431.1,?,30.9,31.47,2.68,98042.9,?,26.74,?,2162.1,15.0,412.0,768.0,1755.0,4630.0,31.3,23.87,?,27613.5,413834.5,3302.0,?,29.93,?,92354.2,1668.9,?,?,1441.4,?,431.1,?,1755.0,4252.0,30.13,21.54,2134.49,18409.0,402158.1,870.0,?
