@relation dataset

@attribute distance real
@attribute n_stores real
@attribute latitude real
@attribute longitude real
@attribute house_price real


@data

?,10.0,24.98298,121.54024,?
?,?,?,121.53951,?
561.9845,5.0,?,121.54391,47.3
?,?,?,?,?
390.5684,5.0,?,121.54245,?
2175.03,?,?,121.51254,?
?,?,24.97933,121.53642,?
?,?,24.98042,121.54228,46.7
5512.038,1.0,?,121.48458,18.8
1783.18,3.0,24.96731,?,?
?,?,?,?,?
90.45606,9.0,?,?,?
?,5.0,24.96515,?,?
2469.645,?,24.96108,?,?
1164.838,4.0,24.99156,?,34.3
?,2.0,?,?,?
?,?,24.97744,?,?
?,?,?,?,?
368.1363,?,24.9675,121.54451,42.3
?,?,?,121.54102,47.7
2275.877,?,24.96314,121.51151,29.3
?,7.0,?,?,?
?,?,?,121.54842,24.6
?,?,?,121.54541,?
?,?,?,121.53885,?
?,?,24.97542,?,?
?,?,24.98085,?,56.2
?,5.0,?,?,?
557.478,?,?,121.53797,?
?,?,?,?,?
?,0.0,?,121.49587,22.1
769.4034,7.0,?,121.53408,?
488.5727,1.0,?,?,?
?,?,?,?,?
205.367,?,24.98419,?,?
?,?,25.01459,121.51816,27.3
1935.009,?,?,?,22.9
1360.139,?,?,?,25.3
?,?,24.97201,?,?
?,?,?,121.54348,46.2
4082.015,?,?,121.50381,15.9
?,0.0,?,121.50342,?
519.4617,5.0,24.96305,?,?
?,6.0,?,?,34.1
?,?,?,121.54765,53.9
?,?,?,121.54494,38.3
?,?,?,121.54458,42.0
?,?,?,?,?
?,0.0,?,121.49578,?
?,?,?,121.49542,13.2
?,?,?,?,?
1758.406,?,24.95402,121.55282,?
1438.579,3.0,?,121.5175,27.0
492.2313,?,24.96515,121.53737,38.9
?,?,?,?,51.7
?,?,24.94968,121.53009,13.7
371.2495,8.0,?,?,?
?,?,24.95744,?,53.5
4510.359,1.0,?,?,?
?,?,24.95776,?,?
?,?,?,121.51471,21.3
259.6607,6.0,?,?,63.2
?,3.0,?,?,?
?,?,?,121.54765,55.0
?,0.0,?,121.54915,?
?,?,24.97635,121.54329,44.3
193.5845,6.0,?,121.54089,?
104.8101,?,?,?,?
464.223,?,?,121.53805,?
561.9845,5.0,?,?,42.0
?,9.0,24.97433,121.5431,59.0
640.7391,3.0,24.97563,121.53715,40.8
?,?,?,?,?
4082.015,0.0,24.94155,?,20.0
?,?,?,?,?
?,1.0,24.95204,121.54842,?
616.4004,?,?,?,36.8
?,?,?,121.51237,25.6
552.4371,2.0,?,121.53381,29.8
1414.837,1.0,?,121.54887,?
533.4762,?,24.97445,121.54765,40.3
?,?,?,121.53964,?
?,7.0,24.96725,?,48.1
2707.392,?,24.96056,?,?
383.2805,7.0,?,?,43.7
?,?,?,?,50.8
