@relation dataset

@attribute distance real
@attribute n_stores real
@attribute latitude real
@attribute longitude real
@attribute house_price real


@data

?,?,24.98298,?,?
306.5947,9.0,24.98034,?,?
?,5.0,24.98746,121.54391,47.3
561.9845,5.0,24.98746,121.54391,54.8
390.5684,5.0,?,?,43.1
?,3.0,?,?,?
623.4731,7.0,24.97933,121.53642,?
?,?,?,?,46.7
?,?,?,?,18.8
?,?,24.96731,?,?
?,1.0,24.97349,121.53372,?
?,?,24.97433,?,?
492.2313,5.0,?,?,39.3
?,4.0,?,121.51046,?
1164.838,?,?,?,?
579.2083,?,?,?,?
?,?,24.97744,121.54458,?
350.8515,?,?,121.53119,?
368.1363,8.0,24.9675,?,?
?,7.0,?,?,47.7
?,3.0,24.96314,?,?
279.1726,?,?,?,51.6
1360.139,?,?,?,?
279.1726,?,?,121.54541,?
?,?,?,?,?
1487.868,2.0,24.97542,?,27.0
383.8624,?,24.98085,?,?
?,?,?,?,33.6
?,4.0,?,?,?
451.2438,5.0,?,121.54694,?
?,0.0,24.94826,121.49587,22.1
769.4034,7.0,?,121.53408,25.0
488.5727,1.0,?,?,?
323.655,?,?,?,?
205.367,?,?,121.54243,?
?,0.0,25.01459,?,27.3
1935.009,2.0,?,?,?
1360.139,?,24.95204,121.54842,?
?,?,?,121.54722,?
?,?,?,?,?
?,?,?,121.50381,?
4066.587,?,24.94297,121.50342,?
519.4617,?,24.96305,121.53758,34.7
?,?,?,?,34.1
533.4762,4.0,24.97445,?,53.9
488.8193,8.0,?,?,?
463.9623,9.0,?,121.54458,42.0
?,3.0,24.97563,?,61.5
4605.749,?,?,121.49578,?
?,1.0,?,121.49542,?
512.5487,?,?,121.53842,?
?,?,24.95402,121.55282,?
1438.579,?,?,?,?
492.2313,5.0,?,121.53737,?
?,?,?,?,51.7
1160.632,0.0,?,121.53009,?
?,8.0,?,?,?
56.47425,?,?,?,?
?,?,24.94925,121.49542,22.6
?,5.0,?,?,?
?,2.0,?,?,?
?,?,?,121.54516,?
?,3.0,?,121.51254,?
?,?,24.97445,?,55.0
?,0.0,24.96305,121.54915,?
123.7429,?,24.97635,?,44.3
?,6.0,24.96571,121.54089,?
?,?,?,121.54067,?
464.223,?,24.97964,121.53805,36.2
?,5.0,?,?,?
