@relation dataset

@attribute distance real
@attribute n_stores real
@attribute latitude real
@attribute longitude real
@attribute house_price real


@data

84.87882,10.0,?,121.54024,?
?,?,24.98034,?,42.2
561.9845,?,24.98746,121.54391,?
?,5.0,?,?,54.8
390.5684,?,24.97937,?,?
?,3.0,?,?,?
?,?,?,?,?
287.6025,6.0,24.98042,121.54228,?
?,?,24.95095,?,18.8
?,3.0,?,121.51486,22.1
?,?,24.97349,?,41.4
?,?,?,?,58.1
492.2313,?,?,?,39.3
2469.645,4.0,?,121.51046,23.8
1164.838,4.0,?,121.53406,?
?,2.0,24.9824,?,?
292.9978,?,?,?,70.1
350.8515,?,?,121.53119,37.4
368.1363,8.0,?,121.54451,?
?,?,?,?,?
?,?,?,?,29.3
?,7.0,24.97528,?,?
?,?,24.95204,?,24.6
?,7.0,?,?,?
?,4.0,24.97353,121.53885,38.8
?,?,?,?,27.0
?,?,24.98085,?,?
276.449,5.0,24.95593,121.53913,33.6
557.478,4.0,?,?,?
?,?,?,?,57.1
?,0.0,24.94826,?,?
?,7.0,?,121.53408,?
?,1.0,?,121.53451,?
?,6.0,?,?,?
?,7.0,?,?,?
?,?,?,121.51816,?
1935.009,?,?,?,22.9
1360.139,?,?,121.54842,25.3
?,6.0,?,?,?
?,5.0,?,121.54348,?
?,?,?,?,15.9
?,?,?,?,?
?,?,?,?,34.7
512.7871,6.0,?,121.54301,34.1
533.4762,4.0,24.97445,?,?
488.8193,8.0,?,?,38.3
463.9623,?,?,121.54458,42.0
640.7391,3.0,24.97563,?,61.5
4605.749,?,?,?,13.4
?,?,?,121.49542,13.2
?,4.0,24.974,121.53842,44.2
?,?,?,121.55282,?
1438.579,?,24.97419,?,?
?,?,?,121.53737,?
?,5.0,?,?,?
?,?,24.94968,121.53009,13.7
?,?,?,?,?
56.47425,7.0,?,?,?
?,1.0,24.94925,?,?
?,?,?,121.53438,?
1931.207,2.0,?,?,?
259.6607,?,?,?,63.2
?,?,?,?,27.7
?,?,24.97445,121.54765,?
?,?,?,121.54915,25.3
123.7429,?,24.97635,?,44.3
?,6.0,?,121.54089,?
104.8101,?,24.96674,121.54067,56.8
?,?,24.97964,?,36.2
?,?,?,?,?
90.45606,?,?,121.5431,59.0
?,?,24.97563,?,?
?,?,24.97587,?,36.3
4082.015,0.0,24.94155,?,?
?,?,24.98343,?,?
?,1.0,24.95204,?,?
616.4004,?,24.97723,?,36.8
?,3.0,?,?,?
?,?,?,?,?
?,1.0,?,121.54887,26.5
533.4762,?,?,121.54765,40.3
?,6.0,?,121.53964,36.8
?,?,24.96725,121.54252,48.1
?,3.0,24.96056,?,17.7
383.2805,?,?,?,?
338.9679,?,?,?,?
?,?,?,?,27.0
4066.587,?,24.94297,121.50342,?
?,?,24.98573,?,?
?,0.0,?,?,25.3
?,?,?,121.53059,45.4
1402.016,?,24.98569,?,43.2
2469.645,?,24.96108,?,?
?,0.0,24.9492,?,16.1
?,5.0,24.9663,?,?
?,5.0,?,121.54067,?
90.45606,?,24.97433,121.5431,59.5
617.4424,3.0,24.97746,121.53299,34.6
289.3248,5.0,24.98203,121.54348,?
90.45606,?,?,?,?
964.7496,4.0,?,?,?
170.1289,?,?,121.52984,?
193.5845,6.0,?,?,?
?,?,24.95618,121.53844,?
392.4459,6.0,?,?,30.5
?,?,24.97744,?,?
189.5181,8.0,?,?,47.1
1360.139,1.0,?,?,?
?,?,?,121.53561,?
2147.376,?,?,?,28.4
104.8101,5.0,?,121.54067,51.6
196.6172,7.0,?,?,?
?,3.0,?,?,?
?,?,?,?,?
?,8.0,?,121.54142,?
?,2.0,24.98092,?,?
?,?,?,?,12.2
4197.349,0.0,?,121.50383,13.0
1583.722,?,?,?,?
289.3248,5.0,?,121.54348,?
?,5.0,?,?,?
?,5.0,?,?,?
414.9476,4.0,24.98199,?,?
?,?,24.9711,121.5317,?
?,?,24.97528,121.54541,57.4
?,6.0,?,121.54089,48.6
?,?,?,?,62.9
?,5.0,?,?,?
124.9912,6.0,?,121.54039,60.7
?,7.0,?,121.54162,?
535.527,?,?,?,?
?,?,24.96299,?,?
482.7581,?,24.97433,?,37.5
?,8.0,?,121.54082,?
?,?,?,121.54211,42.2
?,0.0,24.96357,?,20.8
?,?,24.97937,121.54245,46.8
?,6.0,24.96495,121.54277,47.4
942.4664,0.0,24.97843,121.52406,43.5
?,?,24.96515,?,42.5
?,?,?,?,?
1559.827,?,?,121.51627,?
640.6071,?,24.97017,?,?
?,5.0,24.96515,?,?
?,?,24.95204,?,28.4
451.2438,?,?,?,?
?,?,24.9711,121.5317,?
?,?,?,?,?
?,?,24.93293,121.51203,?
?,8.0,24.97349,?,?
?,?,?,?,?
?,?,24.98118,?,?
1360.139,?,?,?,?
376.1709,6.0,?,121.53713,?
4066.587,0.0,24.94297,?,20.7
?,?,?,121.50381,15.6
?,?,24.94883,?,18.3
815.9314,?,24.97886,?,35.6
390.5684,?,?,?,39.4
?,?,?,?,?
?,8.0,24.95836,121.53756,57.8
?,?,?,121.53767,39.6
4066.587,?,24.94297,?,11.6
104.8101,?,?,?,?
?,0.0,24.9711,?,?
1236.564,?,?,?,30.6
292.9978,?,?,121.54458,73.6
?,8.0,24.97408,?,43.4
?,?,24.96299,121.5432,37.4
1962.628,?,24.95468,?,?
?,0.0,?,?,?
383.8624,5.0,24.98085,?,58.8
?,?,?,?,?
?,4.0,?,?,?
432.0385,7.0,?,121.53778,?
472.1745,3.0,24.97005,121.53758,?
4573.779,?,?,121.49507,?
?,?,24.97697,?,42.0
1144.436,?,?,?,36.7
?,?,24.97493,121.5273,?
?,?,?,?,?
?,8.0,?,?,55.9
?,?,?,?,?
4082.015,?,?,?,?
?,0.0,?,121.56174,21.8
1447.286,?,24.97285,?,21.5
?,?,24.96322,121.51237,25.7
?,?,24.95464,121.56627,?
?,?,?,?,44.3
?,?,?,121.50342,?
616.5735,8.0,24.97945,121.53642,42.3
750.0704,2.0,?,?,?
57.58945,?,?,121.54069,42.7
?,5.0,?,?,?
?,?,?,?,29.3
?,?,24.95425,121.5399,34.6
707.9067,2.0,?,?,36.6
126.7286,8.0,24.96881,?,48.2
?,?,?,121.54196,?
?,?,?,?,?
?,?,24.96305,?,?
?,5.0,?,?,?
?,?,24.97559,?,31.5
289.3248,5.0,24.98203,121.54348,?
?,?,24.95182,?,?
?,3.0,?,?,?
?,?,?,?,44.0
?,?,24.97503,121.53692,?
?,?,?,121.54842,26.2
?,8.0,?,121.54271,?
?,5.0,?,121.54245,52.2
274.0144,?,?,?,43.5
1805.665,?,24.98672,?,31.1
?,9.0,?,121.5431,?
?,?,?,?,?
383.7129,?,?,?,48.1
?,1.0,?,121.53559,39.7
372.6242,?,?,121.54119,?
492.2313,?,24.96515,?,43.8
?,8.0,24.98102,121.53655,40.2
?,9.0,24.97703,121.54265,78.3
?,?,24.98569,?,?
?,?,24.98123,?,48.5
?,0.0,24.98569,121.5276,?
324.9419,6.0,24.97814,121.5417,?
?,6.0,?,121.54089,?
?,0.0,?,?,?
?,?,?,?,?
?,?,25.00115,?,46.6
?,?,?,?,?
?,3.0,?,?,?
?,0.0,24.94235,121.50357,14.7
?,?,?,121.49587,?
333.3679,?,?,121.53932,?
?,?,?,121.51361,?
?,7.0,24.96606,?,?
?,10.0,24.98322,?,?
?,?,?,121.52518,39.0
732.8528,0.0,?,121.52518,?
?,0.0,?,?,?
1712.632,2.0,?,?,?
250.631,?,?,?,?
2077.39,?,?,?,?
204.1705,?,24.98236,?,?
?,?,?,121.51627,21.7
?,5.0,?,121.54814,?
389.8219,6.0,24.96412,?,?
1055.067,0.0,24.96211,121.54928,23.1
1009.235,0.0,?,?,?
?,?,24.95743,?,15.0
424.7132,7.0,24.97429,121.53917,?
?,?,?,121.53018,13.8
?,9.0,?,121.5431,52.7
1735.595,2.0,?,?,25.9
?,?,24.98254,121.54395,?
?,1.0,24.95095,121.48458,17.4
339.2289,1.0,?,?,?
?,?,24.97501,?,?
?,?,?,121.54458,?
837.7233,?,?,?,28.8
?,4.0,?,?,?
?,3.0,?,?,24.4
?,?,?,?,53.0
2147.376,?,24.96299,?,31.7
?,7.0,?,?,?
815.9314,4.0,24.97886,?,?
1783.18,?,?,121.51486,23.7
?,?,?,121.53863,?
?,?,?,?,?
?,?,?,?,23.0
?,?,?,121.53046,?
?,?,?,121.5449,26.5
?,5.0,24.96515,121.53737,40.5
?,?,?,121.52984,29.3
394.0173,?,?,121.53994,?
?,?,24.96772,?,?
461.1016,?,24.95425,?,34.0
2185.128,3.0,?,?,27.7
?,6.0,24.95618,121.53844,?
?,3.0,?,121.51642,31.1
?,6.0,?,121.54086,?
387.7721,9.0,24.98118,?,44.8
1455.798,?,?,?,25.6
?,?,24.98674,?,?
?,7.0,?,?,?
?,3.0,24.97509,?,55.3
90.45606,9.0,?,121.5431,56.3
461.1016,?,?,?,?
?,?,?,121.5428,?
?,5.0,24.98203,121.54348,?
?,0.0,?,?,37.0
?,?,?,?,?
395.6747,?,?,?,24.5
?,?,24.96735,121.54464,?
?,?,24.9796,121.5414,?
?,?,24.96299,121.51252,21.8
1144.436,?,?,?,34.1
567.0349,?,?,?,?
?,?,?,?,16.7
?,?,?,121.54059,46.1
?,?,?,?,?
461.7848,0.0,?,?,?
?,3.0,?,?,23.2
439.7105,0.0,?,121.53423,?
?,3.0,?,121.51668,29.4
?,5.0,?,?,?
169.9803,?,?,?,50.2
?,0.0,?,?,?
289.3248,5.0,24.98203,?,53.0
?,?,?,121.52954,?
?,?,?,?,24.7
?,?,24.97425,121.53814,42.2
?,9.0,?,121.54069,?
?,5.0,?,?,42.8
?,?,?,?,41.6
?,2.0,?,121.51812,?
250.631,?,24.96606,?,42.0
?,?,24.97795,121.53451,?
?,?,24.98343,121.53762,?
272.6783,?,?,?,?
?,?,?,121.50383,?
?,4.0,?,?,37.7
187.4823,?,?,?,?
197.1338,?,?,?,?
?,?,?,121.5167,?
?,?,?,?,?
56.47425,?,?,?,?
?,?,24.97538,?,?
1497.713,3.0,?,121.51696,23.6
4197.349,?,?,121.50383,19.2
1156.777,?,?,121.53046,12.8
?,?,?,121.49587,15.6
?,?,?,?,39.6
104.8101,?,24.96674,?,?
?,?,?,?,?
?,6.0,24.96431,121.54063,?
?,2.0,?,121.51748,?
600.8604,5.0,?,?,?
258.186,?,?,121.54331,36.3
?,5.0,?,?,?
?,0.0,?,?,42.9
?,?,?,?,?
90.45606,?,24.97433,?,53.5
?,?,24.98223,121.53597,?
3085.17,0.0,?,?,?
?,?,?,?,?
?,?,?,?,?
?,?,24.95719,121.47353,?
?,6.0,24.97585,121.54516,53.7
?,?,?,?,47.0
?,?,24.96515,?,?
2180.245,3.0,?,121.51241,28.6
?,?,?,121.50827,?
2147.376,?,24.96299,?,31.3
