@relation dataset

@attribute sex {F, I, M}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29}


@data

?,0.455,0.365,0.095,0.514,?,0.101,0.15,15
M,0.35,0.265,0.09,0.2255,?,0.0485,?,7
?,?,?,?,0.677,?,0.1415,0.21,9
M,?,0.365,0.125,0.516,?,0.114,0.155,10
?,?,?,0.08,0.205,?,0.0395,0.055,7
I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8
?,0.53,0.415,0.15,?,?,0.1415,0.33,?
F,0.545,?,0.125,0.768,?,0.1495,?,16
?,0.475,0.37,?,0.5095,?,0.1125,0.165,?
F,0.55,0.44,?,?,?,0.151,?,?
F,0.525,?,?,?,0.194,?,0.21,14
M,?,?,?,0.406,?,0.081,?,10
?,0.49,0.38,?,?,?,?,?,11
F,0.535,?,0.145,?,0.2725,?,?,?
?,0.47,0.355,?,0.4755,0.1675,0.0805,0.185,10
?,?,?,?,0.6645,?,0.133,0.24,12
?,0.355,0.28,0.085,?,0.095,0.0395,0.115,?
?,?,0.34,0.1,0.451,0.188,0.087,?,?
?,0.365,?,?,?,?,?,?,7
?,?,?,?,0.381,?,0.075,0.115,9
M,0.355,?,?,0.2455,?,?,0.075,?
?,0.38,?,0.1,?,?,?,0.085,?
F,0.565,?,?,0.9395,?,?,?,12
?,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9
?,?,?,?,?,0.513,?,0.305,10
F,0.56,0.44,?,0.9285,?,0.188,0.3,11
?,?,0.45,?,0.9955,?,0.272,?,?
?,?,?,?,?,?,0.234,?,12
M,0.605,?,?,?,0.394,?,?,?
?,0.575,0.425,0.14,0.8635,0.393,?,0.2,11
M,?,0.47,?,0.9975,0.3935,0.242,0.33,10
?,0.68,0.56,0.165,?,?,0.2805,0.46,15
M,0.665,0.525,?,1.338,0.5515,0.3575,0.35,18
F,?,?,0.175,?,?,0.3925,?,?
?,0.705,0.55,?,?,0.633,?,?,?
?,?,?,0.105,?,0.227,0.124,?,8
F,0.54,?,?,?,?,0.3075,?,16
?,?,0.355,?,0.5225,0.237,?,?,8
F,?,?,0.135,0.883,0.381,?,0.26,11
?,0.355,?,?,0.3275,0.134,0.086,0.09,9
?,?,0.335,0.105,0.425,?,0.091,?,?
?,0.55,?,0.135,0.8515,0.362,0.196,?,14
I,?,?,?,?,?,0.0235,?,5
?,0.205,?,0.055,0.042,0.0255,?,0.012,?
?,?,0.15,?,0.042,0.0175,0.0125,0.015,?
I,0.39,0.295,?,?,0.0875,?,?,?
?,?,0.37,0.12,0.5795,?,?,0.14,?
F,0.46,?,0.12,?,?,0.11,0.15,?
I,?,0.245,0.07,?,0.0755,0.0255,?,?
?,?,0.425,?,?,?,0.2135,0.245,9
?,?,0.41,?,?,?,0.111,?,8
?,?,?,0.095,?,?,0.06,0.1,7
M,?,?,?,0.5415,?,?,?,10
F,?,?,0.12,0.4775,0.2105,0.1055,0.15,?
?,0.405,0.31,?,?,?,0.0915,0.11,7
?,0.5,?,0.14,0.6615,?,?,0.22,8
M,?,0.35,?,?,?,?,0.135,?
?,?,?,0.135,?,?,0.12,?,8
