@relation dataset

@attribute sex {F, I, M}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29}


@data

M,?,0.365,0.095,0.514,0.2245,?,0.15,15
M,?,?,0.09,0.2255,0.0995,0.0485,?,7
?,0.53,?,?,0.677,?,0.1415,?,9
?,0.44,0.365,?,0.516,0.2155,0.114,0.155,10
?,0.33,0.255,?,?,0.0895,?,0.055,?
I,0.425,0.3,0.095,?,?,?,0.12,?
F,0.53,?,?,0.7775,0.237,0.1415,0.33,20
F,0.545,0.425,?,?,0.294,?,?,16
?,?,?,?,0.5095,0.2165,?,0.165,?
F,?,0.44,0.15,0.8945,0.3145,?,?,?
?,?,?,0.14,?,0.194,?,?,14
?,0.43,0.35,0.11,0.406,0.1675,0.081,?,10
M,?,?,?,?,?,0.095,?,11
F,0.535,?,0.145,?,?,?,?,?
?,?,0.355,?,?,?,0.0805,?,?
?,?,0.4,0.13,0.6645,0.258,?,0.24,?
I,0.355,?,0.085,?,?,?,0.115,?
F,0.44,0.34,?,?,?,0.087,0.13,10
?,?,0.295,0.08,0.2555,0.097,0.043,?,7
M,0.45,?,?,0.381,0.1705,0.075,?,?
M,0.355,?,0.095,?,0.0955,?,0.075,?
?,?,?,?,?,?,?,0.085,10
?,0.565,?,?,0.9395,0.4275,0.214,0.27,12
F,?,0.415,0.135,0.7635,?,?,?,9
?,?,?,?,1.1615,?,0.301,0.305,?
?,0.56,0.44,?,0.9285,?,0.188,?,11
F,0.58,?,0.185,?,?,0.272,?,?
?,?,?,?,?,0.356,?,0.28,?
?,0.605,0.475,?,?,?,0.219,?,15
?,?,0.425,?,?,0.393,0.227,?,11
M,?,?,0.165,?,0.3935,?,0.33,10
F,?,0.56,0.165,?,0.6055,0.2805,0.46,?
M,?,0.525,0.165,1.338,?,?,0.35,18
?,0.68,0.55,?,?,0.815,0.3925,0.455,19
?,?,0.55,0.2,?,0.633,0.4115,?,?
?,0.465,0.355,0.105,0.4795,?,0.124,0.125,?
?,?,?,0.155,?,?,?,0.34,?
?,?,0.355,0.105,0.5225,?,0.1165,?,?
F,0.575,0.445,0.135,?,?,?,0.26,?
M,?,?,0.09,0.3275,0.134,?,?,?
?,?,?,0.105,?,0.1865,?,0.115,?
F,?,0.425,0.135,0.8515,0.362,?,0.27,14
?,0.24,0.175,?,0.07,?,0.0235,?,?
?,0.205,0.15,0.055,?,0.0255,0.015,?,?
I,?,0.15,0.05,?,?,0.0125,0.015,4
I,?,0.295,?,0.203,?,0.045,?,7
M,0.47,0.37,0.12,?,?,0.227,0.14,?
?,0.46,0.375,?,0.4605,?,0.11,0.15,7
