@relation dataset

@attribute sex {0, 1, 2}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27}


@data

2,?,0.365,0.095,0.514,0.2245,0.101,0.15,?
2,?,0.265,?,0.2255,0.0995,0.0485,0.07,?
0,?,?,?,?,?,0.1415,?,8
2,0.44,0.365,?,0.516,0.2155,0.114,?,9
?,0.33,0.255,0.08,?,0.0895,0.0395,0.055,6
?,0.425,0.3,?,?,0.141,?,0.12,7
?,0.53,0.415,0.15,?,0.237,?,?,?
0,?,0.425,0.125,0.768,?,0.1495,?,15
2,0.475,0.37,0.125,?,?,0.1125,0.165,8
?,0.55,?,0.15,?,0.3145,0.151,0.32,?
?,0.525,?,0.14,0.6065,0.194,0.1475,?,?
2,?,?,0.11,?,0.1675,0.081,?,?
2,?,0.38,?,?,0.2175,?,?,?
?,0.535,0.405,0.145,?,?,?,?,?
?,0.47,0.355,?,?,0.1675,?,0.185,?
2,0.5,0.4,?,0.6645,0.258,?,0.24,11
?,?,?,?,?,0.095,?,0.115,?
?,?,0.34,0.1,0.451,0.188,0.087,0.13,9
?,?,0.295,0.08,?,0.097,0.043,0.1,?
2,0.45,0.32,?,?,0.1705,0.075,?,8
2,0.355,?,0.095,0.2455,?,0.062,0.075,?
?,?,?,0.1,0.2255,0.08,?,0.085,9
0,0.565,?,0.155,0.9395,?,0.214,0.27,?
?,0.55,?,?,?,?,?,0.2,8
?,0.615,?,0.165,?,?,0.301,?,9
0,0.56,?,0.14,?,?,?,?,10
?,?,?,?,?,?,?,0.285,10
?,?,?,?,?,?,?,0.28,?
2,0.605,0.475,?,0.9365,0.394,0.219,?,14
?,?,0.425,?,0.8635,?,0.227,?,?
2,?,0.47,0.165,?,0.3935,?,?,?
0,0.68,?,0.165,1.639,0.6055,0.2805,?,14
?,?,0.525,?,1.338,?,?,0.35,17
?,0.68,?,0.175,1.798,?,?,0.455,18
?,0.705,0.55,?,?,?,0.4115,?,?
?,?,?,?,0.4795,0.227,0.124,?,7
0,0.54,?,0.155,1.217,0.5305,?,0.34,?
?,0.45,0.355,0.105,?,0.237,0.1165,0.145,?
?,?,0.445,0.135,?,?,?,0.26,10
?,?,?,0.09,?,0.134,?,?,8
0,?,0.335,?,0.425,0.1865,0.091,?,?
?,?,0.425,?,0.8515,0.362,0.196,?,?
1,?,0.175,?,?,0.0315,0.0235,?,4
?,0.205,0.15,?,0.042,?,0.015,0.012,?
1,?,?,?,0.042,0.0175,0.0125,?,3
1,0.39,0.295,?,?,0.0875,0.045,0.075,6
2,0.47,?,0.12,?,0.293,?,?,?
0,?,?,0.12,0.4605,0.1775,0.11,0.15,?
?,0.325,0.245,0.07,?,?,0.0255,?,5
0,?,0.425,?,?,0.3545,?,0.245,?
?,?,?,0.12,?,0.2385,?,0.19,?
?,0.4,0.32,?,0.303,0.1335,0.06,0.1,?
?,?,0.36,0.13,0.5415,0.2595,0.096,?,?
?,?,0.36,?,?,?,?,?,?
2,0.405,?,?,0.385,?,?,0.11,6
?,0.5,?,0.14,?,?,0.1755,0.22,?
?,?,0.35,0.12,?,0.192,?,?,?
?,0.47,?,?,?,0.2765,0.12,0.17,7
?,?,?,?,0.086,?,?,0.025,?
0,?,0.4,?,0.583,0.246,0.13,0.175,6
?,?,0.345,?,0.4115,0.18,?,?,6
2,0.505,?,?,0.625,?,?,0.175,?
?,0.53,?,0.13,?,?,?,?,9
2,?,?,?,?,0.1705,0.08,0.1,6
2,0.52,0.4,?,0.58,?,0.1315,0.185,7
?,?,?,0.12,0.48,?,?,?,?
?,0.565,?,0.16,?,0.354,0.1935,?,?
