@relation dataset

@attribute sex {F, I, M}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29}


@data

?,?,0.365,?,0.514,0.2245,0.101,0.15,15
M,0.35,?,0.09,0.2255,0.0995,?,?,7
F,0.53,?,?,0.677,0.2565,0.1415,0.21,9
M,0.44,0.365,?,0.516,?,0.114,?,?
?,0.33,0.255,?,?,0.0895,0.0395,0.055,7
?,0.425,0.3,0.095,?,0.141,?,0.12,?
?,0.53,?,?,?,0.237,0.1415,0.33,20
?,0.545,0.425,0.125,?,0.294,?,0.26,?
M,?,0.37,0.125,0.5095,0.2165,0.1125,0.165,9
F,?,0.44,?,0.8945,0.3145,0.151,?,19
?,0.525,0.38,0.14,0.6065,?,?,?,14
?,?,?,0.11,?,?,0.081,?,10
M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,?
?,0.535,?,?,0.6845,?,?,?,?
F,?,0.355,0.1,?,0.1675,?,?,10
?,?,0.4,?,0.6645,0.258,0.133,?,12
?,0.355,?,0.085,0.2905,0.095,0.0395,?,?
F,0.44,?,?,0.451,?,?,0.13,10
?,0.365,0.295,?,?,?,0.043,0.1,7
M,0.45,0.32,0.1,?,?,?,0.115,?
M,?,0.28,0.095,0.2455,0.0955,?,?,11
?,0.38,0.275,?,0.2255,0.08,0.049,0.085,10
F,?,?,?,0.9395,?,0.214,?,?
?,0.55,0.415,?,0.7635,?,0.21,0.2,9
F,0.615,?,?,1.1615,0.513,0.301,0.305,10
?,0.56,?,0.14,0.9285,?,0.188,?,?
?,0.58,0.45,0.185,?,0.3945,0.272,0.285,?
?,?,?,0.14,?,0.356,0.234,0.28,?
M,?,0.475,?,?,?,?,0.295,15
M,?,0.425,0.14,?,?,0.227,0.2,11
M,0.58,?,0.165,0.9975,?,0.242,0.33,?
F,0.68,?,?,1.639,0.6055,0.2805,?,15
M,?,0.525,?,?,0.5515,?,0.35,18
?,?,?,0.175,?,0.815,?,?,19
F,0.705,0.55,?,1.7095,?,0.4115,0.49,?
M,0.465,?,?,?,0.227,?,?,8
?,0.54,?,0.155,1.217,?,?,?,16
F,0.45,?,?,?,?,?,?,?
F,0.575,0.445,0.135,0.883,0.381,?,0.26,?
M,0.355,0.29,?,0.3275,?,?,?,9
?,0.45,?,?,?,?,0.091,0.115,?
F,?,0.425,?,?,?,?,?,14
I,?,0.175,?,0.07,0.0315,?,?,5
I,?,0.15,0.055,0.042,?,0.015,?,?
I,0.21,?,?,?,?,?,?,?
I,0.39,0.295,?,0.203,0.0875,?,?,?
M,?,0.37,0.12,?,0.293,0.227,0.14,9
?,0.46,?,0.12,0.4605,?,0.11,?,?
I,0.325,0.245,0.07,?,0.0755,0.0255,0.045,6
F,0.525,?,?,?,0.3545,0.2135,0.245,9
I,?,0.41,0.12,?,0.2385,?,0.19,8
M,0.4,0.32,0.095,0.303,?,?,0.1,7
M,?,?,0.13,?,0.2595,?,?,?
?,?,?,0.12,0.4775,?,?,?,10
M,0.405,?,0.1,0.385,0.173,0.0915,?,?
?,0.5,0.4,0.14,?,0.2565,?,?,?
?,?,?,?,?,0.192,?,0.135,8
?,0.47,?,0.135,?,0.2765,?,0.17,8
?,?,0.19,0.06,0.086,?,?,0.025,?
?,?,0.4,0.125,?,?,0.13,0.175,?
?,0.45,?,0.105,?,?,?,?,7
M,0.505,0.405,0.11,?,?,0.16,?,?
F,0.53,0.41,?,0.6965,0.302,0.1935,0.2,10
?,?,?,?,0.3785,0.1705,?,?,?
M,?,0.4,?,0.58,0.234,?,?,?
?,0.475,?,0.12,?,0.234,0.1015,0.135,8
F,?,0.44,?,0.915,0.354,0.1935,0.32,?
F,0.595,?,?,?,0.416,?,0.485,?
?,0.475,?,0.12,0.5305,0.2135,0.1155,?,10
?,?,?,0.07,0.151,0.063,?,?,6
M,0.555,0.425,0.13,?,0.264,0.168,0.275,13
?,0.4,?,0.11,0.353,?,0.0985,?,8
F,0.595,0.475,0.17,?,?,?,?,?
M,0.57,0.48,0.175,?,?,?,0.38,?
?,?,0.45,0.195,?,0.481,0.2895,0.315,?
?,?,?,?,1.0075,?,?,0.28,?
?,?,?,?,?,0.3625,?,?,?
F,?,0.47,0.15,0.922,0.363,0.194,?,?
F,?,?,0.14,?,0.282,?,0.285,11
?,?,?,0.17,?,0.4695,?,0.345,14
?,?,?,0.14,?,?,0.252,?,9
M,0.62,0.51,?,1.615,0.5105,?,?,?
?,0.52,?,?,0.9885,?,?,?,16
?,?,?,?,1.3175,0.408,0.234,0.58,?
?,0.58,0.45,0.14,?,0.38,?,0.36,14
?,0.57,0.465,?,?,?,?,?,?
M,0.625,0.465,0.14,1.195,?,0.205,0.4,13
?,?,?,?,?,0.3305,0.2075,?,?
?,?,?,0.13,0.517,?,0.114,?,9
F,0.575,?,0.16,0.9775,?,0.231,0.33,?
?,?,0.425,?,0.8115,0.341,?,?,15
M,?,?,?,0.755,0.307,?,?,12
M,?,0.465,0.175,1.115,0.4015,?,0.39,?
?,0.625,?,?,?,?,?,?,10
?,0.695,?,?,?,?,?,?,15
?,?,?,0.195,?,0.5755,0.388,0.48,?
?,?,?,?,?,?,?,0.25,?
?,?,?,?,?,?,?,0.145,8
M,?,?,?,0.5225,0.201,?,?,7
?,0.475,0.375,?,?,0.2775,?,?,?
?,?,?,0.095,?,?,0.046,0.075,?
?,?,0.435,0.145,?,?,?,?,?
?,?,?,0.16,0.883,?,?,0.335,15
M,0.53,0.415,0.14,0.724,?,?,?,?
M,0.605,?,0.16,?,?,?,0.345,12
F,?,0.41,?,?,0.291,0.1835,?,?
F,?,?,0.165,?,?,0.183,?,11
F,?,?,0.125,?,?,?,0.22,?
F,0.51,?,0.135,0.6335,0.231,?,?,?
