@relation dataset

@attribute cap.shape {b, c, f, k, s, x}
@attribute cap.surface {f, g, s, y}
@attribute cap.color {b, c, e, g, n, p, w, y}
@attribute bruises.3f {f, t}
@attribute odor {a, c, f, l, m, n, p}
@attribute gill.attachment {a, f}
@attribute gill.spacing {c, w}
@attribute gill.size {b, n}
@attribute gill.color {g, h, k, n, p, r, u, w, y}
@attribute stalk.shape {e, t}
@attribute stalk.root {b, c, e, r}
@attribute stalk.surface.above.ring {f, k, s, y}
@attribute stalk.surface.below.ring {f, k, s, y}
@attribute stalk.color.above.ring {b, c, g, n, p, w, y}
@attribute stalk.color.below.ring {b, c, g, n, p, w, y}
@attribute veil.color {w, y}
@attribute ring.number {n, o, t}
@attribute ring.type {e, l, n, p}
@attribute spore.print.color {h, k, n, r, u, w}
@attribute population {a, c, n, s, v, y}
@attribute habitat {d, g, l, m, p, u}
@attribute class {e, p}


@data

x,?,n,t,p,f,c,n,?,e,e,?,?,w,?,?,o,p,k,s,u,?
x,?,y,t,?,?,c,b,k,e,c,?,?,?,w,w,?,p,n,?,g,?
?,?,w,t,l,f,c,?,n,e,?,?,?,w,w,w,?,p,n,n,m,?
x,y,?,t,?,f,c,?,?,?,?,?,s,w,w,w,?,?,k,s,?,p
x,s,?,f,?,f,w,?,?,t,e,?,?,w,?,?,?,e,n,a,?,e
x,y,y,?,a,f,c,b,n,e,c,s,?,?,?,w,o,?,k,?,g,e
?,?,w,t,?,f,c,b,g,e,?,?,s,?,w,w,o,p,k,n,m,e
?,y,w,t,l,f,?,?,?,?,c,s,s,w,w,w,o,p,n,s,?,e
x,y,?,t,p,?,?,n,p,?,?,s,s,w,w,?,o,p,k,v,g,p
b,s,y,t,?,f,c,b,g,?,c,?,s,?,w,w,?,?,?,s,m,?
?,y,y,t,?,?,c,b,g,e,c,?,s,w,w,w,o,p,?,n,g,e
x,y,y,t,a,f,c,?,n,e,c,?,?,w,?,?,o,p,k,?,?,e
b,s,y,t,a,f,?,?,?,?,c,s,?,?,w,w,o,?,n,s,g,e
?,y,?,?,?,f,c,?,k,e,?,s,s,?,?,w,?,p,?,v,u,?
x,?,?,?,n,f,?,?,?,?,?,s,?,w,w,w,?,e,k,?,g,?
s,?,g,f,n,?,?,?,k,?,?,s,?,?,?,?,o,p,?,y,?,e
?,f,w,f,n,?,w,?,k,t,?,?,s,w,w,?,?,e,?,a,?,e
?,?,?,t,p,f,c,?,?,e,?,s,s,w,w,w,o,p,k,s,g,p
?,y,w,t,?,f,?,n,?,e,e,?,s,w,?,w,o,p,n,s,?,?
?,s,?,?,?,f,?,?,?,?,?,s,?,?,w,w,o,?,n,s,?,?
b,?,?,t,a,?,?,b,?,e,c,s,?,?,w,w,o,?,n,s,?,?
x,y,n,?,p,f,?,?,n,e,?,?,?,w,w,w,?,?,n,v,g,p
b,y,y,?,l,f,?,b,?,?,?,?,s,?,?,?,?,?,n,?,?,?
b,y,?,?,a,?,c,?,?,e,c,s,s,w,?,w,o,?,?,?,m,?
b,s,w,?,?,f,?,?,g,?,?,s,?,?,?,w,?,p,k,?,?,e
?,s,w,?,?,?,c,?,?,e,e,?,?,w,w,w,o,p,n,v,?,?
x,?,?,?,a,f,c,b,?,?,c,?,s,w,w,w,o,p,n,?,?,e
?,y,w,t,?,?,c,?,w,?,c,?,s,w,?,?,o,p,n,n,m,e
f,?,?,f,?,?,c,?,k,e,e,?,?,?,w,?,o,p,k,?,?,e
?,s,?,?,a,?,w,n,n,?,?,?,s,w,w,?,o,?,?,?,d,e
?,?,?,t,?,f,c,?,g,?,?,?,?,?,?,?,?,?,?,?,m,e
?,?,w,t,p,?,?,n,?,?,?,s,s,?,?,w,?,p,?,s,u,p
?,y,?,t,?,?,c,?,n,e,?,s,s,w,?,w,?,p,?,n,m,?
x,y,n,?,?,f,c,b,p,?,?,s,y,w,w,?,o,?,?,?,p,?
?,?,y,t,l,f,?,?,?,?,?,s,?,?,?,?,o,p,?,?,m,e
?,?,?,?,?,?,w,?,w,t,b,?,s,w,?,w,o,p,?,v,?,e
s,?,g,?,?,f,c,?,k,e,e,?,s,?,?,w,?,p,k,?,?,?
?,?,n,?,p,?,c,n,?,e,?,?,s,w,w,w,o,?,?,s,?,p
x,?,?,?,?,?,?,n,?,?,b,s,?,w,w,?,o,p,n,v,d,?
b,s,y,?,l,f,?,?,?,?,?,?,s,?,?,?,?,p,k,s,m,?
?,y,?,t,a,?,?,?,?,e,?,?,s,?,w,w,o,?,n,?,g,e
x,?,y,?,?,?,?,b,?,?,r,?,?,w,?,w,o,p,?,?,?,e
x,?,n,f,?,?,?,?,?,e,e,?,s,?,w,w,?,?,k,?,u,e
x,y,w,?,?,?,?,n,p,?,?,s,s,?,w,w,?,?,n,v,g,?
?,?,?,?,a,?,?,?,?,e,?,s,s,?,w,w,?,?,?,n,m,e
?,?,?,?,a,?,?,?,n,?,?,?,?,w,w,w,?,?,?,?,?,e
?,?,y,?,?,f,c,b,k,?,c,s,s,?,?,w,?,p,?,s,m,?
x,s,w,?,l,?,?,b,w,e,c,?,?,w,?,?,?,p,?,n,?,?
?,?,y,t,l,?,?,b,n,e,?,?,y,?,w,w,?,p,n,?,p,?
?,y,y,t,l,f,?,?,w,?,r,?,y,?,w,w,o,p,?,s,p,?
?,?,n,t,a,f,?,b,?,?,?,s,?,w,w,?,?,?,k,?,g,?
?,s,w,t,l,f,c,b,?,e,?,?,s,?,w,?,?,p,k,s,g,e
b,s,w,?,?,f,c,?,?,e,?,s,s,?,w,?,?,?,?,n,m,?
x,?,?,?,p,f,c,?,?,e,e,?,?,?,w,w,o,?,?,v,u,?
x,s,?,t,?,?,c,?,k,e,e,s,s,?,?,w,o,?,?,v,u,?
b,?,y,?,a,?,c,b,w,?,?,s,?,w,?,w,o,?,?,?,?,e
f,?,?,f,n,f,?,b,n,?,?,s,?,w,?,?,o,?,n,a,g,e
