@relation dataset

@attribute a01 real
@attribute a03 real
@attribute a04 real
@attribute a05 real
@attribute a06 real
@attribute a07 real
@attribute a08 real
@attribute a09 real
@attribute a10 real
@attribute a11 real
@attribute a12 real
@attribute a13 real
@attribute a14 real
@attribute a15 real
@attribute a16 real
@attribute a17 real
@attribute a18 real
@attribute a19 real
@attribute a20 real
@attribute a21 real
@attribute a22 real
@attribute a23 real
@attribute a24 real
@attribute a25 real
@attribute a26 real
@attribute a27 real
@attribute a28 real
@attribute a29 real
@attribute a30 real
@attribute a31 real
@attribute a32 real
@attribute a33 real
@attribute a34 real
@attribute class {0, 1}


@data

?,?,?,0.85243,?,?,?,?,0.0376,?,-0.17755,?,-0.44945,?,-0.38223,?,-0.38542,0.58212,-0.32192,0.56971,-0.29674,?,-0.47357,?,?,?,-0.46168,0.21266,-0.3409,0.42267,?,?,-0.453,?
1.0,1.0,?,0.93035,-0.36156,-0.10868,-0.93597,1.0,-0.04549,?,?,?,?,-0.51685,-0.97515,0.05499,-0.62237,?,-1.0,-0.13151,?,?,-0.35734,?,-0.26569,?,-0.18401,-0.1904,-0.11593,-0.16626,?,?,-0.02447,0
1.0,1.0,?,1.0,0.00485,1.0,-0.12062,?,0.01198,?,0.05346,?,?,?,?,?,?,0.75535,-0.0854,?,-0.27502,0.43385,-0.12062,0.57528,-0.4022,0.58984,-0.22145,?,-0.17365,0.60436,?,?,?,?
?,?,?,1.0,1.0,0.71216,?,?,?,0.0,0.0,0.0,0.0,-1.0,0.14516,?,?,?,-0.54467,-0.69975,?,?,0.0,?,?,0.51613,1.0,1.0,?,0.25682,1.0,-0.32382,?,?
1.0,?,?,?,0.06531,0.92106,-0.23255,0.77152,?,?,-0.20275,?,-0.00712,?,?,?,-0.2178,0.45107,?,?,-0.35575,0.02309,-0.52879,0.03286,-0.65158,0.1329,-0.53206,?,-0.62197,?,-0.59573,-0.04608,-0.65697,1
1.0,0.02337,?,?,?,?,?,?,0.06637,0.03786,-0.06302,?,?,?,-0.1554,-0.00343,?,?,?,?,0.03669,?,0.00888,0.03513,-0.01535,-0.0324,?,-0.07859,0.00732,0.0,?,?,0.12011,?
1.0,0.97588,?,0.94601,?,0.92806,?,0.85996,?,0.79766,?,0.78225,?,0.74628,?,?,?,0.37852,-0.73641,?,-0.76562,0.31898,-0.79753,?,?,?,-0.8251,0.04606,?,-0.04262,?,-0.13832,?,?
0.0,0.0,0.0,0.0,0.0,1.0,-1.0,?,0.0,-1.0,-1.0,?,0.0,0.0,0.0,1.0,?,?,?,0.0,?,?,0.0,1.0,?,1.0,1.0,0.0,0.0,1.0,1.0,?,?,?
?,?,-0.07198,1.0,-0.14333,1.0,-0.21313,1.0,?,?,?,0.9451,?,0.90392,-0.46381,?,-0.35257,?,-0.6602,0.75346,-0.60589,?,-0.64225,?,-0.6544,?,-0.69712,?,-0.63919,0.45114,?,?,?,1
1.0,-0.01864,-0.08459,?,0.0,0.0,?,?,-0.2681,?,-0.38172,0.0,0.0,-0.33656,?,?,0.15018,0.63728,?,0.0,?,0.0,0.0,?,?,0.20645,-0.02294,0.0,?,?,?,?,?,?
