@relation dataset

@attribute a01 real
@attribute a03 real
@attribute a04 real
@attribute a05 real
@attribute a06 real
@attribute a07 real
@attribute a08 real
@attribute a09 real
@attribute a10 real
@attribute a11 real
@attribute a12 real
@attribute a13 real
@attribute a14 real
@attribute a15 real
@attribute a16 real
@attribute a17 real
@attribute a18 real
@attribute a19 real
@attribute a20 real
@attribute a21 real
@attribute a22 real
@attribute a23 real
@attribute a24 real
@attribute a25 real
@attribute a26 real
@attribute a27 real
@attribute a28 real
@attribute a29 real
@attribute a30 real
@attribute a31 real
@attribute a32 real
@attribute a33 real
@attribute a34 real
@attribute class {0, 1}


@data

?,?,-0.05889,0.85243,0.02306,0.83398,-0.37708,?,?,?,-0.17755,0.59755,-0.44945,?,?,?,-0.38542,0.58212,-0.32192,?,?,0.36946,?,0.56811,-0.51171,0.41078,?,?,?,0.42267,-0.54487,0.18641,-0.453,1
1.0,?,-0.18829,?,-0.36156,?,?,1.0,?,?,-0.67743,0.34432,?,-0.51685,?,?,-0.62237,0.33109,?,?,?,-0.18056,?,-0.20332,-0.26569,-0.20468,?,?,?,?,-0.06288,?,?,0
?,?,-0.03365,1.0,?,1.0,-0.12062,?,?,?,0.05346,0.85443,0.00827,0.54591,?,0.83775,-0.13644,?,-0.0854,?,-0.27502,0.43385,?,0.57528,-0.4022,0.58984,?,?,?,0.60436,-0.2418,0.56045,-0.38238,1
?,1.0,?,?,1.0,0.71216,-1.0,?,0.0,0.0,?,0.0,?,-1.0,?,0.54094,-0.3933,?,-0.54467,-0.69975,1.0,0.0,0.0,1.0,0.90695,0.51613,1.0,1.0,?,0.25682,?,?,1.0,0
?,?,-0.02401,?,0.06531,0.92106,?,?,-0.16399,0.52798,-0.20275,0.56409,-0.00712,?,-0.27457,0.5294,-0.2178,0.45107,?,0.05982,-0.35575,0.02309,-0.52879,?,-0.65158,?,?,?,-0.62197,-0.05707,?,?,-0.65697,1
?,0.02337,?,?,-0.11949,?,-0.11824,0.14706,0.06637,0.03786,-0.06302,0.0,0.0,?,-0.1554,-0.00343,?,?,?,0.01838,?,?,?,?,-0.01535,-0.0324,?,-0.07859,0.00732,?,?,-3.9E-4,?,0
1.0,0.97588,-0.10602,?,-0.208,?,-0.2835,0.85996,?,0.79766,?,?,?,0.74628,?,?,?,?,-0.73641,0.36324,?,0.31898,-0.79753,0.22792,-0.81634,0.13659,-0.8251,0.04606,-0.82395,-0.04262,-0.81318,-0.13832,-0.80975,1
0.0,?,0.0,0.0,0.0,?,?,?,?,-1.0,-1.0,0.0,0.0,0.0,0.0,?,1.0,-1.0,-1.0,?,?,0.0,0.0,?,1.0,?,1.0,0.0,0.0,?,1.0,?,0.0,?
1.0,0.96355,-0.07198,1.0,?,?,-0.21313,1.0,?,0.9257,?,0.9451,-0.40668,0.90392,-0.46381,0.98305,-0.35257,?,?,0.75346,-0.60589,?,-0.64225,0.85106,?,?,-0.69712,0.25435,-0.63919,?,?,0.38895,-0.7342,1
1.0,-0.01864,-0.08459,0.0,?,?,0.0,0.1147,?,?,?,0.0,0.0,-0.33656,?,-0.37133,?,0.63728,0.22115,0.0,?,?,?,-0.14803,?,0.20645,-0.02294,?,0.0,?,0.24086,-0.08208,0.38065,0
?,1.0,?,1.0,-0.18388,?,-0.2732,?,-0.43107,1.0,?,0.96232,?,0.90711,-0.59017,0.8923,-0.66474,?,-0.70997,0.70645,-0.7632,0.63081,?,?,?,0.47211,?,?,-0.83675,0.30996,-0.89093,0.22995,?,1
?,?,?,?,?,?,-1.0,?,?,?,?,?,?,1.0,-1.0,?,?,?,?,1.0,?,1.0,1.0,?,?,?,?,?,-1.0,?,?,1.0,-1.0,?
1.0,1.0,?,1.0,?,?,-0.15197,?,?,?,-0.35151,0.95735,-0.29785,0.93719,-0.34412,?,-0.28106,?,-0.43383,?,-0.47308,0.82987,-0.5122,0.8408,?,0.76224,-0.5837,?,-0.68794,?,?,0.64727,-0.67226,?
1.0,?,?,1.0,0.2228,0.85492,-0.39896,?,?,1.0,?,1.0,?,1.0,-0.14767,1.0,-1.0,?,?,0.61831,?,1.0,?,1.0,-0.17012,1.0,?,1.0,-0.66494,?,0.88428,?,-0.18826,?
1.0,1.0,0.0738,1.0,?,?,-0.05563,?,?,1.0,?,?,?,?,?,?,?,1.0,0.27087,?,?,1.0,0.4175,?,0.20033,1.0,?,0.95603,0.48641,1.0,0.32492,1.0,0.46712,?
1.0,0.50932,-0.93996,?,?,-0.0352,-1.0,1.0,?,?,?,0.0,0.0,?,-0.34265,-0.37681,0.03623,?,-1.0,0.0,?,0.0,0.0,-0.16253,0.92236,0.39752,0.26501,?,?,1.0,?,?,0.0,?
?,?,?,?,?,0.97811,0.02498,?,?,0.99274,?,0.89323,?,?,0.05269,0.88809,?,?,0.08631,0.81633,0.1183,?,0.14442,?,0.13412,0.79476,?,0.7911,0.15379,0.77122,?,?,?,?
?,?,0.0,-1.0,?,1.0,1.0,?,1.0,?,1.0,1.0,-1.0,1.0,?,-1.0,-1.0,?,?,?,-1.0,?,1.0,?,1.0,1.0,-1.0,?,?,?,-1.0,?,?,0
?,0.67065,?,0.66626,0.05031,0.57197,0.18761,0.08776,0.34081,?,?,0.62099,?,0.78637,?,?,0.18151,0.14395,?,0.53888,0.21326,0.5142,0.22625,?,?,?,?,0.43433,0.25306,?,0.25792,1.0,0.33036,?
0.0,1.0,-1.0,0.0,0.0,?,?,1.0,?,1.0,?,?,1.0,0.0,0.0,?,?,1.0,?,?,1.0,1.0,0.5625,?,1.0,1.0,?,1.0,?,?,1.0,?,1.0,?
1.0,1.0,?,?,?,1.0,-0.07649,1.0,?,1.0,-0.11073,1.0,-0.39489,1.0,-0.15616,0.92124,-0.31884,0.86473,?,?,?,?,-0.46866,?,?,?,-0.42231,?,-0.38231,0.80448,-0.40575,?,-0.45039,?
?,?,1.0,?,?,0.0,0.0,?,-1.0,0.0,0.0,?,?,-1.0,?,?,-1.0,-1.0,?,?,1.0,0.0,0.0,0.0,0.0,1.0,?,-1.0,?,-1.0,?,-1.0,?,0
1.0,0.96071,0.07088,?,0.04296,1.0,?,?,?,0.89263,0.0258,0.8325,?,0.87534,0.09831,?,?,?,-0.05295,0.65961,?,0.64158,?,0.55677,?,0.58051,-0.02205,0.49664,-0.01251,0.5131,-1.5E-4,0.52099,?,1
?,?,?,?,0.0,0.0,?,-1.0,?,?,1.0,0.0,0.0,?,0.0,1.0,-1.0,-1.0,1.0,1.0,1.0,?,?,?,?,1.0,?,1.0,1.0,?,?,0.0,?,0
?,?,?,?,?,?,?,1.0,-0.01707,1.0,-0.11726,0.84493,-0.05202,?,?,?,?,0.65731,-0.20367,0.9491,-0.31558,0.80852,-0.31654,0.84932,-0.34838,0.72529,?,0.73094,-0.38576,?,?,?,-0.39487,?
1.0,?,?,1.0,-1.0,?,?,1.0,-1.0,?,?,1.0,-1.0,?,?,?,-1.0,?,-1.0,?,-0.62796,1.0,-1.0,?,-1.0,1.0,-1.0,?,-1.0,1.0,?,?,-1.0,?
1.0,1.0,-0.08714,?,-0.17263,0.86635,?,?,0.61053,0.95473,-0.41382,0.88486,?,0.87937,-0.23433,?,-0.6218,0.12245,-1.0,0.90284,?,0.62357,-0.78547,0.55389,-0.82868,?,?,0.4065,-0.89674,0.32984,-0.92128,?,-1.0,1
0.0,-1.0,-1.0,?,0.0,?,?,?,?,0.0,0.0,0.0,0.0,?,?,1.0,?,-1.0,?,?,-1.0,?,?,?,?,-1.0,?,-1.0,-1.0,?,0.0,-1.0,1.0,0
1.0,1.0,0.0838,1.0,?,?,?,0.98172,?,?,?,?,0.59113,?,?,1.0,0.82777,1.0,?,1.0,?,0.98042,1.0,0.91624,?,?,1.0,?,1.0,?,1.0,?,?,?
?,-1.0,-1.0,1.0,1.0,1.0,?,-1.0,1.0,1.0,?,-1.0,-1.0,0.0,?,?,?,-1.0,-1.0,1.0,?,?,-1.0,1.0,1.0,1.0,?,1.0,-1.0,-1.0,1.0,?,-1.0,0
?,?,?,1.0,-0.16256,1.0,-0.23656,?,-0.07514,1.0,-0.2501,1.0,-0.26161,?,-0.21975,1.0,-0.38606,?,?,?,?,1.0,?,1.0,-0.47643,0.9882,?,1.0,?,?,-0.75761,?,?,?
?,1.0,?,1.0,1.0,1.0,?,1.0,?,1.0,?,?,?,1.0,?,1.0,1.0,1.0,?,1.0,1.0,?,?,?,0.0,1.0,1.0,?,-0.79141,1.0,1.0,?,1.0,0
?,0.88208,?,?,-0.11057,0.921,-0.1645,0.88307,-0.17036,0.88462,-0.31809,0.85269,?,?,?,0.80681,-0.33632,0.75243,-0.47022,?,?,0.6615,-0.50085,0.61297,?,?,?,?,-0.59854,?,-0.57377,0.42189,-0.58086,1
?,0.71253,-0.02595,?,?,?,-0.09473,0.99709,-0.10236,?,?,0.58965,1.0,0.83726,-1.0,0.8227,-0.17863,?,-0.28257,-0.25914,0.9273,0.51933,?,0.65493,-0.20392,0.93124,-0.41307,?,-0.21901,?,-0.87354,-0.23186,?,0
1.0,1.0,?,0.72314,0.27686,?,?,1.0,-0.28207,?,?,?,-0.12527,?,?,1.0,?,?,0.2659,?,?,?,?,?,?,?,?,?,?,1.0,0.53372,1.0,-0.57758,?
?,?,?,?,?,1.0,?,?,-0.40446,1.0,?,?,-0.89375,1.0,0.73393,?,?,?,?,?,?,?,-1.0,1.0,?,?,?,?,?,?,0.65268,?,0.34732,?
?,?,?,1.0,?,?,?,?,-0.07014,0.97839,?,?,?,0.97261,?,?,-0.13665,?,?,0.99589,?,?,?,0.89469,?,0.89067,-0.17909,0.85644,?,?,?,?,?,1
0.0,?,1.0,?,?,?,?,0.0,0.0,?,?,?,0.0,0.0,?,?,?,?,?,?,1.0,?,?,1.0,?,?,?,?,?,?,?,0.0,?,?
1.0,?,0.04347,?,0.0228,0.94705,?,?,0.01321,0.91911,?,?,0.12067,0.92048,?,?,?,?,?,0.80983,?,?,?,?,0.11299,?,0.13282,?,?,0.70925,?,0.65258,?,?
?,1.0,?,?,?,0.97545,?,?,?,0.91036,0.11147,0.88462,?,?,0.14137,?,0.15189,?,?,?,0.16371,?,?,?,?,0.48867,0.16019,?,?,?,0.14677,?,?,?
?,?,0.06538,?,?,?,?,?,0.32213,?,?,0.75474,?,?,0.52321,0.65954,?,0.57619,0.62999,?,0.67135,?,0.6884,0.34384,?,?,?,0.19296,0.70682,?,0.72688,?,?,?
?,?,?,1.0,?,?,-0.14375,?,?,-1.0,?,?,?,?,-1.0,?,?,0.0875,-1.0,?,?,?,?,-1.0,?,1.0,?,?,?,?,1.0,?,?,0
?,?,?,?,0.16888,?,?,0.55187,?,0.70207,0.36719,?,0.42739,0.5762,0.46086,?,0.49618,?,?,0.37824,?,0.31274,?,0.24856,?,?,0.56605,?,?,?,?,0.12137,?,?
?,-0.64286,?,?,0.82857,1.0,?,1.0,?,?,?,1.0,-0.37679,?,-1.0,1.0,?,1.0,?,?,?,?,1.0,0.5375,?,?,?,1.0,-1.0,?,?,?,?,?
1.0,0.99025,?,0.99793,?,0.98663,?,?,?,?,-0.3013,0.92651,?,?,?,?,-0.52064,?,?,?,-0.59839,?,-0.64615,?,?,0.65247,-0.73174,0.6101,?,0.54752,-0.80278,?,?,1
0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,?,?,?,?,-0.375,-1.0,?,?,0.0,?,?,?,-1.0,?,?,?,?,1.0,?,?,0.0,0.0,?
1.0,?,-0.0373,?,-0.07383,0.99601,?,0.99838,?,?,?,0.96674,?,0.95288,?,?,?,0.90581,-0.32152,0.89991,?,?,?,?,-0.4299,0.83172,?,0.81433,?,?,-0.47977,0.75115,-0.50152,1
?,?,-0.02685,?,?,?,0.35639,?,?,?,?,?,?,?,?,0.91921,?,1.0,?,?,?,-0.73864,?,?,-0.46734,?,-0.5813,?,?,-0.09634,?,-0.06117,?,0
?,0.98166,?,?,?,0.97565,-0.05699,?,-0.06971,?,?,?,?,0.93369,-0.1279,?,?,?,?,?,?,?,-0.18739,?,?,?,?,?,?,?,-0.23095,0.74323,?,1
?,0.0,?,?,?,?,0.0,0.10991,?,0.0,?,0.0,?,-1.0,?,-0.55711,?,?,0.63147,?,?,?,0.35668,?,?,?,?,-1.0,?,?,?,?,?,0
?,?,-0.18362,?,?,0.93421,?,?,0.13795,?,?,0.88559,0.54991,0.91714,?,?,?,0.86676,?,?,?,?,?,?,-0.02778,?,?,?,-0.32298,?,-0.25706,?,?,1
?,1.0,?,?,-1.0,?,?,?,0.0,?,?,1.0,?,-1.0,-1.0,?,-1.0,-1.0,?,0.0,0.0,1.0,?,1.0,-1.0,?,1.0,?,-1.0,0.0,?,?,0.0,?
1.0,?,1.0,?,?,?,1.0,-0.2697,1.0,?,1.0,?,?,?,?,-1.0,?,?,-0.42052,?,-1.0,?,?,?,?,?,-1.0,?,-1.0,1.0,-0.34686,?,0.34845,?
