@relation dataset

@attribute a01 real
@attribute a03 real
@attribute a04 real
@attribute a05 real
@attribute a06 real
@attribute a07 real
@attribute a08 real
@attribute a09 real
@attribute a10 real
@attribute a11 real
@attribute a12 real
@attribute a13 real
@attribute a14 real
@attribute a15 real
@attribute a16 real
@attribute a17 real
@attribute a18 real
@attribute a19 real
@attribute a20 real
@attribute a21 real
@attribute a22 real
@attribute a23 real
@attribute a24 real
@attribute a25 real
@attribute a26 real
@attribute a27 real
@attribute a28 real
@attribute a29 real
@attribute a30 real
@attribute a31 real
@attribute a32 real
@attribute a33 real
@attribute a34 real
@attribute class {b, g}


@data

?,0.99539,-0.05889,0.85243,?,?,-0.37708,1.0,0.0376,0.85243,-0.17755,0.59755,?,?,?,?,-0.38542,?,-0.32192,0.56971,-0.29674,0.36946,?,0.56811,?,0.41078,-0.46168,?,?,?,-0.54487,?,?,?
?,?,-0.18829,?,-0.36156,-0.10868,-0.93597,1.0,?,0.50874,-0.67743,0.34432,-0.69707,-0.51685,-0.97515,0.05499,-0.62237,?,-1.0,?,-0.453,-0.18056,-0.35734,?,?,?,-0.18401,-0.1904,-0.11593,-0.16626,-0.06288,?,?,?
?,?,?,?,0.00485,?,-0.12062,?,0.01198,0.73082,0.05346,?,?,?,?,0.83775,-0.13644,0.75535,-0.0854,0.70887,-0.27502,?,?,0.57528,-0.4022,0.58984,-0.22145,0.431,?,?,?,0.56045,?,g
1.0,1.0,-0.45161,1.0,1.0,0.71216,?,?,?,0.0,0.0,0.0,?,?,?,?,?,?,-0.54467,?,?,0.0,?,1.0,0.90695,0.51613,?,1.0,-0.20099,0.25682,?,-0.32382,?,?
1.0,?,?,0.9414,?,0.92106,-0.23255,0.77152,-0.16399,0.52798,-0.20275,0.56409,?,0.34395,?,0.5294,?,0.45107,-0.17813,?,-0.35575,0.02309,-0.52879,?,-0.65158,?,-0.53206,0.02431,-0.62197,?,?,?,?,g
1.0,?,-0.00592,?,?,?,-0.11824,?,0.06637,0.03786,?,0.0,?,?,-0.1554,-0.00343,?,-0.11575,-0.05414,?,?,?,?,0.03513,-0.01535,-0.0324,0.09223,-0.07859,0.00732,?,0.0,-3.9E-4,?,?
?,0.97588,?,0.94601,?,0.92806,-0.2835,?,?,?,?,0.78225,-0.50764,0.74628,-0.61436,?,?,?,?,0.36324,?,0.31898,?,?,-0.81634,?,-0.8251,?,?,-0.04262,-0.81318,-0.13832,-0.80975,g
?,?,0.0,0.0,0.0,1.0,-1.0,?,0.0,?,-1.0,0.0,0.0,?,?,1.0,?,-1.0,-1.0,?,0.0,0.0,0.0,1.0,1.0,1.0,?,0.0,?,?,1.0,0.0,?,?
1.0,0.96355,?,1.0,?,?,-0.21313,1.0,-0.36174,?,?,?,?,?,?,0.98305,-0.35257,0.84537,?,0.75346,?,?,?,?,-0.6544,0.57577,-0.69712,?,-0.63919,0.45114,-0.72779,?,-0.7342,g
