@relation dataset

@attribute a01 real
@attribute a03 real
@attribute a04 real
@attribute a05 real
@attribute a06 real
@attribute a07 real
@attribute a08 real
@attribute a09 real
@attribute a10 real
@attribute a11 real
@attribute a12 real
@attribute a13 real
@attribute a14 real
@attribute a15 real
@attribute a16 real
@attribute a17 real
@attribute a18 real
@attribute a19 real
@attribute a20 real
@attribute a21 real
@attribute a22 real
@attribute a23 real
@attribute a24 real
@attribute a25 real
@attribute a26 real
@attribute a27 real
@attribute a28 real
@attribute a29 real
@attribute a30 real
@attribute a31 real
@attribute a32 real
@attribute a33 real
@attribute a34 real
@attribute class {b, g}


@data

?,0.99539,?,0.85243,0.02306,0.83398,-0.37708,?,?,0.85243,?,?,?,0.60536,-0.38223,0.84356,-0.38542,?,-0.32192,0.56971,-0.29674,0.36946,-0.47357,?,?,?,?,0.21266,-0.3409,0.42267,-0.54487,0.18641,?,?
1.0,?,-0.18829,0.93035,?,-0.10868,?,1.0,?,0.50874,-0.67743,0.34432,?,-0.51685,?,0.05499,-0.62237,0.33109,?,-0.13151,?,-0.18056,-0.35734,-0.20332,?,-0.20468,?,-0.1904,-0.11593,?,-0.06288,-0.13738,?,?
1.0,?,?,1.0,?,?,-0.12062,0.88965,0.01198,0.73082,0.05346,0.85443,0.00827,0.54591,0.00299,?,-0.13644,0.75535,?,?,-0.27502,0.43385,?,0.57528,?,0.58984,-0.22145,0.431,-0.17365,0.60436,?,0.56045,?,g
?,?,?,?,?,0.71216,-1.0,?,?,?,0.0,0.0,?,?,0.14516,?,?,-1.0,?,-0.69975,?,0.0,?,1.0,?,?,1.0,1.0,?,0.25682,1.0,-0.32382,1.0,?
?,1.0,-0.02401,0.9414,0.06531,0.92106,-0.23255,0.77152,-0.16399,0.52798,-0.20275,?,?,0.34395,?,0.5294,-0.2178,?,?,0.05982,?,0.02309,-0.52879,0.03286,?,0.1329,?,0.02431,-0.62197,-0.05707,-0.59573,-0.04608,?,g
?,?,-0.00592,?,?,-0.00763,-0.11824,0.14706,?,0.03786,-0.06302,0.0,?,-0.04572,-0.1554,?,-0.10196,-0.11575,?,0.01838,0.03669,0.01519,0.00888,0.03513,-0.01535,-0.0324,?,?,?,0.0,0.0,-3.9E-4,?,b
1.0,0.97588,?,?,?,?,-0.2835,0.85996,-0.27342,?,-0.47929,?,-0.50764,?,?,0.57945,?,?,?,?,-0.76562,0.31898,?,?,?,0.13659,-0.8251,0.04606,-0.82395,?,-0.81318,?,-0.80975,g
0.0,?,?,0.0,?,?,-1.0,0.0,0.0,?,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,?,?,0.0,0.0,0.0,0.0,?,1.0,1.0,?,0.0,0.0,1.0,1.0,0.0,0.0,b
1.0,0.96355,?,1.0,?,1.0,?,?,?,0.9257,?,?,-0.40668,?,-0.46381,0.98305,?,?,-0.6602,0.75346,?,?,?,0.85106,-0.6544,0.57577,?,0.25435,-0.63919,?,?,?,-0.7342,?
?,?,?,0.0,?,?,0.0,0.1147,-0.2681,?,?,?,0.0,-0.33656,?,-0.37133,?,?,0.22115,?,0.0,?,0.0,?,?,0.20645,-0.02294,0.0,0.0,0.16595,0.24086,?,?,b
