@relation dataset

@attribute a01 real
@attribute a03 real
@attribute a04 real
@attribute a05 real
@attribute a06 real
@attribute a07 real
@attribute a08 real
@attribute a09 real
@attribute a10 real
@attribute a11 real
@attribute a12 real
@attribute a13 real
@attribute a14 real
@attribute a15 real
@attribute a16 real
@attribute a17 real
@attribute a18 real
@attribute a19 real
@attribute a20 real
@attribute a21 real
@attribute a22 real
@attribute a23 real
@attribute a24 real
@attribute a25 real
@attribute a26 real
@attribute a27 real
@attribute a28 real
@attribute a29 real
@attribute a30 real
@attribute a31 real
@attribute a32 real
@attribute a33 real
@attribute a34 real
@attribute class {0, 1}


@data

?,?,-0.05889,0.85243,0.02306,0.83398,?,?,?,0.85243,?,?,?,?,-0.38223,0.84356,-0.38542,?,-0.32192,?,-0.29674,0.36946,?,?,-0.51171,0.41078,-0.46168,0.21266,-0.3409,?,?,0.18641,?,1
1.0,1.0,-0.18829,?,-0.36156,-0.10868,-0.93597,1.0,-0.04549,0.50874,?,0.34432,?,-0.51685,?,0.05499,-0.62237,?,-1.0,?,-0.453,-0.18056,-0.35734,-0.20332,-0.26569,-0.20468,-0.18401,-0.1904,?,?,-0.06288,-0.13738,-0.02447,0
1.0,?,?,?,?,?,-0.12062,0.88965,?,0.73082,0.05346,0.85443,0.00827,0.54591,0.00299,0.83775,-0.13644,?,?,0.70887,-0.27502,?,-0.12062,0.57528,-0.4022,?,-0.22145,0.431,-0.17365,?,-0.2418,?,?,1
1.0,1.0,-0.45161,?,?,0.71216,-1.0,?,0.0,0.0,?,0.0,0.0,-1.0,?,?,?,-1.0,?,-0.69975,?,0.0,0.0,1.0,?,0.51613,1.0,?,?,?,?,-0.32382,1.0,0
?,1.0,-0.02401,0.9414,?,?,-0.23255,0.77152,?,?,-0.20275,0.56409,-0.00712,?,-0.27457,?,?,0.45107,-0.17813,0.05982,-0.35575,0.02309,-0.52879,0.03286,?,0.1329,-0.53206,0.02431,?,-0.05707,?,?,-0.65697,?
?,?,-0.00592,?,-0.11949,?,?,0.14706,0.06637,0.03786,?,0.0,0.0,-0.04572,?,-0.00343,?,?,-0.05414,0.01838,?,?,0.00888,?,-0.01535,?,0.09223,?,?,?,0.0,?,0.12011,?
1.0,?,?,?,?,0.92806,?,0.85996,?,0.79766,?,?,?,0.74628,-0.61436,0.57945,?,?,?,0.36324,-0.76562,?,-0.79753,0.22792,?,0.13659,?,?,?,?,?,?,-0.80975,1
0.0,?,0.0,0.0,?,?,?,0.0,0.0,?,?,0.0,0.0,?,?,1.0,1.0,?,-1.0,?,0.0,0.0,?,?,1.0,?,?,0.0,?,1.0,?,0.0,0.0,?
1.0,0.96355,-0.07198,?,-0.14333,1.0,-0.21313,?,?,?,?,0.9451,-0.40668,?,?,0.98305,-0.35257,0.84537,-0.6602,?,-0.60589,?,-0.64225,?,-0.6544,0.57577,?,?,-0.63919,0.45114,?,0.38895,?,?
1.0,-0.01864,?,?,0.0,?,?,0.1147,-0.2681,?,?,0.0,?,?,?,-0.37133,?,?,0.22115,0.0,0.0,0.0,0.0,-0.14803,?,?,-0.02294,?,0.0,0.16595,0.24086,-0.08208,0.38065,?
1.0,1.0,?,1.0,?,1.0,-0.2732,1.0,-0.43107,1.0,-0.41349,0.96232,?,?,-0.59017,0.8923,-0.66474,?,?,?,?,0.63081,-0.80544,0.55867,-0.89128,0.47211,?,0.40303,-0.83675,0.30996,?,?,-0.89158,1
1.0,?,?,?,?,1.0,-1.0,?,0.36217,?,?,1.0,?,1.0,?,?,?,1.0,?,1.0,?,?,?,?,?,?,?,?,?,1.0,?,?,-1.0,?
1.0,1.0,?,?,?,?,-0.15197,1.0,?,0.94055,-0.35151,0.95735,?,?,?,0.94486,-0.28106,0.90137,?,0.86043,-0.47308,0.82987,-0.5122,?,?,0.76224,-0.5837,0.65723,-0.68794,?,-0.64537,?,-0.67226,?
1.0,?,?,?,0.2228,0.85492,?,1.0,-0.1209,1.0,0.35147,?,0.07772,1.0,-0.14767,1.0,-1.0,1.0,-1.0,?,?,1.0,?,1.0,-0.17012,1.0,0.35924,?,?,1.0,?,?,-0.18826,0
1.0,1.0,?,1.0,?,1.0,-0.05563,1.0,0.08764,1.0,0.19651,1.0,0.20328,?,?,1.0,0.10561,1.0,?,1.0,0.44758,1.0,?,1.0,0.20033,1.0,0.36743,?,?,1.0,0.32492,1.0,0.46712,1
1.0,?,?,1.0,0.26708,?,?,1.0,?,?,?,0.0,0.0,?,-0.34265,?,0.03623,1.0,-1.0,?,?,0.0,?,?,?,0.39752,0.26501,0.0,?,?,?,?,0.0,0
1.0,0.99645,?,1.0,-0.01236,0.97811,0.02498,?,0.02312,0.99274,?,0.89323,0.10346,?,?,0.88809,0.1112,?,?,0.81633,?,0.83668,0.14442,?,0.13412,?,0.13638,?,?,?,?,?,0.12015,?
0.0,0.0,0.0,?,?,1.0,1.0,-1.0,?,-1.0,1.0,1.0,?,?,1.0,?,-1.0,?,1.0,1.0,-1.0,?,?,-1.0,?,1.0,-1.0,?,1.0,?,-1.0,?,?,?
?,?,0.02528,0.66626,?,?,0.18761,?,?,?,0.12131,0.62099,0.14285,?,0.10976,0.58373,0.18151,?,?,0.53888,0.21326,?,?,0.48838,0.23724,0.46167,?,0.43433,?,0.40663,0.25792,1.0,?,1
0.0,1.0,-1.0,?,?,?,?,1.0,1.0,1.0,-1.0,?,?,0.0,?,-1.0,?,?,?,-1.0,1.0,?,0.5625,-1.0,?,1.0,?,1.0,?,1.0,1.0,?,1.0,?
?,?,?,1.0,?,1.0,-0.07649,1.0,?,?,-0.11073,1.0,?,1.0,?,0.92124,-0.31884,?,-0.34534,?,?,0.9606,-0.46866,0.81874,?,0.82681,-0.42231,0.75784,-0.38231,0.80448,?,0.74354,?,1
0.0,?,1.0,?,?,0.0,0.0,?,-1.0,?,?,0.0,?,?,?,-1.0,?,-1.0,1.0,-1.0,?,?,0.0,?,?,1.0,-1.0,-1.0,1.0,?,1.0,-1.0,?,0
1.0,?,?,?,?,1.0,?,0.90169,?,0.89263,?,0.8325,?,0.87534,0.09831,0.76544,?,0.75206,-0.05295,?,?,?,-0.05929,0.55677,-0.07705,0.58051,-0.02205,0.49664,?,0.5131,-1.5E-4,?,-0.00182,?
0.0,-1.0,?,?,0.0,0.0,?,-1.0,1.0,?,?,0.0,0.0,0.0,?,1.0,-1.0,?,1.0,?,?,0.0,?,?,?,?,-1.0,?,?,-1.0,1.0,0.0,0.0,0
?,?,?,1.0,0.02942,1.0,-0.05131,?,?,1.0,?,0.84493,-0.05202,?,?,0.6917,?,0.65731,?,0.9491,-0.31558,0.80852,?,0.84932,?,?,-0.29174,?,?,?,-0.26284,0.64207,?,1
?,1.0,0.5782,1.0,?,1.0,?,1.0,-1.0,1.0,-1.0,1.0,?,?,?,?,-1.0,?,?,1.0,?,1.0,?,1.0,-1.0,?,-1.0,1.0,-1.0,1.0,?,?,-1.0,0
?,?,?,1.0,?,?,-0.81779,0.94817,0.61053,?,-0.41382,0.88486,?,?,-0.23433,?,?,?,-1.0,0.90284,?,?,?,0.55389,?,?,?,0.4065,-0.89674,0.32984,-0.92128,?,?,?
0.0,?,?,0.0,?,-1.0,1.0,?,-0.375,0.0,?,0.0,?,0.0,0.0,1.0,-1.0,-1.0,-1.0,?,?,0.0,?,1.0,-1.0,?,?,-1.0,-1.0,?,0.0,?,?,0
?,1.0,?,1.0,0.17387,1.0,-0.13308,0.98172,?,?,?,1.0,?,1.0,0.70758,1.0,0.82777,?,0.95099,1.0,?,?,1.0,0.91624,1.0,?,?,?,?,?,1.0,?,?,1
0.0,-1.0,-1.0,1.0,?,1.0,-1.0,?,?,?,?,-1.0,-1.0,?,0.0,1.0,1.0,-1.0,?,?,?,1.0,?,?,1.0,?,?,1.0,-1.0,?,1.0,1.0,?,?
1.0,?,?,1.0,-0.16256,?,-0.23656,1.0,-0.07514,?,-0.2501,1.0,?,1.0,?,1.0,-0.38606,1.0,?,?,-0.35519,?,?,?,?,0.9882,-0.49687,1.0,-0.7582,?,?,?,-0.84437,?
1.0,?,-1.0,1.0,1.0,1.0,-1.0,?,?,?,-1.0,1.0,-0.0184,1.0,?,1.0,1.0,1.0,?,1.0,1.0,1.0,-1.0,0.0,?,1.0,1.0,1.0,-0.79141,1.0,1.0,?,?,0
1.0,?,-0.14639,0.93408,-0.11057,?,?,0.88307,-0.17036,?,?,?,?,?,?,0.80681,-0.33632,0.75243,-0.47022,0.70555,-0.47153,0.6615,?,?,-0.48086,?,-0.54629,0.50179,-0.59854,0.47075,-0.57377,0.42189,-0.58086,1
?,?,?,?,-0.23067,0.98019,?,0.99709,-0.10236,1.0,?,0.58965,1.0,?,-1.0,?,-0.17863,0.8076,?,-0.25914,?,?,0.05456,?,?,?,-0.41307,?,?,0.86136,-0.87354,?,-1.0,?
?,1.0,-0.15899,?,?,?,?,1.0,?,?,-0.49863,0.79962,?,?,?,?,?,?,?,0.96354,?,?,-0.91338,1.0,0.14803,?,?,1.0,?,?,0.53372,1.0,-0.57758,?
?,0.66161,?,1.0,?,?,-0.67321,0.80893,?,?,?,1.0,-0.89375,?,?,?,0.70982,?,0.78036,1.0,?,?,?,?,?,?,?,?,?,1.0,0.65268,?,?,0
?,?,?,?,?,?,?,1.0,?,?,-0.06256,1.0,?,?,?,?,-0.13665,?,?,?,?,0.94815,?,?,-0.20851,?,?,?,-0.18552,0.83777,-0.20101,0.83867,?,?
0.0,1.0,?,1.0,?,?,0.0,0.0,0.0,-1.0,-1.0,?,?,0.0,?,-1.0,1.0,?,1.0,?,1.0,-1.0,1.0,?,-1.0,?,?,-1.0,1.0,1.0,?,0.0,?,0
?,?,0.04347,?,0.0228,?,?,?,0.01321,?,?,?,?,0.92048,?,?,?,?,?,?,?,?,0.14222,?,?,?,?,?,0.153,0.70925,?,0.65258,?,?
1.0,?,?,?,0.04861,?,?,0.61745,?,0.91036,?,?,0.5364,0.82077,?,?,?,?,?,0.6585,?,0.60138,?,?,?,?,0.16019,?,0.15436,0.38352,0.14677,1.0,1.0,?
1.0,?,?,?,0.20746,?,?,?,?,?,?,?,?,?,?,?,?,?,0.62999,0.47807,?,0.40553,?,?,?,0.27712,?,0.19296,?,?,0.72688,0.0699,?,?
?,-1.0,?,1.0,?,1.0,-0.14375,?,?,?,1.0,1.0,1.0,?,-1.0,?,?,0.0875,?,?,-1.0,-1.0,1.0,-1.0,-1.0,?,-1.0,?,?,?,?,?,0.0,0
?,0.90932,?,0.86528,?,?,0.16598,0.55187,?,?,?,?,0.42739,?,?,0.51067,?,?,0.12967,0.37824,?,0.31274,?,?,?,0.18626,0.56605,?,?,?,?,?,0.67739,1
?,?,?,1.0,0.82857,?,?,1.0,?,?,?,?,-0.37679,?,?,?,0.13839,1.0,-1.0,?,?,-0.84286,1.0,0.5375,?,?,1.0,1.0,-1.0,?,-1.0,1.0,?,?
1.0,0.99025,-0.05785,?,?,0.98663,?,?,?,0.92738,?,0.92651,?,0.89812,?,?,?,?,-0.57075,?,-0.59839,?,-0.64615,?,?,?,-0.73174,?,?,?,-0.80278,0.49195,-0.83245,?
0.0,?,?,?,?,?,0.0,?,?,?,1.0,0.0,?,0.0,0.0,?,-1.0,?,?,?,0.0,?,0.0,?,?,-1.0,?,?,1.0,?,?,?,?,0
?,1.0,?,?,-0.07383,?,-0.11039,0.99838,-0.09931,?,-0.13814,?,-0.21695,0.95288,?,?,?,?,?,?,?,?,?,?,-0.4299,0.83172,?,0.81433,?,?,?,0.75115,?,?
1.0,?,?,-1.0,?,?,?,0.69258,-0.63427,1.0,-0.03353,?,?,-0.54852,0.15452,0.91921,?,?,-0.50424,?,-0.31454,?,?,0.83872,?,?,-0.5813,1.0,?,-0.09634,?,?,0.41913,?
1.0,0.98166,0.00874,0.98103,?,?,?,0.95947,?,0.99004,-0.04507,?,?,?,?,0.94217,-0.11583,0.79682,-0.192,?,?,?,-0.18739,0.88487,-0.19689,0.81813,?,?,-0.23864,?,-0.23095,?,?,1
