@relation dataset

@attribute a01 real
@attribute a03 real
@attribute a04 real
@attribute a05 real
@attribute a06 real
@attribute a07 real
@attribute a08 real
@attribute a09 real
@attribute a10 real
@attribute a11 real
@attribute a12 real
@attribute a13 real
@attribute a14 real
@attribute a15 real
@attribute a16 real
@attribute a17 real
@attribute a18 real
@attribute a19 real
@attribute a20 real
@attribute a21 real
@attribute a22 real
@attribute a23 real
@attribute a24 real
@attribute a25 real
@attribute a26 real
@attribute a27 real
@attribute a28 real
@attribute a29 real
@attribute a30 real
@attribute a31 real
@attribute a32 real
@attribute a33 real
@attribute a34 real
@attribute class {0, 1}


@data

1.0,0.99539,?,?,?,?,-0.37708,?,0.0376,0.85243,-0.17755,?,?,?,-0.38223,0.84356,?,0.58212,-0.32192,?,-0.29674,0.36946,?,?,-0.51171,?,?,0.21266,?,0.42267,?,0.18641,?,1
?,?,-0.18829,?,?,-0.10868,-0.93597,?,-0.04549,0.50874,-0.67743,?,-0.69707,-0.51685,-0.97515,?,-0.62237,?,-1.0,-0.13151,-0.453,-0.18056,?,?,?,-0.20468,-0.18401,-0.1904,-0.11593,-0.16626,?,-0.13738,?,?
1.0,1.0,-0.03365,?,?,?,?,?,0.01198,0.73082,0.05346,?,?,0.54591,0.00299,?,?,?,-0.0854,?,-0.27502,?,-0.12062,0.57528,?,0.58984,-0.22145,0.431,-0.17365,0.60436,-0.2418,0.56045,?,1
1.0,1.0,-0.45161,1.0,1.0,0.71216,?,?,0.0,?,?,?,?,?,0.14516,?,?,-1.0,-0.54467,?,?,?,0.0,1.0,0.90695,0.51613,1.0,1.0,-0.20099,0.25682,1.0,-0.32382,?,0
1.0,1.0,-0.02401,?,?,0.92106,-0.23255,?,-0.16399,?,-0.20275,?,?,0.34395,?,0.5294,-0.2178,0.45107,?,?,?,0.02309,?,0.03286,?,?,-0.53206,0.02431,-0.62197,?,-0.59573,?,?,1
1.0,?,-0.00592,?,?,-0.00763,-0.11824,0.14706,?,?,-0.06302,0.0,?,-0.04572,-0.1554,-0.00343,?,?,?,?,0.03669,0.01519,0.00888,0.03513,-0.01535,?,0.09223,-0.07859,?,?,?,-3.9E-4,?,0
1.0,?,-0.10602,0.94601,?,?,?,?,-0.27342,0.79766,-0.47929,?,?,?,-0.61436,0.57945,-0.68086,?,-0.73641,0.36324,?,0.31898,-0.79753,0.22792,?,0.13659,?,?,-0.82395,?,-0.81318,-0.13832,-0.80975,1
0.0,0.0,0.0,0.0,0.0,?,-1.0,0.0,?,-1.0,?,0.0,?,?,0.0,1.0,?,-1.0,?,?,?,0.0,0.0,1.0,?,1.0,1.0,0.0,0.0,?,1.0,0.0,?,0
?,0.96355,?,?,?,1.0,?,1.0,-0.36174,0.9257,?,?,?,0.90392,-0.46381,?,?,?,-0.6602,?,?,0.69637,?,?,-0.6544,0.57577,-0.69712,0.25435,-0.63919,?,-0.72779,?,-0.7342,1
1.0,?,?,0.0,0.0,0.0,?,?,?,-0.45663,-0.38172,?,?,?,?,?,0.15018,0.63728,0.22115,?,0.0,0.0,0.0,?,?,0.20645,?,?,0.0,?,?,-0.08208,0.38065,?
1.0,?,?,1.0,?,?,?,1.0,-0.43107,1.0,-0.41349,0.96232,-0.51874,0.90711,-0.59017,0.8923,-0.66474,?,-0.70997,?,-0.7632,0.63081,-0.80544,0.55867,-0.89128,0.47211,-0.865,0.40303,?,?,?,?,-0.89158,1
1.0,1.0,-0.5421,1.0,-1.0,1.0,-1.0,?,0.36217,1.0,?,?,1.0,1.0,?,?,?,1.0,-0.93599,1.0,1.0,1.0,?,1.0,?,?,?,?,?,?,-1.0,?,-1.0,0
1.0,1.0,-0.16316,1.0,-0.10169,0.99999,-0.15197,1.0,-0.19277,0.94055,-0.35151,?,?,0.93719,?,0.94486,-0.28106,0.90137,?,?,?,0.82987,-0.5122,?,?,0.76224,?,0.65723,?,?,-0.64537,?,?,1
1.0,1.0,?,1.0,?,?,-0.39896,1.0,?,1.0,?,?,?,?,-0.14767,1.0,-1.0,?,-1.0,0.61831,0.15803,1.0,0.62349,?,-0.17012,?,0.35924,1.0,-0.66494,?,?,1.0,-0.18826,0
?,?,?,?,0.0342,?,?,?,?,1.0,0.19651,1.0,0.20328,?,?,1.0,?,1.0,0.27087,1.0,0.44758,1.0,0.4175,?,0.20033,?,0.36743,?,0.48641,1.0,0.32492,1.0,0.46712,?
?,0.50932,-0.93996,1.0,?,?,?,?,-1.0,0.43685,?,0.0,0.0,-1.0,?,-0.37681,?,1.0,-1.0,0.0,?,0.0,?,?,?,0.39752,?,?,0.0,1.0,0.23188,?,0.0,0
1.0,0.99645,0.06468,1.0,?,0.97811,0.02498,0.96112,0.02312,?,?,0.89323,?,?,0.05269,0.88809,?,0.86104,0.08631,0.81633,0.1183,0.83668,0.14442,?,?,0.79476,0.13638,0.7911,0.15379,0.77122,?,0.70941,0.12015,?
?,0.0,0.0,?,?,1.0,1.0,?,1.0,?,1.0,1.0,?,1.0,?,?,-1.0,-1.0,?,1.0,?,?,?,?,1.0,?,?,?,1.0,?,?,?,?,?
?,?,0.02528,?,0.05031,0.57197,?,0.08776,?,?,?,?,0.14285,?,0.10976,?,?,0.14395,0.41224,0.53888,0.21326,0.5142,0.22625,?,?,0.46167,0.24618,0.43433,?,0.40663,?,1.0,0.33036,?
0.0,?,-1.0,0.0,0.0,0.0,?,1.0,1.0,1.0,-1.0,-0.71875,1.0,?,?,-1.0,1.0,?,?,-1.0,1.0,1.0,0.5625,-1.0,?,1.0,?,1.0,?,1.0,?,?,1.0,0
?,?,-0.00612,1.0,-0.09834,?,-0.07649,1.0,-0.10605,1.0,?,?,-0.39489,?,?,0.92124,?,0.86473,?,?,?,?,-0.46866,?,?,0.82681,-0.42231,?,?,0.80448,-0.40575,?,-0.45039,1
?,?,1.0,0.0,0.0,0.0,0.0,?,-1.0,0.0,?,?,?,?,?,?,-1.0,-1.0,1.0,?,1.0,?,0.0,0.0,0.0,1.0,-1.0,-1.0,?,-1.0,?,-1.0,1.0,?
1.0,0.96071,?,?,0.04296,1.0,?,0.90169,-0.05144,?,?,0.8325,?,0.87534,?,0.76544,?,0.75206,?,?,?,?,-0.05929,?,?,0.58051,-0.02205,0.49664,-0.01251,0.5131,?,0.52099,-0.00182,?
0.0,-1.0,?,?,?,?,?,?,1.0,1.0,1.0,?,0.0,0.0,0.0,1.0,-1.0,-1.0,1.0,?,1.0,?,0.0,?,?,?,-1.0,1.0,1.0,?,?,0.0,?,?
?,1.0,-0.06182,?,0.02942,?,-0.05131,1.0,-0.01707,1.0,?,0.84493,-0.05202,?,?,0.6917,-0.07379,?,-0.20367,0.9491,-0.31558,0.80852,-0.31654,0.84932,?,?,?,0.73094,?,0.54356,-0.26284,?,-0.39487,1
1.0,1.0,?,?,-1.0,1.0,?,1.0,?,?,?,1.0,?,1.0,-1.0,?,?,1.0,-1.0,?,-0.62796,1.0,?,1.0,-1.0,?,-1.0,?,-1.0,?,-1.0,1.0,-1.0,?
1.0,?,?,?,?,?,-0.81779,?,0.61053,0.95473,?,0.88486,-0.31736,0.87937,?,0.81051,?,0.12245,?,0.90284,?,?,?,0.55389,-0.82868,?,?,0.4065,-0.89674,?,-0.92128,-0.13341,?,1
?,?,?,?,?,?,1.0,?,?,0.0,?,0.0,?,?,0.0,1.0,?,-1.0,?,1.0,-1.0,?,?,?,?,-1.0,1.0,-1.0,?,0.0,?,?,?,0
1.0,?,0.0838,?,?,1.0,?,0.98172,0.6452,?,0.47904,1.0,0.59113,?,?,1.0,?,?,0.95099,1.0,1.0,0.98042,?,?,1.0,?,?,0.74822,?,?,?,?,1.0,?
?,?,?,?,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,?,?,-1.0,-1.0,?,?,?,?,1.0,?,1.0,-1.0,?,-1.0,?,?,?,-1.0,0
