@relation dataset

@attribute cap.shape {b, c, f, k, s, x}
@attribute cap.surface {f, g, s, y}
@attribute cap.color {b, c, e, g, n, p, w, y}
@attribute bruises.3f {f, t}
@attribute odor {a, c, f, l, m, n, p}
@attribute gill.attachment {a, f}
@attribute gill.spacing {c, w}
@attribute gill.size {b, n}
@attribute gill.color {g, h, k, n, p, r, u, w, y}
@attribute stalk.shape {e, t}
@attribute stalk.root {b, c, e, r}
@attribute stalk.surface.above.ring {f, k, s, y}
@attribute stalk.surface.below.ring {f, k, s, y}
@attribute stalk.color.above.ring {b, c, g, n, p, w, y}
@attribute stalk.color.below.ring {b, c, g, n, p, w, y}
@attribute veil.color {w, y}
@attribute ring.number {n, o, t}
@attribute ring.type {e, l, n, p}
@attribute spore.print.color {h, k, n, r, u, w}
@attribute population {a, c, n, s, v, y}
@attribute habitat {d, g, l, m, p, u}
@attribute class {e, p}


@data

x,?,?,t,?,?,?,n,?,e,e,?,s,w,?,w,o,p,?,s,u,?
x,s,y,?,a,f,c,?,k,?,c,s,s,w,w,?,o,p,?,?,?,?
b,?,?,t,l,?,?,?,n,e,?,?,s,w,w,w,?,p,?,n,m,e
?,y,?,t,?,?,c,n,n,e,?,s,s,w,w,w,o,?,k,s,u,?
x,?,g,f,?,f,w,b,?,?,?,s,s,?,w,?,?,e,n,?,g,e
x,?,y,t,?,f,?,b,n,e,c,?,?,?,w,w,o,p,?,?,g,?
b,?,w,?,?,f,?,b,g,e,c,s,?,?,?,?,o,p,k,n,m,?
?,y,w,t,?,?,c,?,n,?,?,s,s,?,w,?,o,p,n,s,m,e
x,?,w,t,p,?,?,?,p,e,e,?,?,?,w,w,o,p,?,?,?,?
?,s,y,?,a,?,c,b,g,e,?,?,?,?,w,w,?,p,k,?,m,e
?,?,y,t,l,?,?,b,?,e,?,s,s,w,w,w,?,p,?,n,?,?
x,?,y,?,?,f,c,b,n,e,c,?,?,?,w,w,o,p,?,s,m,e
?,?,y,?,?,f,c,?,w,e,?,s,s,w,w,w,o,?,?,s,g,e
?,y,w,?,p,f,c,n,k,e,?,s,s,w,?,?,o,?,?,?,u,p
x,f,?,?,?,?,w,?,?,t,?,?,?,w,?,?,?,?,k,a,g,e
?,f,?,?,n,f,c,n,?,?,?,?,?,w,w,?,o,p,?,?,?,e
?,f,w,?,n,f,?,b,?,t,e,?,?,?,w,?,?,e,n,a,?,e
?,s,n,t,p,f,?,?,n,?,?,?,s,w,w,?,o,?,k,?,?,p
x,y,w,t,?,f,?,n,n,e,e,s,s,w,?,w,o,?,?,s,?,?
?,s,?,t,p,f,?,?,k,e,?,?,?,w,w,w,?,p,?,?,u,?
b,s,?,t,a,f,?,?,k,?,c,?,?,?,?,w,o,p,n,s,?,?
x,y,?,t,?,f,c,?,n,e,e,s,?,w,?,?,?,p,n,v,g,p
?,?,?,t,?,?,?,?,k,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,w,?,?,?,?,b,w,?,c,s,?,?,w,?,o,p,?,?,?,?
?,?,?,?,?,?,?,b,?,e,c,s,?,?,?,?,?,?,?,?,?,?
f,s,w,t,?,?,c,?,?,e,e,?,?,?,?,w,?,?,n,?,?,?
x,?,?,?,?,f,?,?,?,e,?,?,?,?,w,?,?,?,?,?,?,?
x,?,w,?,l,?,?,?,?,?,?,s,?,w,?,w,?,p,n,?,?,?
f,f,n,?,?,f,?,n,?,e,?,?,s,w,?,?,?,p,?,y,u,?
?,?,?,?,?,?,w,?,?,?,?,?,?,w,?,?,?,?,?,?,d,?
?,s,?,t,l,f,?,?,?,?,?,?,s,w,w,?,?,p,n,?,?,?
?,y,w,?,?,?,c,n,k,?,?,?,?,w,?,?,o,p,?,?,?,p
x,y,?,t,l,?,c,?,?,?,?,?,s,?,w,?,?,?,?,?,m,e
?,?,?,t,?,?,?,b,?,e,r,?,?,?,?,?,?,?,?,y,?,?
b,y,y,?,?,?,c,b,?,e,?,?,?,w,w,w,o,?,n,s,m,?
x,f,?,?,l,f,w,n,?,t,b,s,?,?,?,w,o,?,n,?,?,e
?,f,?,?,?,?,?,n,?,?,?,s,s,?,?,?,?,?,?,?,u,e
?,?,n,t,?,?,c,n,?,e,?,s,?,w,?,?,o,?,?,?,?,?
?,?,?,t,a,f,w,?,?,?,b,?,?,?,w,?,?,?,?,?,?,?
?,s,y,?,?,f,?,b,?,?,c,?,?,?,?,w,?,?,?,?,?,?
b,?,y,t,?,?,?,?,?,?,c,s,s,w,?,?,o,p,n,?,?,?
x,y,?,?,l,?,?,b,?,?,r,s,y,w,?,?,o,p,k,?,p,?
?,?,n,?,?,?,c,?,?,?,?,?,s,?,w,w,?,p,k,?,u,e
?,?,?,?,p,?,c,?,p,e,?,s,?,?,w,w,?,?,n,v,?,p
x,s,y,t,a,?,?,?,w,?,?,s,s,w,w,?,o,?,?,?,m,?
?,y,?,?,?,f,c,b,?,?,c,s,s,?,w,w,?,p,n,n,?,e
?,?,?,?,?,f,?,b,k,?,?,?,?,w,?,?,?,p,k,?,?,e
x,s,w,?,?,?,c,b,?,?,?,?,?,?,w,?,o,p,?,?,?,e
x,?,?,?,?,?,?,?,n,e,?,?,?,w,?,?,o,?,?,?,p,?
?,y,?,t,?,?,c,?,?,?,r,?,?,w,w,?,o,?,k,s,?,e
x,y,?,?,?,f,c,?,?,e,r,s,y,?,?,?,?,p,?,?,g,?
?,?,?,t,?,?,c,?,?,e,?,s,?,w,w,?,?,?,?,s,?,e
b,s,?,?,?,?,c,b,?,?,?,s,?,w,w,?,?,p,?,n,m,e
