@relation dataset

@attribute cap.shape {b, c, f, k, s, x}
@attribute cap.surface {f, g, s, y}
@attribute cap.color {b, c, e, g, n, p, w, y}
@attribute bruises.3f {f, t}
@attribute odor {a, c, f, l, m, n, p}
@attribute gill.attachment {a, f}
@attribute gill.spacing {c, w}
@attribute gill.size {b, n}
@attribute gill.color {g, h, k, n, p, r, u, w, y}
@attribute stalk.shape {e, t}
@attribute stalk.root {b, c, e, r}
@attribute stalk.surface.above.ring {f, k, s, y}
@attribute stalk.surface.below.ring {f, k, s, y}
@attribute stalk.color.above.ring {b, c, g, n, p, w, y}
@attribute stalk.color.below.ring {b, c, g, n, p, w, y}
@attribute veil.color {w, y}
@attribute ring.number {n, o, t}
@attribute ring.type {e, l, n, p}
@attribute spore.print.color {h, k, n, r, u, w}
@attribute population {a, c, n, s, v, y}
@attribute habitat {d, g, l, m, p, u}
@attribute class {e, p}


@data

x,?,n,?,p,f,?,n,k,e,e,s,?,w,w,w,?,p,?,?,u,p
x,s,y,t,a,f,c,?,k,e,c,s,s,?,?,?,o,?,?,n,?,e
?,?,w,?,l,f,c,b,n,e,?,?,s,?,w,w,o,p,n,?,?,?
x,y,w,?,p,f,c,?,n,?,e,s,s,?,w,?,o,?,?,s,u,?
?,?,?,f,n,f,?,b,?,?,?,?,?,w,?,?,o,?,?,?,g,e
?,?,?,?,a,f,c,?,n,e,?,?,s,w,w,?,o,?,k,n,?,?
b,s,?,t,a,?,?,?,g,?,c,s,?,?,w,?,o,p,?,n,?,?
?,y,?,t,l,f,c,?,n,?,c,s,?,?,w,?,o,p,?,?,m,e
?,?,?,t,p,?,?,?,p,e,?,?,s,w,?,?,?,p,k,?,g,p
?,?,y,t,a,?,c,b,?,?,c,s,s,w,w,?,o,p,k,s,?,?
?,y,y,t,l,f,c,?,g,?,?,?,?,w,?,w,?,?,n,n,g,?
?,?,y,t,a,f,?,?,n,?,c,s,s,w,?,?,o,?,k,s,?,?
b,?,?,t,a,?,c,b,?,e,c,?,s,?,?,?,o,p,?,s,?,e
x,y,w,t,p,?,c,n,?,?,?,?,s,?,?,?,?,p,n,?,?,?
?,f,?,?,n,f,?,b,n,t,e,s,f,w,?,?,?,e,?,?,?,e
?,f,?,f,n,f,c,n,k,e,?,s,s,w,w,w,?,p,n,?,?,?
f,f,?,f,?,?,w,?,k,?,e,?,s,w,w,w,?,e,?,a,g,?
x,s,?,t,p,f,?,?,n,?,e,s,?,?,w,?,o,p,k,s,?,?
x,y,?,t,p,?,c,n,?,e,?,?,s,w,w,?,o,p,?,s,u,p
x,?,n,?,p,?,?,n,k,?,e,?,?,w,w,w,?,?,n,?,u,?
?,s,y,?,?,f,c,?,?,e,c,s,s,w,w,w,?,p,?,s,?,e
x,?,n,t,p,f,c,?,?,e,e,s,?,w,?,w,o,p,?,v,?,?
?,?,?,?,?,?,?,?,?,e,?,?,?,?,?,?,?,?,n,?,?,e
b,?,w,?,a,?,?,?,?,?,c,s,s,?,w,?,o,?,n,?,m,?
?,s,?,?,?,?,?,?,?,e,c,?,s,w,w,?,?,?,k,?,?,e
?,?,w,t,?,?,?,?,?,?,?,?,s,w,w,?,o,?,?,?,?,?
?,y,?,t,?,?,c,b,?,?,c,?,?,?,?,?,o,?,?,?,?,e
?,y,?,t,?,f,?,?,?,e,?,s,s,?,?,?,?,p,n,n,?,e
?,?,n,?,n,?,c,?,?,?,e,?,?,w,w,?,o,p,?,y,u,e
?,s,?,?,?,f,?,?,n,?,?,?,?,w,?,w,?,?,?,?,d,e
b,?,y,t,?,f,c,b,?,?,c,?,s,?,?,w,?,p,n,n,?,?
?,?,?,?,?,f,?,?,?,e,?,s,s,?,w,?,o,p,n,s,?,p
?,?,y,?,l,?,?,?,?,e,c,?,s,?,w,?,?,?,n,n,m,?
