@relation dataset

@attribute cap.shape {b, c, f, k, s, x}
@attribute cap.surface {f, g, s, y}
@attribute cap.color {b, c, e, g, n, p, w, y}
@attribute bruises.3f {f, t}
@attribute odor {a, c, f, l, m, n, p}
@attribute gill.attachment {a, f}
@attribute gill.spacing {c, w}
@attribute gill.size {b, n}
@attribute gill.color {g, h, k, n, p, r, u, w, y}
@attribute stalk.shape {e, t}
@attribute stalk.root {b, c, e, r}
@attribute stalk.surface.above.ring {f, k, s, y}
@attribute stalk.surface.below.ring {f, k, s, y}
@attribute stalk.color.above.ring {b, c, g, n, p, w, y}
@attribute stalk.color.below.ring {b, c, g, n, p, w, y}
@attribute veil.color {w, y}
@attribute ring.number {n, o, t}
@attribute ring.type {e, l, n, p}
@attribute spore.print.color {h, k, n, r, u, w}
@attribute population {a, c, n, s, v, y}
@attribute habitat {d, g, l, m, p, u}
@attribute class {e, p}


@data

?,?,n,t,p,f,c,n,?,?,e,?,?,w,?,?,o,p,k,s,u,?
x,?,y,?,?,?,c,b,k,e,c,?,?,?,w,w,?,p,n,?,g,?
?,?,w,t,l,f,c,?,n,e,?,?,?,w,w,?,?,p,n,n,m,?
?,y,?,t,?,f,c,?,?,?,?,?,s,w,w,w,?,?,k,s,?,p
x,s,?,f,?,f,w,?,?,t,e,?,?,w,?,?,?,?,n,a,?,e
?,y,?,?,a,?,?,?,n,e,c,s,?,?,?,w,o,?,?,?,g,e
?,?,w,t,?,f,c,b,g,e,?,?,s,?,w,w,o,p,k,n,m,e
?,y,w,t,l,f,?,?,?,?,c,s,s,w,w,w,o,p,?,s,?,e
x,y,?,t,p,?,?,n,p,?,?,s,s,w,w,?,o,p,k,v,g,p
b,?,y,t,?,f,c,b,g,?,c,?,s,?,w,w,?,?,?,s,m,?
?,y,y,t,?,?,c,b,g,e,c,?,s,w,w,w,o,p,?,n,g,e
x,y,y,t,a,f,c,?,n,e,c,?,?,w,?,?,o,p,k,?,?,e
b,s,y,?,a,f,?,?,?,?,c,s,?,?,w,w,?,?,n,s,g,e
?,y,?,?,?,f,c,?,?,e,?,s,s,?,?,w,?,p,?,v,u,?
x,?,?,?,n,f,?,?,?,?,?,s,?,w,?,w,?,e,k,?,g,?
s,?,g,f,n,?,?,?,k,?,?,s,?,?,?,?,o,p,?,?,?,e
?,f,w,f,n,?,w,?,?,t,?,?,s,w,w,?,?,e,?,a,?,e
?,?,?,t,p,f,c,?,?,e,?,s,s,?,w,w,o,?,k,s,g,p
?,y,?,?,?,f,?,n,?,e,e,?,?,w,?,w,o,p,?,s,?,?
?,s,?,?,?,f,?,?,?,?,?,s,?,?,w,w,o,?,n,s,?,?
b,?,?,t,a,?,?,b,?,e,?,s,?,?,w,w,o,?,n,s,?,?
x,y,n,?,p,?,?,?,n,e,?,?,?,w,w,w,?,?,n,v,g,p
b,y,y,?,?,f,?,b,?,?,?,?,?,?,?,?,?,?,n,?,?,?
b,y,?,?,a,?,c,?,?,e,c,?,s,w,?,w,o,?,?,?,m,?
b,s,w,?,?,?,?,?,g,?,?,?,?,?,?,w,?,p,?,?,?,e
?,?,w,?,?,?,c,?,?,e,e,?,?,w,w,w,o,p,?,v,?,?
x,?,?,?,a,f,c,?,?,?,c,?,s,w,w,w,?,?,n,?,?,e
?,y,w,t,?,?,c,?,?,?,c,?,s,w,?,?,?,p,n,n,?,e
f,?,?,f,?,?,c,?,k,e,?,?,?,?,w,?,?,p,k,?,?,e
?,s,?,?,a,?,w,n,n,?,?,?,s,w,?,?,o,?,?,?,d,e
?,?,?,t,?,f,c,?,g,?,?,?,?,?,?,?,?,?,?,?,m,e
?,?,w,t,p,?,?,n,?,?,?,s,s,?,?,w,?,p,?,s,u,p
?,?,?,t,?,?,c,?,n,e,?,s,s,w,?,w,?,?,?,n,m,?
x,y,?,?,?,f,c,b,p,?,?,s,y,?,w,?,o,?,?,?,p,?
?,?,y,t,l,f,?,?,?,?,?,s,?,?,?,?,o,p,?,?,m,?
?,?,?,?,?,?,w,?,w,t,b,?,s,w,?,w,o,p,?,v,?,?
s,?,g,?,?,f,c,?,k,e,e,?,s,?,?,w,?,?,k,?,?,?
?,?,?,?,p,?,c,n,?,e,?,?,s,w,w,?,o,?,?,?,?,p
x,?,?,?,?,?,?,?,?,?,b,s,?,w,w,?,o,p,n,v,d,?
b,s,y,?,?,?,?,?,?,?,?,?,s,?,?,?,?,p,k,?,m,?
?,?,?,?,a,?,?,?,?,e,?,?,s,?,w,w,o,?,n,?,g,e
x,?,y,?,?,?,?,b,?,?,r,?,?,w,?,w,o,p,?,?,?,?
x,?,n,?,?,?,?,?,?,e,e,?,s,?,?,w,?,?,k,?,?,e
x,y,w,?,?,?,?,n,?,?,?,s,s,?,w,w,?,?,n,v,g,?
?,?,?,?,a,?,?,?,?,e,?,s,?,?,?,w,?,?,?,n,?,e
?,?,?,?,?,?,?,?,n,?,?,?,?,w,w,?,?,?,?,?,?,e
?,?,y,?,?,f,?,b,k,?,?,s,s,?,?,?,?,?,?,s,m,?
x,?,w,?,l,?,?,b,w,e,?,?,?,w,?,?,?,p,?,n,?,?
?,?,y,t,l,?,?,b,n,e,?,?,y,?,w,w,?,p,n,?,p,?
?,y,y,t,l,f,?,?,w,?,r,?,y,?,w,w,o,p,?,s,p,?
?,?,n,t,?,f,?,b,?,?,?,s,?,w,w,?,?,?,k,?,g,?
?,s,w,t,l,?,c,b,?,e,?,?,s,?,w,?,?,?,?,s,?,e
b,?,w,?,?,f,?,?,?,e,?,s,?,?,w,?,?,?,?,n,m,?
x,?,?,?,p,f,c,?,?,e,e,?,?,?,w,w,o,?,?,v,u,?
x,s,?,?,?,?,c,?,?,e,e,s,s,?,?,w,o,?,?,?,?,?
b,?,y,?,?,?,?,b,w,?,?,s,?,w,?,?,o,?,?,?,?,e
f,?,?,f,n,?,?,b,n,?,?,?,?,w,?,?,?,?,n,a,g,e
?,?,?,?,?,f,c,?,?,?,c,s,s,?,?,w,?,?,n,?,?,?
?,s,y,?,?,f,?,b,k,e,?,?,s,w,?,?,o,?,?,?,?,e
?,?,n,t,?,?,c,b,?,?,?,?,?,?,?,w,?,?,?,y,p,e
?,?,g,?,?,?,c,?,k,?,?,?,?,w,?,?,o,?,n,?,?,?
?,?,?,?,?,?,c,b,?,?,?,s,?,?,w,?,?,?,n,?,?,e
b,?,y,t,?,?,?,b,g,?,?,?,?,w,?,?,?,?,?,?,?,?
?,y,y,?,l,f,c,?,?,e,?,s,?,?,w,?,?,?,?,?,?,e
b,y,w,t,l,?,?,?,n,?,c,s,s,?,?,?,?,p,?,?,g,?
?,s,?,f,?,?,?,?,?,?,?,s,s,?,?,?,?,?,k,?,?,?
?,?,w,?,l,?,?,b,?,e,?,s,?,w,w,w,o,?,?,?,g,?
?,?,?,t,?,?,c,?,?,?,r,?,y,?,w,w,o,p,n,?,?,?
x,y,y,t,a,f,?,?,?,e,c,?,?,?,w,w,o,?,k,n,g,e
?,f,?,?,?,f,?,?,?,?,?,s,?,w,?,?,o,?,n,v,u,?
f,?,y,?,l,?,?,n,?,t,?,?,?,?,w,?,?,?,?,?,?,?
b,y,?,t,?,?,?,?,g,?,?,?,?,?,w,w,?,?,?,?,m,?
?,?,?,t,l,?,?,n,w,t,b,s,?,?,w,?,o,?,?,v,?,e
?,?,n,t,a,?,?,?,?,?,?,?,y,w,w,?,?,p,?,?,?,?
?,?,y,?,a,f,c,?,?,e,?,?,s,?,w,w,o,?,k,s,?,?
?,s,?,?,?,f,?,n,?,?,b,?,s,w,w,?,?,?,?,?,?,e
?,?,?,t,l,?,?,?,n,?,b,?,?,?,w,w,?,?,?,?,?,?
?,?,n,?,?,?,?,?,?,?,?,s,y,w,?,w,?,p,?,y,?,e
?,y,?,?,?,?,?,n,?,?,e,?,?,?,?,?,?,?,n,?,u,?
?,?,n,?,a,f,?,?,?,?,r,?,?,w,?,w,?,p,n,?,?,?
x,?,?,?,?,f,?,b,?,?,e,?,s,?,?,?,?,e,n,?,g,?
x,?,w,t,?,?,?,?,?,?,e,s,s,?,?,w,?,p,?,s,?,?
?,?,?,?,?,?,?,?,?,e,?,s,s,?,w,?,?,p,?,?,?,?
x,f,g,f,n,?,?,b,n,t,?,s,?,?,w,?,o,e,n,?,?,?
x,y,y,?,l,?,c,b,w,?,r,s,?,?,?,?,?,?,?,s,?,e
?,s,?,f,?,?,w,b,?,t,e,s,?,w,?,w,?,?,?,?,?,?
b,s,?,t,a,f,?,?,w,?,?,s,s,w,w,?,?,?,k,?,g,e
x,s,?,?,?,?,?,b,?,e,c,?,?,w,?,?,?,?,n,?,?,?
f,y,?,t,?,?,?,b,?,e,r,?,y,?,?,w,?,?,?,?,g,e
?,?,n,?,n,f,?,?,?,e,?,?,s,w,?,?,o,?,?,?,?,?
x,?,n,f,?,?,?,?,n,?,?,?,s,w,w,w,?,?,?,?,?,e
b,s,?,t,l,?,c,b,?,?,c,?,?,?,w,?,o,?,?,s,g,e
x,?,?,?,?,f,?,b,?,?,?,s,s,?,w,?,?,?,?,?,?,e
?,?,y,t,?,?,c,b,?,e,c,?,s,?,?,?,?,?,?,n,?,?
x,s,n,f,?,f,w,?,?,?,?,?,?,?,w,?,o,e,n,?,g,?
x,?,?,t,?,?,c,?,?,?,?,s,?,w,w,?,?,?,n,?,?,?
f,?,?,t,?,f,?,?,p,e,?,?,y,w,?,?,?,p,?,s,g,e
?,?,y,?,?,?,c,?,n,e,?,?,s,?,w,w,?,?,k,?,?,e
b,?,?,?,?,?,c,b,g,?,?,s,?,?,?,?,?,p,?,s,g,e
