@relation dataset

@attribute cap.shape {b, c, f, k, s, x}
@attribute cap.surface {f, g, s, y}
@attribute cap.color {b, c, e, g, n, p, w, y}
@attribute bruises.3f {f, t}
@attribute odor {a, c, f, l, m, n, p}
@attribute gill.attachment {a, f}
@attribute gill.spacing {c, w}
@attribute gill.size {b, n}
@attribute gill.color {g, h, k, n, p, r, u, w, y}
@attribute stalk.shape {e, t}
@attribute stalk.root {b, c, e, r}
@attribute stalk.surface.above.ring {f, k, s, y}
@attribute stalk.surface.below.ring {f, k, s, y}
@attribute stalk.color.above.ring {b, c, g, n, p, w, y}
@attribute stalk.color.below.ring {b, c, g, n, p, w, y}
@attribute veil.color {w, y}
@attribute ring.number {n, o, t}
@attribute ring.type {e, l, n, p}
@attribute spore.print.color {h, k, n, r, u, w}
@attribute population {a, c, n, s, v, y}
@attribute habitat {d, g, l, m, p, u}
@attribute class {e, p}


@data

x,?,n,?,?,?,c,?,?,e,e,s,s,w,?,w,?,p,k,s,u,p
x,?,?,t,a,f,c,b,k,?,?,?,?,w,?,w,?,p,n,?,?,e
?,s,w,t,l,f,?,b,n,e,?,s,s,w,w,w,?,p,n,?,m,?
x,y,?,?,?,?,c,n,n,?,e,s,s,?,?,w,o,p,?,?,u,p
x,s,?,f,n,f,w,b,k,?,?,s,?,w,?,w,o,e,n,?,g,e
x,?,?,t,?,f,?,b,?,e,?,s,s,w,w,?,?,p,?,n,?,?
?,?,w,t,?,f,c,b,g,?,c,s,?,w,?,w,?,p,k,?,?,?
b,y,w,?,?,?,?,?,n,e,c,s,?,w,w,?,o,p,n,s,?,e
x,?,?,?,p,f,?,?,?,e,e,s,?,w,w,w,o,?,?,v,?,?
?,s,?,t,a,?,c,b,g,?,?,s,s,w,w,w,?,?,?,?,?,e
x,y,y,?,l,f,?,?,?,e,?,s,s,w,w,w,o,p,?,n,?,e
?,y,?,?,?,f,?,b,n,?,?,?,s,?,w,?,?,p,k,?,?,e
b,s,?,t,a,?,c,b,w,?,?,?,s,?,?,?,o,?,n,?,g,e
?,?,?,t,p,f,?,n,?,?,?,s,s,w,?,?,?,p,n,v,u,p
x,f,n,f,n,f,w,b,?,?,?,?,f,w,w,w,o,?,k,a,g,e
?,f,?,f,n,f,?,n,?,e,?,s,s,w,?,?,?,?,?,y,u,e
f,f,w,?,?,f,w,?,?,t,?,s,?,w,w,w,?,?,n,?,g,e
x,?,?,?,?,?,?,?,n,e,?,?,s,?,w,w,o,?,k,s,g,p
?,y,?,t,p,f,c,?,n,e,e,?,?,?,?,w,?,p,?,s,u,p
