@relation dataset

@attribute attr_1 real
@attribute attr_2 real
@attribute attr_3 real
@attribute attr_4 real
@attribute attr_5 real
@attribute attr_6 real
@attribute attr_7 real
@attribute attr_8 real
@attribute attr_9 real
@attribute attr_10 real
@attribute attr_11 real
@attribute attr_12 real
@attribute attr_13 real
@attribute attr_14 real
@attribute attr_15 real
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 real
@attribute attr_19 real
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_33 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 real
@attribute attr_41 real
@attribute attr_42 real
@attribute attr_43 real
@attribute attr_44 real
@attribute attr_45 real
@attribute attr_46 real
@attribute attr_47 real
@attribute attr_48 real
@attribute attr_49 real
@attribute attr_50 real
@attribute attr_51 real
@attribute attr_52 real
@attribute attr_53 real
@attribute attr_54 real
@attribute attr_55 real
@attribute attr_56 real
@attribute attr_57 real
@attribute attr_58 real
@attribute attr_59 real
@attribute attr_60 real
@attribute attr_61 real
@attribute attr_62 real
@attribute attr_63 real
@attribute attr_64 real
@attribute attr_65 real
@attribute attr_66 real
@attribute attr_67 real
@attribute attr_68 real
@attribute attr_69 real
@attribute attr_70 real


@data

?,7.835325,2.9115830000000003,0.984049,-1.4995459999999998,-2.094097,0.5760000000000001,?,1.8491220000000002,-0.425598,-0.105672,1.7288849999999998,?,?,-1.109353,?,?,5.0695120000000005,?,0.8208690000000001,?,?,?,2.0590650000000004,?,1.1929319999999999,?,2.128661,?,?,-0.7345079999999999,?,?,?,?,3.099077,0.31727,?,2.048282,-0.173489,0.32461599999999996,-0.300817,0.47108900000000004,-0.5385770000000001,-0.979124,?,0.135963,?,-0.072197,?,?,1.3197290000000002,1.094839,?,?,-0.734962,?,0.389178,-0.944584,?,-1.504263,?,?,-0.174878,-1.089543,?,-0.9147719999999999,-0.83625,?,-47.95
?,?,-0.603646,0.497745,0.874036,0.29028000000000004,?,?,0.432062,-0.093963,0.029105000000000002,0.40729699999999996,-0.034418000000000004,-6.07E-4,?,?,?,?,0.549205,-0.357172,-0.5784590000000001,0.293603,?,-0.36039699999999997,-0.088276,?,?,?,?,0.277973,?,0.9789959999999999,?,0.7603449999999999,?,0.9435870000000001,?,0.058298,?,?,?,0.179847,-0.634147,-0.252916,?,?,?,0.212837,-0.038171,-0.44028999999999996,-0.15706199999999998,?,1.9895450000000001,?,?,0.406589,?,-0.653021,-0.08264500000000001,-0.947933,-0.495712,?,-0.157861,-0.15718900000000002,0.38095100000000004,1.088478,?,?,?,-23.51
-0.692525,?,?,1.214351,?,?,0.40689899999999996,-0.6948949999999999,?,?,?,-0.791393,?,?,?,?,1.045059,-0.6724760000000001,-0.46310200000000007,?,?,?,0.5515369999999999,-0.705611,?,-0.365297,?,0.36656500000000003,0.8700979999999999,?,?,?,?,1.388536,-0.694375,?,-0.29177800000000004,?,-0.35129699999999997,?,-0.663293,0.056928,0.801809,0.326462,?,0.991642,1.612214,0.472009,1.060355,1.070834,0.408001,-0.654047,?,-0.42147399999999996,-0.405171,0.170239,0.06726,?,?,?,?,?,0.217914,?,?,2.081069,?,1.063847,12.65,?
?,?,?,?,?,?,?,0.11475199999999999,0.692847,?,0.024625,?,0.576029,?,?,?,1.303073,-0.05595599999999999,?,?,?,?,0.376492,?,-0.733187,0.672438,0.979776,?,-0.519658,?,?,?,-0.058874,?,1.6582810000000001,?,2.535289,0.53778,?,-0.156088,0.7077289999999999,-1.0731549999999999,?,-0.663483,-0.304159,-0.203572,?,?,1.193691,?,?,2.301748,?,1.485531,-0.17918199999999998,0.11203800000000001,0.9831219999999999,?,?,?,?,-0.065059,?,?,-0.75138,-0.38500500000000004,-0.012326,?,?,38.74
?,?,-0.27921399999999996,0.08345599999999999,1.049331,-0.869295,-0.265858,?,-0.8726389999999999,?,-0.287746,?,-0.861848,?,-0.9666040000000001,0.278767,0.06023099999999999,?,-0.044704,-0.718237,-0.733049,?,-1.301985,?,-0.671557,?,?,-0.371718,?,0.068485,?,?,?,1.226698,0.557925,0.17558800000000002,?,-0.089385,-0.186612,?,1.094179,?,?,0.239411,-0.388596,-0.013394,0.5170859999999999,0.12062200000000001,?,0.287059,0.607333,0.984157,?,-0.784654,-0.07859400000000001,-0.250279,-1.1693049999999998,-0.052780999999999995,-0.180181,-0.500785,?,?,-0.8201719999999999,?,0.30697399999999997,0.11965799999999999,0.271838,?,34.03,-6.85
?,0.034537,-0.703441,0.188652,?,?,0.46776599999999996,0.209594,-0.49650500000000003,1.239908,0.24149299999999999,-0.25838099999999997,?,-1.0372350000000001,?,?,?,?,?,-0.499356,-0.812315,?,0.155801,0.45177399999999995,0.8541110000000001,1.211973,?,-0.626188,-0.09415499999999999,-0.057997,-0.074075,-0.289063,-0.685688,-0.42261800000000005,?,1.39226,-0.166716,?,?,1.040583,0.056155,?,?,?,?,1.381299,?,?,-0.454603,?,0.224597,?,2.8565099999999997,?,?,?,?,?,?,1.428818,0.501017,-0.354263,?,?,0.075293,?,-0.5061869999999999,-0.00847,12.65,-8.0
?,-0.310082,?,0.839033,?,?,?,1.491603,-0.10532799999999999,1.3650010000000001,?,?,?,-0.074443,1.324338,?,-0.49863500000000005,?,0.192691,?,?,1.1077549999999998,?,1.600782,0.542038,2.716828,?,0.543736,?,?,?,0.783713,?,?,?,?,-0.546966,-0.175978,-0.26442899999999997,?,0.639666,0.30438699999999996,0.219421,?,-0.166239,0.17712,0.788395,-0.951622,-0.827131,-0.8832129999999999,-0.777565,2.1741490000000003,?,?,-0.726718,-0.25813,0.032481,0.606023,?,1.34057,?,-0.43384300000000003,0.813016,1.101685,?,?,?,-0.872726,12.65,?
-0.50384,-0.63308,?,-0.065937,0.259608,?,?,?,0.93385,?,?,?,?,-0.33842,0.25071,-0.39371300000000004,-0.464238,0.204039,-0.070484,0.724351,?,-0.060066999999999995,-0.014403999999999998,0.306607,?,?,?,-0.36806,0.106773,0.030839,?,?,-0.707671,?,?,0.41624399999999995,?,-0.010920000000000001,?,?,0.455719,-0.256288,?,?,?,?,-0.30205,-0.584585,-0.474667,-0.446593,-0.8445,?,?,?,-0.19997,-0.5193939999999999,0.32218600000000003,0.257511,?,-0.297578,-0.435378,?,?,-0.136452,-0.123053,-0.392567,?,?,?,?
?,?,-0.418566,?,?,?,-0.302215,?,-0.561671,-0.335905,-1.521909,?,?,-1.014879,?,-1.296258,-0.250795,?,0.339704,-0.675542,?,0.133157,-0.31602600000000003,-0.618837,?,?,-0.634372,-0.9214389999999999,-0.797222,-0.8038770000000001,?,-0.534766,?,-0.8820020000000001,?,0.749075,?,?,-0.465549,?,?,-1.1676360000000001,?,?,-0.760429,?,?,-0.35442399999999996,?,?,?,2.02009,2.130913,?,-0.2449,?,?,?,-0.9762850000000001,?,?,?,?,?,?,-0.870768,-0.8340120000000001,?,52.5,-0.12
-0.9057719999999999,?,-0.7154659999999999,-0.60378,0.247513,?,-0.38902600000000004,0.129503,?,?,0.341688,?,0.069222,?,?,?,-0.89865,-0.8621280000000001,-0.48049,?,-0.406467,?,-0.665856,-0.932781,?,-0.004336,-0.534425,-0.328952,-0.750312,-0.799325,-0.844569,?,-0.914841,?,?,0.308584,0.204624,-0.842376,?,1.284289,-0.038567000000000004,-0.656155,?,?,-0.259326,?,-1.066196,?,?,-0.836516,-0.8664870000000001,-0.697108,?,-0.20713099999999998,?,0.9683440000000001,0.102125,?,?,0.033324,-0.42595500000000003,-0.304674,-1.111613,-0.937458,-0.584648,?,?,-0.999936,41.26,?
?,?,1.170607,?,?,-2.3693169999999997,2.48075,-0.391462,?,?,?,?,-0.134674,0.373479,1.029952,1.0233860000000001,?,1.68197,1.539295,0.661773,-0.40415500000000004,?,0.554804,1.165859,0.278173,?,1.0146979999999999,2.121636,1.237162,0.045092,?,-0.17709,?,0.353721,3.5679260000000004,1.559539,0.439985,-0.054076,?,?,0.975458,1.427704,-0.015619,?,3.3540019999999995,0.5893079999999999,?,-0.432713,?,0.9690209999999999,0.057635000000000006,0.438852,?,0.20052899999999999,?,-0.735946,0.8288,1.033002,-0.045136,?,?,1.356588,0.35980300000000004,?,-0.014176,?,-0.348222,?,41.26,?
?,?,?,0.5289510000000001,0.938844,?,0.162325,0.48118,0.21626900000000002,0.38366100000000003,0.41576599999999997,?,-0.306643,?,-0.458459,-0.284271,?,?,0.354073,?,?,0.530374,-0.500604,?,-0.12979200000000002,?,-0.35778699999999997,-0.260211,-0.0029690000000000003,0.258025,-0.083526,?,?,-0.145981,0.931976,?,-0.47239899999999996,?,?,-0.746246,?,?,?,-0.652648,?,?,-0.848974,?,?,-0.439471,-0.674172,1.574401,?,0.812236,-0.352529,0.337509,?,?,-1.082827,?,-1.275752,?,-0.710491,-1.115228,?,-0.68566,-0.5162439999999999,-0.751553,?,?
1.8166229999999999,?,0.320243,?,?,-0.44385699999999995,-0.19881500000000002,-0.605441,-1.023288,?,?,0.896502,0.109724,?,0.8480280000000001,?,-0.420469,0.280107,0.309456,?,?,?,-1.334807,-1.3430360000000001,-1.174618,-0.8721700000000001,?,?,-1.207514,?,-0.9034709999999999,-0.969917,-0.501116,?,4.473582,4.402149,1.645095,0.032797,?,0.21135,?,?,?,0.8884879999999999,?,-0.442413,0.612427,0.0904,?,?,-0.007006999999999999,?,2.150802,?,?,-0.150924,0.11631099999999998,-1.366087,?,?,-0.325375,?,-0.873712,-0.278122,-0.806671,?,?,?,?,77.2
