@relation dataset

@attribute region-centroid-col real
@attribute region-centroid-row real
@attribute short-line-density-5 real
@attribute short-line-density-2 real
@attribute vedge-mean real
@attribute vegde-sd real
@attribute hedge-mean real
@attribute hedge-sd real
@attribute intensity-mean real
@attribute rawred-mean real
@attribute rawblue-mean real
@attribute rawgreen-mean real
@attribute exred-mean real
@attribute exblue-mean real
@attribute exgreen-mean real
@attribute value-mean real
@attribute saturation-mean real
@attribute hue-mean real
@attribute class {brickface, cement, foliage, grass, path, sky, window}


@data

38.0,?,0.0,0.0,1.0,?,6.22222,?,?,?,35.2222,25.6667,-8.22222,18.4444,-10.2222,35.2222,0.271208,?,path
25.0,?,0.0,?,?,0.607407,1.05556,0.462963,?,13.1111,?,?,-13.2222,1.11111,12.1111,21.5556,0.393002,2.69011,grass
?,139.0,?,0.0,0.166667,?,0.333333,0.088889,?,0.0,?,?,?,?,-1.33333,?,0.777778,?,?
?,220.0,?,?,3.05556,15.263,3.66667,6.08889,8.18519,6.55556,6.44444,11.5556,?,?,?,?,?,2.09315,grass
?,135.0,?,0.0,0.055556,0.136083,0.111111,0.172133,?,?,3.0,0.0,-1.44444,5.22222,-3.77778,3.0,1.0,?,?
235.0,?,0.0,?,?,?,0.944445,?,?,?,6.44444,?,?,?,-4.0,6.44444,0.938492,-2.26954,foliage
?,?,?,?,0.944444,?,?,1.31092,126.222,?,142.222,121.333,-33.3333,48.0,-14.6667,142.222,0.190625,?,?
188.0,?,0.0,?,1.61111,0.742868,4.16667,?,?,51.8889,?,?,-18.3333,43.3333,-25.0,72.4444,0.314281,-1.99159,path
217.0,245.0,0.111111,?,3.16667,3.01662,?,1.24276,9.74074,?,?,14.6667,-6.88889,?,14.7778,14.6667,?,2.06945,grass
9.0,?,?,?,1.5,1.00554,2.77778,?,45.9259,?,57.2222,39.5556,?,33.8889,?,57.2222,0.307943,-2.01072,path
?,117.0,0.222222,?,?,?,1.0,0.444445,21.2222,?,26.3333,?,?,?,?,26.3333,?,?,brickface
?,139.0,0.0,?,0.666667,0.177778,?,0.207407,?,?,6.44444,?,?,3.33333,?,6.88889,?,?,brickface
?,?,0.0,0.0,?,0.862963,1.33333,0.533333,?,2.0,9.22222,3.33333,?,13.1111,?,?,0.791667,?,foliage
118.0,?,0.0,0.0,0.333333,0.298142,?,?,1.14815,0.0,3.11111,0.333333,-3.44444,5.88889,-2.44444,3.11111,?,?,foliage
?,53.0,?,0.0,0.555555,?,?,0.490652,?,112.333,138.222,119.778,-33.3333,?,-11.0,?,0.187217,?,sky
?,38.0,0.0,0.0,?,?,1.0,?,58.0,50.0,?,49.6667,-24.0,49.0,-25.0,74.3333,?,?,?
96.0,84.0,?,0.0,?,?,1.61111,2.28519,23.8519,?,30.0,18.0,-0.888889,18.4444,?,30.0,?,-1.59887,brickface
151.0,?,0.0,?,8.05556,?,0.722222,0.827758,32.037,27.5556,41.1111,27.4444,-13.4444,27.2222,-13.7778,41.1111,?,-2.0788,?
?,?,0.0,?,0.222222,?,0.333333,0.088889,?,0.0,3.0,?,-3.0,6.0,?,3.0,1.0,-2.0944,?
146.0,140.0,0.0,0.0,?,?,1.0,0.577778,6.33333,?,7.33333,?,?,3.0,?,8.22222,?,?,?
162.0,?,0.111111,0.0,2.27778,1.14342,2.66667,?,?,10.8889,10.0,18.7778,-7.0,?,16.6667,18.7778,0.472826,1.99038,grass
155.0,?,?,0.0,1.05556,0.240737,1.44445,0.25185,?,?,?,?,?,27.1111,?,?,0.098472,-2.14672,sky
?,?,0.0,0.0,?,1.49691,?,?,?,?,?,?,?,?,?,?,?,?,?
?,104.0,?,?,?,?,1.0,?,55.7407,48.8889,?,?,?,?,-20.8889,?,0.303071,-2.08549,?
?,111.0,0.0,?,2.55556,1.65552,2.27778,?,?,25.4444,?,?,?,?,-13.4444,38.2222,0.349325,-2.06472,cement
?,85.0,?,0.0,?,1.24127,?,?,?,14.5556,26.8889,?,?,?,-10.7778,26.8889,?,-2.16091,?
18.0,145.0,0.0,?,?,?,0.611111,?,?,5.55556,?,2.22222,4.88889,?,?,5.55556,0.600529,?,?
?,191.0,0.0,?,?,2.78687,?,5.18545,60.2593,52.4444,?,?,?,47.8889,?,76.2222,?,-2.07765,path
?,38.0,0.0,?,?,11.0743,?,1.06805,?,?,?,?,?,41.4444,?,?,0.271659,-2.03882,cement
?,133.0,?,?,?,?,?,?,?,?,?,?,?,?,-1.11111,?,1.0,-2.0944,window
222.0,145.0,?,?,?,?,0.0,?,?,0.0,0.0,0.0,?,?,?,0.0,?,?,window
?,?,0.0,?,?,2.16667,2.66667,?,16.0741,12.6667,14.4444,?,?,-4.88889,15.1111,21.1111,0.40213,2.31093,grass
?,187.0,0.0,0.0,?,?,?,?,?,?,59.8889,41.5556,?,?,-20.8889,?,0.305755,?,?
222.0,?,0.0,0.0,?,0.062963,0.166667,0.033333,2.44444,?,5.44444,?,?,9.0,-4.66667,?,?,?,?
?,130.0,?,?,?,?,1.05556,0.685185,5.85185,?,6.88889,3.33333,?,?,-7.55556,7.66667,0.570106,-0.963048,?
21.0,?,?,0.0,?,?,20.2222,17.6291,?,?,?,30.3333,?,?,?,38.0,?,?,?
