@relation dataset

@attribute region-centroid-col real
@attribute region-centroid-row real
@attribute short-line-density-5 real
@attribute short-line-density-2 real
@attribute vedge-mean real
@attribute vegde-sd real
@attribute hedge-mean real
@attribute hedge-sd real
@attribute intensity-mean real
@attribute rawred-mean real
@attribute rawblue-mean real
@attribute rawgreen-mean real
@attribute exred-mean real
@attribute exblue-mean real
@attribute exgreen-mean real
@attribute value-mean real
@attribute saturation-mean real
@attribute hue-mean real
@attribute class {brickface, cement, foliage, grass, path, sky, window}


@data

?,189.0,?,?,1.0,0.222222,6.22222,?,29.0741,26.3333,35.2222,25.6667,-8.22222,?,-10.2222,35.2222,0.271208,?,?
?,?,?,0.0,1.11111,0.607407,?,0.462963,?,13.1111,?,?,-13.2222,?,?,21.5556,0.393002,2.69011,?
49.0,139.0,0.0,?,0.166667,0.077778,?,0.088889,?,0.0,1.33333,?,-1.33333,2.66667,-1.33333,1.33333,0.777778,-2.0944,?
63.0,220.0,0.0,0.0,3.05556,?,3.66667,6.08889,8.18519,?,?,11.5556,-4.88889,-5.22222,10.1111,?,0.486717,2.09315,?
161.0,?,0.0,0.0,?,0.136083,?,?,?,?,3.0,?,-1.44444,5.22222,-3.77778,?,1.0,-1.82221,window
235.0,?,?,0.0,?,?,0.944445,?,2.77778,0.444444,6.44444,1.44444,?,11.0,-4.0,?,?,-2.26954,?
?,32.0,0.0,?,0.944444,1.06284,1.77778,1.31092,126.222,115.111,142.222,?,-33.3333,48.0,-14.6667,142.222,?,?,?
188.0,?,0.0,0.0,1.61111,0.742868,?,?,58.0,51.8889,72.4444,49.6667,-18.3333,43.3333,?,72.4444,?,?,path
?,245.0,0.111111,?,3.16667,?,?,?,?,7.44444,?,?,-6.88889,-7.88889,14.7778,14.6667,?,2.06945,?
?,?,?,0.0,1.5,?,2.77778,?,?,41.0,57.2222,39.5556,-14.7778,33.8889,?,57.2222,?,?,path
?,117.0,?,0.0,?,0.255556,1.0,0.444445,21.2222,21.1111,26.3333,?,?,?,-15.0,26.3333,?,-1.57448,?
136.0,139.0,0.0,?,0.666667,0.177778,0.777778,0.207407,5.33333,?,6.44444,?,3.66667,3.33333,?,6.88889,?,-1.00494,brickface
214.0,79.0,?,?,?,0.862963,?,?,4.85185,2.0,9.22222,?,?,13.1111,-4.55556,9.22222,0.791667,-2.28898,?
118.0,125.0,?,?,?,0.298142,0.888889,?,1.14815,?,3.11111,?,?,5.88889,-2.44444,3.11111,1.0,?,foliage
83.0,53.0,?,0.0,0.555555,?,0.722223,0.490652,123.444,112.333,?,119.778,?,44.3333,-11.0,138.222,?,?,sky
70.0,38.0,0.0,0.0,1.22222,0.272166,1.0,?,58.0,?,74.3333,?,?,49.0,-25.0,?,0.336015,?,cement
96.0,84.0,0.0,0.0,?,1.27778,1.61111,2.28519,23.8519,23.5556,30.0,18.0,?,?,-17.5556,?,0.398791,-1.59887,?
151.0,129.0,?,?,8.05556,8.14157,0.722222,0.827758,?,27.5556,?,?,?,27.2222,-13.7778,41.1111,0.338407,-2.0788,cement
98.0,144.0,0.0,0.0,?,0.02963,0.333333,?,1.0,?,3.0,?,-3.0,?,?,?,1.0,-2.0944,?
146.0,140.0,?,0.0,?,?,1.0,0.577778,?,?,?,?,4.66667,3.0,?,8.22222,0.537017,-0.909267,brickface
162.0,237.0,0.111111,0.0,2.27778,?,?,2.56472,13.2222,?,10.0,?,-7.0,?,?,?,0.472826,?,?
?,?,?,?,?,?,1.44445,?,137.519,?,?,133.444,?,?,-12.2222,146.556,?,-2.14672,sky
?,?,?,?,2.38889,1.49691,4.83333,3.00925,?,53.1111,74.0,?,-20.0,?,?,?,?,?,?
?,?,0.0,?,6.61111,?,1.0,?,?,?,69.5556,?,?,41.4444,-20.8889,?,?,?,cement
?,111.0,0.0,?,?,?,2.27778,1.59745,29.5926,25.4444,38.2222,?,-12.4444,?,?,38.2222,0.349325,-2.06472,?
?,?,?,?,?,?,0.222222,?,?,?,?,15.3333,?,?,?,26.8889,?,?,window
18.0,?,?,?,0.388889,0.018519,?,?,3.92593,5.55556,4.0,2.22222,4.88889,?,-5.11111,?,0.600529,-0.57094,brickface
?,191.0,0.0,0.111111,?,?,6.0,5.18545,60.2593,52.4444,?,52.1111,-23.4444,47.8889,?,?,0.320865,?,?
112.0,38.0,0.0,?,?,?,1.11111,1.06805,64.6296,58.2222,78.4444,57.2222,-19.2222,41.4444,-22.2222,78.4444,0.271659,?,cement
?,?,?,0.0,?,0.136083,0.055556,?,0.37037,?,1.11111,0.0,?,2.22222,-1.11111,1.11111,1.0,?,window
222.0,?,?,?,?,?,0.0,0.0,?,0.0,?,0.0,?,0.0,?,?,0.0,?,window
