@relation dataset

@attribute hair {false, true}
@attribute feathers {false, true}
@attribute eggs {false, true}
@attribute milk {false, true}
@attribute airborne {false, true}
@attribute aquatic {false, true}
@attribute predator {false, true}
@attribute toothed {false, true}
@attribute backbone {false, true}
@attribute breathes {false, true}
@attribute venomous {false, true}
@attribute fins {false, true}
@attribute legs {0, 2, 4, 5, 6, 8}
@attribute tail {false, true}
@attribute domestic {false, true}
@attribute catsize {false, true}
@attribute type {mammal, bird, reptile, fish, amphibian, insect, invertebrate}


@data

true,false,false,true,false,false,?,true,true,true,false,?,?,false,false,true,?
true,false,false,true,false,false,true,?,true,true,false,false,4,false,?,true,mammal
?,?,false,?,false,false,false,?,true,true,false,false,?,?,false,?,mammal
true,false,false,true,false,false,false,true,?,true,false,false,?,true,false,true,mammal
?,?,?,true,?,false,false,?,?,?,false,false,4,true,false,true,mammal
true,false,?,true,?,?,false,true,?,true,false,?,4,true,?,true,mammal
true,?,false,?,?,?,false,true,true,true,false,false,4,?,false,true,mammal
true,false,false,true,false,false,false,true,true,true,?,false,?,true,false,true,mammal
?,false,?,false,false,true,?,true,true,false,false,true,?,?,false,false,?
false,false,?,false,false,true,true,true,true,?,?,?,0,true,false,false,fish
false,?,true,?,false,true,?,true,true,false,?,?,0,true,?,?,?
false,false,true,false,false,true,?,true,true,false,false,true,?,true,false,false,fish
false,false,true,false,?,true,?,true,true,?,?,true,0,true,false,false,?
true,false,false,true,false,false,true,true,true,?,?,false,4,true,false,?,mammal
true,false,?,true,false,false,?,true,?,true,false,?,4,?,?,true,mammal
true,?,false,true,?,false,true,true,true,?,false,false,4,true,false,true,mammal
true,false,?,true,false,false,true,?,true,true,false,false,4,?,false,true,mammal
?,false,false,?,false,?,?,true,?,?,false,?,4,true,false,true,?
?,?,false,true,false,?,true,true,true,?,?,false,4,?,false,?,mammal
true,false,false,?,false,?,true,true,true,true,false,?,4,?,?,?,mammal
true,false,false,true,false,?,?,?,true,?,?,false,?,true,false,true,mammal
true,false,?,true,?,false,true,true,true,true,?,false,?,true,false,true,?
true,false,false,?,false,?,true,?,true,true,false,?,?,true,false,true,?
true,?,false,true,?,false,false,?,true,true,false,false,4,true,?,true,mammal
true,false,false,?,false,false,false,?,?,true,false,false,4,?,true,true,mammal
true,false,?,true,?,false,?,?,?,true,false,false,4,?,true,true,mammal
true,?,?,true,?,?,?,true,true,true,false,false,4,true,?,?,mammal
false,false,true,false,false,true,false,true,true,false,false,?,0,?,true,false,fish
?,false,false,true,?,false,false,true,true,true,?,false,4,false,true,false,?
false,true,true,false,true,false,false,false,true,true,false,false,?,true,true,?,bird
false,true,true,false,?,?,false,false,?,true,?,false,2,true,true,false,bird
false,true,true,false,true,false,false,false,?,?,false,?,?,true,true,?,?
false,false,true,false,?,false,true,false,false,false,false,false,?,?,false,?,invertebrate
false,false,true,false,?,true,true,false,?,false,false,false,4,false,false,false,?
false,false,true,?,false,?,true,?,false,?,?,false,?,false,false,false,invertebrate
false,?,?,false,?,true,true,false,false,false,false,false,?,false,false,?,invertebrate
?,?,true,?,true,false,true,false,true,true,?,false,2,true,?,false,bird
