@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real
@attribute att_8 real
@attribute att_9 real


@data

?,0.0,0.0,2.638,1.401,?,?,0.0,4.33
9.23,?,?,5.799,2.93,0.486,0.0,0.0,7.019
?,11.0,0.0,5.453,2.887,?,0.0,?,6.723
9.23,11.0,0.0,4.068,2.758,0.695,?,0.0,5.979
?,?,3.0,?,?,1.333,?,?,?
9.23,?,0.0,?,?,?,?,?,7.337
0.0,0.0,0.0,3.267,2.318,0.963,?,0.0,4.1
?,?,0.0,2.067,1.8,1.25,0.0,0.0,?
?,0.0,0.0,2.746,1.667,?,?,0.0,3.809
0.0,?,?,3.124,1.8,1.417,0.0,0.0,?
12.03,18.011,?,0.817,1.8,1.488,1.0,?,?
?,?,0.0,3.122,3.723,?,0.0,2.0,?
?,31.059,0.0,?,?,1.115,?,?,3.78
92.14,?,1.0,4.275,4.174,?,1.0,?,?
?,0.0,?,2.851,1.989,?,?,?,3.533
0.0,0.0,0.0,1.115,1.0,?,?,0.0,4.632
35.53,?,?,?,?,1.124,?,1.0,7.693
?,?,0.0,0.202,?,1.66,0.0,0.0,0.673
?,50.29,?,?,1.654,?,0.0,0.0,3.323
?,?,?,3.204,3.344,0.938,0.0,?,2.955
49.33,85.839,2.0,?,2.272,?,?,?,?
122.22,?,2.0,?,?,?,5.0,2.0,2.593
18.46,?,?,1.262,2.147,1.576,0.0,0.0,?
?,3.124,0.0,9.148,?,?,?,0.0,5.96
12.03,?,?,6.728,?,?,?,?,?
?,41.028,?,5.65,4.026,1.575,0.0,0.0,?
?,238.562,5.0,2.201,3.83,?,0.0,0.0,6.424
37.3,67.828,1.0,3.23,2.63,?,?,1.0,4.355
3.24,3.124,0.0,4.48,?,?,1.0,0.0,?
?,14.124,?,3.827,?,1.373,?,0.0,5.102
?,0.0,?,?,1.265,0.57,?,0.0,?
0.0,14.96,0.0,?,1.265,0.722,?,0.0,3.577
45.61,?,0.0,?,?,?,1.0,?,?
12.03,?,?,1.587,1.654,1.732,?,0.0,?
86.81,?,3.0,0.709,?,?,2.0,0.0,?
?,196.332,?,4.478,4.984,1.087,?,0.0,5.44
?,85.367,2.0,?,3.001,?,0.0,0.0,?
?,0.0,0.0,?,2.837,?,?,0.0,?
?,?,?,3.921,2.494,?,0.0,0.0,?
40.46,85.367,2.0,?,?,0.917,0.0,?,4.301
?,?,0.0,?,2.048,?,0.0,?,3.772
26.02,?,2.0,?,2.031,0.992,?,?,?
17.07,25.145,0.0,1.947,2.005,1.276,0.0,0.0,3.061
?,?,0.0,?,2.119,1.25,0.0,?,4.867
?,?,?,3.267,2.119,1.25,?,?,5.373
?,0.0,?,3.374,2.118,1.204,0.0,0.0,3.522
17.07,?,0.0,-0.317,1.155,?,?,?,0.55
?,?,?,?,?,0.773,1.0,?,?
37.3,67.828,?,?,1.401,?,?,?,3.17
40.46,85.367,2.0,0.706,?,1.594,0.0,0.0,?
0.0,0.0,0.0,?,1.401,0.826,?,0.0,3.631
103.67,?,1.0,3.546,2.847,1.211,?,?,?
?,144.177,1.0,?,2.626,1.047,?,?,?
38.33,?,1.0,2.391,2.612,1.293,1.0,0.0,6.32
75.27,111.456,?,0.779,2.709,1.029,2.0,2.0,?
17.07,25.145,0.0,0.202,?,?,0.0,?,2.815
?,139.995,3.0,1.589,3.514,?,2.0,?,3.819
37.3,67.828,?,?,1.577,1.56,0.0,1.0,?
?,?,0.0,4.168,?,?,?,?,4.72
93.06,157.656,?,2.014,?,1.189,?,0.0,4.333
0.0,?,0.0,?,?,1.7,?,0.0,?
?,67.828,1.0,?,1.746,1.547,?,1.0,?
37.3,67.828,?,?,2.06,1.529,0.0,1.0,3.08
20.23,42.683,1.0,2.274,2.005,1.596,0.0,0.0,3.115
?,72.29,0.0,4.737,?,1.595,0.0,2.0,5.749
52.6,72.29,?,5.426,3.893,?,?,2.0,4.55
54.57,?,?,5.208,3.691,1.585,?,0.0,?
0.0,?,0.0,?,1.678,1.667,?,0.0,?
81.7,?,1.0,5.44,?,1.517,1.0,?,4.85
20.23,42.683,1.0,5.089,3.049,?,0.0,0.0,6.064
20.23,?,1.0,?,2.913,?,?,0.0,6.36
?,?,?,3.247,?,1.206,?,1.0,?
20.23,?,1.0,?,1.997,1.61,0.0,0.0,?
122.91,210.537,3.0,?,3.59,1.462,?,1.0,2.626
45.61,28.269,?,2.275,2.445,1.29,1.0,?,?
44.45,16.786,?,?,?,0.92,1.0,?,?
38.33,?,1.0,1.737,2.472,?,1.0,0.0,6.848
70.14,50.908,3.0,?,?,?,2.0,?,?
?,?,0.0,?,3.197,1.356,?,2.0,4.878
52.6,?,0.0,4.091,3.568,1.15,0.0,?,5.19
9.23,11.0,?,2.274,2.15,?,0.0,0.0,?
?,54.999,?,?,3.866,1.521,?,?,?
54.57,41.028,0.0,?,?,1.773,?,?,6.042
?,0.0,0.0,3.562,?,1.15,?,?,5.548
?,?,0.0,1.971,2.294,?,?,0.0,4.608
?,?,0.0,2.869,3.095,0.862,2.0,0.0,?
94.88,149.498,0.0,?,3.047,1.283,3.0,?,6.24
?,?,?,?,1.334,1.768,0.0,?,0.935
41.57,57.28,1.0,0.734,?,1.853,?,0.0,3.25
38.8,0.0,1.0,?,?,1.212,?,0.0,6.102
?,?,0.0,2.06,2.394,1.088,?,0.0,6.579
92.31,70.941,2.0,2.195,?,0.999,?,?,?
98.61,?,0.0,2.054,2.891,1.442,?,0.0,?
44.45,16.786,0.0,?,1.509,?,?,1.0,5.308
?,36.022,2.0,0.59,?,1.001,2.0,?,2.838
?,36.022,2.0,?,?,?,?,0.0,?
62.73,?,?,2.273,2.478,1.254,5.0,?,?
86.52,117.437,2.0,?,2.679,?,6.0,1.0,6.447
20.23,?,?,-0.172,1.155,?,0.0,?,0.59
?,178.917,0.0,4.219,?,?,?,2.0,?
26.3,36.145,0.0,0.996,1.723,1.805,0.0,1.0,2.827
?,?,0.0,?,?,?,0.0,?,2.899
138.26,86.133,0.0,0.491,2.854,?,0.0,?,8.349
?,72.29,0.0,2.577,2.707,1.313,?,?,?
52.33,62.438,0.0,?,2.239,?,1.0,?,?
9.23,?,0.0,?,?,?,?,?,1.73
?,?,0.0,2.682,2.903,1.823,?,0.0,9.141
?,13.843,0.0,3.089,?,?,0.0,?,?
?,54.336,?,2.433,?,1.394,2.0,0.0,8.564
?,71.512,?,?,2.903,?,?,?,8.15
82.48,?,0.0,3.213,2.806,?,1.0,0.0,8.849
110.96,13.843,0.0,1.971,2.52,1.012,0.0,0.0,8.207
?,90.3,1.0,1.651,2.785,1.346,?,2.0,?
?,?,?,2.826,2.709,?,1.0,0.0,?
?,6.922,0.0,?,2.553,0.835,0.0,0.0,7.483
38.8,?,1.0,0.845,1.155,1.177,?,0.0,5.562
45.61,?,0.0,?,?,1.162,?,?,4.437
110.96,13.843,?,?,2.402,?,?,?,7.128
193.91,332.83,5.0,?,4.73,?,?,1.0,3.277
?,?,5.0,0.143,4.805,1.597,2.0,1.0,3.795
182.91,?,4.0,0.036,4.758,1.584,?,?,4.602
?,71.18,1.0,4.761,?,1.147,?,2.0,4.307
26.02,?,?,?,2.056,?,1.0,0.0,?
12.89,?,0.0,?,?,?,?,0.0,?
77.82,99.365,?,?,2.813,0.791,4.0,?,4.632
74.57,?,2.0,1.789,3.373,?,?,1.0,3.432
?,31.394,?,0.16,?,2.092,2.0,0.0,1.601
58.56,?,0.0,?,2.689,1.675,?,?,7.037
38.57,?,0.0,0.59,?,?,?,0.0,?
?,36.022,2.0,-0.273,1.475,?,2.0,0.0,3.392
?,?,0.0,0.454,?,0.8,2.0,?,4.858
?,?,0.0,0.454,?,?,2.0,?,6.059
140.02,?,4.0,?,?,0.926,3.0,0.0,7.378
36.6,?,0.0,?,1.89,2.073,3.0,0.0,1.43
181.62,?,7.0,-0.392,3.629,0.863,?,1.0,3.573
?,324.873,7.0,?,3.595,?,2.0,?,6.43
3.24,?,?,2.193,?,1.241,?,0.0,?
61.35,?,2.0,1.628,2.231,?,2.0,0.0,?
?,?,?,0.658,3.426,?,?,?,?
16.13,19.91,0.0,1.272,2.473,1.256,2.0,?,4.733
75.01,128.306,?,1.146,3.505,1.232,?,1.0,3.674
63.87,?,?,0.198,1.975,0.858,?,0.0,?
?,?,?,0.349,?,2.092,?,?,5.76
?,56.999,?,-0.755,?,?,?,1.0,?
?,102.044,?,?,2.434,1.256,3.0,2.0,?
93.21,?,?,-0.147,?,?,2.0,?,5.9
75.99,73.774,1.0,?,2.266,?,2.0,0.0,5.551
?,65.155,?,?,2.72,1.265,?,0.0,6.52
?,76.155,1.0,?,2.72,?,1.0,0.0,?
?,?,?,2.222,2.725,?,?,0.0,5.942
70.14,?,3.0,?,1.401,0.647,?,0.0,3.979
47.36,21.135,1.0,0.18,1.627,?,2.0,?,?
73.58,?,2.0,0.894,3.136,?,?,0.0,3.008
12.03,18.011,?,?,1.989,1.062,1.0,0.0,?
20.23,42.683,1.0,-0.814,1.0,?,?,0.0,0.989
69.48,142.262,?,?,3.884,?,2.0,?,5.742
?,?,0.0,3.692,3.883,?,?,0.0,?
?,144.333,4.0,0.16,3.323,?,?,?,?
76.66,108.311,?,?,3.468,?,?,0.0,?
?,72.29,0.0,2.005,?,?,0.0,?,?
?,47.145,0.0,?,?,?,0.0,1.0,?
?,75.414,?,1.907,?,?,1.0,2.0,3.536
?,?,0.0,?,2.828,1.243,?,1.0,?
29.46,53.683,1.0,-0.081,?,?,?,?,?
?,47.145,0.0,0.538,?,?,0.0,1.0,2.511
?,?,?,0.224,2.108,1.904,0.0,0.0,1.888
65.57,?,1.0,0.489,1.999,?,0.0,?,7.699
90.51,65.67,1.0,?,1.929,1.402,?,1.0,4.107
?,55.411,2.0,?,1.575,?,?,?,?
115.41,71.512,0.0,1.919,2.72,1.291,1.0,0.0,7.671
115.41,71.512,?,1.602,?,1.288,1.0,?,7.341
133.44,?,?,0.906,?,0.941,3.0,?,7.858
9.23,?,0.0,?,2.225,?,?,0.0,7.012
29.46,53.683,?,?,?,?,0.0,?,?
29.46,?,1.0,2.736,2.183,?,?,0.0,5.527
100.87,112.494,0.0,3.275,2.661,1.243,2.0,0.0,?
?,?,1.0,2.736,2.187,?,?,0.0,?
35.25,43.897,2.0,?,2.056,1.081,1.0,?,5.571
?,?,?,?,2.611,1.175,2.0,0.0,3.155
96.31,?,1.0,1.126,3.536,1.157,?,?,3.594
?,?,2.0,?,2.046,1.081,?,0.0,5.642
29.46,53.683,1.0,1.246,2.046,1.114,0.0,?,?
