@relation dataset

@attribute mcg real
@attribute gvh real
@attribute lip real
@attribute chg real
@attribute aac real
@attribute alm1 real
@attribute alm2 real
@attribute class {cp, im, imL, imS, imU, om, omL, pp}


@data

?,?,0.48,0.5,0.56,?,0.35,cp
0.07,0.4,?,0.5,0.54,0.35,0.44,cp
?,0.4,0.48,0.5,?,0.37,0.46,cp
0.59,0.49,0.48,0.5,0.52,0.45,0.36,cp
0.23,0.32,0.48,?,0.55,?,?,cp
0.67,?,?,0.5,0.36,?,0.46,cp
?,0.28,0.48,?,0.44,?,0.34,?
0.21,0.34,0.48,0.5,?,0.28,0.39,cp
0.2,?,0.48,0.5,0.46,?,0.57,?
0.42,0.4,0.48,0.5,0.56,0.18,0.3,cp
?,0.24,0.48,0.5,0.57,0.27,0.37,cp
0.25,0.48,0.48,?,0.44,0.17,0.29,cp
0.39,0.32,0.48,0.5,0.46,?,0.35,cp
0.51,0.5,0.48,0.5,0.46,0.32,?,cp
?,0.43,0.48,?,?,0.16,0.28,cp
0.25,0.4,0.48,?,?,0.44,0.52,cp
0.34,0.45,?,0.5,0.38,0.24,?,cp
0.44,0.27,?,?,?,0.52,?,cp
0.23,0.4,0.48,?,0.39,0.28,0.38,?
0.41,?,0.48,0.5,0.39,?,0.32,cp
0.4,?,0.48,0.5,0.38,0.22,0.0,?
?,0.23,0.48,?,?,0.05,0.14,cp
0.51,0.54,0.48,0.5,?,0.34,?,cp
0.3,0.16,0.48,0.5,?,0.11,0.23,cp
0.36,0.39,0.48,0.5,0.48,0.22,0.23,?
0.29,0.37,0.48,0.5,?,?,?,cp
0.25,?,?,0.5,0.47,0.33,0.42,cp
0.21,0.51,0.48,0.5,0.5,?,0.41,cp
?,0.37,?,?,?,0.35,?,?
0.43,?,0.48,0.5,0.47,0.31,?,cp
0.53,0.38,?,0.5,0.44,0.26,0.36,cp
?,0.33,?,0.5,?,?,0.44,cp
0.56,?,?,?,0.34,?,?,?
0.4,?,0.48,0.5,0.42,0.35,0.44,?
?,?,0.48,0.5,0.31,0.19,?,cp
0.36,0.54,0.48,?,0.41,?,0.46,cp
0.29,0.52,?,0.5,0.42,0.29,?,?
?,0.47,0.48,0.5,0.59,0.3,?,cp
?,0.42,0.48,0.5,0.35,0.28,0.38,cp
0.38,0.46,?,0.5,0.48,0.22,?,cp
0.33,?,0.48,0.5,0.52,0.32,0.41,?
0.3,?,0.48,?,0.59,?,0.49,cp
?,0.5,0.48,0.5,?,0.39,0.47,cp
?,0.38,0.48,?,0.5,0.33,0.42,?
0.61,0.45,0.48,0.5,0.48,0.35,0.41,cp
0.17,0.38,0.48,0.5,0.45,?,0.5,cp
?,?,?,0.5,0.55,0.55,0.61,cp
0.43,?,0.48,0.5,0.39,0.28,0.39,?
?,0.35,?,0.5,0.58,0.15,0.27,cp
?,0.33,0.48,0.5,0.43,0.33,?,cp
?,0.52,0.48,0.5,0.42,0.42,?,cp
0.29,?,?,0.5,0.45,0.03,?,?
0.22,0.36,0.48,0.5,0.35,0.39,0.47,cp
?,?,0.48,0.5,0.37,?,0.59,?
0.47,0.47,?,0.5,0.22,?,0.26,cp
?,0.47,?,0.5,?,?,0.42,cp
?,0.37,0.48,0.5,0.35,?,0.45,cp
?,0.35,0.48,0.5,0.45,0.33,0.42,?
?,0.34,0.48,0.5,0.3,?,0.43,cp
0.42,0.38,?,0.5,?,0.34,0.43,cp
0.44,0.56,0.48,?,?,0.46,0.54,cp
0.52,?,0.48,0.5,0.41,0.28,?,cp
0.36,?,0.48,0.5,0.48,?,?,cp
0.18,0.3,0.48,?,0.46,0.24,?,?
0.47,0.29,0.48,?,?,0.33,0.43,cp
0.24,0.43,?,?,0.54,?,0.59,cp
0.25,?,?,0.5,0.41,0.33,0.42,cp
0.52,?,0.48,0.5,0.42,?,0.54,?
0.25,?,?,?,0.43,?,?,cp
0.35,?,?,?,0.56,?,0.48,?
0.26,?,?,?,0.34,0.25,0.35,?
?,?,0.48,0.5,?,0.26,?,cp
0.37,0.5,?,?,0.42,?,?,?
0.44,0.42,0.48,0.5,0.42,0.25,0.2,cp
?,0.43,0.48,0.5,0.37,0.28,0.38,cp
0.42,?,0.48,0.5,0.48,0.26,?,cp
0.48,?,0.48,?,0.45,0.25,0.35,?
?,0.48,0.48,0.5,0.51,0.44,?,cp
0.44,0.28,0.48,0.5,0.43,0.27,0.37,cp
?,?,?,0.5,0.48,0.38,0.46,cp
0.34,0.28,0.48,0.5,0.41,0.35,0.44,cp
0.41,?,?,0.5,0.45,0.31,0.41,cp
0.29,?,0.48,0.5,?,0.23,?,cp
0.34,0.55,0.48,?,0.58,0.31,?,cp
0.36,0.56,0.48,?,0.43,0.45,0.53,?
0.4,0.46,?,?,?,0.49,?,?
?,0.49,0.48,?,0.49,0.46,0.53,cp
?,0.44,0.48,?,?,?,0.42,cp
0.5,?,0.48,0.5,0.27,0.23,0.34,cp
0.53,0.42,?,0.5,0.16,?,0.39,cp
?,?,0.48,0.5,?,0.35,0.44,cp
?,?,0.48,0.5,0.37,0.27,0.27,cp
0.41,?,0.48,0.5,0.5,?,0.25,cp
0.3,?,0.48,0.5,0.36,0.21,0.32,?
?,0.47,0.48,0.5,0.29,0.28,0.39,?
0.64,0.76,?,0.5,0.45,0.35,0.38,cp
0.35,?,?,0.5,0.3,0.34,?,cp
0.57,0.54,?,0.5,0.37,0.28,0.33,?
0.65,0.55,0.48,0.5,?,0.37,0.28,cp
?,0.46,0.48,?,?,0.31,?,cp
0.38,0.4,?,0.5,0.63,0.25,0.35,cp
0.24,0.57,0.48,?,?,?,0.43,?
?,0.26,0.48,?,0.54,0.16,?,cp
0.33,?,0.48,0.5,0.53,0.18,0.29,cp
0.24,?,0.48,?,?,0.3,0.4,cp
0.26,?,0.48,0.5,?,?,0.41,cp
0.44,?,0.48,0.5,?,0.38,0.4,cp
0.43,0.32,0.48,0.5,?,0.45,?,cp
?,?,0.48,?,0.49,0.3,0.4,cp
0.47,?,0.48,?,0.56,?,?,cp
?,?,0.48,0.5,0.6,0.06,0.2,cp
0.34,0.35,0.48,0.5,0.51,0.49,0.56,cp
0.35,0.34,0.48,0.5,0.46,0.3,0.27,?
0.38,?,?,?,0.43,?,?,cp
?,0.44,?,0.5,0.43,?,?,cp
0.41,?,?,0.5,0.58,?,0.31,cp
0.34,0.42,0.48,?,0.41,?,0.43,cp
0.51,0.49,?,0.5,0.53,?,0.26,cp
0.25,0.51,0.48,0.5,0.37,0.42,0.5,?
?,0.28,?,0.5,0.5,0.42,?,cp
0.25,0.26,?,0.5,0.39,?,0.42,?
?,?,0.48,0.5,0.49,0.23,0.34,cp
?,?,0.48,?,0.53,0.3,?,cp
0.04,0.31,0.48,0.5,0.41,?,0.39,cp
0.61,?,0.48,?,0.49,0.35,?,?
0.34,?,?,?,0.44,0.37,?,cp
0.28,?,?,0.5,0.45,0.22,0.33,cp
?,0.46,0.48,0.5,0.42,0.35,0.44,cp
0.23,?,0.48,0.5,0.43,0.26,?,cp
0.37,0.44,?,0.5,?,0.39,?,cp
?,?,0.48,0.5,0.42,0.48,0.55,cp
0.39,?,0.48,0.5,0.38,?,0.43,cp
0.3,0.44,?,0.5,?,0.22,0.33,cp
0.27,0.3,?,0.5,0.71,0.28,0.39,cp
0.17,0.52,0.48,?,?,0.37,0.46,?
0.36,0.42,0.48,0.5,0.53,0.32,0.41,cp
0.3,0.37,0.48,0.5,0.43,?,0.3,cp
0.26,?,?,0.5,?,?,0.37,cp
?,0.41,0.48,0.5,0.55,0.22,0.33,?
0.22,0.34,?,0.5,0.42,0.29,0.39,cp
?,0.35,0.48,0.5,0.44,0.52,?,?
0.27,0.42,?,?,0.37,?,?,?
?,0.43,0.48,?,0.54,0.27,0.37,?
0.06,?,0.48,0.5,0.49,0.92,?,im
0.44,0.52,0.48,0.5,?,0.47,0.54,im
0.63,0.47,?,0.5,0.51,?,0.84,im
0.23,0.48,?,0.5,0.59,0.88,?,?
0.34,0.49,?,?,0.58,0.85,0.8,im
?,?,0.48,?,0.58,0.75,0.78,im
?,0.61,?,0.5,?,?,0.87,im
0.27,0.35,0.48,0.5,0.51,0.77,0.79,?
0.52,0.39,0.48,0.5,0.65,0.71,0.73,im
0.29,?,?,0.5,0.71,?,?,im
0.55,?,0.48,0.5,0.57,?,?,?
?,0.67,0.48,?,0.74,?,0.63,im
0.4,0.5,?,0.5,?,0.82,?,im
0.73,0.36,?,0.5,?,0.91,0.92,?
?,?,0.48,0.5,?,?,?,im
0.48,?,0.48,0.5,?,0.78,?,im
0.54,0.49,0.48,0.5,0.4,0.87,?,im
0.48,0.41,0.48,0.5,?,0.9,0.88,im
0.5,0.66,0.48,0.5,?,0.92,0.92,?
0.72,0.46,?,?,0.51,0.66,0.7,im
?,0.55,0.48,0.5,?,0.71,0.75,im
?,0.56,0.48,?,0.33,0.78,0.8,im
?,?,0.48,0.5,?,?,0.73,im
?,0.57,0.48,?,0.56,?,?,im
?,?,0.48,0.5,0.52,0.76,0.79,im
?,?,?,?,?,?,0.86,?
0.49,?,0.48,0.5,0.53,0.79,?,im
0.31,0.5,0.48,0.5,?,0.84,?,im
0.74,?,0.48,0.5,0.55,0.88,0.89,im
0.33,0.45,0.48,0.5,0.45,0.88,?,?
0.45,0.4,0.48,0.5,?,0.74,0.77,?
?,0.4,?,?,?,0.7,0.74,?
0.5,0.37,0.48,0.5,0.66,?,0.69,?
0.66,0.53,0.48,0.5,0.59,?,0.66,?
0.6,?,0.48,0.5,0.54,0.67,?,im
0.83,?,?,0.5,?,?,0.74,?
0.34,0.51,?,?,?,0.9,0.9,?
0.63,?,0.48,?,?,0.79,0.81,im
0.7,0.4,0.48,0.5,?,0.86,0.83,im
0.6,0.5,1.0,0.5,?,0.77,0.8,im
?,0.51,0.48,0.5,0.33,?,0.48,im
?,0.7,0.48,0.5,?,?,0.69,im
?,0.46,0.48,0.5,?,?,0.81,im
?,0.55,?,0.5,?,0.72,?,?
0.7,0.46,0.48,0.5,0.56,?,?,im
?,?,?,0.5,0.63,?,?,?
0.61,0.52,0.48,0.5,0.54,?,?,im
0.33,0.37,0.48,0.5,0.46,0.65,0.69,im
?,0.65,0.48,?,0.66,0.67,0.71,im
0.41,0.51,0.48,?,0.53,?,0.78,im
0.34,0.67,?,0.5,0.52,0.76,0.79,im
0.58,0.34,0.48,?,?,0.87,?,im
0.59,0.56,0.48,?,0.55,0.8,0.82,im
?,0.4,0.48,0.5,0.57,?,?,im
?,0.57,0.48,0.5,?,?,?,im
0.6,?,0.48,?,?,?,0.83,?
0.37,0.47,?,0.5,0.39,0.76,?,im
0.58,0.55,0.48,?,0.57,?,0.74,?
?,0.47,?,0.5,0.51,0.69,0.72,im
?,?,0.48,0.5,0.52,0.72,?,?
0.35,0.51,?,?,0.61,0.71,0.74,im
0.31,?,?,0.5,0.5,?,?,im
0.61,?,0.48,0.5,0.46,0.87,0.88,im
0.48,?,0.48,0.5,0.52,?,0.71,im
?,?,0.48,?,0.58,0.72,?,im
0.31,0.36,0.48,?,0.58,0.94,0.94,im
?,?,0.48,0.5,0.71,?,0.78,?
?,0.39,?,0.5,0.57,0.76,0.79,im
0.52,?,0.48,0.5,0.62,0.76,0.79,im
?,0.59,0.48,?,0.36,?,0.23,im
?,?,0.48,0.5,?,0.79,0.17,im
0.0,?,?,0.5,?,?,?,?
0.1,0.49,0.48,?,?,?,0.21,?
