@relation dataset

@attribute mcg real
@attribute gvh real
@attribute lip real
@attribute aac real
@attribute alm1 real
@attribute alm2 real
@attribute class {0, 1, 2, 3, 4, 5, 6, 7}


@data

?,0.29,?,0.56,?,0.35,?
?,?,0.48,0.54,0.35,?,0
0.56,0.4,?,0.49,?,0.46,0
0.59,?,0.48,0.52,0.45,?,0
0.23,?,0.48,0.55,0.25,0.35,0
0.67,0.39,0.48,0.36,0.38,0.46,0
0.29,?,0.48,?,0.23,?,0
0.21,?,?,0.51,?,0.39,0
?,0.44,?,0.46,0.51,?,0
0.42,0.4,0.48,0.56,?,0.3,0
?,0.24,0.48,?,?,0.37,0
0.25,?,0.48,0.44,0.17,?,0
0.39,0.32,0.48,0.46,0.24,0.35,0
?,0.5,0.48,0.46,0.32,0.35,?
?,0.43,0.48,0.48,0.16,?,0
?,?,0.48,0.46,?,?,?
0.34,0.45,?,0.38,?,0.35,0
0.44,0.27,?,0.55,0.52,?,0
0.23,0.4,?,?,0.28,0.38,0
0.41,?,0.48,0.39,?,0.32,?
0.4,0.45,0.48,?,0.22,0.0,0
0.31,?,0.48,0.73,?,?,?
?,?,0.48,?,0.34,0.43,?
0.3,0.16,?,0.56,0.11,0.23,0
0.36,0.39,?,0.48,?,0.23,0
0.29,0.37,0.48,0.48,?,?,0
0.25,0.4,?,0.47,0.33,0.42,0
?,?,0.48,0.5,0.32,0.41,0
0.43,0.37,0.48,0.53,0.35,0.44,0
0.43,0.39,0.48,0.47,?,0.41,?
0.53,?,?,0.44,0.26,0.36,0
0.34,0.33,0.48,0.38,0.35,0.44,0
0.56,?,?,?,0.37,?,0
0.4,0.29,?,0.42,?,?,0
0.24,0.35,0.48,0.31,0.19,0.31,0
?,0.54,?,0.41,?,0.46,?
0.29,0.52,0.48,0.42,0.29,?,0
?,0.47,0.48,0.59,0.3,0.4,0
?,0.42,0.48,?,0.28,0.38,?
0.38,0.46,?,?,?,0.29,0
0.33,?,0.48,0.52,?,0.41,0
0.3,?,?,0.59,?,0.49,0
?,0.5,0.48,?,0.39,0.47,0
0.28,0.38,0.48,0.5,?,0.42,0
0.61,0.45,?,0.48,0.35,0.41,0
0.17,?,0.48,0.45,?,0.5,?
0.44,0.35,?,0.55,0.55,0.61,0
0.43,0.4,0.48,0.39,?,?,0
?,0.35,?,0.58,0.15,0.27,?
?,0.33,0.48,0.43,?,?,0
0.37,0.52,0.48,0.42,0.42,?,0
?,0.3,0.48,?,0.03,0.17,0
0.22,0.36,?,0.35,0.39,?,0
?,0.58,0.48,0.37,0.53,0.59,0
?,?,0.48,?,0.16,0.26,0
0.54,0.47,0.48,0.28,0.33,0.42,0
0.51,0.37,0.48,0.35,0.36,0.45,0
?,?,0.48,0.45,0.33,0.42,0
0.44,?,0.48,0.3,0.33,0.43,?
0.42,0.38,0.48,0.54,0.34,0.43,0
0.44,?,?,?,?,?,0
0.52,0.36,0.48,0.41,0.28,?,0
0.36,0.41,0.48,0.48,0.47,0.54,0
?,0.3,?,0.46,0.24,0.35,0
?,0.29,0.48,0.51,0.33,?,?
0.24,0.43,?,0.54,?,0.59,0
0.25,0.37,0.48,0.41,0.33,0.42,0
0.52,0.57,0.48,0.42,0.47,0.54,0
0.25,0.37,0.48,?,0.26,?,0
0.35,0.48,0.48,0.56,0.4,0.48,?
0.26,0.26,0.48,0.34,?,0.35,0
0.44,0.51,0.48,?,0.26,?,0
0.37,0.5,0.48,?,0.36,0.45,0
?,0.42,?,?,?,0.2,0
0.24,?,0.48,0.37,?,?,?
?,?,0.48,0.48,0.26,?,?
0.48,0.42,0.48,0.45,?,0.35,0
?,0.48,0.48,0.51,0.44,?,0
0.44,?,0.48,0.43,0.27,?,0
0.29,0.41,0.48,?,0.38,?,0
0.34,0.28,0.48,?,0.35,0.44,0
0.41,?,?,0.45,?,?,0
0.29,0.47,?,0.41,0.23,0.34,?
?,?,?,?,0.31,0.41,0
?,0.56,0.48,0.43,0.45,?,0
?,?,0.48,?,0.49,?,0
0.5,?,?,0.49,0.46,?,0
?,?,0.48,0.37,0.36,?,0
0.5,0.51,?,0.27,0.23,0.34,0
?,0.42,?,0.16,0.29,0.39,0
0.34,?,0.48,0.52,0.35,0.44,0
?,0.42,?,0.37,?,0.27,0
0.41,0.43,0.48,0.5,?,?,0
0.3,0.45,0.48,0.36,0.21,0.32,?
0.31,?,0.48,0.29,?,?,0
0.64,?,0.48,?,0.35,0.38,0
0.35,?,?,?,?,0.43,?
?,0.54,0.48,0.37,?,0.33,0
0.65,0.55,0.48,0.34,0.37,0.28,0
0.51,?,0.48,?,0.31,0.41,0
0.38,?,0.48,0.63,?,0.35,0
0.24,?,?,0.63,0.34,0.43,0
0.38,0.26,0.48,?,0.16,0.28,?
0.33,0.47,0.48,0.53,0.18,0.29,0
0.24,0.34,0.48,?,?,0.4,0
0.26,?,0.48,0.44,0.32,0.41,0
0.44,0.49,0.48,0.39,0.38,0.4,0
0.43,?,0.48,0.33,0.45,?,0
0.49,?,0.48,?,0.3,0.4,?
0.47,0.28,0.48,?,0.2,?,?
0.32,0.33,?,?,?,0.2,0
0.34,0.35,0.48,0.51,0.49,0.56,0
0.35,0.34,0.48,0.46,0.3,0.27,?
0.38,0.3,?,?,0.29,0.39,0
?,0.44,0.48,0.43,0.2,0.31,?
0.41,?,0.48,0.58,0.2,0.31,?
0.34,0.42,0.48,0.41,0.34,0.43,0
0.51,0.49,0.48,0.53,?,0.26,0
?,?,?,?,?,0.5,0
?,0.28,0.48,0.5,0.42,0.5,0
0.25,0.26,0.48,0.39,0.32,0.42,0
?,0.41,0.48,?,?,0.34,0
?,0.39,0.48,0.53,0.3,?,?
?,0.31,0.48,0.41,0.29,0.39,?
0.61,0.36,?,?,0.35,?,0
0.34,0.51,0.48,0.44,?,0.46,0
0.28,0.33,?,?,0.22,?,0
0.4,0.46,0.48,0.42,0.35,?,0
?,0.34,0.48,0.43,0.26,0.37,0
0.37,0.44,?,0.42,0.39,0.47,?
?,?,?,0.42,0.48,0.55,0
0.39,?,0.48,0.38,?,0.43,0
0.3,0.44,0.48,?,0.22,0.33,0
0.27,0.3,0.48,0.71,?,0.39,?
?,?,0.48,0.49,?,?,0
0.36,?,0.48,?,0.32,0.41,0
0.3,0.37,0.48,?,0.18,0.3,?
0.26,0.4,0.48,0.36,0.26,?,0
0.4,0.41,0.48,0.55,?,?,0
?,0.34,0.48,?,0.29,?,?
0.44,0.35,0.48,0.44,0.52,0.59,0
0.27,?,?,0.37,0.38,0.43,0
?,0.43,0.48,?,0.27,?,0
0.06,0.61,?,0.49,0.92,0.37,1
0.44,0.52,0.48,0.43,0.47,0.54,1
?,?,?,0.51,0.82,?,1
?,0.48,?,0.59,0.88,?,1
0.34,0.49,0.48,0.58,0.85,0.8,1
0.43,0.4,0.48,0.58,0.75,0.78,1
0.46,0.61,0.48,?,0.86,0.87,?
0.27,0.35,0.48,0.51,0.77,?,?
