@relation dataset

@attribute class {0, 1, 2}
@attribute Alcohol real
@attribute Malic_acid real
@attribute Ash real
@attribute Alcalinity_of_ash real
@attribute Magnesium real
@attribute Total_phenols real
@attribute Flavanoids real
@attribute Nonflavanoid_phenols real
@attribute Proanthocyanins real
@attribute Color_intensity real
@attribute Hue real
@attribute OD280_OD315_of_diluted_wines real
@attribute Proline real


@data

0,14.23,1.71,2.43,15.6,?,2.8,3.06,0.28,?,5.64,1.04,3.92,1065.0
?,?,1.78,?,11.2,100.0,?,2.76,?,1.28,4.38,1.05,3.4,1050.0
?,?,?,2.67,18.6,101.0,2.8,?,0.3,2.81,?,?,?,1185.0
?,14.37,1.95,?,16.8,113.0,3.85,3.49,?,2.18,7.8,0.86,?,?
0,?,2.59,2.87,?,118.0,2.8,2.69,0.39,1.82,4.32,1.04,2.93,?
0,?,1.76,2.45,?,?,3.27,?,?,1.97,6.75,1.05,2.85,1450.0
?,14.39,?,?,?,?,?,2.52,?,1.98,?,1.02,3.58,1290.0
0,14.06,2.15,2.61,?,121.0,?,?,0.31,1.25,5.05,1.06,?,1295.0
?,14.83,?,2.17,14.0,97.0,2.8,2.98,0.29,1.98,?,1.08,2.85,1045.0
0,?,1.35,?,?,98.0,?,3.15,?,1.85,7.22,?,3.55,1045.0
?,14.1,2.16,2.3,?,?,2.95,3.32,0.22,2.38,?,1.25,?,?
?,?,1.48,?,?,?,?,?,0.26,1.57,5.0,?,2.82,1280.0
?,13.75,1.73,2.41,16.0,?,?,2.76,?,1.81,5.6,?,?,?
?,14.75,?,2.39,11.4,91.0,3.1,3.69,?,2.81,5.4,?,2.73,?
?,?,1.87,2.38,?,?,3.3,?,?,?,?,1.2,3.0,1547.0
0,?,1.81,?,17.2,?,2.85,?,0.3,1.46,7.3,?,?,?
?,?,?,?,?,120.0,?,?,?,1.97,?,?,2.65,?
0,13.83,1.57,?,20.0,115.0,?,?,?,?,?,?,2.57,?
?,14.19,?,2.48,?,108.0,?,3.93,0.32,1.86,?,?,2.82,?
?,13.64,3.1,2.56,15.2,?,?,3.03,?,1.66,?,0.96,3.36,845.0
?,14.06,1.63,?,?,126.0,3.0,?,?,2.1,?,?,3.71,780.0
0,12.93,?,2.65,18.6,102.0,2.41,?,?,?,?,1.03,3.52,770.0
?,?,1.86,?,16.6,?,2.61,?,0.27,?,3.8,?,?,?
0,?,1.6,2.52,?,95.0,?,?,?,?,3.93,1.09,3.63,1015.0
?,?,1.81,?,20.0,?,2.53,2.61,0.28,1.66,?,1.12,3.82,?
?,13.05,?,?,25.0,?,?,?,0.47,1.92,3.58,?,?,830.0
?,?,1.77,?,?,93.0,?,2.94,?,?,?,0.92,3.22,?
0,?,?,2.14,17.0,94.0,2.4,2.19,0.27,?,3.95,?,?,1285.0
0,?,1.9,?,?,107.0,?,2.97,0.37,1.76,?,?,?,915.0
?,14.02,?,?,16.0,?,?,?,?,?,4.7,1.04,?,?
?,?,?,?,22.5,101.0,3.0,?,0.29,?,?,?,2.71,?
?,?,?,?,19.1,106.0,?,?,0.22,?,6.9,1.09,?,?
?,13.68,1.83,2.36,?,?,2.42,?,?,1.97,?,?,?,990.0
