@relation dataset

@attribute buying {vhigh, high, med, low}
@attribute maint {vhigh, high, med, low}
@attribute doors {2, 3, 4, 5more}
@attribute persons {2, 4, more}
@attribute lug_boot {small, med, big}
@attribute safety {low, med, high}
@attribute class {unacc, acc, good, vgood}


@data

vhigh,vhigh,2,?,small,low,unacc
vhigh,vhigh,?,2,small,med,unacc
?,vhigh,?,2,small,high,unacc
vhigh,vhigh,2,2,med,low,?
vhigh,vhigh,2,2,med,med,unacc
vhigh,vhigh,2,2,med,high,unacc
vhigh,vhigh,2,2,big,low,?
vhigh,vhigh,2,2,big,med,unacc
vhigh,vhigh,2,2,big,high,unacc
vhigh,vhigh,2,4,small,low,unacc
vhigh,?,2,4,small,med,unacc
vhigh,vhigh,2,4,small,high,unacc
vhigh,vhigh,2,?,med,low,unacc
vhigh,vhigh,2,4,med,med,unacc
vhigh,vhigh,2,4,med,high,unacc
vhigh,vhigh,2,4,big,low,unacc
vhigh,?,2,4,big,med,?
vhigh,vhigh,2,4,big,high,unacc
vhigh,?,2,more,small,low,unacc
vhigh,vhigh,2,more,small,?,unacc
?,vhigh,2,more,small,?,?
?,vhigh,2,more,med,low,unacc
vhigh,vhigh,2,more,med,med,?
vhigh,vhigh,2,more,med,high,unacc
vhigh,vhigh,2,more,big,low,unacc
vhigh,vhigh,2,more,big,med,unacc
vhigh,vhigh,2,more,big,high,unacc
vhigh,vhigh,3,?,small,?,unacc
vhigh,vhigh,3,2,small,med,unacc
vhigh,vhigh,3,2,small,high,unacc
vhigh,vhigh,3,2,med,low,unacc
vhigh,vhigh,3,2,med,med,unacc
vhigh,vhigh,3,2,med,high,unacc
?,vhigh,3,?,big,?,unacc
vhigh,vhigh,3,2,big,med,unacc
vhigh,vhigh,3,2,big,high,unacc
vhigh,vhigh,3,4,small,?,unacc
vhigh,vhigh,?,4,small,med,unacc
vhigh,vhigh,3,?,small,?,unacc
vhigh,vhigh,3,4,med,low,unacc
vhigh,vhigh,3,4,med,med,unacc
?,vhigh,3,4,?,high,unacc
vhigh,vhigh,3,4,big,low,unacc
vhigh,vhigh,?,4,big,?,unacc
?,vhigh,3,?,big,high,unacc
vhigh,vhigh,3,more,small,low,unacc
vhigh,vhigh,3,more,small,med,unacc
vhigh,vhigh,?,?,small,high,unacc
vhigh,?,3,more,med,low,unacc
vhigh,vhigh,3,more,med,med,unacc
vhigh,vhigh,3,?,med,?,unacc
vhigh,vhigh,?,?,?,low,unacc
vhigh,vhigh,3,more,big,med,unacc
vhigh,?,?,more,big,high,unacc
vhigh,vhigh,4,2,small,low,unacc
vhigh,vhigh,4,2,small,med,unacc
vhigh,vhigh,4,2,small,high,unacc
vhigh,?,4,2,med,low,unacc
?,vhigh,4,?,med,med,unacc
vhigh,vhigh,4,2,?,?,unacc
vhigh,vhigh,4,2,big,?,unacc
vhigh,?,4,?,big,med,unacc
vhigh,vhigh,?,2,big,high,unacc
?,vhigh,4,4,small,low,unacc
vhigh,vhigh,4,4,small,med,unacc
vhigh,vhigh,4,4,small,high,unacc
?,vhigh,4,4,?,low,unacc
vhigh,vhigh,4,4,med,med,unacc
vhigh,vhigh,4,4,med,high,unacc
vhigh,vhigh,4,4,big,?,unacc
vhigh,vhigh,4,4,big,?,?
vhigh,vhigh,4,4,big,high,unacc
vhigh,vhigh,4,more,small,low,?
vhigh,vhigh,4,more,small,med,unacc
vhigh,vhigh,4,more,small,high,unacc
vhigh,vhigh,4,more,med,low,unacc
vhigh,?,4,more,med,med,unacc
?,vhigh,?,more,med,high,unacc
vhigh,vhigh,4,more,big,?,unacc
vhigh,?,4,more,big,med,unacc
?,vhigh,4,more,big,?,unacc
vhigh,?,5more,2,small,low,unacc
vhigh,vhigh,5more,2,small,med,unacc
vhigh,vhigh,5more,2,?,high,unacc
vhigh,vhigh,5more,2,med,low,unacc
vhigh,vhigh,5more,2,med,med,unacc
vhigh,vhigh,?,?,med,high,unacc
vhigh,vhigh,5more,2,big,?,unacc
vhigh,vhigh,5more,2,?,med,unacc
vhigh,vhigh,5more,2,big,high,?
vhigh,vhigh,5more,4,small,low,unacc
vhigh,vhigh,5more,4,small,med,unacc
vhigh,vhigh,?,4,small,high,unacc
vhigh,vhigh,5more,4,med,low,unacc
vhigh,vhigh,5more,4,med,med,unacc
vhigh,?,5more,4,med,high,unacc
vhigh,vhigh,5more,4,big,low,unacc
vhigh,vhigh,5more,4,big,med,unacc
?,vhigh,5more,4,big,high,unacc
vhigh,vhigh,5more,more,small,low,unacc
vhigh,vhigh,5more,more,small,med,unacc
