@relation dataset

@attribute eccentricity real
@attribute aspect_ratio real
@attribute elongation real
@attribute solidity real
@attribute stoc_convexity real
@attribute iso_factor real
@attribute max_in_depth real
@attribute lobedness real
@attribute avg_intensity real
@attribute avg_contrast real
@attribute smoothness real
@attribute third_moment real
@attribute uniformity real
@attribute entropy real


@data

?,1.4742,0.32396,0.98535,1.0,0.83592,0.0046566,0.0039465,?,0.12795,0.016108,0.0052323,2.7477E-4,1.1756
?,1.5257,0.36116,0.98152,0.99825,?,0.0052423,0.0050016,?,0.090476,0.0081195,?,?,0.69659
?,1.5725,?,0.97755,1.0,?,?,0.010121,0.011897,?,0.0032891,?,3.7886E-5,?
?,?,?,0.97566,1.0,0.81697,0.0068768,?,?,0.065491,?,0.0011544,?,0.58785
?,?,?,0.97698,1.0,0.75493,0.007428,0.010042,0.0079379,?,0.0020514,?,?,?
0.72997,1.4892,0.34284,?,1.0,0.84482,0.0049451,?,0.010487,0.058528,?,0.0011248,2.4798E-5,?
?,1.7529,0.44458,?,?,?,0.0059279,0.0063954,?,0.080587,0.0064523,0.0022713,?,0.53904
0.77982,?,?,0.98512,0.99825,0.80816,0.0050987,?,0.024875,0.089686,0.0079794,?,1.4676E-4,0.66975
0.83089,1.8199,?,0.9824,1.0,0.77106,0.0060055,?,0.0072447,0.040616,0.0016469,?,3.2863E-5,?
0.90631,2.3906,0.58336,?,0.99825,?,0.0084019,?,0.0070096,?,?,?,?,0.28082
0.7459,1.4927,?,0.98296,1.0,0.83088,?,?,?,0.036511,0.0013313,3.0872E-4,?,?
?,1.6934,0.43387,?,1.0,?,?,0.011071,0.013677,0.057832,0.0033334,8.1648E-4,1.3855E-4,?
0.93361,2.7582,?,0.98346,1.0,0.59851,0.0055336,?,?,0.089889,0.0080153,0.0020648,2.3883E-4,?
0.91186,2.4994,0.60323,?,1.0,0.64916,0.0061494,?,0.018887,?,0.0052267,0.0014887,8.3271E-5,?
0.89063,2.2927,?,?,1.0,0.66427,?,0.0014643,?,?,?,?,?,0.87177
?,?,0.51464,0.98691,1.0,0.70277,0.0054439,?,0.030348,?,?,0.0022541,1.9854E-4,0.94545
?,?,0.61648,0.9787,?,?,?,0.0046404,?,?,0.0066839,0.0018929,?,?
?,?,?,0.97835,0.99825,?,?,0.0063874,?,0.092969,?,0.0021199,?,?
?,?,0.4892,?,?,0.70267,0.0039733,0.0028733,0.020258,?,0.0049933,0.0012274,1.4929E-4,0.74174
0.89084,2.2979,0.57815,?,1.0,?,?,?,0.028461,0.086477,0.0074228,0.0018832,?,?
0.93062,?,?,0.98182,1.0,?,0.0064894,?,?,0.072237,?,0.0011217,2.5558E-4,?
?,?,?,0.99039,?,?,?,?,0.062798,0.13234,0.017213,?,6.5523E-4,?
?,?,0.36317,0.9211,0.98772,0.60555,?,?,?,0.20088,?,0.015895,4.049E-4,1.5371
?,1.2065,0.32559,?,?,?,0.013388,?,?,0.097143,?,?,3.6303E-5,0.5341
0.61289,?,0.33117,0.92405,0.98421,0.61661,?,?,0.054687,0.1606,?,?,?,1.1076
0.70668,1.251,?,0.94226,0.99825,?,0.019432,0.068724,0.031587,?,?,0.0053112,?,0.72247
