@relation dataset

@attribute eccentricity real
@attribute aspect_ratio real
@attribute elongation real
@attribute solidity real
@attribute stoc_convexity real
@attribute iso_factor real
@attribute max_in_depth real
@attribute lobedness real
@attribute avg_intensity real
@attribute avg_contrast real
@attribute smoothness real
@attribute third_moment real
@attribute uniformity real
@attribute entropy real


@data

0.72694,1.4742,?,0.98535,?,?,?,?,0.04779,0.12795,?,0.0052323,2.7477E-4,?
?,1.5257,?,0.98152,0.99825,0.79867,0.0052423,0.0050016,0.02416,?,0.0081195,?,7.4846E-5,0.69659
0.76722,1.5725,0.38998,?,?,0.80812,?,?,?,0.057445,0.0032891,?,3.7886E-5,0.44348
?,1.4597,0.35376,?,1.0,0.81697,0.0068768,0.0086068,0.01595,?,0.0042707,0.0011544,6.6272E-5,?
0.82301,?,0.44462,?,1.0,?,0.007428,0.010042,0.0079379,0.045339,?,5.5986E-4,2.3504E-5,0.34214
0.72997,1.4892,0.34284,?,1.0,?,0.0049451,?,0.010487,0.058528,?,?,2.4798E-5,0.34068
0.82063,?,0.44458,?,?,?,?,0.0063954,0.018375,0.080587,?,0.0022713,?,0.53904
0.77982,1.6215,0.39222,0.98512,0.99825,0.80816,0.0050987,?,0.024875,?,?,?,?,0.66975
0.83089,?,0.45693,0.9824,1.0,0.77106,0.0060055,?,?,0.040616,?,3.8812E-4,3.2863E-5,0.33696
0.90631,2.3906,0.58336,0.97683,0.99825,?,0.0084019,0.012848,?,0.042347,0.0017901,4.5889E-4,2.8251E-5,0.28082
0.7459,1.4927,?,?,1.0,0.83088,0.0055665,0.0056395,0.0057679,0.036511,0.0013313,3.0872E-4,3.1839E-5,0.25026
0.79606,1.6934,0.43387,?,1.0,0.76985,?,0.011071,?,?,0.0033334,?,?,0.49751
?,2.7582,?,0.98346,?,0.59851,0.0055336,0.0055731,0.029712,?,?,0.0020648,2.3883E-4,0.91499
0.91186,2.4994,0.60323,0.983,?,?,?,?,0.018887,0.072486,?,0.0014887,8.3271E-5,0.67811
?,2.2927,0.56667,0.98732,1.0,0.66427,0.0028365,0.0014643,0.029272,0.091328,?,0.0022383,2.0166E-4,?
0.86755,2.009,?,0.98691,1.0,0.70277,0.0054439,?,?,0.092063,?,?,1.9854E-4,?
0.91852,2.5247,?,0.9787,1.0,0.63037,?,0.0046404,?,0.082029,0.0066839,?,1.2452E-4,0.71713
?,2.2038,0.56218,0.97835,?,?,0.0059242,0.0063874,0.032722,0.092969,0.0085691,0.0021199,2.7729E-4,1.008
?,1.9548,0.4892,0.98622,?,0.70267,?,0.0028733,0.020258,0.070841,0.0049933,?,1.4929E-4,?
0.89084,2.2979,?,?,?,0.64598,0.015271,0.042443,0.028461,0.086477,0.0074228,?,2.4345E-4,0.91307
0.93062,2.8973,0.65828,0.98182,?,?,0.0064894,?,0.023606,0.072237,?,?,2.5558E-4,0.90513
?,1.86,?,0.99039,?,0.75976,?,0.0039793,?,0.13234,0.017213,0.0044528,6.5523E-4,1.653
0.70273,1.2099,0.36317,?,?,?,?,0.10134,?,0.20088,?,?,4.049E-4,1.5371
0.66307,1.2065,0.32559,0.94952,0.99649,?,?,0.032621,0.021815,?,?,0.0040284,3.6303E-5,0.5341
0.61289,?,0.33117,0.92405,0.98421,?,0.025545,0.11877,0.054687,?,0.025145,0.011672,1.2121E-4,1.1076
?,1.251,0.38111,?,0.99825,0.6925,?,0.068724,?,0.11502,0.013056,?,8.6352E-5,0.72247
0.66889,1.1435,?,0.90355,?,0.60571,0.028329,?,0.057506,0.15931,0.024752,0.010304,1.8533E-4,?
0.50139,?,?,?,0.99825,?,?,?,0.054635,?,?,0.011106,1.6162E-4,?
0.60803,?,0.3446,0.90487,?,0.67517,?,0.18538,?,0.16411,0.026225,0.010602,?,1.2307
0.56599,1.0427,?,?,0.99825,0.62068,0.032971,?,0.026348,?,0.011088,0.0046505,?,?
?,1.1632,?,?,?,0.61136,0.030339,0.16753,?,?,0.027633,0.012886,1.5525E-4,1.0815
?,1.084,0.32592,0.92056,?,0.65698,0.024753,0.11151,?,0.14722,?,0.010881,6.468E-5,0.83221
0.39432,?,?,0.96806,0.99298,0.73417,?,0.028432,0.073063,0.13718,0.01847,?,9.0977E-4,1.8893
0.62011,1.3298,0.2836,0.96952,0.99825,?,0.0086562,?,0.04722,0.1186,?,?,?,1.2024
0.73429,?,0.40827,0.94518,?,?,?,?,0.038113,0.092188,?,0.0017773,4.7378E-4,1.335
0.64161,1.3004,0.31556,?,0.97895,?,0.017963,?,?,?,0.0067132,0.0014678,?,1.2359
?,?,?,?,?,?,?,?,0.020413,0.065575,0.0042817,8.9749E-4,?,?
?,?,?,0.95593,0.99474,?,0.012904,0.030306,?,0.064242,0.0041101,7.9505E-4,2.6812E-4,0.87687
?,1.1286,?,?,1.0,?,?,?,?,0.078211,0.0060798,0.0015299,1.5762E-4,1.0326
0.53017,1.2503,0.23254,?,1.0,0.82703,0.0066263,0.0079913,0.048541,0.10941,0.011828,0.0027809,?,?
?,?,0.63151,0.83923,?,?,?,0.34539,?,?,?,?,2.2842E-4,?
0.88075,1.736,0.58345,0.83383,0.91754,0.41551,?,0.29973,?,?,0.0099932,?,2.5802E-4,1.0952
0.86545,1.8803,?,0.82443,0.85439,0.33077,0.047,?,0.039518,0.1157,0.01321,?,2.0084E-4,1.0136
?,2.4151,0.7298,?,?,0.33439,0.080539,1.1805,?,?,0.014314,0.0039983,?,?
?,2.222,?,0.82432,?,?,0.038012,0.26298,0.059981,0.14901,0.021723,?,2.8398E-4,1.353
0.90944,?,0.69555,0.80873,?,0.31039,0.047267,0.40663,?,0.10517,?,0.0028913,2.9366E-4,?
?,2.0494,0.64925,0.81682,0.83509,0.35318,?,0.45418,0.041808,0.12036,?,?,1.7096E-4,?
?,2.3898,?,0.84434,0.90526,0.37007,0.039277,?,0.048447,0.11955,0.014091,0.0037887,4.2459E-4,?
0.88172,1.774,0.63974,0.8499,?,?,?,0.4879,?,0.1519,?,0.0080813,?,?
0.86224,?,?,0.85754,?,?,0.050792,?,?,0.16335,0.025989,0.010189,?,1.3343
?,1.6657,0.59909,0.84493,0.85614,0.32056,0.048803,?,0.079282,?,0.033338,0.013523,2.7502E-4,1.5377
0.82135,1.6035,?,0.84981,?,?,?,?,0.069239,?,?,?,3.2134E-4,?
?,1.0544,?,?,0.47544,?,?,4.0212,?,0.053494,0.0028534,8.7543E-4,?,0.53199
?,1.0544,?,?,0.59649,?,?,3.2176,0.014816,0.067044,?,?,3.792E-5,0.52114
?,1.2115,0.68343,0.76364,0.56667,0.23896,?,2.1022,?,?,0.0064581,0.0018312,?,0.90702
0.52744,1.0419,0.51662,0.77201,0.84211,0.33784,0.11438,?,0.0254,0.082047,0.0066868,0.0017982,?,0.944
