@relation dataset

@attribute eccentricity real
@attribute aspect_ratio real
@attribute elongation real
@attribute solidity real
@attribute stoc_convexity real
@attribute iso_factor real
@attribute max_in_depth real
@attribute lobedness real
@attribute avg_intensity real
@attribute avg_contrast real
@attribute smoothness real
@attribute third_moment real
@attribute uniformity real
@attribute entropy real


@data

0.72694,1.4742,0.32396,0.98535,?,0.83592,0.0046566,0.0039465,?,0.12795,0.016108,0.0052323,2.7477E-4,1.1756
0.74173,1.5257,0.36116,0.98152,0.99825,0.79867,0.0052423,?,0.02416,0.090476,0.0081195,0.002708,7.4846E-5,0.69659
?,1.5725,0.38998,?,?,0.80812,?,0.010121,0.011897,0.057445,0.0032891,9.2068E-4,3.7886E-5,0.44348
?,1.4597,0.35376,?,?,0.81697,0.0068768,0.0086068,?,0.065491,0.0042707,0.0011544,6.6272E-5,0.58785
0.82301,?,0.44462,0.97698,1.0,0.75493,0.007428,0.010042,0.0079379,0.045339,?,5.5986E-4,2.3504E-5,0.34214
0.72997,?,0.34284,0.98755,?,0.84482,?,0.0044506,0.010487,0.058528,0.0034138,0.0011248,2.4798E-5,0.34068
0.82063,1.7529,0.44458,?,0.99649,0.7677,0.0059279,0.0063954,?,0.080587,0.0064523,0.0022713,4.1495E-5,0.53904
?,1.6215,0.39222,?,?,?,?,0.0047314,0.024875,0.089686,0.0079794,?,?,?
0.83089,1.8199,0.45693,0.9824,1.0,0.77106,0.0060055,0.006564,0.0072447,?,0.0016469,3.8812E-4,3.2863E-5,0.33696
?,?,0.58336,0.97683,0.99825,0.66419,0.0084019,0.012848,0.0070096,0.042347,0.0017901,4.5889E-4,2.8251E-5,0.28082
0.7459,?,?,?,1.0,?,?,?,?,?,0.0013313,3.0872E-4,?,0.25026
0.79606,?,?,?,?,?,?,0.011071,?,?,?,?,?,?
0.93361,?,0.64257,?,1.0,?,0.0055336,0.0055731,?,?,0.0080153,0.0020648,?,0.91499
?,?,?,?,1.0,?,?,0.0068823,?,?,0.0052267,0.0014887,8.3271E-5,0.67811
0.89063,2.2927,?,0.98732,?,?,0.0028365,?,?,0.091328,?,0.0022383,2.0166E-4,0.87177
0.86755,2.009,0.51464,0.98691,1.0,?,0.0054439,0.0053937,0.030348,0.092063,0.0084044,?,1.9854E-4,?
0.91852,2.5247,0.61648,?,1.0,?,0.0050494,?,0.02309,0.082029,?,?,1.2452E-4,0.71713
?,2.2038,0.56218,?,?,?,?,?,0.032722,?,?,0.0021199,2.7729E-4,?
0.85121,?,0.4892,0.98622,?,?,0.0039733,?,0.020258,0.070841,0.0049933,0.0012274,?,0.74174
0.89084,?,?,0.97389,1.0,?,0.015271,?,?,?,0.0074228,0.0018832,2.4345E-4,?
0.93062,?,0.65828,?,1.0,?,0.0064894,0.0076645,0.023606,0.072237,?,?,2.5558E-4,?
0.84113,1.86,0.46549,0.99039,?,?,?,0.0039793,0.062798,0.13234,?,?,6.5523E-4,1.653
