@relation dataset

@attribute eccentricity real
@attribute aspect_ratio real
@attribute elongation real
@attribute solidity real
@attribute stoc_convexity real
@attribute iso_factor real
@attribute max_in_depth real
@attribute lobedness real
@attribute avg_intensity real
@attribute avg_contrast real
@attribute smoothness real
@attribute third_moment real
@attribute uniformity real
@attribute entropy real


@data

?,?,0.32396,0.98535,?,?,0.0046566,?,0.04779,0.12795,0.016108,?,2.7477E-4,1.1756
0.74173,1.5257,0.36116,?,0.99825,?,?,0.0050016,?,0.090476,0.0081195,?,7.4846E-5,0.69659
?,1.5725,?,?,?,?,?,0.010121,0.011897,0.057445,0.0032891,9.2068E-4,3.7886E-5,?
?,1.4597,0.35376,0.97566,1.0,?,0.0068768,?,?,?,0.0042707,0.0011544,6.6272E-5,0.58785
0.82301,?,0.44462,?,1.0,0.75493,0.007428,0.010042,0.0079379,0.045339,?,5.5986E-4,2.3504E-5,?
0.72997,1.4892,0.34284,0.98755,1.0,?,?,0.0044506,0.010487,0.058528,?,?,2.4798E-5,?
?,1.7529,0.44458,0.97964,?,0.7677,?,?,0.018375,0.080587,0.0064523,?,4.1495E-5,?
0.77982,?,0.39222,0.98512,0.99825,?,0.0050987,?,0.024875,0.089686,0.0079794,0.0024664,1.4676E-4,0.66975
0.83089,1.8199,?,0.9824,1.0,0.77106,0.0060055,0.006564,?,0.040616,?,3.8812E-4,3.2863E-5,?
?,?,0.58336,0.97683,?,0.66419,0.0084019,?,0.0070096,0.042347,?,4.5889E-4,?,?
0.7459,1.4927,?,0.98296,1.0,0.83088,0.0055665,?,0.0057679,0.036511,?,?,3.1839E-5,?
0.79606,1.6934,?,?,1.0,0.76985,0.0077992,0.011071,0.013677,?,0.0033334,8.1648E-4,?,?
?,?,?,?,?,?,0.0055336,0.0055731,0.029712,0.089889,?,0.0020648,?,?
0.91186,?,0.60323,?,1.0,0.64916,0.0061494,0.0068823,0.018887,0.072486,0.0052267,0.0014887,8.3271E-5,0.67811
0.89063,?,0.56667,?,?,0.66427,0.0028365,?,0.029272,?,0.0082717,0.0022383,2.0166E-4,0.87177
?,2.009,?,?,1.0,?,0.0054439,0.0053937,?,0.092063,?,?,?,?
0.91852,2.5247,0.61648,0.9787,?,0.63037,0.0050494,0.0046404,0.02309,0.082029,?,?,1.2452E-4,0.71713
0.88795,2.2038,?,0.97835,0.99825,?,0.0059242,0.0063874,?,0.092969,0.0085691,?,2.7729E-4,?
?,?,?,?,?,0.70267,?,?,?,0.070841,0.0049933,0.0012274,1.4929E-4,0.74174
?,?,?,0.97389,1.0,?,0.015271,?,0.028461,0.086477,0.0074228,0.0018832,2.4345E-4,0.91307
0.93062,?,?,?,1.0,?,0.0064894,0.0076645,0.023606,0.072237,0.005191,0.0011217,?,?
?,?,?,0.99039,?,0.75976,?,0.0039793,0.062798,0.13234,0.017213,0.0044528,?,?
?,1.2099,0.36317,0.9211,0.98772,0.60555,0.023597,0.10134,?,?,0.038786,0.015895,4.049E-4,1.5371
0.66307,1.2065,?,?,0.99649,0.75954,?,0.032621,0.021815,?,0.0093485,0.0040284,?,0.5341
?,1.0991,?,?,?,?,0.025545,?,?,0.1606,?,0.011672,1.2121E-4,?
0.70668,1.251,0.38111,0.94226,0.99825,0.6925,?,0.068724,?,?,0.013056,?,?,0.72247
0.66889,1.1435,?,0.90355,0.99649,0.60571,0.028329,0.14606,0.057506,?,0.024752,0.010304,?,1.1365
0.50139,1.0066,?,?,0.99825,0.64029,0.021782,0.086347,?,0.1598,?,0.011106,1.6162E-4,1.0511
0.60803,?,?,0.90487,?,0.67517,0.031915,?,?,?,?,0.010602,2.2964E-4,?
?,1.0427,0.35318,?,0.99825,?,?,0.19785,?,0.10589,0.011088,?,5.2046E-5,0.62671
0.68605,1.1632,?,?,0.99825,0.61136,0.030339,?,?,0.16858,0.027633,0.012886,1.5525E-4,?
?,?,?,?,?,?,?,?,?,0.14722,?,0.010881,6.468E-5,0.83221
0.39432,?,?,?,0.99298,0.73417,0.012499,0.028432,?,0.13718,0.01847,0.0040597,?,1.8893
0.62011,1.3298,0.2836,?,?,0.77871,?,0.013637,?,0.1186,0.013872,?,4.4188E-4,1.2024
0.73429,1.5069,?,?,?,?,0.014987,?,0.038113,?,0.0084269,?,?,?
0.64161,1.3004,0.31556,0.93324,0.97895,0.65487,0.017963,?,0.030897,?,0.0067132,0.0014678,2.9878E-4,1.2359
?,1.3166,0.28616,?,0.99649,?,?,?,?,0.065575,0.0042817,8.9749E-4,?,0.86218
