@relation dataset

@attribute RI real
@attribute Na real
@attribute Mg real
@attribute Al real
@attribute Si real
@attribute K real
@attribute Ca real
@attribute Ba real
@attribute Fe real
@attribute Type {0, 1, 2, 3, 4, 5, 6}


@data

?,12.79,?,1.12,73.03,0.64,?,0.0,0.0,?
1.51643,12.16,3.52,?,72.89,0.57,8.53,?,0.0,?
1.51793,13.21,3.48,?,72.64,0.59,8.43,0.0,0.0,?
1.51299,14.4,1.74,?,74.55,0.0,?,?,0.0,5
?,12.3,?,1.0,70.16,0.12,16.19,0.0,?,?
1.51655,?,?,1.44,73.27,0.57,8.79,?,0.22,1
1.51779,?,3.65,0.65,73.0,0.06,8.93,?,?,?
1.51837,13.14,2.84,1.28,?,0.55,9.07,0.0,0.0,?
?,14.14,?,2.68,73.39,?,9.07,0.61,?,6
1.51789,13.19,3.9,1.3,72.33,0.55,8.44,0.0,?,1
1.51625,13.36,3.58,?,72.72,?,?,0.0,0.0,?
1.51743,12.2,?,1.16,73.55,?,8.9,0.0,0.24,1
?,?,3.77,0.79,71.99,0.13,10.02,0.0,?,0
1.52121,14.03,3.76,?,71.79,0.11,9.65,0.0,0.0,2
?,13.14,3.45,1.76,?,0.6,?,?,0.17,2
?,13.48,3.48,?,72.52,0.62,7.99,0.0,0.0,1
1.51719,14.75,?,2.0,?,0.0,8.53,1.59,0.08,?
1.51629,12.71,?,1.49,?,0.67,?,?,?,1
?,13.27,0.0,1.76,?,?,11.32,0.0,?,4
1.51811,?,2.96,1.43,72.92,0.6,?,?,?,1
1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0.0,0.17,?
1.52475,?,?,1.88,?,0.81,13.24,0.0,0.34,?
1.51841,?,3.74,1.11,72.28,0.64,?,?,?,1
?,13.39,3.66,1.19,?,0.57,8.27,0.0,0.11,0
1.52058,?,1.61,2.17,72.18,0.76,?,0.24,0.51,4
1.51569,13.24,3.49,?,73.25,0.38,8.03,0.0,0.0,1
?,?,3.52,1.9,72.86,?,7.97,0.0,0.0,1
1.51683,14.56,?,1.98,?,0.0,8.52,1.57,0.07,6
1.51687,13.23,3.54,1.48,72.84,0.56,8.1,0.0,?,1
1.5161,?,3.53,?,?,?,?,?,0.0,?
1.51674,?,3.56,1.64,?,0.65,7.99,0.0,0.0,1
?,13.33,3.34,1.54,72.14,?,8.99,?,0.0,2
1.51115,17.38,0.0,?,75.41,0.0,6.65,0.0,0.0,5
?,13.44,3.61,1.54,72.39,?,8.03,0.0,0.0,?
1.51755,13.0,3.6,1.36,72.99,0.57,8.4,?,0.11,0
1.51571,12.72,3.46,1.56,73.2,0.67,8.09,?,0.24,?
1.51596,?,3.61,1.62,72.97,0.64,8.07,?,?,0
?,12.35,?,1.63,72.87,?,9.23,0.0,0.0,1
1.51662,?,3.51,?,?,?,?,?,0.25,?
1.51409,14.25,3.09,2.08,?,1.1,7.08,?,0.0,1
?,?,3.48,?,72.96,0.64,8.68,0.0,0.0,0
1.51806,13.0,3.8,1.08,73.07,0.56,?,?,?,1
?,13.0,3.58,?,72.83,?,8.04,0.0,0.0,?
?,?,3.34,1.47,73.1,0.39,8.22,0.0,0.0,1
?,13.64,?,0.75,72.65,0.16,8.89,0.15,?,?
1.51755,12.71,3.42,1.2,?,?,8.64,0.0,0.0,0
1.51514,14.01,2.68,?,69.89,1.68,5.87,2.2,?,?
1.51766,13.21,3.69,1.29,72.61,?,8.22,0.0,0.0,0
