@relation dataset

@attribute RI real
@attribute Na real
@attribute Mg real
@attribute Al real
@attribute Si real
@attribute K real
@attribute Ca real
@attribute Ba real
@attribute Fe real
@attribute Type {'build wind float', 'build wind non-float', 'vehic wind float', 'vehic wind non-float', containers, tableware, headlamps}


@data

?,12.79,?,1.12,?,0.64,8.77,0.0,?,'build wind float'
1.51643,12.16,3.52,1.35,72.89,?,8.53,0.0,0.0,'vehic wind float'
1.51793,13.21,3.48,1.41,72.64,?,8.43,0.0,0.0,?
1.51299,14.4,?,1.54,74.55,?,7.59,?,0.0,tableware
1.53393,?,0.0,1.0,?,?,16.19,0.0,0.24,?
?,12.75,2.85,1.44,73.27,?,8.79,?,?,'build wind non-float'
1.51779,?,3.65,?,73.0,?,8.93,?,0.0,'vehic wind float'
?,13.14,2.84,1.28,72.85,0.55,9.07,0.0,0.0,'build wind float'
1.51545,?,0.0,?,73.39,0.08,9.07,?,0.05,headlamps
1.51789,13.19,3.9,1.3,72.33,0.55,8.44,?,?,'build wind non-float'
1.51625,13.36,3.58,?,72.72,0.45,8.21,0.0,0.0,?
?,12.2,3.25,1.16,73.55,?,8.9,0.0,0.24,'build wind non-float'
1.52223,13.21,3.77,?,?,0.13,10.02,0.0,?,'build wind float'
?,14.03,3.76,0.58,?,?,9.65,?,0.0,?
1.51665,13.14,3.45,1.76,72.48,0.6,8.38,?,?,'vehic wind float'
1.51707,?,3.48,1.71,72.52,0.62,7.99,0.0,0.0,?
1.51719,14.75,0.0,2.0,73.02,0.0,8.53,?,?,headlamps
?,12.71,3.33,?,73.28,0.67,?,?,0.0,'build wind non-float'
1.51994,?,?,?,73.03,?,11.32,?,0.0,?
1.51811,?,?,1.43,72.92,0.6,8.79,?,?,'build wind non-float'
1.52152,13.05,3.65,0.87,?,0.19,9.85,?,?,'build wind float'
?,11.45,0.0,1.88,?,0.81,13.24,0.0,0.34,?
1.51841,12.93,?,1.11,72.28,0.64,8.96,?,0.22,'build wind non-float'
1.51754,13.39,?,?,72.79,0.57,8.27,0.0,0.11,'build wind float'
1.52058,?,1.61,2.17,72.18,?,?,0.24,?,?
?,?,3.49,1.47,?,0.38,8.03,?,0.0,?
1.5159,12.82,?,1.9,72.86,0.69,7.97,0.0,0.0,'build wind non-float'
1.51683,?,0.0,?,73.29,?,8.52,1.57,0.07,headlamps
1.51687,13.23,?,1.48,72.84,?,8.1,?,0.0,'build wind non-float'
1.5161,13.33,?,?,?,0.56,?,0.0,?,?
1.51674,?,3.56,1.64,73.14,0.65,7.99,0.0,0.0,'build wind non-float'
1.51832,13.33,?,1.54,72.14,0.56,8.99,0.0,0.0,'vehic wind float'
1.51115,17.38,?,0.34,75.41,?,?,0.0,0.0,tableware
?,?,?,?,72.39,0.66,8.03,?,?,'build wind non-float'
?,?,3.6,1.36,?,0.57,8.4,0.0,?,'build wind float'
1.51571,12.72,3.46,1.56,?,0.67,?,0.0,?,'build wind float'
1.51596,12.79,3.61,?,72.97,?,?,0.0,0.26,?
1.5173,?,2.72,?,72.87,0.7,?,?,?,?
1.51662,?,?,1.44,73.01,0.68,8.23,0.06,0.25,'build wind non-float'
?,14.25,3.09,2.08,72.28,?,7.08,?,?,'build wind non-float'
1.51797,12.74,3.48,?,?,0.64,?,?,0.0,'build wind float'
?,?,?,?,73.07,?,8.38,0.0,?,'build wind non-float'
1.51627,13.0,3.58,1.54,72.83,?,8.04,?,?,'build wind non-float'
?,?,3.34,1.47,73.1,?,8.22,0.0,0.0,'build wind non-float'
1.51934,13.64,3.54,?,72.65,0.16,8.89,0.15,0.24,'vehic wind float'
1.51755,12.71,3.42,1.2,?,0.59,8.64,?,0.0,?
?,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0.0,?
1.51766,13.21,3.69,1.29,?,0.57,8.22,0.0,0.0,'build wind float'
?,13.08,?,1.28,72.86,0.6,?,0.0,0.0,'build wind float'
1.52177,13.2,3.68,?,72.75,0.54,8.52,?,0.0,'build wind non-float'
1.51753,12.57,3.47,1.38,73.39,0.6,8.55,?,0.06,?
?,?,3.63,1.07,72.83,?,8.41,0.09,0.17,'build wind non-float'
1.51743,13.3,3.6,1.14,73.09,?,8.17,0.0,0.0,'build wind float'
1.51593,13.09,3.59,1.52,?,?,7.83,0.0,0.0,'build wind non-float'
?,?,0.0,?,72.85,0.0,?,?,0.0,headlamps
?,13.02,?,1.69,72.73,0.54,8.44,0.0,0.07,?
1.52247,?,?,?,70.26,0.76,9.76,0.0,0.0,headlamps
1.52099,13.69,?,1.12,71.96,0.09,9.4,0.0,0.0,?
?,13.65,?,?,?,0.11,8.6,0.0,0.0,?
?,?,3.89,1.33,72.38,0.51,8.28,?,?,?
?,13.64,?,1.27,71.96,0.54,8.32,0.0,0.32,'build wind non-float'
1.51905,13.6,3.62,1.11,?,0.14,8.76,0.0,0.0,'build wind float'
?,13.29,3.45,1.21,72.74,0.56,8.57,0.0,0.0,'build wind float'
1.52213,14.21,?,0.47,?,?,9.57,0.0,0.0,'build wind float'
1.5232,13.72,?,0.51,71.75,0.09,10.06,0.0,?,'build wind float'
1.51556,13.87,0.0,2.54,?,0.14,9.41,0.81,0.01,headlamps
1.51926,?,?,1.28,72.36,0.6,9.14,0.0,?,?
1.52211,14.19,3.78,0.91,?,0.23,9.14,0.0,0.37,'vehic wind float'
1.53125,?,?,2.1,69.81,0.58,?,3.15,0.28,'build wind non-float'
1.52152,?,3.65,0.87,72.32,?,9.85,?,?,'build wind float'
1.51829,14.46,2.24,1.62,?,0.0,9.26,0.0,0.0,tableware
?,?,3.83,?,72.55,0.57,8.21,?,0.14,'build wind non-float'
1.51888,?,0.78,1.74,72.5,0.0,?,?,0.0,tableware
1.51829,13.24,?,1.41,72.33,0.55,8.31,0.0,0.1,'build wind non-float'
1.523,?,3.58,?,71.99,?,10.17,?,0.03,'build wind float'
