@relation dataset

@attribute RI real
@attribute Na real
@attribute Mg real
@attribute Al real
@attribute Si real
@attribute K real
@attribute Ca real
@attribute Ba real
@attribute Fe real
@attribute Type {'build wind float', 'build wind non-float', 'vehic wind float', 'vehic wind non-float', containers, tableware, headlamps}


@data

1.51793,?,3.5,1.12,73.03,0.64,8.77,0.0,0.0,'build wind float'
1.51643,12.16,?,1.35,72.89,0.57,8.53,0.0,?,?
1.51793,13.21,?,1.41,72.64,0.59,?,?,?,'build wind float'
1.51299,?,?,?,?,0.0,7.59,0.0,0.0,tableware
1.53393,12.3,0.0,1.0,70.16,?,?,?,?,'build wind non-float'
?,?,2.85,1.44,73.27,?,?,0.11,?,?
1.51779,13.64,3.65,?,73.0,0.06,8.93,?,?,?
1.51837,?,2.84,?,72.85,?,9.07,?,0.0,'build wind float'
1.51545,14.14,0.0,2.68,73.39,0.08,9.07,?,0.05,headlamps
?,13.19,3.9,1.3,72.33,0.55,8.44,0.0,?,'build wind non-float'
1.51625,13.36,3.58,1.49,?,?,8.21,?,?,?
1.51743,12.2,3.25,?,73.55,0.62,8.9,0.0,0.24,'build wind non-float'
1.52223,13.21,3.77,?,71.99,0.13,10.02,0.0,0.0,?
1.52121,?,3.76,0.58,?,0.11,?,0.0,0.0,?
?,13.14,?,1.76,72.48,?,8.38,0.0,?,'vehic wind float'
?,13.48,3.48,1.71,72.52,0.62,?,0.0,0.0,'build wind non-float'
?,14.75,?,?,?,0.0,8.53,1.59,0.08,?
1.51629,?,?,?,?,?,?,0.0,0.0,'build wind non-float'
1.51994,?,0.0,1.76,73.03,0.47,11.32,?,?,containers
1.51811,?,2.96,1.43,72.92,0.6,8.79,0.14,0.0,?
1.52152,13.05,3.65,0.87,72.22,0.19,9.85,?,?,'build wind float'
1.52475,11.45,0.0,1.88,72.19,0.81,13.24,0.0,0.34,'build wind non-float'
?,12.93,?,?,72.28,0.64,8.96,0.0,0.22,?
?,13.39,3.66,?,?,0.57,?,0.0,0.11,'build wind float'
?,12.85,?,?,?,0.76,9.7,0.24,?,?
1.51569,13.24,3.49,?,73.25,?,?,0.0,?,'build wind non-float'
?,12.82,?,1.9,72.86,0.69,7.97,?,0.0,?
1.51683,14.56,0.0,1.98,73.29,0.0,8.52,1.57,0.07,?
1.51687,13.23,?,1.48,72.84,0.56,?,0.0,?,?
1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0.0,0.0,?
1.51674,12.87,3.56,1.64,73.14,0.65,7.99,?,?,?
?,13.33,3.34,1.54,72.14,0.56,?,0.0,0.0,?
1.51115,17.38,0.0,?,75.41,?,?,0.0,?,tableware
1.51645,?,3.61,1.54,?,0.66,8.03,0.0,0.0,'build wind non-float'
?,13.0,3.6,1.36,?,?,8.4,0.0,0.11,'build wind float'
1.51571,?,?,?,73.2,0.67,8.09,?,0.24,'build wind float'
?,?,3.61,?,72.97,0.64,8.07,0.0,?,?
1.5173,12.35,?,1.63,?,?,?,?,0.0,'build wind non-float'
1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,?,?
1.51409,14.25,?,2.08,72.28,?,7.08,0.0,0.0,?
1.51797,12.74,?,?,72.96,0.64,?,0.0,0.0,'build wind float'
1.51806,13.0,3.8,1.08,73.07,0.56,8.38,0.0,0.12,'build wind non-float'
1.51627,13.0,3.58,1.54,72.83,0.61,8.04,?,0.0,'build wind non-float'
1.5159,13.24,?,1.47,73.1,0.39,?,0.0,0.0,?
1.51934,?,3.54,0.75,72.65,?,8.89,?,0.24,'vehic wind float'
?,12.71,3.42,1.2,73.2,?,?,0.0,?,?
1.51514,?,2.68,3.5,69.89,?,5.87,2.2,0.0,containers
1.51766,?,?,1.29,72.61,0.57,8.22,0.0,?,'build wind float'
?,13.08,3.49,?,72.86,0.6,?,0.0,0.0,'build wind float'
1.52177,?,3.68,?,?,0.54,8.52,0.0,0.0,'build wind non-float'
?,12.57,3.47,?,73.39,?,8.55,0.0,0.06,'build wind float'
1.51851,13.2,3.63,?,72.83,?,8.41,0.09,0.17,'build wind non-float'
1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0.0,?,'build wind float'
?,13.09,3.59,?,?,0.67,7.83,?,?,'build wind non-float'
1.5164,?,0.0,2.74,?,0.0,9.45,0.54,?,headlamps
1.51735,13.02,3.54,1.69,72.73,0.54,?,0.0,0.07,'build wind float'
?,14.86,2.2,2.06,?,0.76,9.76,0.0,?,headlamps
?,13.69,3.59,1.12,71.96,?,9.4,?,0.0,'build wind float'
1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0.0,?,'vehic wind float'
1.51846,13.41,3.89,1.33,?,0.51,8.28,0.0,?,'build wind non-float'
1.51848,13.64,3.87,1.27,71.96,?,8.32,0.0,0.32,?
1.51905,13.6,3.62,?,?,?,8.76,0.0,0.0,'build wind float'
1.51567,13.29,?,1.21,72.74,?,?,0.0,0.0,'build wind float'
1.52213,14.21,3.82,0.47,?,?,9.57,0.0,0.0,'build wind float'
?,?,3.72,0.51,71.75,0.09,10.06,0.0,?,'build wind float'
1.51556,13.87,0.0,?,73.23,?,?,0.81,0.01,headlamps
1.51926,?,3.33,1.28,?,0.6,?,?,?,'build wind float'
?,?,?,0.91,?,?,9.14,?,0.37,?
?,10.73,0.0,2.1,?,0.58,13.3,3.15,0.28,'build wind non-float'
?,13.05,?,0.87,72.32,0.19,9.85,0.0,0.17,?
1.51829,14.46,2.24,?,72.38,0.0,9.26,?,?,tableware
1.51892,?,3.83,1.26,72.55,0.57,8.21,0.0,0.14,'build wind non-float'
?,?,0.78,?,?,0.0,9.95,0.0,0.0,tableware
1.51829,13.24,3.9,1.41,72.33,?,8.31,0.0,?,'build wind non-float'
1.523,?,3.58,0.82,71.99,0.12,?,0.0,0.03,?
?,?,?,?,?,?,?,0.0,?,'build wind non-float'
1.51768,12.56,?,?,73.15,?,8.54,0.0,0.0,'build wind float'
1.51215,?,3.47,1.12,?,0.62,8.35,0.0,?,'build wind float'
1.51646,13.04,3.4,?,73.01,0.52,8.58,?,0.0,?
?,12.87,?,?,?,0.56,8.43,0.0,0.0,'build wind float'
1.51763,12.8,3.66,1.27,73.01,0.6,8.56,?,0.0,?
?,13.27,3.62,1.24,73.08,?,8.07,0.0,0.0,'build wind float'
?,14.32,3.9,?,71.5,?,?,?,0.0,?
1.51779,?,?,?,?,0.59,8.59,0.0,0.0,'build wind float'
1.52171,11.56,1.88,?,?,?,11.41,?,0.0,containers
1.518,?,?,1.54,71.81,0.54,8.21,0.0,0.15,'build wind non-float'
?,12.64,0.0,0.67,72.02,0.06,14.4,?,?,'build wind non-float'
?,12.82,3.55,?,72.75,0.54,8.52,0.0,?,'build wind float'
1.51764,12.98,?,1.21,73.0,0.65,8.53,0.0,0.0,?
1.52177,?,1.01,1.36,72.19,0.33,?,0.0,0.0,'build wind non-float'
1.51645,14.94,0.0,1.87,?,0.0,8.67,1.38,?,headlamps
1.51786,12.73,3.43,1.19,72.95,0.62,8.76,?,0.3,'build wind float'
1.52152,13.12,?,0.9,?,?,9.82,0.0,?,'build wind float'
?,13.79,?,1.19,72.76,?,9.77,0.0,0.0,tableware
1.51514,14.85,0.0,?,73.72,0.0,8.39,?,0.0,headlamps
1.52172,13.48,3.74,0.9,72.01,0.18,9.61,0.0,0.07,'build wind float'
1.51732,14.95,0.0,?,?,?,?,?,0.0,headlamps
1.5202,13.98,1.35,1.63,?,0.39,10.56,0.0,?,'build wind non-float'
?,?,3.44,1.45,73.06,0.44,8.27,?,?,?
1.51847,?,3.97,1.19,?,0.6,8.43,0.0,0.0,'build wind non-float'
1.51761,?,?,1.36,72.73,0.48,7.83,0.0,0.0,'build wind float'
?,13.3,3.64,?,72.53,0.65,?,0.0,0.29,?
1.52365,15.79,?,1.31,70.43,0.31,?,1.68,?,headlamps
1.51685,?,0.0,1.99,73.06,0.0,?,1.59,0.0,headlamps
?,?,0.0,1.99,73.11,0.0,8.28,?,?,headlamps
?,13.02,?,3.04,70.48,?,6.96,0.0,?,containers
1.51709,?,3.47,?,72.72,0.66,?,0.0,0.0,'build wind non-float'
1.51727,?,0.0,2.34,?,?,8.95,0.66,0.0,headlamps
1.51898,13.58,3.35,1.23,72.08,?,?,0.0,0.0,?
1.51969,12.64,?,1.65,73.75,?,11.53,0.0,0.0,containers
1.5182,12.62,2.76,?,73.81,?,9.42,0.0,0.2,?
1.51617,14.95,0.0,2.27,73.3,0.0,8.71,0.67,?,headlamps
1.51911,13.9,3.73,1.18,72.12,0.06,8.89,0.0,?,'build wind float'
1.51651,?,0.0,1.94,?,0.0,?,?,0.0,headlamps
1.51694,?,3.58,1.31,72.61,0.61,8.79,0.0,0.0,'vehic wind float'
1.52315,?,3.34,1.23,72.38,0.6,8.83,?,0.0,headlamps
1.52068,?,?,?,72.18,0.53,9.57,?,?,?
1.51838,?,3.26,?,71.25,?,?,?,?,headlamps
1.51818,?,0.0,?,?,0.0,10.99,0.0,?,?
?,12.45,?,?,73.7,?,9.06,?,0.24,'build wind float'
1.5166,?,3.18,?,72.97,0.58,?,0.0,0.24,?
1.51589,?,3.43,1.4,73.28,?,8.05,0.0,0.24,'build wind float'
1.5241,?,2.9,1.17,?,0.08,10.79,0.0,0.0,'build wind non-float'
?,13.8,?,?,70.57,0.08,11.64,?,0.0,?
1.52119,12.97,0.33,?,73.39,0.13,11.27,0.0,?,containers
1.51748,12.86,?,1.27,73.21,0.54,8.38,0.0,?,?
1.51653,11.95,0.0,1.19,?,?,8.93,0.0,0.0,headlamps
?,14.14,?,2.88,?,?,?,1.06,0.0,?
?,13.64,4.49,?,?,?,8.75,0.0,?,?
1.51763,?,3.59,1.31,73.29,0.58,8.5,0.0,0.0,'build wind float'
1.51596,13.02,3.56,1.54,73.11,?,?,?,?,?
1.51674,12.79,3.52,1.54,73.36,0.66,7.9,0.0,0.0,'build wind non-float'
?,14.36,0.0,2.02,73.42,0.0,8.44,1.64,?,headlamps
?,?,3.56,1.3,?,0.61,8.69,0.0,0.14,'build wind float'
1.52369,?,?,1.58,?,0.32,?,?,0.0,?
1.51756,13.15,?,1.05,73.24,?,8.24,0.0,?,'build wind float'
1.51754,13.48,?,1.17,72.99,0.59,8.03,0.0,0.0,'build wind float'
1.51711,?,?,1.57,72.96,0.61,8.11,0.0,0.0,'build wind non-float'
1.5221,13.73,?,0.72,71.76,?,?,0.0,?,?
1.51594,?,3.52,1.55,?,?,8.05,0.0,?,'build wind non-float'
?,12.68,3.67,1.16,73.11,0.61,8.7,0.0,?,?
1.51909,?,3.53,1.32,?,0.51,8.78,0.11,?,'build wind float'
1.51977,13.81,3.58,1.32,71.72,0.12,?,?,?,'build wind float'
1.51666,12.86,?,?,?,?,?,0.0,?,containers
?,?,3.57,?,72.87,0.61,?,0.0,0.0,?
1.51872,12.93,3.66,1.56,72.51,0.58,8.55,?,0.12,?
?,13.72,?,1.81,72.06,0.64,7.88,0.0,?,?
?,13.78,2.28,1.43,71.99,0.49,9.85,0.0,0.17,'build wind non-float'
1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0.0,0.12,'build wind non-float'
1.51813,13.43,?,?,72.49,0.58,8.15,?,0.0,'build wind non-float'
1.51131,13.69,3.2,1.81,?,?,5.43,1.19,0.0,headlamps
1.52227,14.17,3.81,0.78,71.35,0.0,?,0.0,0.0,'build wind float'
?,13.7,?,?,71.24,0.19,13.44,0.0,0.1,'build wind non-float'
?,13.33,3.85,?,72.78,0.52,8.12,0.0,?,?
1.51655,?,3.39,?,72.64,0.52,?,?,?,?
?,?,3.57,1.35,?,0.62,?,?,0.0,'build wind float'
?,?,?,2.25,73.5,0.0,?,0.63,0.0,headlamps
1.51915,12.73,1.85,1.86,?,0.6,?,0.0,?,containers
1.51966,14.77,3.75,?,72.02,?,9.0,0.0,0.0,'build wind float'
