@relation dataset

@attribute attr_4 real
@attribute attr_5 {NO, YES}
@attribute attr_7 {NO, YES}
@attribute attr_8 {BENTON, UDDEHOLM}
@attribute attr_10 {COATED, UNCOATED}
@attribute attr_11 {COATED, COVER, UNCOATED}
@attribute attr_12 {NO, YES}
@attribute attr_13 {LINE, NAPTHA, XYLOL}
@attribute attr_14 {NO, YES}
@attribute attr_15 {Albert70, Motter70, Motter94, WoodHoe70}
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 {CATALOG, SPIEGEL, TABLOID}
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_33 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 {band, noband}


@data

?,YES,?,BENTON,?,?,NO,LINE,?,Motter94,?,2.0,TABLOID,1911.0,55.0,46.0,?,17.0,78.0,0.75,20.0,13.1,1700.0,50.5,36.4,0.0,0.0,?,?,34.0,40.0,105.0,?,?
?,?,?,BENTON,?,UNCOATED,?,LINE,?,WoodHoe70,816.0,9.0,?,?,52.0,?,0.3,?,?,0.3125,?,?,?,55.6,?,?,0.0,?,1.3,?,?,?,?,noband
37351.0,NO,?,BENTON,UNCOATED,COATED,NO,LINE,YES,WoodHoe70,816.0,2.0,?,1910.0,50.0,?,0.3,17.0,80.0,0.75,30.0,?,?,?,?,5.0,0.0,?,0.6,35.0,40.0,106.67,100.0,noband
?,?,YES,?,UNCOATED,UNCOATED,NO,LINE,YES,WoodHoe70,816.0,?,?,1910.0,?,40.0,?,?,?,0.4375,28.0,8.6,1467.0,?,?,5.0,0.0,?,0.8,40.0,?,?,?,noband
35751.0,NO,?,?,?,?,?,?,YES,Motter94,827.0,2.0,TABLOID,?,50.0,?,0.3,16.5,75.0,?,?,?,2600.0,62.5,?,6.0,0.0,2.5,?,30.0,40.0,?,100.0,?
35751.0,?,YES,?,COATED,COATED,NO,LINE,YES,?,827.0,?,?,1911.0,?,46.0,0.2,?,75.0,0.75,?,0.0,2600.0,62.5,?,?,0.0,?,1.1,30.0,40.0,106.67,100.0,noband
47201.0,YES,?,?,UNCOATED,?,?,XYLOL,?,?,802.0,?,CATALOG,?,50.0,?,0.367,?,?,0.75,?,0.0,?,?,39.8,1.5,0.0,?,?,40.0,?,103.22,100.0,?
?,?,?,?,UNCOATED,?,NO,?,YES,WoodHoe70,?,?,?,1911.0,65.0,43.0,?,?,75.0,1.0,32.0,22.7,?,45.5,31.8,?,0.0,3.0,?,38.0,?,106.66,100.0,noband
37000.0,YES,YES,BENTON,?,?,NO,?,?,WoodHoe70,?,?,?,?,?,?,0.2,?,?,0.75,30.0,15.5,1750.0,?,?,0.0,?,?,?,38.0,?,?,100.0,noband
