@relation dataset

@attribute attr_4 real
@attribute attr_5 {NO, YES}
@attribute attr_7 {NO, YES}
@attribute attr_8 {BENTON, UDDEHOLM}
@attribute attr_10 {COATED, UNCOATED}
@attribute attr_11 {COATED, COVER, UNCOATED}
@attribute attr_12 {NO, YES}
@attribute attr_13 {LINE, NAPTHA, XYLOL}
@attribute attr_14 {NO, YES}
@attribute attr_15 {Albert70, Motter70, Motter94, WoodHoe70}
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 {CATALOG, SPIEGEL, TABLOID}
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_33 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 {band, noband}


@data

25503.0,?,YES,BENTON,UNCOATED,?,NO,?,?,Motter94,821.0,2.0,TABLOID,?,55.0,46.0,?,17.0,?,0.75,?,?,1700.0,50.5,?,0.0,0.0,?,?,34.0,40.0,105.0,100.0,?
39039.0,?,?,?,UNCOATED,?,NO,LINE,YES,?,816.0,9.0,CATALOG,1910.0,?,?,0.3,?,?,0.3125,30.0,5.6,1467.0,55.6,?,0.0,0.0,?,1.3,?,40.0,?,100.0,?
?,NO,YES,?,?,?,?,?,YES,?,816.0,2.0,TABLOID,1910.0,?,?,0.3,17.0,80.0,?,30.0,0.0,2100.0,57.5,?,?,?,?,0.6,?,40.0,106.67,?,?
?,YES,YES,?,UNCOATED,?,NO,?,YES,?,816.0,?,CATALOG,?,50.0,40.0,0.267,16.8,?,0.4375,?,8.6,?,53.8,37.6,?,0.0,2.5,?,40.0,40.0,?,100.0,noband
35751.0,?,YES,?,?,?,NO,?,YES,Motter94,?,2.0,?,1911.0,50.0,?,0.3,?,?,0.75,?,?,2600.0,?,37.5,6.0,?,?,0.6,30.0,?,106.67,100.0,noband
35751.0,NO,YES,BENTON,COATED,?,NO,?,YES,Motter94,?,?,TABLOID,1911.0,?,46.0,?,?,?,0.75,28.0,?,?,62.5,?,6.0,0.0,2.5,1.1,30.0,40.0,?,100.0,noband
?,?,YES,?,?,?,?,XYLOL,YES,Albert70,802.0,?,CATALOG,?,?,45.0,0.367,12.0,70.0,?,?,?,1650.0,60.2,39.8,1.5,0.0,3.0,?,40.0,?,?,?,?
37000.0,?,YES,BENTON,UNCOATED,UNCOATED,?,LINE,YES,?,815.0,2.0,?,?,?,43.0,0.333,16.0,?,1.0,?,22.7,?,45.5,31.8,0.0,0.0,?,?,38.0,?,106.66,?,?
37000.0,?,?,BENTON,?,?,?,?,YES,WoodHoe70,?,?,?,?,65.0,?,?,?,?,0.75,?,15.5,?,48.5,35.9,0.0,?,3.0,1.0,38.0,40.0,106.6,?,noband
