@relation dataset

@attribute attr_4 real
@attribute attr_5 {0, 1}
@attribute attr_7 {0, 1}
@attribute attr_10 {0, 1}
@attribute attr_11 {0, 1, 2}
@attribute attr_13 {0, 1, 2}
@attribute attr_14 {0, 1}
@attribute attr_15 {0, 1, 2, 3}
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 {0, 1, 2}
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 {0, 1}


@data

25503.0,1,1,1,?,?,?,?,821.0,2.0,2,1911.0,?,?,?,17.0,78.0,0.75,20.0,13.1,1700.0,50.5,?,?,2.5,1.0,?,?,?,100.0,0
39039.0,?,1,?,?,0,1,?,?,?,0,?,52.0,?,?,16.0,75.0,0.3125,30.0,5.6,1467.0,?,38.8,?,2.5,1.3,?,40.0,108.06,100.0,?
37351.0,?,?,1,0,?,?,?,?,2.0,2,?,50.0,?,0.3,?,80.0,0.75,?,?,2100.0,?,42.5,?,?,0.6,?,?,?,100.0,1
38039.0,1,?,1,2,?,?,?,?,2.0,0,?,50.0,?,?,?,?,?,28.0,?,1467.0,53.8,?,5.0,2.5,?,?,?,?,100.0,1
35751.0,0,?,?,?,?,?,2,827.0,?,2,1911.0,50.0,46.0,0.3,16.5,?,?,?,?,?,62.5,37.5,?,2.5,0.6,?,40.0,106.67,100.0,1
35751.0,0,1,0,0,?,?,2,827.0,?,?,1911.0,?,46.0,?,?,?,?,?,?,?,62.5,37.5,?,?,1.1,?,?,?,100.0,1
47201.0,?,1,1,2,2,?,0,?,?,0,1910.0,50.0,45.0,0.367,?,?,?,?,?,1650.0,60.2,39.8,?,3.0,1.0,40.0,40.0,?,100.0,?
37000.0,1,1,1,?,?,?,?,815.0,2.0,?,1911.0,?,?,?,16.0,75.0,1.0,32.0,?,1750.0,?,31.8,?,?,1.0,38.0,?,106.66,100.0,?
?,1,1,1,?,?,1,?,?,9.0,0,?,65.0,43.0,0.2,?,?,0.75,30.0,15.5,1750.0,48.5,?,?,3.0,1.0,38.0,?,?,?,?
?,1,?,?,2,0,1,?,?,?,2,?,50.0,50.0,?,14.0,80.0,0.75,?,?,?,52.6,36.8,0.0,2.5,?,38.0,?,105.0,100.0,0
35539.0,1,?,?,?,0,1,2,?,?,?,1911.0,50.0,?,0.3,?,70.0,?,?,10.0,?,50.0,40.0,?,?,1.0,38.0,?,106.66,?,?
?,1,1,1,2,0,?,2,821.0,7.0,2,?,40.0,?,0.3,14.5,70.0,0.625,?,0.0,1500.0,59.5,?,0.0,?,?,?,40.0,?,?,?
35539.0,1,?,?,2,0,?,2,?,2.0,2,?,50.0,43.0,?,16.0,75.0,1.0,?,15.8,1600.0,49.5,34.7,?,2.5,1.0,38.0,?,?,100.0,1
37571.0,0,1,0,?,?,?,2,?,?,2,1911.0,?,?,?,16.0,?,0.8125,30.0,0.0,?,58.8,41.2,?,1.7,1.0,?,40.0,107.4,100.0,?
35751.0,0,?,0,?,1,1,2,?,9.0,2,1911.0,40.0,45.0,?,15.0,76.0,0.8125,30.0,0.0,2400.0,?,37.5,0.0,1.0,1.0,?,?,?,100.0,1
?,?,1,0,?,0,1,2,824.0,?,2,?,?,?,?,?,70.0,?,25.0,?,?,?,40.7,?,2.0,?,30.0,40.0,96.875,?,?
?,0,?,0,0,0,1,?,827.0,2.0,?,?,40.0,41.0,?,?,72.0,1.0,30.0,0.0,?,62.5,?,0.0,?,?,30.0,?,107.4,100.0,?
?,?,?,0,0,0,1,?,?,?,2,?,?,?,0.2,14.5,74.0,1.0,25.0,8.0,2100.0,57.5,?,?,2.3,0.7,?,40.0,107.4,?,0
?,?,1,0,0,0,1,?,?,9.0,2,1911.0,45.0,?,0.2,?,?,?,?,8.0,?,57.5,?,0.0,2.0,0.7,?,40.0,107.4,100.0,?
37352.0,0,1,1,0,0,1,2,827.0,9.0,2,?,50.0,45.0,?,15.0,76.0,?,30.0,?,?,?,34.5,0.0,?,1.0,35.0,40.0,107.4,100.0,?
?,0,?,?,0,0,?,?,827.0,2.0,2,1911.0,?,45.0,?,15.2,72.0,?,25.0,5.9,2150.0,58.8,35.3,?,2.5,?,35.0,40.0,?,100.0,1
?,0,1,?,?,?,?,2,?,?,?,?,?,?,0.233,17.0,70.0,0.75,?,0.0,?,58.8,?,?,2.5,1.0,33.0,?,106.45,100.0,0
37352.0,0,?,1,0,?,?,?,815.0,?,?,1911.0,?,?,0.2,16.0,90.0,0.75,28.0,20.0,2050.0,45.0,35.0,0.0,2.4,?,?,40.0,?,100.0,1
