@relation dataset

@attribute attr_4 real
@attribute attr_5 {0, 1}
@attribute attr_7 {0, 1}
@attribute attr_10 {0, 1}
@attribute attr_11 {0, 1, 2}
@attribute attr_13 {0, 1, 2}
@attribute attr_14 {0, 1}
@attribute attr_15 {0, 1, 2, 3}
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 {0, 1, 2}
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 {0, 1}


@data

?,?,?,1,2,0,?,2,821.0,2.0,2,1911.0,55.0,?,0.2,17.0,?,0.75,20.0,13.1,1700.0,50.5,?,0.0,2.5,?,?,40.0,105.0,?,?
39039.0,1,?,1,2,?,1,3,?,9.0,0,?,52.0,?,0.3,16.0,?,0.3125,30.0,?,1467.0,55.6,?,0.0,2.5,?,?,?,108.06,100.0,1
37351.0,0,?,1,?,0,?,?,816.0,2.0,2,1910.0,50.0,?,0.3,?,?,?,?,?,?,?,?,5.0,2.3,?,35.0,40.0,?,100.0,1
38039.0,1,?,?,?,?,1,?,?,2.0,0,1910.0,50.0,?,0.267,16.8,76.0,?,28.0,8.6,?,53.8,?,?,2.5,?,40.0,40.0,?,?,1
?,0,1,0,0,?,?,2,?,2.0,?,1911.0,50.0,46.0,?,?,?,0.75,30.0,0.0,?,?,37.5,6.0,?,0.6,30.0,40.0,106.67,100.0,1
?,0,1,0,0,?,1,?,?,9.0,?,1911.0,50.0,?,0.2,?,75.0,0.75,?,0.0,?,62.5,?,?,?,1.1,30.0,40.0,?,100.0,1
47201.0,?,1,?,2,?,1,0,802.0,?,0,?,50.0,45.0,0.367,12.0,70.0,0.75,?,?,?,60.2,?,1.5,3.0,?,?,?,?,?,?
37000.0,?,1,1,?,0,?,?,?,2.0,0,?,?,43.0,?,?,75.0,1.0,?,?,1750.0,?,?,?,?,1.0,38.0,?,106.66,?,?
?,1,1,1,2,0,?,3,815.0,?,?,?,?,?,?,16.0,68.0,0.75,?,15.5,1750.0,48.5,35.9,0.0,3.0,?,?,40.0,106.6,100.0,1
?,1,?,?,2,?,1,?,821.0,2.0,?,1911.0,50.0,50.0,?,14.0,80.0,?,40.0,10.5,?,52.6,36.8,0.0,?,?,?,40.0,105.0,?,0
?,1,1,1,2,0,?,2,821.0,7.0,2,?,?,50.0,?,15.0,?,1.0,?,10.0,1600.0,?,?,0.0,?,1.0,38.0,40.0,106.66,?,?
23052.0,1,?,?,?,0,1,2,821.0,7.0,2,1911.0,40.0,?,0.3,14.5,70.0,0.625,?,0.0,1500.0,59.5,?,?,2.0,1.0,40.0,40.0,100.0,100.0,0
?,?,?,?,?,?,?,2,821.0,?,2,?,50.0,?,0.267,?,75.0,1.0,20.0,?,?,49.5,?,0.0,2.5,1.0,?,40.0,103.22,100.0,1
37571.0,0,1,0,?,1,?,?,824.0,?,?,1911.0,50.0,?,0.233,?,70.0,?,30.0,0.0,2400.0,58.8,41.2,0.0,1.7,1.0,30.0,40.0,?,100.0,?
?,0,?,?,0,?,?,2,824.0,9.0,2,1911.0,?,?,?,15.0,?,0.8125,30.0,0.0,?,62.5,37.5,0.0,?,1.0,30.0,40.0,107.4,?,1
?,0,1,?,0,0,1,2,?,?,2,?,30.0,43.0,?,?,70.0,?,?,1.2,2200.0,?,?,4.0,?,1.0,?,40.0,96.875,100.0,?
35816.0,0,1,?,0,?,?,2,?,?,1,1911.0,?,?,0.2,15.8,72.0,?,30.0,0.0,2000.0,62.5,37.5,0.0,2.5,1.0,30.0,?,?,?,?
?,?,1,0,0,0,?,?,?,9.0,?,?,?,42.0,?,14.5,74.0,1.0,25.0,8.0,?,57.5,?,0.0,2.3,?,?,40.0,?,100.0,0
?,?,1,?,0,0,1,2,827.0,9.0,2,1911.0,45.0,?,0.2,14.0,?,?,20.0,8.0,1850.0,?,?,0.0,?,0.7,35.0,?,?,100.0,?
?,0,1,?,?,?,1,2,?,?,?,?,50.0,45.0,?,?,?,?,?,8.0,2150.0,?,?,0.0,?,1.0,35.0,?,?,100.0,1
?,?,1,1,0,0,1,?,?,2.0,?,?,50.0,?,0.3,15.2,?,1.0,25.0,5.9,?,58.8,?,0.0,?,?,?,?,?,100.0,1
?,?,1,?,0,?,0,2,?,2.0,2,?,?,?,0.233,17.0,70.0,?,35.0,0.0,?,58.8,41.2,0.0,2.5,?,33.0,?,?,?,0
37352.0,0,1,1,?,0,1,3,?,?,2,1911.0,37.5,?,?,16.0,90.0,0.75,28.0,20.0,2050.0,45.0,35.0,?,2.4,0.8,?,40.0,107.4,?,?
?,?,1,1,?,0,?,3,?,?,?,1911.0,?,44.0,?,?,91.0,?,?,?,?,?,34.8,0.0,?,0.8,?,?,107.4,?,1
?,?,?,?,2,0,?,2,?,2.0,2,?,45.0,?,0.267,14.1,?,?,22.0,7.6,1510.0,?,?,0.0,2.5,0.7,?,40.0,114.28,?,1
25507.0,1,1,1,?,?,1,2,821.0,7.0,?,?,?,?,?,14.0,69.0,0.625,?,?,1510.0,53.2,38.3,?,?,0.9,34.0,40.0,?,100.0,?
37080.0,0,?,0,?,0,0,?,828.0,2.0,2,?,40.0,?,?,17.0,?,0.75,?,?,2400.0,?,41.2,4.0,2.5,?,?,40.0,?,100.0,0
