@relation dataset

@attribute attr_4 real
@attribute attr_5 {0, 1}
@attribute attr_7 {0, 1}
@attribute attr_10 {0, 1}
@attribute attr_11 {0, 1, 2}
@attribute attr_13 {0, 1, 2}
@attribute attr_14 {0, 1}
@attribute attr_15 {0, 1, 2, 3}
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 {0, 1, 2}
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 {0, 1}


@data

25503.0,?,1,1,2,0,?,2,?,2.0,2,?,?,?,0.2,17.0,78.0,?,20.0,?,1700.0,?,36.4,?,2.5,1.0,34.0,?,?,100.0,0
39039.0,?,?,1,2,?,1,3,816.0,?,0,1910.0,52.0,40.0,0.3,16.0,?,?,?,?,?,55.6,38.8,0.0,2.5,1.3,40.0,40.0,108.06,100.0,1
37351.0,0,1,?,0,0,?,3,816.0,2.0,2,?,50.0,46.0,?,17.0,80.0,0.75,?,?,2100.0,?,42.5,5.0,2.3,0.6,?,40.0,106.67,?,?
?,?,1,?,2,?,1,?,?,2.0,0,1910.0,50.0,?,0.267,?,?,0.4375,?,?,1467.0,53.8,37.6,5.0,2.5,?,40.0,?,?,100.0,1
?,?,?,?,0,0,1,?,827.0,?,2,1911.0,?,?,0.3,16.5,75.0,0.75,?,?,2600.0,?,?,6.0,2.5,0.6,?,40.0,?,?,?
?,0,?,0,?,?,?,?,?,?,2,1911.0,50.0,?,?,16.5,75.0,?,?,0.0,?,?,?,6.0,?,?,30.0,40.0,106.67,100.0,1
47201.0,?,1,?,?,2,?,0,802.0,7.0,0,1910.0,?,?,0.367,12.0,?,0.75,?,0.0,1650.0,?,39.8,1.5,?,?,40.0,40.0,?,100.0,?
?,1,?,1,2,0,?,?,815.0,?,0,1911.0,65.0,?,?,16.0,75.0,?,32.0,?,1750.0,45.5,31.8,0.0,3.0,1.0,38.0,?,106.66,?,?
37000.0,?,?,1,?,0,?,3,815.0,?,0,1910.0,65.0,43.0,0.2,?,68.0,0.75,?,?,?,?,35.9,0.0,?,?,?,40.0,106.6,?,1
