@relation dataset

@attribute attr_4 real
@attribute attr_5 {NO, YES}
@attribute attr_7 {NO, YES}
@attribute attr_8 {BENTON, UDDEHOLM}
@attribute attr_10 {COATED, UNCOATED}
@attribute attr_11 {COATED, COVER, UNCOATED}
@attribute attr_12 {NO, YES}
@attribute attr_13 {LINE, NAPTHA, XYLOL}
@attribute attr_14 {NO, YES}
@attribute attr_15 {Albert70, Motter70, Motter94, WoodHoe70}
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 {CATALOG, SPIEGEL, TABLOID}
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_33 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 {band, noband}


@data

25503.0,?,?,BENTON,UNCOATED,?,NO,LINE,YES,Motter94,821.0,?,?,?,55.0,46.0,0.2,17.0,78.0,?,20.0,?,1700.0,50.5,?,?,0.0,?,?,34.0,?,?,?,band
39039.0,?,?,?,UNCOATED,?,?,?,?,?,816.0,9.0,?,1910.0,52.0,?,0.3,?,?,0.3125,?,?,1467.0,55.6,?,0.0,?,?,?,?,?,?,100.0,noband
37351.0,NO,YES,?,?,COATED,?,?,YES,?,816.0,?,TABLOID,?,50.0,?,?,?,80.0,?,30.0,0.0,?,?,42.5,5.0,0.0,2.3,?,?,40.0,106.67,100.0,?
38039.0,YES,YES,?,UNCOATED,?,?,?,YES,?,816.0,2.0,CATALOG,?,?,?,?,?,76.0,?,?,?,1467.0,?,?,5.0,0.0,2.5,0.8,40.0,40.0,103.87,100.0,?
?,?,YES,?,?,COATED,NO,LINE,?,?,?,2.0,?,?,?,?,0.3,16.5,?,0.75,?,0.0,2600.0,62.5,?,6.0,?,2.5,0.6,?,40.0,?,100.0,noband
35751.0,NO,?,BENTON,?,?,NO,LINE,?,?,827.0,9.0,TABLOID,?,?,46.0,?,?,75.0,0.75,28.0,0.0,2600.0,?,?,6.0,?,2.5,?,?,?,106.67,?,noband
?,YES,YES,BENTON,?,?,?,XYLOL,YES,Albert70,?,?,?,1910.0,50.0,?,0.367,12.0,70.0,?,60.0,0.0,1650.0,60.2,?,1.5,?,?,1.0,?,40.0,103.22,?,band
?,YES,YES,BENTON,?,?,?,?,?,WoodHoe70,815.0,?,CATALOG,1911.0,65.0,43.0,?,?,?,?,?,?,1750.0,45.5,?,?,0.0,3.0,?,38.0,?,106.66,?,?
37000.0,YES,?,?,UNCOATED,UNCOATED,?,LINE,?,WoodHoe70,815.0,?,?,?,65.0,?,0.2,16.0,?,?,?,15.5,1750.0,?,35.9,?,0.0,3.0,1.0,38.0,?,?,100.0,noband
