@relation dataset

@attribute atr1 real
@attribute atr2 real
@attribute atr3 real
@attribute atr4 real
@attribute atr5 real
@attribute atr6 real
@attribute atr7 real
@attribute atr8 real
@attribute atr9 real
@attribute atr10 real
@attribute atr11 real
@attribute atr12 real
@attribute class {1.0000000e+000, 2.0000000e+000}


@data

?,?,?,-0.09726,-0.11921,?,?,0.22317,?,-0.032886,0.0033827,-0.33425,?
-0.14659,?,?,?,0.49494,?,-0.28891,0.5008,-0.045553,?,?,0.066959,?
-0.13131,0.51816,?,?,?,0.5632,-0.013246,-0.062833,-0.88339,-0.040303,?,0.6312,?
?,0.41878,0.14835,0.33349,?,0.39891,0.59065,0.0771,-1.1072,-0.36723,0.36468,0.57172,1.0000000e+000
?,?,0.073336,0.070066,-0.03092,0.15205,-0.19142,?,-0.10225,0.15375,-0.12695,?,?
0.27804,0.31011,?,?,?,?,?,?,-0.12646,0.33921,?,0.36024,?
-0.02634,?,0.58581,?,0.52144,0.21358,?,?,0.26911,?,?,-0.40948,2.0000000e+000
?,0.085019,0.43229,?,0.49559,0.0108,0.40718,?,?,?,?,?,1.0000000e+000
0.96405,?,?,?,?,?,?,0.49843,?,0.14669,?,0.057451,?
0.81876,0.33239,-0.59413,?,?,?,0.72883,0.45269,0.25206,?,?,-0.33129,?
?,-0.012491,0.23769,?,?,0.060151,-0.038016,-0.13711,-0.066597,0.015968,?,0.060713,?
?,?,?,?,0.68771,?,?,-0.14595,?,?,?,0.014783,?
-0.22818,-0.042154,0.56279,?,0.65198,-0.014788,-0.08006,?,-0.21905,-0.48214,0.41296,-0.28092,1.0000000e+000
?,?,?,?,0.23683,0.29286,-0.41675,?,-0.027265,-0.066083,?,?,?
-0.17797,?,?,?,0.075834,-0.3139,?,?,?,?,?,?,?
-0.0062517,?,?,?,0.32723,-1.0508,?,?,?,?,?,?,?
0.53967,0.69333,0.13401,0.72406,-0.6858,0.82868,0.37774,-0.26206,0.22456,-0.11229,?,-0.24553,?
?,0.98988,?,?,?,1.0,0.41545,0.049601,?,0.40031,?,?,?
?,?,0.070916,0.20642,?,?,?,-0.033722,0.23421,0.18663,?,-0.0043452,?
?,0.34759,0.0433,0.070895,?,?,0.42525,?,1.0,?,-0.75554,?,1.0000000e+000
0.57396,-0.025984,0.0059303,-0.16288,?,?,0.78627,?,?,?,?,?,?
0.60045,-0.086765,?,-0.037594,0.7323,-0.22468,?,0.10743,?,-0.099066,?,-0.41394,?
-0.81333,?,-0.016994,-0.44328,?,?,?,-0.096731,?,0.18133,?,?,?
?,?,?,?,?,?,?,-0.22222,?,0.70321,-0.58735,0.31892,?
?,0.12036,?,0.22286,?,?,?,0.3632,0.57304,0.34375,-0.29875,-0.17954,?
?,?,-0.14337,-0.33985,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,7.8916E-4,2.0000000e+000
-0.7374,?,-0.52774,?,-0.19999,?,?,-0.54589,?,-0.36946,0.28735,?,?
0.21329,?,-0.31752,-0.21875,?,?,?,?,-0.20969,?,?,?,?
-0.068732,?,?,-0.011328,-0.80815,0.55047,?,?,?,0.13174,?,?,1.0000000e+000
?,?,?,?,0.013202,0.28497,?,?,?,0.27702,-0.23413,?,2.0000000e+000
?,?,-0.010893,0.2687,?,0.23872,?,?,-0.34846,?,?,?,1.0000000e+000
0.020291,?,-0.63034,?,?,-0.22965,?,0.038331,?,?,?,?,?
?,?,-0.34092,?,?,0.1547,?,0.094689,-0.05668,0.14189,?,?,1.0000000e+000
?,0.38443,0.14877,0.63854,?,?,0.18946,1.0,?,?,?,-0.065822,2.0000000e+000
?,?,?,0.26462,?,?,?,?,?,0.63527,?,?,1.0000000e+000
?,-0.35245,-0.20838,?,?,-0.41729,?,?,0.63013,0.13456,?,?,1.0000000e+000
?,-0.14718,?,?,?,?,?,?,0.24039,?,0.02999,?,?
?,0.22424,?,-1.1074,?,-0.04202,0.51315,?,0.59533,0.47762,?,-0.11988,2.0000000e+000
?,?,-0.66205,?,?,?,?,?,0.34148,0.35127,?,?,?
?,?,?,0.11277,?,-0.064323,0.18942,0.99771,0.2226,?,?,-0.076432,?
?,?,-0.12021,0.26143,?,-0.0098443,?,0.2492,0.26205,?,-0.4003,?,?
0.55846,?,?,0.62037,?,0.16768,?,?,?,-0.37108,?,-0.070629,?
?,?,?,0.45417,0.65759,0.019882,?,0.51108,?,?,?,?,?
0.25804,?,?,?,?,?,?,?,?,?,?,-0.13152,?
-0.096201,?,?,-0.18962,0.9486,-0.72187,?,-0.012709,-0.17905,-0.13467,?,?,1.0000000e+000
0.64167,-0.049042,-0.13654,?,?,-0.13646,?,?,-0.47449,?,?,?,2.0000000e+000
?,?,0.31046,?,?,-0.381,?,0.71391,?,-0.93727,0.77786,?,?
-0.28879,-0.047979,?,?,?,-0.031554,?,-0.18661,?,?,?,?,?
?,0.0066908,?,0.27289,?,?,?,0.28914,-0.59538,?,?,?,1.0000000e+000
?,0.27236,?,0.30767,?,?,-0.07297,?,0.11248,?,?,?,?
?,?,?,?,?,?,?,?,-0.4408,0.2186,?,?,?
