@relation dataset

@attribute atr1 real
@attribute atr2 real
@attribute atr3 real
@attribute atr4 real
@attribute atr5 real
@attribute atr6 real
@attribute atr7 real
@attribute atr8 real
@attribute atr9 real
@attribute atr10 real
@attribute atr11 real
@attribute atr12 real
@attribute class {0, 1}


@data

?,-0.207,-0.20971,-0.09726,-0.11921,?,?,0.22317,?,-0.032886,?,-0.33425,?
?,?,0.24987,-0.073985,0.49494,-0.15633,-0.28891,0.5008,?,0.050759,-0.017511,0.066959,0
?,?,?,0.39789,?,0.5632,?,-0.062833,?,-0.040303,0.088057,0.6312,1
0.6494,?,0.14835,?,-0.21974,0.39891,0.59065,?,-1.1072,?,0.36468,0.57172,?
?,?,0.073336,0.070066,?,0.15205,-0.19142,?,-0.10225,?,?,?,?
0.27804,?,0.20663,?,?,?,?,-0.72565,?,0.33921,-0.29753,0.36024,0
-0.02634,?,0.58581,?,?,0.21358,?,-0.65032,0.26911,?,0.05272,-0.40948,?
?,?,?,0.33562,0.49559,?,0.40718,?,-0.252,?,?,?,0
0.96405,-0.0033609,-0.86876,?,?,-0.21668,?,?,?,0.14669,?,0.057451,?
?,?,?,-0.76517,-0.65296,0.13226,0.72883,0.45269,?,?,0.10376,?,0
0.12099,?,?,0.01501,0.24272,?,?,-0.13711,-0.066597,?,-0.0028463,0.060713,1
0.46108,?,?,?,0.68771,?,?,-0.14595,?,-0.4528,?,?,0
-0.22818,-0.042154,?,0.29118,0.65198,?,-0.08006,-0.32186,-0.21905,?,?,?,0
?,?,0.40465,?,0.23683,0.29286,?,?,-0.027265,?,?,?,?
?,-0.33157,?,?,0.075834,?,-0.35746,?,-0.17256,?,0.38425,?,1
-0.0062517,?,?,-1.015,?,?,?,0.245,?,?,?,?,?
0.53967,?,0.13401,0.72406,?,0.82868,?,?,?,-0.11229,?,?,0
0.29341,?,?,?,-0.41909,1.0,0.41545,?,0.68567,?,?,-0.2629,?
?,?,?,?,?,?,-0.30479,?,0.23421,0.18663,-0.16351,?,1
0.35839,0.34759,0.0433,?,?,?,?,?,1.0,?,?,?,?
0.57396,?,?,?,?,-0.28874,?,?,0.86226,0.39239,?,-0.39441,?
?,-0.086765,?,-0.037594,?,?,?,0.10743,0.53764,?,?,?,?
?,?,?,?,?,-0.76347,?,?,0.054158,?,?,0.016397,1
?,?,?,-0.14796,?,?,-0.29948,-0.22222,?,0.70321,-0.58735,?,?
0.35555,?,?,?,-0.11199,?,?,?,0.57304,?,?,-0.17954,?
0.37767,?,?,?,0.16217,?,?,?,?,0.30457,?,?,0
?,-0.55094,?,-0.18136,?,?,-0.52377,?,-0.043079,0.0014606,-0.001456,?,?
-0.7374,?,-0.52774,-0.47901,-0.19999,?,?,?,-0.29213,?,0.28735,-0.07464,0
0.21329,?,?,?,?,?,0.027455,0.135,-0.20969,?,?,?,0
-0.068732,?,?,-0.011328,-0.80815,0.55047,-0.19517,?,0.43903,?,-0.11102,?,?
0.014029,0.20565,0.1981,?,?,?,-0.057997,?,?,?,?,?,1
?,0.065829,?,?,?,?,?,?,-0.34846,?,0.27336,?,0
0.020291,-0.07599,?,-0.49682,-0.44102,-0.22965,?,0.038331,?,?,0.52313,-0.26642,?
-0.055436,0.17831,-0.34092,?,-0.49273,?,?,?,-0.05668,?,?,?,0
0.44589,?,?,?,-0.27498,?,0.18946,1.0,0.78605,?,-0.57912,-0.065822,?
?,0.48285,?,?,?,?,0.70852,?,0.6366,?,?,?,?
0.49053,?,?,?,?,?,0.37017,?,?,?,-0.096455,-0.52551,?
0.32912,-0.14718,?,-0.24355,?,?,0.21471,?,?,-0.027824,0.02999,?,?
?,?,?,?,?,-0.04202,0.51315,0.20566,?,0.47762,-0.39719,?,1
?,?,-0.66205,?,-0.88434,0.32156,?,?,?,?,?,?,?
0.55356,?,?,?,?,-0.064323,?,?,0.2226,-0.10899,?,?,?
