@relation dataset

@attribute RI real
@attribute Na real
@attribute Mg real
@attribute Al real
@attribute Si real
@attribute K real
@attribute Ca real
@attribute Ba real
@attribute Fe real
@attribute Type {0, 1, 2, 3, 4, 5, 6}


@data

1.51793,?,?,1.12,73.03,0.64,?,?,?,?
1.51643,?,?,1.35,72.89,0.57,?,?,0.0,2
1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0.0,0.0,0
1.51299,?,?,?,74.55,0.0,?,0.0,?,?
1.53393,12.3,0.0,?,70.16,?,?,0.0,0.24,1
?,12.75,2.85,1.44,73.27,?,?,0.11,0.22,?
1.51779,13.64,3.65,0.65,73.0,0.06,?,?,0.0,?
1.51837,13.14,2.84,?,?,0.55,9.07,?,0.0,0
1.51545,?,?,2.68,?,0.08,?,0.61,?,6
1.51789,13.19,3.9,1.3,72.33,0.55,8.44,?,?,?
1.51625,13.36,?,1.49,72.72,0.45,8.21,0.0,?,?
1.51743,?,3.25,1.16,?,0.62,8.9,0.0,?,?
?,13.21,3.77,0.79,71.99,?,10.02,0.0,0.0,?
?,?,3.76,?,71.79,?,9.65,?,0.0,2
?,13.14,?,1.76,72.48,?,?,0.0,?,?
?,?,3.48,?,?,0.62,7.99,0.0,?,?
?,?,0.0,?,73.02,0.0,8.53,1.59,?,6
1.51629,?,3.33,?,73.28,0.67,8.24,0.0,0.0,1
1.51994,13.27,0.0,1.76,73.03,0.47,11.32,?,0.0,4
1.51811,?,?,1.43,72.92,0.6,8.79,?,?,1
?,13.05,3.65,?,?,?,?,?,0.17,0
1.52475,11.45,?,1.88,72.19,0.81,?,?,0.34,1
1.51841,12.93,3.74,?,72.28,0.64,8.96,0.0,0.22,1
?,?,3.66,?,?,?,8.27,0.0,?,0
1.52058,?,?,?,?,0.76,9.7,?,0.51,4
1.51569,13.24,3.49,1.47,73.25,?,8.03,?,0.0,1
1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0.0,0.0,1
1.51683,14.56,?,1.98,73.29,0.0,?,1.57,0.07,?
?,13.23,?,1.48,?,0.56,8.1,0.0,0.0,1
1.5161,?,3.53,1.34,?,0.56,?,0.0,?,?
1.51674,?,?,1.64,?,?,7.99,?,?,?
?,?,3.34,?,72.14,0.56,8.99,?,?,?
?,17.38,0.0,?,?,0.0,?,0.0,?,?
?,?,?,?,72.39,?,?,0.0,0.0,?
1.51755,13.0,3.6,1.36,72.99,0.57,8.4,0.0,0.11,0
1.51571,12.72,?,?,73.2,0.67,8.09,0.0,?,?
1.51596,12.79,3.61,?,72.97,0.64,8.07,0.0,0.26,?
1.5173,12.35,?,1.63,?,0.7,9.23,0.0,0.0,?
?,12.85,3.51,1.44,73.01,?,8.23,0.06,0.25,?
