@relation dataset

@attribute RI real
@attribute Na real
@attribute Mg real
@attribute Al real
@attribute Si real
@attribute K real
@attribute Ca real
@attribute Ba real
@attribute Fe real
@attribute Type {'build wind float', 'build wind non-float', 'vehic wind float', 'vehic wind non-float', containers, tableware, headlamps}


@data

?,12.79,?,?,73.03,0.64,?,0.0,0.0,?
1.51643,?,3.52,?,72.89,0.57,8.53,?,0.0,?
1.51793,13.21,3.48,?,72.64,0.59,8.43,0.0,0.0,?
1.51299,14.4,1.74,?,74.55,0.0,?,?,0.0,tableware
?,12.3,?,1.0,70.16,?,16.19,0.0,?,?
1.51655,?,?,1.44,73.27,0.57,8.79,?,0.22,'build wind non-float'
1.51779,?,3.65,0.65,73.0,0.06,8.93,?,?,?
1.51837,13.14,2.84,1.28,?,0.55,9.07,0.0,0.0,?
?,?,?,?,73.39,?,9.07,0.61,?,headlamps
1.51789,13.19,3.9,1.3,72.33,?,8.44,0.0,?,'build wind non-float'
?,13.36,3.58,?,?,?,?,0.0,0.0,?
1.51743,12.2,?,1.16,73.55,?,8.9,0.0,?,'build wind non-float'
?,?,3.77,?,71.99,0.13,10.02,0.0,?,'build wind float'
?,14.03,3.76,?,71.79,0.11,9.65,?,0.0,'vehic wind float'
?,?,3.45,1.76,?,0.6,?,?,0.17,'vehic wind float'
?,13.48,3.48,?,?,0.62,7.99,0.0,0.0,'build wind non-float'
1.51719,14.75,?,2.0,?,?,8.53,1.59,0.08,?
1.51629,?,?,?,?,0.67,?,?,?,?
?,13.27,0.0,1.76,?,?,11.32,0.0,?,containers
?,?,2.96,1.43,?,0.6,?,?,?,'build wind non-float'
?,13.05,3.65,?,72.22,0.19,9.85,0.0,0.17,?
1.52475,?,?,1.88,?,0.81,13.24,0.0,?,?
1.51841,?,3.74,?,72.28,0.64,?,?,?,'build wind non-float'
?,?,3.66,1.19,?,0.57,8.27,?,0.11,'build wind float'
1.52058,?,1.61,2.17,72.18,0.76,?,0.24,0.51,containers
1.51569,13.24,3.49,?,73.25,0.38,?,0.0,0.0,?
?,?,3.52,1.9,72.86,?,7.97,0.0,0.0,'build wind non-float'
1.51683,14.56,?,1.98,?,0.0,8.52,1.57,0.07,?
1.51687,13.23,?,1.48,72.84,?,8.1,?,?,'build wind non-float'
1.5161,?,?,?,?,?,?,?,0.0,?
1.51674,?,3.56,?,?,0.65,7.99,0.0,0.0,'build wind non-float'
?,13.33,3.34,?,72.14,?,8.99,?,?,'vehic wind float'
1.51115,17.38,0.0,?,75.41,0.0,6.65,0.0,0.0,tableware
?,13.44,3.61,1.54,72.39,?,8.03,0.0,0.0,?
1.51755,13.0,?,1.36,72.99,0.57,?,?,0.11,'build wind float'
1.51571,12.72,3.46,1.56,73.2,?,8.09,?,0.24,?
1.51596,?,3.61,1.62,72.97,0.64,8.07,?,?,'build wind float'
?,12.35,?,?,?,?,?,0.0,?,'build wind non-float'
1.51662,?,3.51,?,?,?,?,?,0.25,?
1.51409,?,3.09,2.08,?,1.1,7.08,?,0.0,'build wind non-float'
?,?,3.48,?,?,?,8.68,0.0,?,'build wind float'
1.51806,13.0,3.8,1.08,73.07,0.56,?,?,?,'build wind non-float'
?,13.0,3.58,?,72.83,?,?,0.0,?,?
?,?,3.34,1.47,?,0.39,8.22,0.0,0.0,'build wind non-float'
?,?,?,0.75,72.65,0.16,8.89,?,?,?
1.51755,?,3.42,1.2,?,?,8.64,0.0,0.0,'build wind float'
1.51514,14.01,2.68,?,69.89,1.68,5.87,2.2,?,?
1.51766,13.21,3.69,1.29,72.61,?,8.22,0.0,0.0,'build wind float'
?,13.08,?,1.28,72.86,?,8.49,0.0,?,'build wind float'
1.52177,13.2,?,?,72.75,?,?,?,0.0,'build wind non-float'
1.51753,12.57,3.47,1.38,73.39,0.6,?,?,0.06,'build wind float'
?,13.2,3.63,?,72.83,?,?,0.09,?,?
1.51743,13.3,3.6,1.14,?,0.58,8.17,0.0,0.0,'build wind float'
?,13.09,3.59,1.52,?,0.67,7.83,?,0.0,'build wind non-float'
?,14.37,0.0,2.74,72.85,?,9.45,?,?,headlamps
1.51735,?,3.54,1.69,?,?,8.44,0.0,?,?
1.52247,14.86,2.2,2.06,?,0.76,9.76,0.0,?,headlamps
1.52099,13.69,3.59,1.12,71.96,0.09,9.4,0.0,?,'build wind float'
?,13.65,?,1.11,72.77,0.11,8.6,?,0.0,?
1.51846,13.41,3.89,1.33,72.38,?,8.28,?,0.0,'build wind non-float'
1.51848,?,?,?,?,?,8.32,0.0,0.32,?
?,13.6,?,1.11,72.64,0.14,8.76,0.0,0.0,?
?,?,?,?,72.74,0.56,?,?,?,?
1.52213,14.21,?,?,71.77,0.11,9.57,?,?,'build wind float'
?,13.72,?,0.51,71.75,0.09,10.06,0.0,0.16,'build wind float'
1.51556,13.87,0.0,?,?,?,9.41,?,0.01,?
?,13.2,3.33,1.28,?,0.6,9.14,?,0.11,'build wind float'
1.52211,14.19,?,?,71.36,?,9.14,0.0,0.37,?
1.53125,?,?,2.1,69.81,0.58,13.3,3.15,?,?
1.52152,13.05,?,?,?,0.19,?,?,?,'build wind float'
1.51829,?,?,?,?,?,9.26,?,0.0,tableware
?,13.46,3.83,1.26,72.55,0.57,?,?,?,?
?,14.99,0.78,1.74,?,0.0,?,0.0,?,tableware
?,13.24,3.9,1.41,72.33,0.55,8.31,0.0,?,'build wind non-float'
?,13.31,3.58,0.82,71.99,?,?,0.0,?,?
?,13.56,?,1.47,?,?,7.96,?,0.0,'build wind non-float'
1.51768,?,3.52,?,73.15,?,8.54,?,?,'build wind float'
1.51215,12.99,?,1.12,?,0.62,8.35,?,?,'build wind float'
?,?,?,1.26,?,0.52,8.58,0.0,0.0,?
1.51721,12.87,3.48,1.33,73.04,?,8.43,0.0,?,'build wind float'
1.51763,?,3.66,1.27,73.01,0.6,8.56,?,0.0,?
?,13.27,?,?,73.08,0.55,?,0.0,?,?
1.52127,14.32,?,?,71.5,0.0,?,0.0,0.0,'vehic wind float'
1.51779,?,?,1.33,72.76,?,?,0.0,0.0,'build wind float'
?,11.56,1.88,1.56,72.86,?,11.41,?,0.0,?
1.518,?,3.93,1.54,?,?,8.21,0.0,0.15,'build wind non-float'
1.52777,12.64,0.0,0.67,72.02,?,14.4,?,0.0,'build wind non-float'
1.5175,12.82,3.55,1.49,?,0.54,8.52,?,?,'build wind float'
1.51764,12.98,?,?,73.0,0.65,8.53,?,0.0,?
1.52177,13.75,?,?,?,0.33,?,0.0,?,?
1.51645,14.94,0.0,1.87,73.11,0.0,8.67,1.38,?,?
1.51786,?,3.43,1.19,72.95,0.62,8.76,?,?,?
?,13.12,3.58,0.9,?,0.23,?,?,?,?
1.51937,13.79,2.41,1.19,72.76,0.0,9.77,?,?,tableware
?,?,?,?,73.72,0.0,?,?,0.0,headlamps
1.52172,13.48,3.74,0.9,?,0.18,9.61,0.0,0.07,?
?,14.95,0.0,?,72.99,0.0,8.61,1.55,?,headlamps
1.5202,?,1.35,1.63,?,0.39,?,0.0,?,'build wind non-float'
1.51605,?,3.44,1.45,?,?,8.27,0.0,0.0,'build wind non-float'
1.51847,?,?,1.19,72.44,?,?,?,0.0,'build wind non-float'
1.51761,13.89,3.6,1.36,?,0.48,7.83,?,0.0,'build wind float'
1.51673,?,3.64,1.53,72.53,0.65,?,0.0,0.29,'build wind non-float'
?,?,1.83,1.31,70.43,0.31,?,?,0.0,headlamps
