@relation dataset

@attribute RI real
@attribute Na real
@attribute Mg real
@attribute Al real
@attribute Si real
@attribute K real
@attribute Ca real
@attribute Ba real
@attribute Fe real
@attribute Type {'build wind float', 'build wind non-float', 'vehic wind float', 'vehic wind non-float', containers, tableware, headlamps}


@data

1.51793,12.79,?,?,73.03,0.64,8.77,?,0.0,'build wind float'
?,12.16,?,1.35,72.89,0.57,8.53,0.0,?,'vehic wind float'
1.51793,13.21,?,1.41,72.64,?,8.43,0.0,0.0,?
1.51299,?,1.74,?,74.55,?,7.59,0.0,0.0,tableware
?,12.3,?,?,70.16,?,16.19,?,0.24,'build wind non-float'
?,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,'build wind non-float'
1.51779,13.64,?,0.65,?,0.06,8.93,0.0,0.0,'vehic wind float'
1.51837,?,?,1.28,72.85,0.55,?,0.0,?,?
?,14.14,?,2.68,?,?,9.07,0.61,?,headlamps
1.51789,13.19,3.9,?,72.33,?,8.44,0.0,?,?
?,13.36,3.58,?,?,?,8.21,?,0.0,'build wind non-float'
1.51743,?,?,1.16,73.55,0.62,?,0.0,0.24,'build wind non-float'
?,13.21,3.77,?,?,?,?,?,0.0,'build wind float'
1.52121,14.03,3.76,0.58,71.79,?,?,0.0,0.0,'vehic wind float'
1.51665,13.14,3.45,?,?,0.6,?,?,?,?
?,?,?,?,?,?,?,0.0,0.0,'build wind non-float'
?,14.75,0.0,2.0,?,0.0,?,?,0.08,?
?,12.71,3.33,?,73.28,?,8.24,0.0,0.0,?
1.51994,?,0.0,1.76,73.03,?,11.32,0.0,?,?
1.51811,?,2.96,?,72.92,0.6,8.79,0.14,?,'build wind non-float'
1.52152,?,3.65,?,72.22,0.19,9.85,0.0,0.17,?
?,?,0.0,1.88,?,?,?,0.0,0.34,?
?,?,3.74,1.11,72.28,0.64,8.96,?,?,?
1.51754,13.39,?,?,?,0.57,?,?,0.11,'build wind float'
?,?,1.61,2.17,72.18,?,9.7,?,0.51,?
1.51569,?,?,1.47,73.25,?,8.03,?,0.0,'build wind non-float'
?,?,3.52,1.9,72.86,?,7.97,0.0,?,'build wind non-float'
1.51683,?,0.0,1.98,73.29,?,8.52,1.57,0.07,?
?,?,3.54,1.48,72.84,?,?,?,0.0,?
?,?,?,?,72.67,?,?,0.0,0.0,'vehic wind float'
1.51674,?,3.56,?,73.14,0.65,?,0.0,?,?
1.51832,13.33,3.34,?,72.14,?,8.99,0.0,?,'vehic wind float'
?,?,?,0.34,75.41,0.0,6.65,?,0.0,tableware
?,13.44,3.61,1.54,?,?,8.03,0.0,0.0,'build wind non-float'
1.51755,?,3.6,1.36,?,0.57,8.4,0.0,0.11,'build wind float'
1.51571,12.72,?,1.56,73.2,?,8.09,0.0,0.24,'build wind float'
?,?,3.61,1.62,72.97,?,?,?,0.26,'build wind float'
1.5173,?,?,1.63,?,?,9.23,0.0,?,?
?,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,'build wind non-float'
1.51409,14.25,?,2.08,?,1.1,7.08,0.0,?,?
?,?,3.48,1.35,72.96,?,8.68,0.0,?,'build wind float'
?,?,?,1.08,?,?,?,?,0.12,?
1.51627,13.0,3.58,1.54,72.83,?,8.04,0.0,?,'build wind non-float'
?,?,3.34,1.47,?,0.39,8.22,0.0,?,'build wind non-float'
?,13.64,3.54,0.75,?,0.16,8.89,0.15,0.24,'vehic wind float'
?,12.71,?,?,?,?,8.64,?,0.0,?
1.51514,?,2.68,3.5,69.89,?,?,?,0.0,containers
?,?,?,1.29,72.61,0.57,8.22,?,?,?
1.51784,13.08,3.49,?,72.86,0.6,?,?,?,'build wind float'
1.52177,?,3.68,1.15,72.75,0.54,?,?,?,'build wind non-float'
?,?,3.47,?,73.39,0.6,8.55,?,0.06,?
1.51851,13.2,3.63,1.07,?,0.57,8.41,?,?,'build wind non-float'
1.51743,?,?,?,?,?,8.17,?,0.0,'build wind float'
1.51593,?,3.59,?,73.1,0.67,7.83,0.0,?,'build wind non-float'
?,14.37,?,2.74,72.85,0.0,9.45,0.54,?,headlamps
?,13.02,3.54,1.69,?,0.54,?,?,?,'build wind float'
?,14.86,2.2,?,70.26,?,?,0.0,?,headlamps
1.52099,13.69,3.59,1.12,?,0.09,?,0.0,?,'build wind float'
?,?,3.66,?,?,0.11,?,0.0,0.0,?
1.51846,13.41,?,1.33,72.38,0.51,8.28,?,?,'build wind non-float'
1.51848,13.64,3.87,1.27,71.96,?,8.32,0.0,?,'build wind non-float'
1.51905,13.6,?,?,72.64,0.14,?,?,?,?
1.51567,?,?,1.21,72.74,?,?,?,0.0,?
1.52213,14.21,?,0.47,?,0.11,9.57,?,0.0,'build wind float'
1.5232,13.72,3.72,?,?,?,?,0.0,0.16,'build wind float'
?,?,?,2.54,?,?,9.41,0.81,?,?
1.51926,13.2,3.33,1.28,72.36,0.6,9.14,?,0.11,?
1.52211,14.19,3.78,0.91,71.36,?,?,?,0.37,'vehic wind float'
1.53125,10.73,?,2.1,?,0.58,?,?,?,?
?,13.05,?,0.87,72.32,0.19,9.85,0.0,0.17,'build wind float'
?,?,?,?,72.38,0.0,9.26,0.0,?,tableware
?,?,3.83,1.26,72.55,0.57,?,?,0.14,?
?,14.99,0.78,1.74,72.5,0.0,9.95,0.0,?,tableware
?,13.24,3.9,?,72.33,?,8.31,?,0.1,'build wind non-float'
1.523,?,?,0.82,?,0.12,?,0.0,?,?
1.51652,13.56,3.57,1.47,?,0.64,?,0.0,?,'build wind non-float'
