@relation dataset

@attribute RI real
@attribute Na real
@attribute Mg real
@attribute Al real
@attribute Si real
@attribute K real
@attribute Ca real
@attribute Ba real
@attribute Fe real
@attribute Type {0, 1, 2, 3, 4, 5, 6}


@data

?,12.79,3.5,1.12,73.03,0.64,?,0.0,0.0,0
1.51643,?,3.52,1.35,?,0.57,?,0.0,0.0,2
1.51793,?,3.48,1.41,72.64,0.59,8.43,0.0,?,0
?,?,?,1.54,74.55,?,7.59,0.0,0.0,?
1.53393,12.3,0.0,1.0,?,0.12,16.19,?,?,1
1.51655,12.75,2.85,1.44,73.27,?,?,0.11,0.22,?
1.51779,13.64,?,?,?,0.06,8.93,0.0,0.0,2
?,?,?,?,72.85,?,?,0.0,?,?
?,14.14,0.0,?,73.39,0.08,?,0.61,0.05,?
?,13.19,3.9,1.3,72.33,0.55,8.44,0.0,0.28,1
1.51625,13.36,3.58,?,72.72,0.45,?,?,0.0,1
?,12.2,3.25,?,?,0.62,8.9,?,0.24,?
?,?,?,?,71.99,0.13,10.02,0.0,?,0
?,?,3.76,?,71.79,0.11,9.65,?,?,2
1.51665,13.14,3.45,1.76,72.48,?,8.38,?,0.17,2
?,13.48,?,1.71,72.52,?,7.99,?,?,?
?,?,0.0,2.0,?,?,8.53,1.59,?,?
1.51629,12.71,?,1.49,73.28,?,8.24,0.0,0.0,1
?,?,0.0,?,73.03,?,?,?,0.0,?
1.51811,12.96,2.96,1.43,72.92,0.6,8.79,0.14,?,1
1.52152,?,3.65,0.87,72.22,0.19,?,0.0,0.17,0
1.52475,11.45,0.0,1.88,72.19,?,?,0.0,0.34,?
?,12.93,3.74,1.11,72.28,0.64,8.96,?,0.22,1
?,13.39,3.66,1.19,72.79,0.57,8.27,0.0,?,0
?,12.85,?,2.17,72.18,?,?,?,?,?
1.51569,13.24,3.49,?,?,0.38,?,0.0,0.0,?
1.5159,12.82,3.52,1.9,?,?,?,0.0,?,?
1.51683,?,?,1.98,?,?,8.52,1.57,?,6
?,13.23,3.54,1.48,72.84,0.56,8.1,0.0,?,1
1.5161,13.33,3.53,1.34,72.67,?,?,0.0,0.0,2
1.51674,12.87,?,1.64,?,0.65,7.99,0.0,0.0,1
?,?,?,?,?,0.56,8.99,?,0.0,?
?,17.38,0.0,0.34,?,?,?,?,0.0,5
?,?,3.61,?,72.39,?,8.03,?,?,1
1.51755,13.0,3.6,?,72.99,0.57,8.4,0.0,0.11,0
?,?,3.46,1.56,73.2,?,8.09,0.0,?,0
1.51596,12.79,?,?,?,0.64,8.07,?,?,0
1.5173,?,2.72,1.63,?,0.7,9.23,0.0,0.0,?
1.51662,12.85,3.51,?,?,?,?,?,0.25,1
?,14.25,3.09,?,?,?,?,0.0,0.0,1
1.51797,12.74,3.48,?,?,?,8.68,0.0,0.0,?
?,13.0,3.8,?,73.07,0.56,?,?,?,1
?,13.0,3.58,?,72.83,?,8.04,?,0.0,1
?,?,3.34,?,?,0.39,?,0.0,0.0,1
1.51934,13.64,3.54,?,72.65,0.16,?,0.15,0.24,?
1.51755,12.71,?,1.2,73.2,0.59,8.64,0.0,?,?
1.51514,14.01,2.68,3.5,?,1.68,5.87,?,?,?
1.51766,?,3.69,?,?,?,8.22,0.0,0.0,0
1.51784,13.08,?,1.28,?,?,8.49,0.0,?,?
1.52177,13.2,3.68,?,72.75,?,8.52,0.0,0.0,?
?,12.57,3.47,?,?,0.6,8.55,0.0,?,0
1.51851,13.2,3.63,1.07,?,?,8.41,?,?,?
1.51743,13.3,?,1.14,73.09,0.58,?,?,0.0,?
?,13.09,3.59,1.52,73.1,0.67,7.83,?,?,1
1.5164,14.37,?,2.74,72.85,0.0,9.45,0.54,?,6
?,13.02,?,?,72.73,?,?,0.0,0.07,0
1.52247,?,?,?,70.26,?,9.76,0.0,0.0,6
?,?,3.59,1.12,?,0.09,?,?,0.0,?
?,13.65,3.66,1.11,?,?,8.6,?,0.0,2
1.51846,?,3.89,1.33,72.38,?,8.28,?,0.0,1
?,?,3.87,1.27,?,0.54,?,0.0,0.32,1
1.51905,?,?,?,72.64,0.14,?,?,0.0,0
1.51567,13.29,?,1.21,?,?,8.57,0.0,?,0
1.52213,14.21,?,0.47,?,0.11,?,0.0,?,?
1.5232,13.72,?,0.51,71.75,0.09,?,0.0,0.16,?
?,13.87,0.0,2.54,73.23,?,?,0.81,?,?
1.51926,13.2,?,1.28,72.36,0.6,?,?,?,?
1.52211,14.19,3.78,0.91,?,0.23,?,?,0.37,?
1.53125,?,?,2.1,69.81,0.58,?,?,0.28,?
?,13.05,3.65,?,72.32,0.19,9.85,?,0.17,0
1.51829,?,?,?,?,0.0,9.26,0.0,0.0,?
1.51892,13.46,3.83,1.26,72.55,0.57,?,?,0.14,1
?,14.99,?,1.74,72.5,0.0,?,0.0,?,?
1.51829,?,3.9,?,72.33,0.55,?,0.0,0.1,1
1.523,13.31,?,0.82,71.99,0.12,10.17,0.0,0.03,?
?,?,?,?,72.45,0.64,7.96,0.0,0.0,1
?,?,3.52,?,73.15,?,8.54,0.0,0.0,0
1.51215,12.99,3.47,1.12,?,0.62,?,?,0.31,?
?,?,?,?,?,0.52,8.58,0.0,0.0,?
?,?,3.48,1.33,73.04,?,?,0.0,?,0
1.51763,?,3.66,?,?,?,8.56,0.0,?,?
1.51742,?,?,?,?,0.55,?,0.0,0.0,?
1.52127,?,?,?,?,?,?,0.0,0.0,2
1.51779,?,3.39,1.33,72.76,?,8.59,?,?,0
?,11.56,?,1.56,72.86,0.47,?,?,0.0,4
?,13.71,3.93,1.54,71.81,0.54,8.21,?,0.15,1
1.52777,?,0.0,0.67,?,0.06,?,0.0,0.0,1
1.5175,?,?,1.49,72.75,?,8.52,0.0,?,0
1.51764,?,?,?,73.0,?,?,?,?,?
1.52177,?,1.01,1.36,72.19,?,11.14,?,0.0,?
1.51645,14.94,?,?,?,0.0,8.67,?,?,6
?,12.73,?,1.19,?,?,8.76,0.0,0.3,?
1.52152,13.12,?,?,?,?,9.82,?,?,?
1.51937,13.79,2.41,?,72.76,0.0,9.77,0.0,0.0,5
1.51514,?,0.0,2.42,73.72,?,8.39,?,0.0,6
?,?,3.74,0.9,72.01,?,9.61,?,0.07,?
1.51732,?,0.0,?,72.99,0.0,?,1.55,0.0,?
1.5202,?,1.35,?,71.76,0.39,10.56,0.0,0.18,1
1.51605,?,?,?,73.06,0.44,8.27,?,?,?
?,13.1,?,?,72.44,0.6,8.43,0.0,?,1
1.51761,13.89,3.6,1.36,72.73,0.48,?,?,?,?
?,13.3,?,?,72.53,0.65,?,0.0,0.29,1
1.52365,15.79,?,1.31,70.43,0.31,8.61,1.68,0.0,6
1.51685,14.92,?,1.99,?,?,8.4,1.59,?,6
?,?,0.0,1.99,73.11,0.0,8.28,?,?,?
1.51316,13.02,?,?,70.48,6.21,?,?,?,4
1.51709,13.0,3.47,?,72.72,0.66,8.18,0.0,0.0,?
?,14.7,?,2.34,73.28,0.0,?,0.66,?,6
1.51898,?,3.35,?,72.08,0.59,?,0.0,?,0
?,12.64,0.0,1.65,73.75,0.38,11.53,?,0.0,?
1.5182,12.62,2.76,0.83,73.81,0.35,9.42,0.0,?,?
?,14.95,0.0,?,73.3,0.0,8.71,0.67,0.0,6
1.51911,13.9,3.73,1.18,?,0.06,?,0.0,0.0,?
1.51651,14.38,?,?,73.61,0.0,8.48,1.57,0.0,?
?,?,?,1.31,72.61,?,8.79,0.0,?,2
1.52315,13.44,3.34,?,?,0.6,?,0.0,?,6
?,13.55,?,?,?,?,9.57,?,0.17,1
1.51838,14.32,?,2.22,?,1.46,5.79,1.63,0.0,?
1.51818,13.72,?,0.56,?,0.0,?,0.0,0.0,1
?,12.45,2.71,1.29,73.7,?,9.06,?,?,?
?,?,?,?,72.97,?,?,?,?,1
1.51589,12.88,3.43,?,73.28,?,?,?,?,0
1.5241,13.83,2.9,1.17,71.15,?,10.79,0.0,?,1
1.52725,13.8,?,?,?,?,?,?,?,?
1.52119,?,0.33,1.51,?,0.13,11.27,0.0,0.28,4
?,12.86,3.56,1.27,73.21,0.54,?,0.0,?,?
1.51653,11.95,0.0,?,75.18,2.7,8.93,?,?,6
1.51623,?,?,2.88,72.61,0.08,9.18,1.06,?,6
?,13.64,4.49,1.1,?,?,8.75,?,?,0
1.51763,12.61,3.59,?,?,?,8.5,?,?,0
1.51596,13.02,?,?,?,0.72,7.9,0.0,0.0,1
?,12.79,?,?,?,0.66,?,?,0.0,1
?,?,?,?,73.42,0.0,?,?,0.0,6
1.51768,?,?,1.3,?,?,8.69,0.0,0.14,0
?,13.44,?,?,72.22,0.32,12.24,?,0.0,4
1.51756,13.15,?,1.05,?,0.57,8.24,0.0,0.0,0
1.51754,13.48,?,1.17,72.99,0.59,8.03,0.0,0.0,?
1.51711,?,?,?,?,0.61,8.11,0.0,?,?
?,13.73,?,0.72,71.76,?,9.74,0.0,0.0,0
?,13.09,3.52,1.55,?,?,8.05,?,?,?
?,12.68,?,?,73.11,0.61,8.7,?,?,0
1.51909,13.89,?,?,?,0.51,8.78,0.11,0.0,?
?,13.81,?,1.32,?,0.12,8.67,?,0.0,?
1.51666,?,0.0,?,?,0.97,?,0.0,0.0,4
1.51631,13.34,?,1.57,?,?,7.89,?,0.0,1
1.51872,12.93,?,1.56,?,0.58,8.55,0.0,?,?
1.51708,13.72,3.68,?,72.06,0.64,7.88,0.0,0.0,1
?,13.78,2.28,1.43,71.99,?,?,0.0,0.17,1
1.51574,?,3.67,1.74,71.87,0.16,7.36,?,?,1
1.51813,?,3.98,1.18,72.49,?,8.15,?,0.0,?
?,13.69,?,1.81,72.81,1.76,5.43,?,0.0,6
1.52227,?,?,0.78,?,0.0,?,0.0,0.0,0
?,?,0.0,?,71.24,0.19,?,?,?,?
1.51811,?,?,?,72.78,?,8.12,?,0.0,1
1.51655,13.41,3.39,1.28,?,0.52,8.65,0.0,0.0,2
1.51751,?,?,?,?,?,8.59,?,0.0,0
1.51508,?,?,2.25,73.5,?,?,0.63,?,6
1.51915,?,?,1.86,72.69,0.6,10.09,0.0,0.0,4
1.51966,14.77,3.75,?,?,0.03,?,0.0,0.0,0
1.51844,?,?,?,72.4,?,8.42,0.0,?,1
?,?,0.0,0.77,73.21,?,?,?,?,1
?,13.51,?,0.88,71.79,0.23,?,?,?,0
1.51602,14.85,?,2.38,73.28,0.0,?,0.64,?,?
?,13.0,0.0,3.02,70.7,6.21,6.93,0.0,0.0,4
?,11.02,0.0,0.75,73.08,0.0,?,0.0,?,?
?,?,?,0.47,71.77,0.11,9.57,0.0,0.0,0
?,?,?,1.14,73.27,?,?,?,0.0,?
?,12.85,3.67,1.24,?,0.62,?,0.0,0.35,?
?,13.41,?,1.25,72.81,?,?,0.0,?,1
1.51609,?,0.0,?,73.05,0.05,8.83,?,0.0,6
1.51667,12.94,?,1.26,?,?,8.6,0.0,0.0,?
1.51588,13.12,?,1.58,?,0.07,8.39,?,?,1
?,13.99,?,0.71,71.57,?,9.82,0.0,0.1,0
1.51831,14.39,0.0,1.82,72.86,?,6.47,?,?,6
1.51918,?,?,?,72.08,0.56,8.3,0.0,?,0
1.51613,13.88,?,?,73.1,?,?,?,0.0,6
?,?,3.85,0.89,?,0.15,9.15,0.0,?,0
?,?,?,?,72.95,0.6,?,0.0,0.0,0
?,11.03,1.71,1.56,73.44,?,?,0.0,0.0,4
1.51969,?,?,0.56,73.48,0.0,?,?,0.0,?
1.51618,13.01,?,1.48,72.89,0.6,8.12,?,0.0,1
?,?,?,?,72.65,0.67,8.08,0.0,?,1
?,13.5,3.36,1.63,?,0.57,?,0.0,0.09,2
1.52222,14.43,0.0,1.0,72.67,?,11.52,0.0,0.08,1
1.51783,?,3.54,1.34,72.95,0.57,?,?,0.0,0
?,14.23,0.0,?,?,0.0,8.62,1.67,0.0,?
1.51736,12.78,3.62,1.29,?,?,?,0.0,0.0,0
?,?,2.87,1.19,?,0.55,?,?,0.0,?
1.5167,13.24,3.57,1.38,?,?,8.44,0.0,0.1,?
1.52043,13.38,0.0,?,72.25,0.33,?,0.0,?,4
?,?,3.48,?,?,0.55,?,0.0,0.0,0
1.51778,?,2.81,1.29,?,0.51,9.02,0.0,?,?
1.51905,?,?,1.56,?,0.0,?,0.0,0.0,5
?,14.38,?,2.66,?,?,?,0.64,?,6
?,?,?,2.09,72.74,0.0,10.88,0.0,0.0,?
1.51841,13.02,3.62,?,72.34,0.64,9.13,?,?,1
1.5159,?,3.58,?,?,?,?,0.0,0.0,1
1.51593,?,3.45,1.43,73.17,?,?,0.0,0.0,1
1.5164,?,?,?,?,?,?,0.0,?,1
?,?,?,1.62,?,?,8.03,0.0,0.21,?
1.5169,?,3.54,?,72.54,0.68,8.11,?,0.0,1
1.51869,13.19,3.37,?,?,0.57,8.83,0.0,0.16,?
1.51776,13.53,3.41,1.52,72.04,?,8.79,?,0.0,2
?,?,?,1.23,72.97,0.61,?,0.09,0.22,?
?,?,3.43,?,?,?,?,?,0.0,1
1.5172,13.38,3.5,?,72.85,0.5,?,0.0,0.0,0
1.51623,14.2,?,2.79,?,0.04,?,0.4,?,6
1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0.0,0.0,0
?,?,?,1.23,73.24,0.58,8.39,0.0,0.0,0
?,13.42,3.4,1.22,72.69,?,?,0.0,0.0,2
?,?,?,?,72.66,?,7.97,0.0,0.0,1
1.51613,13.92,3.52,?,72.88,?,?,0.0,0.14,?
1.51689,12.67,2.88,?,73.21,?,?,0.0,?,?
?,14.09,?,?,72.67,?,9.32,?,?,5
