@relation dataset

@attribute attr_4 real
@attribute attr_5 {NO, YES}
@attribute attr_7 {NO, YES}
@attribute attr_8 {BENTON, UDDEHOLM}
@attribute attr_10 {COATED, UNCOATED}
@attribute attr_11 {COATED, COVER, UNCOATED}
@attribute attr_12 {NO, YES}
@attribute attr_13 {LINE, NAPTHA, XYLOL}
@attribute attr_14 {NO, YES}
@attribute attr_15 {Albert70, Motter70, Motter94, WoodHoe70}
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 {CATALOG, SPIEGEL, TABLOID}
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_33 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 {band, noband}


@data

25503.0,?,YES,BENTON,UNCOATED,?,?,LINE,YES,Motter94,821.0,2.0,TABLOID,1911.0,?,?,0.2,?,?,0.75,?,13.1,1700.0,50.5,36.4,0.0,?,2.5,1.0,?,40.0,105.0,100.0,band
39039.0,YES,?,BENTON,?,UNCOATED,NO,?,YES,?,816.0,?,CATALOG,1910.0,52.0,?,?,?,75.0,0.3125,30.0,5.6,1467.0,55.6,38.8,0.0,0.0,2.5,1.3,40.0,40.0,108.06,100.0,noband
?,NO,YES,BENTON,?,?,NO,?,?,WoodHoe70,816.0,2.0,TABLOID,1910.0,50.0,?,0.3,?,?,?,30.0,0.0,?,57.5,?,5.0,?,?,0.6,35.0,40.0,106.67,?,?
?,?,?,BENTON,UNCOATED,?,NO,?,?,?,816.0,2.0,?,?,50.0,40.0,?,16.8,?,0.4375,28.0,8.6,1467.0,53.8,37.6,5.0,0.0,?,0.8,?,?,?,100.0,noband
?,NO,YES,BENTON,COATED,?,?,LINE,?,Motter94,827.0,2.0,?,?,50.0,?,?,16.5,75.0,?,30.0,0.0,2600.0,62.5,?,?,?,?,0.6,?,?,106.67,100.0,noband
35751.0,?,YES,BENTON,COATED,?,NO,LINE,YES,Motter94,827.0,?,TABLOID,1911.0,?,46.0,?,?,?,0.75,28.0,0.0,2600.0,62.5,37.5,6.0,0.0,2.5,?,?,40.0,?,?,noband
47201.0,YES,?,?,UNCOATED,?,?,?,?,?,802.0,?,?,?,50.0,?,0.367,12.0,70.0,0.75,60.0,?,1650.0,60.2,39.8,1.5,0.0,3.0,1.0,40.0,40.0,103.22,?,band
?,YES,YES,BENTON,?,?,NO,LINE,YES,?,815.0,2.0,CATALOG,?,65.0,?,?,16.0,75.0,?,?,22.7,1750.0,45.5,31.8,0.0,?,?,1.0,?,40.0,?,100.0,noband
?,YES,YES,BENTON,UNCOATED,UNCOATED,NO,LINE,YES,WoodHoe70,815.0,?,CATALOG,?,65.0,?,0.2,?,68.0,0.75,?,?,1750.0,48.5,35.9,?,?,?,1.0,38.0,40.0,?,100.0,?
