@relation dataset

@attribute x real
@attribute y real
@attribute month {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}
@attribute day {0, 1, 2, 3, 4, 5, 6}
@attribute ffmc real
@attribute dmc real
@attribute dc real
@attribute isi real
@attribute temp real
@attribute rh real
@attribute wind real
@attribute rain real
@attribute area real


@data

?,5.0,?,?,?,26.2,94.3,?,8.2,?,6.7,0.0,?
7.0,?,10,?,?,35.4,669.1,6.7,?,33.0,0.9,?,?
7.0,?,?,?,90.6,43.7,686.9,?,?,?,?,0.0,0.0
8.0,6.0,7,?,91.7,?,77.5,9.0,8.3,97.0,4.0,0.2,0.0
8.0,6.0,?,?,?,51.3,?,?,11.4,99.0,1.8,0.0,0.0
?,?,1,3,?,85.3,488.0,14.7,?,29.0,5.4,0.0,?
8.0,6.0,1,1,92.3,?,495.6,8.5,24.1,?,?,?,0.0
8.0,?,1,?,91.5,?,?,10.7,?,86.0,?,0.0,0.0
?,6.0,11,?,?,129.5,692.6,7.0,?,?,5.4,0.0,?
7.0,?,11,?,?,88.0,698.6,?,22.8,40.0,?,?,0.0
?,5.0,11,?,?,?,698.6,7.1,17.8,51.0,7.2,?,?
7.0,5.0,?,?,92.8,?,713.0,?,19.3,38.0,4.0,0.0,0.0
6.0,5.0,?,?,?,70.8,?,?,17.0,?,6.7,?,0.0
6.0,5.0,?,?,90.9,126.5,?,?,?,?,2.2,0.0,0.0
?,?,11,?,?,133.3,699.6,?,26.4,?,?,0.0,?
6.0,?,11,0,?,?,713.9,13.9,22.9,?,?,?,?
5.0,?,7,?,?,?,?,?,?,?,?,?,?
?,?,10,1,84.9,?,664.2,3.0,?,47.0,?,0.0,0.0
6.0,?,7,?,89.2,?,?,6.3,?,?,4.0,0.0,?
?,4.0,0,?,?,?,97.1,5.1,?,44.0,4.5,?,?
?,?,?,?,?,129.5,?,?,18.3,40.0,?,0.0,0.0
5.0,?,11,?,?,78.5,?,9.2,?,?,2.7,?,?
?,?,6,?,94.3,?,?,?,?,?,?,0.0,?
?,?,1,2,?,110.9,?,?,?,?,?,?,?
7.0,?,?,?,93.5,139.4,?,20.3,?,?,?,0.0,?
7.0,4.0,1,?,?,?,601.4,10.6,?,?,?,?,?
?,?,?,0,?,117.9,668.0,?,19.0,?,5.8,0.0,?
?,4.0,?,?,?,?,686.5,7.0,19.4,?,?,0.0,?
6.0,?,?,2,93.4,145.4,721.4,8.1,30.2,24.0,?,0.0,?
?,3.0,11,?,93.5,149.3,728.6,?,22.8,?,?,0.0,?
?,?,?,0,94.3,?,692.3,?,25.4,?,3.6,0.0,0.0
?,?,11,?,?,?,?,?,?,78.0,?,0.0,?
?,3.0,11,?,?,69.7,706.8,5.8,?,37.0,1.8,?,?
