@relation dataset

@attribute x real
@attribute y real
@attribute month {apr, aug, dec, feb, jan, jul, jun, mar, may, nov, oct, sep}
@attribute day {fri, mon, sat, sun, thu, tue, wed}
@attribute ffmc real
@attribute dmc real
@attribute dc real
@attribute isi real
@attribute temp real
@attribute rh real
@attribute wind real
@attribute rain real
@attribute area real


@data

7.0,?,mar,fri,?,?,94.3,?,?,?,?,0.0,0.0
7.0,4.0,?,tue,90.6,35.4,669.1,?,?,33.0,0.9,0.0,?
?,4.0,oct,sat,?,?,686.9,6.7,14.6,?,1.3,0.0,0.0
?,?,?,fri,?,33.3,?,9.0,8.3,97.0,4.0,?,?
8.0,?,mar,sun,?,?,?,9.6,11.4,99.0,?,0.0,0.0
8.0,?,aug,?,92.3,?,488.0,14.7,22.2,29.0,?,?,0.0
8.0,6.0,aug,mon,92.3,?,?,?,?,27.0,?,?,0.0
8.0,6.0,aug,mon,?,?,608.2,?,8.0,?,2.2,?,0.0
8.0,6.0,sep,?,?,?,692.6,7.0,13.1,63.0,?,0.0,0.0
7.0,?,sep,?,?,?,?,7.1,?,?,4.0,?,?
7.0,?,?,?,92.5,88.0,698.6,?,17.8,?,7.2,?,?
7.0,?,?,sat,?,73.2,713.0,22.6,?,38.0,4.0,?,0.0
?,5.0,?,fri,?,?,665.3,0.8,17.0,72.0,6.7,?,?
6.0,?,sep,?,?,126.5,?,7.0,?,?,?,0.0,0.0
?,?,sep,?,92.9,?,?,9.2,?,21.0,?,0.0,?
?,?,?,?,93.3,?,?,?,?,?,5.4,0.0,?
5.0,5.0,mar,sat,91.7,35.8,?,?,15.1,?,?,?,?
8.0,5.0,?,?,84.9,?,664.2,?,16.7,?,4.9,0.0,?
?,4.0,mar,wed,?,27.9,?,?,?,?,?,0.0,?
?,?,?,?,?,27.4,?,5.1,?,?,?,?,?
?,4.0,?,?,?,?,692.6,7.0,?,40.0,?,?,?
?,?,sep,?,91.8,?,?,9.2,19.1,?,?,0.0,0.0
7.0,?,jun,sun,94.3,96.3,200.0,56.1,21.0,?,?,?,?
7.0,4.0,aug,sat,?,110.9,?,6.2,?,?,?,0.0,0.0
?,?,?,?,?,?,594.2,?,?,?,?,?,0.0
?,?,aug,sun,91.4,?,?,?,?,60.0,?,0.0,?
?,?,sep,?,?,?,?,?,?,34.0,?,0.0,?
?,?,?,mon,?,?,?,7.0,19.4,?,1.3,0.0,?
?,3.0,?,?,?,145.4,721.4,?,30.2,?,2.7,?,0.0
6.0,?,?,?,?,?,?,8.1,?,?,3.6,?,?
?,?,?,?,?,?,?,15.9,?,?,3.6,0.0,0.0
6.0,?,sep,?,?,91.8,?,7.1,?,78.0,?,?,?
?,?,?,fri,?,69.7,?,5.8,?,?,?,0.0,0.0
6.0,?,sep,?,?,?,?,?,17.7,?,3.6,0.0,?
?,?,?,?,?,?,?,?,21.2,?,?,?,0.0
?,?,sep,?,90.3,80.7,?,?,?,?,?,0.0,0.0
6.0,3.0,?,?,?,35.4,?,?,?,24.0,4.5,0.0,?
7.0,?,oct,?,90.0,?,682.6,?,?,?,?,0.0,0.0
?,?,?,?,90.6,43.7,686.9,?,17.8,27.0,4.0,0.0,?
4.0,?,?,tue,?,?,?,3.8,?,?,?,0.0,?
?,4.0,?,?,?,60.6,366.7,1.5,?,37.0,?,?,0.0
?,4.0,aug,?,?,?,624.2,?,?,?,6.7,0.0,?
?,?,aug,?,?,?,?,?,16.6,54.0,?,?,?
?,4.0,sep,sat,?,?,?,7.1,?,?,2.7,0.0,?
?,4.0,?,wed,90.1,82.9,735.7,?,12.9,?,?,0.0,?
?,?,?,wed,?,85.1,?,15.9,?,?,4.0,?,0.0
?,?,sep,?,90.9,126.5,?,?,14.7,?,3.6,?,?
?,?,?,?,?,?,?,?,23.0,36.0,?,?,0.0
4.0,?,mar,mon,87.2,?,64.7,?,?,35.0,1.8,?,0.0
4.0,?,?,mon,87.6,?,103.8,?,11.0,?,?,0.0,?
4.0,?,sep,thu,?,137.0,?,9.2,?,?,?,?,?
?,?,aug,?,90.2,?,631.2,?,?,34.0,?,?,0.0
?,?,?,?,92.1,?,?,?,?,42.0,?,?,0.0
4.0,3.0,?,?,?,?,?,?,?,42.0,?,0.0,0.0
?,?,aug,thu,?,?,661.3,?,17.6,?,?,?,0.0
?,?,?,?,?,?,?,?,27.7,24.0,2.2,?,?
4.0,?,?,tue,?,?,730.2,?,?,63.0,?,0.0,0.0
4.0,3.0,?,?,92.6,?,691.8,?,13.8,50.0,2.7,?,?
?,?,feb,?,?,?,?,?,13.9,40.0,?,0.0,?
2.0,2.0,?,fri,?,13.2,?,?,?,51.0,0.9,0.0,0.0
?,?,?,sun,?,?,?,?,?,39.0,?,0.0,?
?,?,mar,sun,89.3,?,?,9.6,?,59.0,6.3,0.0,?
2.0,?,?,thu,93.0,75.3,466.6,7.7,18.8,35.0,?,?,?
?,2.0,?,?,?,99.6,?,?,?,?,2.7,0.0,0.0
?,2.0,?,?,91.1,?,?,5.8,?,?,3.1,?,?
?,?,?,?,?,114.3,661.3,?,?,?,?,0.0,?
2.0,2.0,?,?,92.4,?,668.0,?,?,37.0,4.5,?,?
2.0,?,?,?,?,?,?,12.2,?,?,5.4,0.0,0.0
?,?,?,fri,?,117.9,?,?,19.6,33.0,?,0.0,0.0
?,5.0,?,fri,?,?,?,9.0,?,26.0,4.5,?,?
?,?,mar,?,91.2,48.3,?,?,15.8,27.0,?,?,?
?,5.0,?,?,?,85.1,692.3,15.9,?,?,3.6,?,?
5.0,?,?,?,91.7,?,77.5,?,15.6,25.0,?,?,0.0
5.0,?,aug,?,?,?,614.5,9.0,?,?,?,0.0,0.0
?,?,sep,?,?,?,713.9,?,?,?,1.3,0.0,?
?,?,feb,?,?,?,?,7.7,6.7,?,3.1,?,?
?,9.0,?,?,86.6,13.2,43.0,?,?,43.0,?,?,?
?,?,?,mon,?,52.2,?,?,?,?,3.1,?,0.0
?,?,?,?,?,108.0,?,12.5,?,?,2.7,?,0.0
?,2.0,?,?,?,?,561.6,?,21.6,?,?,?,0.0
