@relation dataset

@attribute x real
@attribute y real
@attribute month {apr, aug, dec, feb, jan, jul, jun, mar, may, nov, oct, sep}
@attribute day {fri, mon, sat, sun, thu, tue, wed}
@attribute ffmc real
@attribute dmc real
@attribute dc real
@attribute isi real
@attribute temp real
@attribute rh real
@attribute wind real
@attribute rain real
@attribute area real


@data

7.0,?,?,fri,86.2,26.2,?,5.1,8.2,51.0,6.7,0.0,0.0
7.0,?,?,tue,90.6,35.4,?,6.7,?,?,?,0.0,0.0
7.0,4.0,?,?,?,43.7,686.9,6.7,14.6,33.0,1.3,0.0,0.0
?,?,mar,fri,?,33.3,77.5,9.0,?,?,4.0,?,0.0
8.0,6.0,mar,sun,89.3,?,102.2,9.6,11.4,99.0,?,?,0.0
?,?,aug,sun,92.3,85.3,?,14.7,?,?,5.4,0.0,0.0
8.0,6.0,?,?,92.3,88.9,495.6,?,24.1,27.0,3.1,0.0,0.0
?,?,?,?,?,145.4,608.2,?,8.0,86.0,2.2,0.0,0.0
?,6.0,?,tue,91.0,129.5,?,7.0,13.1,?,5.4,0.0,0.0
7.0,5.0,?,sat,?,88.0,698.6,?,22.8,?,?,0.0,0.0
?,5.0,sep,?,92.5,88.0,698.6,?,?,51.0,7.2,0.0,?
?,?,sep,sat,92.8,?,?,?,?,?,?,?,0.0
?,?,?,fri,?,?,?,?,?,?,6.7,?,?
?,?,sep,?,90.9,?,?,7.0,?,42.0,?,?,?
?,?,sep,?,?,133.3,699.6,?,?,?,4.5,?,?
6.0,?,sep,?,?,141.2,?,?,?,44.0,?,?,?
?,5.0,?,?,91.7,?,80.8,7.8,?,27.0,5.4,0.0,0.0
8.0,5.0,?,?,84.9,32.8,664.2,?,16.7,?,?,0.0,?
6.0,?,?,?,89.2,?,?,?,?,35.0,4.0,0.0,?
?,?,?,?,?,27.4,97.1,5.1,?,?,4.5,?,?
?,?,?,tue,91.0,?,692.6,?,?,?,?,?,?
5.0,?,?,?,?,?,?,9.2,19.1,?,?,?,?
?,4.0,jun,?,94.3,96.3,?,56.1,?,44.0,4.5,?,0.0
?,?,?,?,?,?,?,?,19.5,?,5.8,?,?
?,4.0,?,?,?,139.4,?,?,23.7,32.0,?,0.0,?
?,4.0,aug,sun,91.4,?,?,?,16.3,60.0,?,?,?
7.0,?,sep,?,?,?,?,12.2,?,34.0,?,?,?
?,?,sep,?,?,?,686.5,?,19.4,48.0,?,?,?
?,3.0,?,?,?,?,?,?,30.2,24.0,?,?,?
?,?,?,sun,93.5,149.3,728.6,8.1,?,?,?,?,0.0
6.0,3.0,?,?,94.3,85.1,692.3,?,?,24.0,3.6,?,0.0
?,3.0,?,mon,?,?,?,?,?,?,7.6,0.0,0.0
?,3.0,?,fri,?,?,?,?,?,37.0,1.8,?,0.0
?,?,?,?,?,?,?,7.8,?,?,?,?,0.0
6.0,?,?,?,91.8,78.5,724.3,?,?,32.0,2.7,?,0.0
?,3.0,sep,tue,?,80.7,?,?,18.2,?,?,?,0.0
6.0,?,?,?,?,?,?,6.7,21.7,?,?,?,?
?,?,oct,?,?,41.5,?,8.7,11.3,?,5.4,0.0,0.0
7.0,?,oct,?,90.6,43.7,686.9,?,17.8,?,?,?,0.0
4.0,4.0,?,tue,88.1,25.7,?,?,?,?,?,?,?
4.0,?,?,tue,?,?,?,?,?,37.0,?,?,?
?,4.0,?,?,?,96.9,624.2,?,18.4,?,6.7,0.0,?
?,?,?,tue,?,108.3,?,?,16.6,54.0,5.4,0.0,?
4.0,?,?,?,?,88.0,?,7.1,?,48.0,2.7,?,0.0
?,4.0,?,?,?,?,?,?,?,74.0,?,?,?
5.0,6.0,?,?,94.3,85.1,?,15.9,?,24.0,?,?,0.0
?,?,?,mon,?,?,?,?,?,?,3.6,0.0,0.0
?,?,jul,mon,?,?,?,?,23.0,36.0,?,?,?
?,?,?,?,87.2,?,?,?,?,?,?,?,?
?,?,?,mon,?,?,?,?,?,?,5.8,?,?
4.0,?,?,thu,92.9,137.0,?,?,?,?,?,?,?
?,?,aug,?,?,99.6,?,6.3,21.5,?,?,?,?
?,?,?,?,?,?,?,9.6,?,?,4.9,0.0,0.0
?,3.0,?,?,?,111.2,?,?,?,42.0,4.9,0.0,0.0
?,?,?,?,?,?,661.3,6.3,?,?,3.6,?,0.0
?,?,sep,thu,?,137.0,?,9.2,?,24.0,?,?,0.0
4.0,?,?,tue,90.3,?,730.2,6.3,?,63.0,?,?,?
4.0,?,?,?,92.6,?,?,?,13.8,50.0,2.7,?,?
?,?,?,mon,?,?,?,2.1,?,40.0,?,?,0.0
?,?,?,?,86.6,13.2,?,?,12.3,?,?,?,?
?,2.0,mar,?,?,?,102.2,9.6,11.5,39.0,?,0.0,?
?,2.0,?,?,89.3,51.3,?,?,5.5,59.0,6.3,?,0.0
2.0,2.0,?,thu,?,?,?,7.7,?,?,4.9,?,?
