@relation dataset

@attribute x real
@attribute y real
@attribute month {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}
@attribute day {0, 1, 2, 3, 4, 5, 6}
@attribute ffmc real
@attribute dmc real
@attribute dc real
@attribute isi real
@attribute temp real
@attribute rh real
@attribute wind real
@attribute rain real
@attribute area real


@data

?,?,7,0,?,26.2,94.3,5.1,?,?,6.7,?,?
7.0,?,10,5,90.6,?,669.1,?,18.0,33.0,?,0.0,0.0
?,?,?,2,?,?,?,?,14.6,33.0,1.3,0.0,?
?,?,?,?,91.7,33.3,77.5,?,?,97.0,?,0.2,?
8.0,6.0,7,?,?,51.3,102.2,9.6,?,99.0,1.8,?,?
?,6.0,1,?,?,?,488.0,?,22.2,29.0,?,0.0,0.0
?,?,1,?,?,?,?,8.5,?,27.0,3.1,?,?
8.0,6.0,1,1,?,145.4,?,?,8.0,86.0,2.2,0.0,?
8.0,?,?,5,91.0,?,692.6,?,13.1,63.0,5.4,0.0,0.0
7.0,?,11,?,?,?,?,?,?,40.0,?,?,0.0
?,5.0,?,2,92.5,88.0,698.6,?,?,51.0,?,?,0.0
7.0,?,?,?,92.8,?,713.0,?,?,38.0,4.0,0.0,0.0
6.0,?,1,0,63.5,?,665.3,0.8,?,?,?,?,0.0
?,?,?,?,90.9,126.5,?,7.0,21.3,42.0,?,0.0,?
?,?,?,6,?,?,699.6,?,?,?,?,?,0.0
?,5.0,?,?,93.3,?,713.9,13.9,?,?,?,0.0,?
?,5.0,?,?,?,?,?,?,15.1,27.0,?,0.0,?
8.0,?,?,1,?,?,664.2,?,?,?,?,?,0.0
?,?,?,6,89.2,27.9,?,?,?,?,4.0,?,?
?,4.0,?,2,?,27.4,?,?,9.3,?,4.5,?,0.0
6.0,?,11,5,91.0,?,692.6,7.0,18.3,40.0,2.7,?,?
?,4.0,?,?,?,?,724.3,9.2,19.1,?,?,0.0,?
?,?,?,?,94.3,?,?,56.1,?,?,4.5,0.0,?
7.0,?,?,?,?,?,?,?,?,?,5.8,?,?
?,?,?,?,93.5,?,?,?,?,32.0,5.8,?,0.0
?,?,?,?,?,?,?,10.6,?,60.0,5.4,?,0.0
7.0,4.0,11,?,?,117.9,?,12.2,19.0,?,?,?,0.0
?,?,11,?,90.9,126.5,?,?,?,?,1.3,0.0,?
?,3.0,?,?,93.4,145.4,?,8.1,?,?,?,?,?
?,?,?,?,93.5,149.3,728.6,8.1,?,?,?,?,?
?,3.0,?,0,?,85.1,?,15.9,25.4,?,3.6,?,0.0
6.0,3.0,?,?,?,91.8,709.9,?,?,?,7.6,0.0,?
?,?,?,0,?,?,?,?,20.6,37.0,?,0.0,?
?,3.0,?,3,?,?,?,?,?,?,?,0.0,?
6.0,?,?,?,?,?,?,9.2,?,32.0,?,?,?
?,?,?,?,?,?,?,?,18.2,?,?,?,?
6.0,?,?,?,?,?,?,?,?,?,4.5,?,0.0
7.0,?,10,?,90.0,?,?,?,11.3,60.0,5.4,?,?
?,3.0,?,?,?,43.7,?,?,?,?,?,0.0,?
?,?,?,?,?,?,?,?,14.1,43.0,?,0.0,0.0
?,4.0,5,?,?,?,366.7,?,?,?,?,?,?
?,4.0,?,?,?,?,?,8.9,18.4,?,6.7,0.0,?
4.0,4.0,?,?,94.8,?,647.1,17.0,16.6,?,?,0.0,?
4.0,?,?,?,92.5,?,698.6,?,?,48.0,?,?,0.0
?,?,?,?,?,82.9,735.7,6.2,?,74.0,?,0.0,0.0
5.0,?,11,6,94.3,85.1,?,15.9,?,24.0,4.0,?,0.0
?,?,11,1,90.9,?,?,7.0,?,70.0,3.6,?,?
6.0,6.0,?,?,?,62.3,442.9,11.0,23.0,36.0,3.1,0.0,0.0
?,4.0,?,?,?,23.9,?,?,11.8,35.0,1.8,?,?
?,?,7,?,?,?,?,?,?,?,5.8,0.0,?
4.0,?,?,?,?,137.0,?,9.2,?,?,1.3,?,?
?,?,?,?,?,99.6,?,?,21.5,34.0,?,0.0,?
