@relation dataset

@attribute atr1 real
@attribute atr2 real
@attribute atr3 real
@attribute atr4 real
@attribute atr5 real
@attribute atr6 real
@attribute atr7 real
@attribute atr8 real
@attribute atr9 real
@attribute atr10 real
@attribute atr11 real
@attribute atr12 real
@attribute class {0, 1}


@data

-0.17936,-0.207,-0.20971,-0.09726,?,?,-0.28076,?,0.41866,-0.032886,?,-0.33425,0
-0.14659,-0.16494,0.24987,-0.073985,?,?,-0.28891,0.5008,-0.045553,0.050759,-0.017511,0.066959,0
-0.13131,0.51816,0.43281,0.39789,?,0.5632,-0.013246,-0.062833,-0.88339,-0.040303,0.088057,0.6312,1
0.6494,?,0.14835,?,-0.21974,0.39891,?,0.0771,-1.1072,-0.36723,0.36468,0.57172,0
-0.40628,0.11503,0.073336,?,?,0.15205,-0.19142,?,?,?,-0.12695,0.18457,?
0.27804,0.31011,?,?,0.16288,0.17356,0.60732,?,?,0.33921,?,0.36024,0
-0.02634,0.26239,?,0.54649,?,?,0.25106,-0.65032,0.26911,-0.041832,?,-0.40948,?
0.28199,?,?,?,0.49559,0.0108,0.40718,?,?,-0.74162,0.64753,-0.52111,0
0.96405,?,?,?,-0.78482,-0.21668,0.84748,0.49843,?,0.14669,?,?,0
?,?,-0.59413,?,-0.65296,0.13226,?,?,0.25206,?,0.10376,?,0
0.12099,?,?,0.01501,?,0.060151,-0.038016,?,-0.066597,?,?,0.060713,1
0.46108,0.4653,?,?,0.68771,0.45577,?,-0.14595,-0.47858,-0.4528,0.39988,0.014783,0
-0.22818,?,?,0.29118,0.65198,?,-0.08006,?,-0.21905,?,?,?,0
?,0.20072,?,0.29754,0.23683,0.29286,-0.41675,-0.56583,?,?,?,-0.026652,?
-0.17797,-0.33157,-0.22153,-0.43216,?,?,-0.35746,0.29253,-0.17256,?,0.38425,-0.19363,?
-0.0062517,-0.90522,-0.55939,-1.015,?,?,?,0.245,0.37,?,0.048632,-0.35564,0
?,0.69333,0.13401,0.72406,-0.6858,0.82868,?,-0.26206,0.22456,-0.11229,?,-0.24553,?
0.29341,0.98988,?,0.82822,?,?,0.41545,?,0.68567,0.40031,?,-0.2629,?
?,?,0.070916,0.20642,-0.10484,?,-0.30479,-0.033722,0.23421,0.18663,?,-0.0043452,?
?,?,?,?,?,0.30925,0.42525,?,?,0.85432,?,-0.13273,0
?,-0.025984,0.0059303,?,?,-0.28874,0.78627,?,0.86226,?,?,?,0
0.60045,-0.086765,0.39935,-0.037594,?,-0.22468,0.57632,0.10743,?,-0.099066,0.038245,?,0
-0.81333,-0.89625,-0.016994,?,?,-0.76347,?,-0.096731,0.054158,0.18133,-0.12621,?,1
-0.40572,-0.32364,0.12453,-0.14796,?,-0.28487,-0.29948,-0.22222,?,0.70321,-0.58735,0.31892,0
?,0.12036,0.035551,?,-0.11199,0.099171,0.2774,?,?,0.34375,-0.29875,-0.17954,0
?,?,?,-0.33985,?,-0.34524,0.2431,0.16193,0.75394,?,-0.27613,?,0
?,?,0.0035105,-0.18136,0.44797,-0.49882,-0.52377,-0.64549,-0.043079,?,?,7.8916E-4,?
?,-0.4564,-0.52774,-0.47901,?,-0.46912,-0.49773,-0.54589,-0.29213,-0.36946,0.28735,?,?
?,-0.0048935,-0.31752,-0.21875,?,?,0.027455,?,-0.20969,?,?,?,0
?,0.47128,-0.28672,-0.011328,-0.80815,?,?,?,0.43903,?,-0.11102,?,0
?,0.20565,0.1981,2.33E-4,?,?,?,-0.1417,-0.23566,0.27702,?,?,?
-0.76348,?,?,0.2687,-0.27017,0.23872,?,?,?,?,0.27336,?,?
?,?,?,?,-0.44102,-0.22965,0.11399,?,-0.22125,?,0.52313,-0.26642,0
?,?,-0.34092,-0.23388,-0.49273,0.1547,?,0.094689,?,?,?,0.19212,?
0.44589,?,?,0.63854,-0.27498,0.41201,?,1.0,0.78605,?,?,-0.065822,?
0.74227,0.48285,-0.16571,?,-0.49121,0.32778,?,?,?,?,?,?,0
0.49053,?,-0.20838,-0.1247,0.089263,-0.41729,0.37017,-0.31768,0.63013,0.13456,?,?,0
?,?,-0.38683,-0.24355,-0.28285,-0.2109,0.21471,0.20701,?,?,0.02999,-0.2625,?
0.38925,?,-0.91208,?,-0.80474,-0.04202,?,0.20566,0.59533,0.47762,?,?,1
-0.28724,?,?,-0.80608,-0.88434,0.32156,?,?,?,?,-0.285,-0.038131,0
?,-0.06379,?,0.11277,-0.33695,-0.064323,?,0.99771,0.2226,-0.10899,0.069032,?,0
?,?,?,?,-0.19613,-0.0098443,0.79458,0.2492,?,0.46033,-0.4003,0.20177,?
0.55846,0.11956,?,?,?,0.16768,?,?,-0.25772,?,0.34911,-0.070629,?
?,?,0.606,?,0.65759,0.019882,?,?,-0.19738,?,0.13971,0.066175,?
0.25804,?,?,?,?,-0.3061,?,?,-0.25626,-0.45569,0.39123,?,0
?,?,?,-0.18962,0.9486,-0.72187,?,-0.012709,?,?,?,0.0022641,0
0.64167,?,?,?,-0.033905,-0.13646,?,?,-0.47449,-0.43589,0.35164,0.11428,?
0.20929,?,?,0.18058,?,?,-0.019431,0.71391,?,?,?,-0.34012,0
-0.28879,-0.047979,0.64954,?,?,-0.031554,-0.13786,-0.18661,0.5622,0.60462,-0.53196,0.011516,0
?,?,?,?,?,?,0.21157,0.28914,-0.59538,?,?,?,?
0.10925,0.27236,-0.37119,0.30767,-0.883,?,?,0.13645,?,?,?,0.0077053,1
?,?,-0.20103,?,?,0.72092,?,?,?,0.2186,-0.14996,?,?
-0.67912,?,?,?,?,0.75714,?,?,?,?,-0.20843,-0.12321,?
?,0.10974,?,?,?,?,-0.75701,?,?,-0.10568,?,?,?
-0.25543,?,?,0.026031,0.19394,-0.095382,0.026131,?,?,-0.012091,-0.0083595,?,1
?,?,0.1894,0.43205,?,0.58045,-0.23147,-0.7311,0.030642,?,-0.4874,0.46052,0
-0.014658,-0.53032,-0.039628,-0.84633,0.67986,-0.6588,?,-0.014206,-0.070158,0.10131,-0.066022,0.069655,0
-0.1491,0.21884,0.020754,-0.10511,-0.070021,0.18778,?,?,0.085538,?,-0.2895,0.19569,?
?,-0.27364,-0.3483,?,-0.15937,-0.19144,-0.52412,0.14331,?,?,-0.1615,-0.196,1
-0.12502,-0.88804,0.040125,?,0.79727,-0.86209,?,0.41008,?,?,?,?,?
0.0097504,?,-0.037979,?,?,?,?,-0.27457,?,-0.32523,0.31711,?,0
-0.74731,?,-0.1477,7.966E-4,?,-0.56256,-0.70805,-0.36788,-0.70741,?,?,0.51436,0
-0.26315,-0.033729,0.19978,?,0.23871,?,?,0.19971,?,-0.35366,0.31229,?,1
0.18443,-0.51981,0.14767,-0.33744,?,?,?,-0.41071,-0.97744,-0.018126,?,0.72277,?
0.3001,?,?,?,?,?,0.3423,?,?,-0.46233,?,-0.26037,0
?,0.074734,?,?,?,-0.022484,0.80169,?,-0.4626,?,0.92205,-0.45033,0
-0.1518,?,0.14833,0.55739,?,0.70595,?,-0.6444,0.36821,0.1684,?,?,1
?,0.23102,0.24042,?,-0.039318,?,?,-0.47685,0.34128,?,?,-0.14109,0
0.3006,0.16251,-0.64504,?,?,0.16463,0.1852,-0.056038,0.66507,0.79462,-0.65225,0.02045,?
-0.23609,?,?,-0.41347,-0.18178,?,-0.21286,0.030467,0.2041,?,-0.2021,0.0011137,?
?,0.91766,0.23937,?,-0.44006,?,?,-0.38855,?,0.17943,-0.12669,-0.16528,?
-1.3327,0.47654,0.25801,0.31696,-0.1547,0.63507,?,?,?,0.63737,-0.52572,?,0
-0.20183,?,-0.11549,-0.32568,-0.001633,-0.016603,0.087557,-0.011485,?,?,?,-0.32612,?
-0.039708,0.15247,-0.29121,-0.10321,-0.39136,0.060044,0.20798,-0.22665,?,?,-0.23099,-0.15704,0
-0.23299,-0.12713,?,?,0.61667,?,?,?,0.56206,?,?,?,1
?,?,0.23748,?,0.49426,?,?,-0.23999,0.78443,?,?,-0.50496,0
-0.45771,-0.4003,?,-0.4325,0.086964,?,-0.66429,?,?,?,?,0.021316,0
-0.050902,-0.086359,0.064319,-0.14147,?,?,?,0.093983,0.30918,-0.15092,0.11289,?,?
?,-0.34461,0.10165,-0.27984,0.43791,-0.30819,-0.46573,0.32657,-0.45646,-0.63705,0.53893,-0.058928,?
-0.2739,-1.0039,-0.54814,?,0.21302,-0.94204,-0.67525,0.64821,-0.7455,?,0.35325,0.39543,0
-0.35143,0.096283,?,?,0.079608,0.27,?,0.3287,?,0.019974,-0.012979,?,0
?,?,?,0.46794,-0.036987,?,?,?,?,-1.0627,0.93014,?,0
-0.13939,?,?,0.77089,-0.43167,?,?,?,?,-0.84027,0.71966,?,1
0.2637,0.679,-0.03317,0.70355,?,0.9736,?,0.48654,?,?,?,-0.01256,?
?,-0.080415,0.31429,?,0.53456,-0.19192,0.6081,-0.402,-0.061734,?,0.068434,?,?
0.70053,-0.24519,?,-0.017159,0.47359,-0.39034,0.70116,?,-0.43974,?,0.38535,?,0
0.080397,-0.63074,?,?,?,?,?,0.35696,?,?,0.14678,?,1
0.012634,0.083464,0.59626,1.0,0.37848,0.1457,0.2171,-0.55596,0.53507,0.39757,?,?,?
?,?,-0.38881,?,?,?,?,0.26624,-0.31386,-0.32063,0.25756,?,?
0.15489,?,?,0.020495,-0.17036,0.041065,0.40003,?,0.66941,0.53465,?,?,0
0.62466,0.045108,-0.25712,0.017442,?,?,?,0.32923,0.07863,?,?,-0.057755,1
?,?,-0.52795,-0.14426,-0.59485,-0.14581,?,0.29632,?,?,?,?,0
