@relation dataset

@attribute atr1 real
@attribute atr2 real
@attribute atr3 real
@attribute atr4 real
@attribute atr5 real
@attribute atr6 real
@attribute atr7 real
@attribute atr8 real
@attribute atr9 real
@attribute atr10 real
@attribute atr11 real
@attribute atr12 real
@attribute class {0, 1}


@data

-0.17936,?,-0.20971,?,-0.11921,?,-0.28076,0.22317,?,-0.032886,?,-0.33425,0
-0.14659,-0.16494,?,-0.073985,0.49494,?,-0.28891,0.5008,-0.045553,0.050759,?,?,?
?,0.51816,0.43281,0.39789,0.043127,?,-0.013246,-0.062833,-0.88339,?,0.088057,0.6312,1
0.6494,?,0.14835,?,-0.21974,?,?,0.0771,?,-0.36723,0.36468,0.57172,0
-0.40628,?,?,0.070066,-0.03092,0.15205,-0.19142,-0.58043,-0.10225,0.15375,-0.12695,0.18457,0
0.27804,0.31011,0.20663,0.055255,?,?,0.60732,?,-0.12646,0.33921,?,0.36024,?
?,0.26239,0.58581,0.54649,0.52144,0.21358,?,?,0.26911,-0.041832,0.05272,-0.40948,1
?,0.085019,?,0.33562,0.49559,0.0108,0.40718,?,-0.252,-0.74162,0.64753,-0.52111,0
0.96405,?,?,-0.76013,?,?,?,?,0.094435,0.14669,-0.12851,0.057451,?
0.81876,0.33239,-0.59413,-0.76517,?,?,0.72883,?,?,-0.12098,0.10376,?,?
0.12099,-0.012491,0.23769,?,0.24272,0.060151,-0.038016,?,-0.066597,?,-0.0028463,0.060713,?
?,0.4653,?,?,?,0.45577,?,-0.14595,?,-0.4528,0.39988,?,0
-0.22818,-0.042154,0.56279,0.29118,?,-0.014788,-0.08006,?,-0.21905,-0.48214,0.41296,-0.28092,0
?,0.20072,?,?,0.23683,0.29286,-0.41675,-0.56583,-0.027265,?,?,-0.026652,?
?,?,?,-0.43216,0.075834,?,?,?,-0.17256,-0.42951,0.38425,?,?
-0.0062517,-0.90522,?,-1.015,0.32723,?,?,?,0.37,-0.068241,0.048632,-0.35564,?
0.53967,0.69333,?,?,?,0.82868,?,-0.26206,0.22456,-0.11229,?,-0.24553,?
?,0.98988,?,?,?,?,?,?,0.68567,?,-0.35724,?,?
?,0.024672,?,?,?,0.17115,-0.30479,-0.033722,0.23421,0.18663,-0.16351,?,?
?,?,0.0433,0.070895,-0.18527,0.30925,?,-0.28421,1.0,0.85432,-0.75554,-0.13273,0
0.57396,-0.025984,0.0059303,?,?,?,0.78627,0.048731,0.86226,0.39239,?,?,0
0.60045,?,?,-0.037594,0.7323,?,0.57632,0.10743,0.53764,-0.099066,0.038245,-0.41394,0
-0.81333,-0.89625,-0.016994,?,?,?,?,-0.096731,?,?,-0.12621,0.016397,1
?,?,0.12453,?,0.38672,-0.28487,?,?,0.19134,0.70321,-0.58735,0.31892,0
0.35555,0.12036,0.035551,0.22286,-0.11199,?,0.2774,0.3632,0.57304,0.34375,?,?,?
0.37767,?,-0.14337,-0.33985,?,-0.34524,0.2431,?,0.75394,0.30457,-0.27613,-0.33097,?
-0.62366,-0.55094,0.0035105,?,?,-0.49882,-0.52377,?,-0.043079,0.0014606,-0.001456,?,?
-0.7374,-0.4564,-0.52774,-0.47901,?,?,-0.49773,-0.54589,-0.29213,-0.36946,0.28735,-0.07464,?
0.21329,-0.0048935,-0.31752,?,-0.33942,-0.0033553,?,0.135,-0.20969,-0.27698,?,?,0
-0.068732,0.47128,-0.28672,-0.011328,?,0.55047,?,?,0.43903,?,-0.11102,-0.25916,0
?,0.20565,0.1981,2.33E-4,?,0.28497,-0.057997,-0.1417,-0.23566,0.27702,?,0.45626,?
?,0.065829,-0.010893,0.2687,-0.27017,?,-0.75897,?,-0.34846,-0.33052,?,0.10006,0
?,-0.07599,-0.63034,-0.49682,-0.44102,?,0.11399,0.038331,-0.22125,?,0.52313,?,?
?,0.17831,?,-0.23388,-0.49273,0.1547,-0.018609,0.094689,-0.05668,0.14189,-0.13025,0.19212,?
0.44589,?,?,?,-0.27498,?,0.18946,1.0,0.78605,0.65022,?,?,?
