@relation dataset

@attribute attr_1 real
@attribute attr_2 real
@attribute attr_3 real
@attribute attr_4 real
@attribute attr_5 real
@attribute attr_6 real
@attribute attr_7 real
@attribute attr_8 real
@attribute attr_9 real
@attribute attr_10 real
@attribute attr_11 real
@attribute attr_12 real
@attribute attr_13 real
@attribute attr_14 real
@attribute attr_15 real
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 real
@attribute attr_19 real
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_33 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 real
@attribute attr_41 real
@attribute attr_42 real
@attribute attr_43 real
@attribute attr_44 real
@attribute attr_45 real
@attribute attr_46 real
@attribute attr_47 real
@attribute attr_48 real
@attribute attr_49 real
@attribute attr_50 real
@attribute attr_51 real
@attribute attr_52 real
@attribute attr_53 real
@attribute attr_54 real
@attribute attr_55 real
@attribute attr_56 real
@attribute attr_57 real
@attribute attr_58 real
@attribute attr_59 real
@attribute attr_60 real
@attribute attr_61 real
@attribute attr_62 real
@attribute attr_63 real
@attribute attr_64 real
@attribute attr_65 real
@attribute attr_66 real
@attribute attr_67 real
@attribute attr_68 real
@attribute attr_69 real
@attribute attr_70 real
@attribute attr_71 real
@attribute attr_72 real
@attribute attr_73 real
@attribute attr_74 real
@attribute attr_75 real
@attribute attr_76 real
@attribute attr_77 real
@attribute attr_78 real
@attribute attr_79 real
@attribute attr_80 real
@attribute attr_81 real
@attribute attr_82 real
@attribute attr_83 real
@attribute attr_84 real
@attribute attr_85 real
@attribute attr_86 real
@attribute attr_87 real
@attribute attr_88 real
@attribute attr_89 real
@attribute attr_90 real
@attribute attr_91 real
@attribute attr_92 real
@attribute attr_93 real
@attribute attr_94 real
@attribute attr_95 real
@attribute attr_96 real
@attribute attr_97 real
@attribute attr_98 real
@attribute attr_99 real
@attribute attr_100 real
@attribute attr_101 real
@attribute attr_102 real
@attribute attr_103 real
@attribute attr_104 real
@attribute attr_105 real


@data

?,3150.0,?,?,190.0,1010.84,?,1200.0,6713.0,?,61.52,6.11,320957.3,?,64.5,239.5,?,?,797.3,?,1755.0,?,?,63.25,3758.77,42587.0,628132.9,?,?,60.78,?,297210.1,?,?,179.63,9342.45,15.0,757.8,?,1755.0,?,65.0,?,3538.71,31940.25,610502.7,6788.0,54.2,?,5.41,?,3755.8,58.1,?,?,15.0,795.0,?,1755.0,8001.0,63.69,58.55,?,21293.5,?,?,?,57.65,5.4,?,2931.4,?,?,3114.15,?,746.8,?,1755.0,?,62.78,?,3387.72,10646.75,606524.2,7196.0,51.3,56.13,5.97,?,?,52.8,217.0,?,?,?,815.5,?,?,?,?,2978.26,41407.0,601988.1,2200.0,410.0
?,7600.0,?,?,?,?,?,2900.0,?,?,103.03,3.15,?,?,105.5,208.8,?,?,?,?,8842.18,?,?,105.32,?,?,1188995.8,?,103.0,?,2.65,?,4386.9,?,156.6,13188.23,15.0,?,?,8776.71,8799.0,?,?,?,34474.5,?,?,?,?,2.76,602224.7,3819.0,97.2,?,?,15.0,?,?,8699.73,8735.0,98.12,?,?,?,973523.7,?,92.8,96.49,3.05,552124.4,?,?,52.2,4396.08,?,?,1288.0,?,8585.0,95.35,?,?,11491.5,?,3678.0,86.2,83.21,?,?,?,94.1,?,14488.6,?,?,?,8364.78,?,?,89.79,?,?,929027.1,?,1000.0
1.0,4800.0,840.0,?,100.0,689.84,?,?,1627.0,41.0,41.25,1.74,?,1217.5,34.4,285.8,6489.1,15.0,?,?,1755.0,?,?,38.34,?,39066.0,?,?,40.3,?,1.15,?,?,?,?,4866.83,15.0,573.7265312999999,680.29,?,?,?,?,1535.16,?,?,?,39.3,40.21,?,?,?,33.5,142.9,?,15.0,554.0819663,?,1755.0,?,?,34.76,?,?,?,2374.0,38.0,?,0.92,?,1191.1,?,?,?,?,?,?,?,?,?,?,1601.79,9766.5,403875.0,2693.0,?,?,1.55,?,?,31.43,175.7,3994.7,?,589.5,765.8,1755.0,4930.0,?,?,?,?,377828.6,1200.0,?
1.0,685.0,202.0,?,20.0,?,4.0,140.0,2580.93,12.1,?,1.24,?,?,?,17.03,?,12.0,183.6,?,1612.95,?,11.62,?,392.96,8435.75,?,?,11.6,8.5,?,?,?,12.67,56.6,?,12.0,165.1,208.6,1504.36,?,?,9.79,?,?,?,2649.0,?,6.97,2.25,?,?,?,42.45,?,?,?,209.6,?,?,?,9.35,508.64,?,?,?,10.6,5.44,2.58,?,345.3,10.79,?,?,?,?,?,?,?,?,8.85,?,?,?,?,10.0,3.91,3.0,27231.21,316.5,9.85,14.15,?,12.0,197.6795574,?,1442.31,1456.0,?,8.34,686.16,?,122031.7,?,30.0
?,3000.0,?,?,410.0,?,?,5000.0,6790.0,203.8,162.84,6.46,1640293.0,?,?,393.3,69444.8,11.0,2738.8,?,9248.4,9380.0,158.63,169.5,10082.0,?,?,6370.0,?,?,5.33,1523166.6,12930.0,210.7,294.98,?,?,2595.2,?,?,9396.0,148.76,159.0,9700.0,?,1908975.7,5909.0,177.6,147.44,6.88,?,8146.1,188.9,196.65,34722.4,11.0,?,2627.5,9297.06,9347.0,140.9,146.2,10149.0,24786.0,1681849.3,7045.0,160.0,141.34,?,?,8245.0,173.8,98.33,?,11.0,2451.2,2526.4,9254.28,9306.0,?,?,9291.0,?,1732937.5,?,149.1,134.8,?,1284199.4,6622.5,147.6,?,?,?,2220.6,?,9231.76,9286.0,136.6,?,?,48260.0,1734973.5,?,?
?,2500.0,?,1050.0,420.0,647.32,?,4800.0,?,?,?,6.46,1640293.0,?,229.3,393.3,?,11.0,2738.8,3148.0,9248.4,9380.0,?,?,?,49572.0,2318397.0,6370.0,190.3,?,5.33,1523166.6,?,210.7,?,?,?,2595.2,3000.0,?,9396.0,148.76,?,?,37179.0,1908975.7,5909.0,?,147.44,6.88,1451175.9,8146.1,188.9,196.65,?,?,2284.4,2627.5,9297.06,?,140.9,146.2,10149.0,?,1681849.3,?,160.0,?,?,?,?,?,?,17361.2,11.0,?,2526.4,?,9306.0,?,138.8,9291.0,12393.0,?,?,?,134.8,?,?,6622.5,?,?,?,14.0,?,?,9231.76,9286.0,?,140.2,9821.0,48260.0,?,5200.0,700.0
1.0,1810.0,492.0,?,640.0,843.98,?,5700.0,6458.0,?,198.55,?,?,?,?,?,16471.38,?,2871.3,3662.6,?,9260.0,171.13,178.3,11568.0,?,?,6790.0,203.8,?,?,1640293.0,?,229.3,393.3,69444.8,?,?,3148.0,9248.4,9380.0,?,169.5,?,49572.0,?,?,?,154.36,?,1523166.6,12930.0,?,?,52083.6,?,2595.2,3000.0,9329.64,9396.0,?,159.0,9700.0,37179.0,?,?,?,147.44,6.88,1451175.9,?,?,196.65,?,11.0,?,?,9297.06,9347.0,?,146.2,?,?,1681849.3,7045.0,160.0,?,4.72,1341072.8,?,173.8,98.33,?,?,?,2526.4,9254.28,?,?,138.8,?,12393.0,?,?,900.0
?,?,380.0,?,500.0,?,?,5300.0,3131.0,259.5,204.02,?,1901366.0,?,?,?,?,11.0,?,3823.6,?,9867.6,?,212.1,7966.5,50928.0,2217708.7,3098.0,255.8,216.48,3.8,1704943.8,18468.3,?,250.58,49414.13,11.0,?,3676.1,9967.33,?,190.5,204.8,?,38196.0,2310101.4,?,245.1,?,6.54,1670609.2,18690.9,300.5,167.05,?,11.0,?,3686.3,?,9489.1,179.96,?,?,?,?,6458.0,224.7,?,6.73,1622664.0,?,?,83.53,16471.38,?,2871.3,?,9132.66,?,?,178.3,?,?,?,?,203.8,?,6.46,1640293.0,?,?,?,?,11.0,2738.8,3148.0,?,9380.0,?,169.5,?,49572.0,2318397.0,4600.0,600.0
?,2110.0,540.0,?,?,732.14,?,690.0,?,34.6,37.16,?,?,1861.2,?,?,?,?,481.1,667.8,?,4730.0,?,28.87,?,18966.5,390388.5,3840.0,33.4,36.56,2.32,?,?,28.61,?,?,?,?,?,?,4758.0,?,?,1859.5,9483.25,?,3321.0,31.4,33.0,?,?,?,27.68,?,2882.8,15.0,?,582.8,?,4695.0,?,25.62,1936.75,?,415431.1,2898.0,?,?,2.68,98042.9,?,26.74,?,?,?,?,?,1755.0,4630.0,?,?,1991.43,27613.5,413834.5,?,?,29.93,3.56,92354.2,?,?,73.95,?,?,431.1,550.4,?,4252.0,?,21.54,?,18409.0,?,870.0,?
1.0,3030.0,930.0,?,?,1007.38,3.0,?,?,51.3,?,5.97,249110.7,2562.3,?,217.0,?,?,733.8,?,?,8002.0,60.74,54.26,2978.26,?,?,5275.0,50.9,57.62,4.3,?,?,50.3,?,7834.2,?,742.7,812.7,?,8102.0,58.66,?,2850.2,?,588020.5,4691.0,?,59.29,?,?,2103.5,47.5,?,?,?,769.6,717.9,1755.0,8231.0,?,?,?,20703.5,605688.7,?,?,?,?,?,?,?,?,2611.4,?,645.9,?,1755.0,8418.0,?,46.45,?,10351.75,626960.3,?,46.3,?,?,192689.2,1979.0,40.1,258.2,9452.7,15.0,?,?,?,8420.0,?,44.79,2206.19,?,?,?,?
?,?,?,90.0,?,846.15,?,?,?,44.5,?,2.48,?,?,?,129.1,4726.35,15.0,?,670.1,1755.0,?,?,41.8,?,20117.0,?,?,?,46.94,1.72,166267.2,1179.5,?,?,?,15.0,?,?,1755.0,8315.0,49.92,40.26,?,?,540680.6,?,?,41.25,?,?,?,?,?,?,15.0,?,?,1755.0,?,45.91,38.34,?,?,524764.8,?,?,40.84,1.15,?,1149.5,34.1,?,?,15.0,?,?,1755.0,6714.0,43.4,?,1535.16,?,?,2628.0,?,?,1.52,143737.7,?,33.5,142.9,3244.55,15.0,554.0819663,663.97,?,?,41.79,?,1527.55,19533.0,?,?,150.0
?,?,?,530.4,130.0,?,7.0,1800.0,6788.0,?,?,5.41,?,?,58.1,119.75,?,15.0,?,818.5,1755.0,?,63.69,58.55,?,?,589389.6,?,?,57.65,5.4,?,2931.4,?,59.88,3114.15,?,?,?,?,8013.0,62.78,?,3387.72,10646.75,606524.2,?,51.3,?,5.97,249110.7,2562.3,?,217.0,10445.6,?,733.8,?,?,?,?,54.26,?,?,601988.1,5275.0,?,57.62,4.3,?,2684.3,50.3,162.75,7834.2,?,?,812.7,1755.0,8102.0,?,51.86,?,31055.25,588020.5,?,?,?,3.53,212073.3,?,?,108.5,?,?,769.6,?,1755.0,8231.0,56.99,48.4,2556.96,20703.5,605688.7,2500.0,190.0
?,5030.0,1540.0,251.5,?,667.88,3.0,600.0,2309.0,24.3,26.87,3.51,?,867.4,23.92,134.3,?,?,225.7,409.3,1750.0,4063.0,27.84,?,1549.44,?,420700.5,2028.0,23.1,?,2.3,?,?,?,100.73,1404.45,?,277.8,?,?,?,?,17.34,?,26822.25,?,2422.0,?,23.81,?,?,724.1,?,?,936.3,?,284.1,346.1,1750.0,3739.0,?,16.21,1013.4,?,428725.0,?,?,22.28,2.06,64539.9,544.5,21.11,?,?,15.0,226.9,?,?,?,23.28,15.27,897.88,8940.75,?,?,17.4,?,2.46,?,504.5,20.17,?,989.3,?,?,345.3,1750.0,2818.0,19.49,?,694.38,?,?,780.0,130.0
