@relation dataset

@attribute attr_1 real
@attribute attr_2 real
@attribute attr_3 real
@attribute attr_4 real
@attribute attr_5 real
@attribute attr_6 real
@attribute attr_7 real
@attribute attr_8 real
@attribute attr_9 real
@attribute attr_10 real
@attribute attr_11 real
@attribute attr_12 real
@attribute attr_13 real
@attribute attr_14 real
@attribute attr_15 real
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 real
@attribute attr_19 real
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_33 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 real
@attribute attr_41 real
@attribute attr_42 real
@attribute attr_43 real
@attribute attr_44 real
@attribute attr_45 real
@attribute attr_46 real
@attribute attr_47 real
@attribute attr_48 real
@attribute attr_49 real
@attribute attr_50 real
@attribute attr_51 real
@attribute attr_52 real
@attribute attr_53 real
@attribute attr_54 real
@attribute attr_55 real
@attribute attr_56 real
@attribute attr_57 real
@attribute attr_58 real
@attribute attr_59 real
@attribute attr_60 real
@attribute attr_61 real
@attribute attr_62 real
@attribute attr_63 real
@attribute attr_64 real
@attribute attr_65 real
@attribute attr_66 real
@attribute attr_67 real
@attribute attr_68 real
@attribute attr_69 real
@attribute attr_70 real
@attribute attr_71 real
@attribute attr_72 real
@attribute attr_73 real
@attribute attr_74 real
@attribute attr_75 real
@attribute attr_76 real
@attribute attr_77 real
@attribute attr_78 real
@attribute attr_79 real
@attribute attr_80 real
@attribute attr_81 real
@attribute attr_82 real
@attribute attr_83 real
@attribute attr_84 real
@attribute attr_85 real
@attribute attr_86 real
@attribute attr_87 real
@attribute attr_88 real
@attribute attr_89 real
@attribute attr_90 real
@attribute attr_91 real
@attribute attr_92 real
@attribute attr_93 real
@attribute attr_94 real
@attribute attr_95 real
@attribute attr_96 real
@attribute attr_97 real
@attribute attr_98 real
@attribute attr_99 real
@attribute attr_100 real
@attribute attr_101 real
@attribute attr_102 real
@attribute attr_103 real
@attribute attr_104 real
@attribute attr_105 real


@data

?,3150.0,?,598.5,?,1010.84,16.0,1200.0,?,?,61.52,?,?,?,64.5,239.5,12456.6,15.0,797.3,809.8,?,?,?,?,3758.77,42587.0,?,4986.0,55.5,60.78,3.94,297210.1,3663.5,?,?,9342.45,15.0,757.8,?,1755.0,8018.0,65.0,?,?,?,610502.7,?,54.2,59.4,?,?,3755.8,?,119.75,6228.3,?,795.0,818.5,?,8001.0,?,58.55,3347.72,?,589389.6,5728.0,52.4,57.65,5.4,262789.0,2931.4,?,?,?,15.0,746.8,?,?,8013.0,62.78,?,3387.72,?,606524.2,7196.0,?,56.13,5.97,249110.7,2562.3,52.8,?,?,?,733.8,815.5,1755.0,?,60.74,?,2978.26,?,601988.1,2200.0,410.0
?,?,1140.0,?,400.0,?,?,?,?,106.0,?,?,685697.5,3526.1,105.5,?,17584.3,15.0,?,1473.5,?,8864.0,105.52,105.32,?,?,1188995.8,2700.0,103.0,101.84,2.65,625829.2,4386.9,100.4,?,13188.23,15.0,?,1584.3,?,8799.0,101.0,101.89,13571.8,34474.5,?,3561.0,98.2,?,2.76,?,?,?,?,8792.15,?,?,?,8699.73,?,?,?,?,22983.0,?,?,?,96.49,?,?,?,96.9,52.2,?,15.0,?,1288.0,8555.54,8585.0,95.35,?,12063.5,11491.5,954628.6,?,?,83.21,3.25,526596.4,?,?,?,14488.6,?,?,1316.3,8364.78,?,?,?,?,44835.0,?,5000.0,1000.0
1.0,?,840.0,?,100.0,689.84,?,630.0,1627.0,41.0,41.25,1.74,160401.5,1217.5,?,285.8,6489.1,15.0,?,608.2,?,?,45.91,38.34,1537.96,39066.0,?,?,40.3,?,1.15,150266.8,1149.5,?,214.35,?,15.0,573.7265312999999,?,?,?,?,?,1535.16,?,?,?,39.3,40.21,1.52,143737.7,1284.5,?,?,3244.55,?,?,663.97,?,5827.0,?,34.76,?,19533.0,409677.9,?,38.0,39.43,?,134548.4,?,33.7,71.45,?,15.0,574.6,680.5,?,5565.0,?,33.37,1601.79,9766.5,403875.0,2693.0,36.2,?,1.55,?,1529.0,31.43,175.7,3994.7,15.0,?,765.8,?,?,?,?,1653.06,?,377828.6,1200.0,170.0
1.0,685.0,202.0,?,20.0,?,?,140.0,?,?,10.03,?,38193.64,?,13.6,17.03,?,?,?,?,?,?,?,?,392.96,8435.75,?,2952.0,?,?,1.99,?,322.5,12.67,?,?,12.0,165.1,208.6,?,?,?,9.79,435.1,32776.0,129102.4,?,?,6.97,?,32793.7,?,11.73,?,?,12.0,?,?,?,?,?,9.35,508.64,?,123618.0,2312.0,?,?,2.58,30012.46,345.3,10.79,?,305.2,12.0,180.3715071,158.45,1439.0,1450.0,9.91,?,?,?,?,1381.0,?,3.91,?,27231.21,?,?,14.15,?,12.0,197.6795574,?,?,1456.0,?,8.34,686.16,?,?,?,30.0
1.0,?,?,?,?,631.91,?,5000.0,?,203.8,?,?,1640293.0,10855.3,229.3,393.3,69444.8,?,?,3148.0,?,?,?,169.5,?,49572.0,?,?,190.3,154.36,5.33,1523166.6,12930.0,?,?,?,11.0,?,3000.0,9329.64,9396.0,148.76,159.0,9700.0,37179.0,1908975.7,?,?,147.44,6.88,?,8146.1,?,196.65,34722.4,11.0,2284.4,?,9297.06,?,?,?,10149.0,24786.0,1681849.3,?,?,?,?,?,?,173.8,?,?,?,2451.2,2526.4,?,?,?,138.8,?,?,1732937.5,5606.0,149.1,?,?,1284199.4,6622.5,147.6,?,?,14.0,2220.6,?,?,9286.0,136.6,?,9821.0,48260.0,1734973.5,5500.0,700.0
?,2500.0,?,1050.0,?,?,12.0,4800.0,6790.0,203.8,162.84,?,?,10855.3,229.3,?,69444.8,?,?,?,?,9380.0,158.63,?,10082.0,49572.0,2318397.0,6370.0,190.3,154.36,5.33,1523166.6,?,210.7,?,?,?,?,?,?,9396.0,?,159.0,9700.0,?,1908975.7,5909.0,177.6,?,6.88,?,?,?,196.65,34722.4,?,2284.4,?,?,9347.0,140.9,146.2,?,24786.0,1681849.3,?,160.0,141.34,?,?,8245.0,?,?,17361.2,11.0,?,?,?,9306.0,?,138.8,9291.0,?,?,5606.0,?,?,?,?,?,?,432.4,?,?,?,2244.1,9231.76,?,?,140.2,?,?,1734973.5,?,?
?,1810.0,492.0,1158.4,640.0,?,?,?,6458.0,?,198.55,?,1622664.0,?,306.7,83.53,16471.38,11.0,2871.3,3662.6,9132.66,9260.0,?,178.3,?,?,?,6790.0,203.8,162.84,?,1640293.0,10855.3,229.3,393.3,69444.8,11.0,2738.8,?,9248.4,?,158.63,169.5,10082.0,?,?,6370.0,?,?,?,1523166.6,12930.0,?,?,52083.6,11.0,?,3000.0,9329.64,?,?,159.0,9700.0,37179.0,?,?,177.6,?,6.88,?,8146.1,188.9,?,?,11.0,2284.4,2627.5,9297.06,?,?,?,10149.0,24786.0,?,?,160.0,141.34,4.72,?,?,?,98.33,?,?,2451.2,2526.4,?,?,136.56,138.8,9291.0,?,1732937.5,5800.0,?
?,1150.0,?,?,?,590.68,6.0,5300.0,3131.0,259.5,204.02,3.44,?,16139.0,276.1,334.1,65885.5,?,3499.4,3823.6,9784.77,?,?,212.1,?,50928.0,2217708.7,3098.0,?,?,?,?,?,292.4,?,49414.13,11.0,?,3676.1,?,10099.3,?,?,?,38196.0,2310101.4,4242.0,245.1,225.0,6.54,1670609.2,18690.9,300.5,167.05,32942.75,11.0,3355.8,?,9403.58,?,179.96,189.5,?,?,?,6458.0,224.7,?,6.73,?,15001.6,?,83.53,?,11.0,2871.3,3662.6,?,?,171.13,178.3,11568.0,12732.0,2435004.3,?,203.8,?,?,1640293.0,?,?,?,69444.8,11.0,2738.8,?,?,?,158.63,169.5,?,?,2318397.0,4600.0,600.0
1.0,2110.0,?,189.9,90.0,?,?,?,?,34.6,37.16,2.28,?,1861.2,29.55,87.85,?,?,481.1,667.8,1755.0,?,?,28.87,?,?,390388.5,3840.0,33.4,?,2.32,?,?,?,?,998.68,15.0,?,?,?,?,34.98,27.13,1859.5,9483.25,408321.5,3321.0,?,33.0,2.69,116552.6,1430.8,?,?,?,?,?,582.8,1755.0,4695.0,?,25.62,1936.75,?,415431.1,2898.0,30.9,31.47,?,?,?,26.74,?,2162.1,15.0,412.0,768.0,?,4630.0,31.3,?,?,27613.5,?,3302.0,29.5,29.93,3.56,92354.2,1668.9,25.8,?,?,15.0,?,550.4,?,4252.0,30.13,21.54,2134.49,?,?,?,?
