@relation dataset

@attribute parents {usual, pretentious, great_pret}
@attribute has_nurs {proper, less_proper, improper, critical, very_crit}
@attribute form {complete, completed, incomplete, foster}
@attribute children {1, 2, 3, more}
@attribute housing {convenient, less_conv, critical}
@attribute finance {convenient, inconv}
@attribute social {nonprob, slightly_prob, problematic}
@attribute health {recommended, priority, not_recom}
@attribute class {not_recom, recommend, very_recom, priority, spec_prior}


@data

?,proper,complete,1,?,?,?,?,?
usual,?,complete,1,convenient,?,nonprob,priority,priority
?,proper,?,1,convenient,convenient,nonprob,not_recom,not_recom
usual,?,?,1,?,?,slightly_prob,recommended,recommend
usual,?,?,1,?,convenient,?,?,priority
usual,proper,?,1,?,convenient,slightly_prob,not_recom,?
usual,proper,?,?,convenient,convenient,problematic,recommended,priority
usual,?,?,?,convenient,?,?,priority,?
usual,proper,?,?,?,convenient,problematic,not_recom,?
usual,proper,?,?,convenient,?,nonprob,recommended,?
?,proper,complete,?,?,inconv,nonprob,?,priority
usual,proper,?,?,?,inconv,nonprob,?,not_recom
?,proper,?,?,convenient,inconv,slightly_prob,?,?
?,proper,?,?,convenient,inconv,slightly_prob,priority,?
?,?,complete,?,convenient,inconv,slightly_prob,?,not_recom
usual,?,?,1,?,inconv,?,recommended,?
?,?,?,?,convenient,inconv,?,?,?
usual,?,?,?,?,inconv,?,?,not_recom
?,?,complete,?,?,?,?,recommended,very_recom
?,?,?,1,less_conv,convenient,nonprob,?,?
?,proper,?,?,?,?,nonprob,not_recom,not_recom
?,?,complete,1,?,convenient,?,?,very_recom
usual,proper,complete,1,less_conv,?,slightly_prob,?,?
?,proper,?,?,less_conv,?,slightly_prob,not_recom,?
usual,?,?,1,less_conv,convenient,problematic,?,priority
?,?,?,?,less_conv,?,problematic,?,?
?,?,?,1,?,?,?,not_recom,not_recom
?,?,complete,?,less_conv,inconv,nonprob,recommended,?
?,?,?,1,less_conv,inconv,nonprob,?,?
?,proper,?,?,less_conv,inconv,?,?,?
?,proper,?,?,?,?,?,?,very_recom
?,?,?,?,less_conv,?,?,priority,?
?,?,?,?,less_conv,?,?,not_recom,?
usual,proper,complete,?,less_conv,inconv,?,?,?
?,?,?,1,less_conv,?,problematic,?,?
?,?,complete,1,?,?,?,?,not_recom
usual,?,complete,1,critical,convenient,?,recommended,?
usual,?,?,1,critical,?,nonprob,priority,?
?,?,?,?,critical,convenient,?,?,?
usual,?,complete,?,?,convenient,?,recommended,?
?,?,?,?,critical,?,?,?,?
?,?,complete,?,?,convenient,?,?,?
?,proper,?,1,critical,?,?,recommended,priority
usual,?,complete,1,?,?,problematic,priority,?
?,proper,?,?,?,?,?,not_recom,?
?,?,?,1,?,inconv,?,?,?
usual,?,?,?,critical,?,nonprob,priority,priority
