@relation dataset

@attribute hair {false, true}
@attribute feathers {false, true}
@attribute eggs {false, true}
@attribute milk {false, true}
@attribute airborne {false, true}
@attribute aquatic {false, true}
@attribute predator {false, true}
@attribute toothed {false, true}
@attribute backbone {false, true}
@attribute breathes {false, true}
@attribute venomous {false, true}
@attribute fins {false, true}
@attribute legs {0, 2, 4, 5, 6, 8}
@attribute tail {false, true}
@attribute domestic {false, true}
@attribute catsize {false, true}
@attribute type {mammal, bird, reptile, fish, amphibian, insect, invertebrate}


@data

true,false,false,?,false,?,true,?,?,?,false,?,4,?,?,?,?
?,?,false,?,?,false,?,true,true,?,?,false,?,false,?,true,?
?,false,?,?,false,?,?,true,true,?,false,false,?,?,?,true,mammal
true,false,false,?,false,false,false,true,true,true,?,?,4,true,?,true,?
?,false,?,?,false,?,?,true,?,?,false,false,4,?,?,true,?
true,?,false,?,false,?,?,true,?,true,false,false,?,?,false,true,mammal
?,false,false,true,false,false,false,?,true,?,false,?,?,true,?,true,?
true,?,false,?,false,?,false,?,true,true,false,false,4,true,?,true,mammal
false,?,?,false,false,true,?,?,true,false,false,?,0,?,false,?,fish
false,false,true,?,false,?,true,true,?,?,?,?,?,true,?,?,?
?,false,?,false,?,?,?,?,?,false,?,true,0,?,?,false,fish
false,?,?,false,?,?,true,?,true,false,?,?,0,true,?,false,fish
?,false,true,false,?,true,true,?,?,false,false,?,?,true,false,false,?
true,?,false,?,false,false,?,?,true,true,false,?,?,true,false,true,?
true,false,false,true,false,false,true,true,?,true,false,false,?,?,?,true,?
true,?,false,?,?,?,?,?,true,true,false,?,?,?,?,?,mammal
true,false,?,true,false,false,true,?,true,true,?,false,4,true,false,?,mammal
?,?,?,?,?,false,?,true,?,true,?,false,?,?,?,?,?
?,false,?,?,?,?,?,true,true,?,false,false,?,?,?,?,?
?,false,?,true,?,?,true,true,?,?,false,?,?,true,false,true,?
?,false,?,?,false,false,?,?,?,?,?,?,?,true,?,true,?
?,?,false,true,?,false,true,?,?,true,?,false,?,true,false,true,mammal
?,?,?,?,false,?,?,?,?,true,?,?,4,?,false,?,?
true,?,?,?,false,false,false,?,?,?,false,?,?,?,true,?,mammal
true,?,?,true,?,false,false,?,?,?,false,?,4,?,?,true,mammal
true,false,?,?,?,false,?,true,?,true,?,false,?,?,true,?,mammal
?,?,false,?,?,false,?,?,?,?,?,?,?,?,true,true,?
?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?
?,false,?,?,?,false,?,true,?,true,?,false,4,false,?,?,?
false,?,true,false,true,?,false,false,?,?,?,?,2,?,true,false,bird
false,?,?,?,?,?,?,?,?,true,?,?,?,true,?,?,bird
false,true,?,false,true,?,?,?,?,true,?,?,?,?,?,?,bird
?,false,true,?,?,?,true,?,false,?,?,?,?,?,false,false,?
?,false,true,?,?,?,true,false,?,?,?,?,?,false,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,true,?,false,true,?,?,false,false,false,false,6,false,?,?,?
?,true,?,?,true,?,?,false,true,?,?,?,?,?,false,?,bird
?,?,true,false,true,?,true,?,true,true,false,false,?,?,?,?,?
?,?,?,?,?,?,?,true,true,false,false,?,?,?,?,true,?
?,?,true,?,false,?,?,true,?,?,false,?,?,true,?,?,fish
?,?,true,?,?,?,?,true,true,false,false,true,?,?,?,true,?
?,false,?,?,false,?,?,true,?,true,?,true,0,?,false,?,mammal
false,?,?,?,?,?,true,true,?,?,false,?,?,?,false,?,?
?,true,?,?,true,true,?,?,?,?,?,false,?,true,?,?,?
?,?,true,false,?,?,?,?,?,?,?,?,2,?,?,true,bird
false,false,true,?,false,false,false,?,?,true,?,?,6,?,?,?,?
?,false,true,?,?,false,?,false,?,?,false,?,?,?,false,false,insect
false,false,true,false,?,?,?,?,?,true,?,?,4,?,false,?,?
false,?,true,?,?,true,?,true,true,true,true,false,4,false,?,false,?
?,false,false,true,true,false,?,?,?,?,?,?,2,?,?,?,?
?,?,?,true,?,false,false,true,?,true,?,false,?,?,false,false,mammal
?,false,?,true,false,?,true,?,true,?,?,false,?,?,?,?,?
?,?,true,false,?,false,?,?,?,?,false,false,6,?,?,?,?
?,false,?,?,?,false,?,?,?,true,false,?,?,false,?,?,?
?,?,?,?,true,true,?,?,?,?,false,?,?,true,false,?,?
?,?,?,?,true,?,?,false,?,?,false,?,?,true,false,?,?
false,?,?,?,?,?,?,false,?,true,?,false,2,true,?,false,?
?,false,?,?,?,?,?,true,true,?,false,?,?,true,?,?,?
?,?,?,false,?,true,?,true,?,false,?,?,?,?,?,false,?
?,?,?,?,?,?,?,?,?,?,?,true,0,?,?,?,?
true,?,false,?,?,false,?,true,true,?,false,?,?,true,?,false,?
?,false,?,?,?,?,false,true,?,?,false,false,?,true,false,?,?
?,?,?,true,false,?,?,?,?,true,?,false,?,?,?,false,?
?,?,?,?,?,?,?,?,?,true,?,?,6,?,true,?,?
?,false,?,false,?,?,?,?,false,?,?,false,6,?,false,?,?
?,?,true,false,true,?,false,?,?,?,?,false,6,?,?,?,insect
?,?,true,?,false,false,true,false,?,?,?,?,2,?,?,false,?
?,false,?,?,?,false,?,?,?,?,false,false,?,?,false,false,?
?,?,?,?,?,false,?,false,?,true,?,?,2,true,false,false,bird
false,?,true,false,true,?,?,?,?,?,?,?,2,true,false,false,?
?,true,true,?,?,?,false,?,true,?,false,?,2,?,?,false,?
?,?,?,?,?,?,false,false,true,?,false,?,2,?,false,?,?
