@relation dataset

@attribute sepallength real
@attribute sepalwidth real
@attribute petallength real
@attribute petalwidth real
@attribute class {Iris-setosa, Iris-versicolor, Iris-virginica}


@data

5.1,3.5,1.4,0.2,Iris-setosa
?,3.0,1.4,0.2,?
?,3.2,1.3,0.2,Iris-setosa
?,?,?,0.2,?
?,3.6,?,0.2,?
?,?,?,?,?
?,?,1.4,?,Iris-setosa
5.0,?,?,0.2,?
?,?,?,0.2,Iris-setosa
?,?,1.5,?,Iris-setosa
5.4,?,1.5,?,?
4.8,?,?,?,?
?,3.0,?,0.1,?
4.3,?,1.1,0.1,?
5.8,?,?,0.2,Iris-setosa
5.7,?,1.5,?,?
?,3.9,?,0.4,?
?,3.5,?,0.3,Iris-setosa
5.7,?,1.7,?,?
5.1,?,?,0.3,?
?,3.4,1.7,0.2,Iris-setosa
?,3.7,1.5,?,?
4.6,3.6,?,?,Iris-setosa
?,3.3,?,?,?
?,?,?,0.2,Iris-setosa
?,3.0,1.6,0.2,Iris-setosa
?,?,?,0.4,?
?,?,1.5,0.2,?
5.2,?,1.4,?,?
4.7,3.2,?,0.2,?
?,3.1,?,?,Iris-setosa
?,?,?,?,?
?,4.1,1.5,0.1,Iris-setosa
?,?,1.4,?,?
4.9,?,?,?,?
5.0,?,?,?,Iris-setosa
5.5,3.5,1.3,0.2,Iris-setosa
?,?,1.5,?,Iris-setosa
?,3.0,?,0.2,Iris-setosa
?,?,1.5,?,?
?,?,1.3,?,Iris-setosa
?,2.3,1.3,?,?
?,3.2,1.3,0.2,Iris-setosa
5.0,?,?,?,?
?,?,?,?,?
?,3.0,?,0.3,?
5.1,?,?,?,?
4.6,3.2,?,0.2,?
?,3.7,1.5,0.2,?
?,3.3,?,0.2,?
?,?,4.7,?,?
?,?,?,?,Iris-versicolor
?,3.1,?,1.5,Iris-versicolor
?,?,4.0,?,?
?,?,?,?,Iris-versicolor
?,2.8,4.5,?,?
6.3,?,?,?,?
4.9,2.4,?,?,?
6.6,2.9,?,1.3,Iris-versicolor
?,?,?,?,?
?,2.0,?,1.0,Iris-versicolor
?,?,?,?,?
?,?,4.0,?,Iris-versicolor
?,?,?,?,?
5.6,2.9,?,?,?
?,?,4.4,?,?
?,3.0,4.5,?,Iris-versicolor
?,2.7,4.1,?,?
?,?,?,1.5,?
?,?,?,1.1,?
5.9,3.2,?,1.8,?
6.1,?,?,?,?
?,2.5,4.9,1.5,?
?,?,4.7,1.2,?
?,2.9,4.3,?,?
?,?,?,?,?
6.8,?,?,?,Iris-versicolor
?,?,?,1.7,?
?,2.9,?,1.5,?
?,2.6,3.5,?,Iris-versicolor
?,2.4,3.8,?,Iris-versicolor
5.5,2.4,?,?,?
?,?,?,1.2,?
?,?,?,?,?
?,?,?,1.5,?
6.0,?,?,1.6,?
6.7,?,4.7,1.5,?
?,2.3,4.4,1.3,Iris-versicolor
?,?,4.1,?,?
?,2.5,4.0,?,Iris-versicolor
?,?,4.4,?,?
?,3.0,4.6,1.4,?
5.8,2.6,?,?,?
?,?,3.3,?,Iris-versicolor
?,?,4.2,1.3,?
5.7,3.0,?,1.2,?
5.7,?,?,?,?
6.2,2.9,?,?,?
?,?,3.0,1.1,?
5.7,?,?,?,Iris-versicolor
6.3,?,?,?,?
?,2.7,?,1.9,Iris-virginica
?,?,?,2.1,?
?,2.9,5.6,1.8,Iris-virginica
6.5,?,?,?,Iris-virginica
?,?,6.6,?,?
4.9,2.5,?,?,?
7.3,?,?,?,Iris-virginica
?,2.5,5.8,?,?
?,3.6,6.1,?,Iris-virginica
?,?,5.1,2.0,?
?,2.7,?,1.9,?
?,?,?,?,Iris-virginica
5.7,?,?,?,?
?,?,?,?,?
?,?,5.3,?,?
?,3.0,?,?,Iris-virginica
?,?,6.7,2.2,?
7.7,?,6.9,2.3,Iris-virginica
?,?,5.0,?,?
?,?,?,?,?
5.6,?,4.9,2.0,?
?,?,?,2.0,Iris-virginica
6.3,?,?,1.8,Iris-virginica
6.7,?,5.7,2.1,?
7.2,3.2,?,?,Iris-virginica
?,?,?,?,Iris-virginica
?,?,4.9,?,?
?,2.8,?,?,Iris-virginica
7.2,3.0,?,?,?
?,2.8,?,?,Iris-virginica
7.9,3.8,6.4,?,Iris-virginica
?,2.8,5.6,?,Iris-virginica
6.3,?,?,?,?
?,2.6,5.6,1.4,Iris-virginica
7.7,3.0,?,?,Iris-virginica
?,3.4,5.6,?,?
6.4,3.1,?,?,?
6.0,3.0,?,?,?
6.9,?,?,?,?
6.7,?,?,2.4,Iris-virginica
6.9,?,?,?,Iris-virginica
5.8,?,?,?,?
?,?,?,2.3,Iris-virginica
?,?,?,?,?
6.7,3.0,?,?,?
6.3,2.5,?,?,Iris-virginica
?,?,5.2,?,Iris-virginica
6.2,3.4,?,?,Iris-virginica
5.9,?,?,?,?
