@relation dataset

@attribute rural/urban {0, 1, 2}
@attribute totalnumberofgood real
@attribute totalnumberoflivable real
@attribute totalnumberofdilapidated real
@attribute totalnumberofresidencehouseholds real
@attribute totalnumberofresidencegood real
@attribute totalnumberofresidencelivable real
@attribute totalnumberofresidencedilapidated real
@attribute totalnumberofresidencecumother real
@attribute numberofresidencecumgood real
@attribute residence_cum_livable real
@attribute residence_cum_dilapidated real
@attribute material_roof_gtbw real
@attribute material_roof_pp real
@attribute material_roof_hmt real
@attribute material_roof_mmt real
@attribute material_roof_bb real
@attribute material_roof_ss real
@attribute material_roof_gmas real
@attribute material_roof_concrete real
@attribute material_roof_aom real
@attribute material_roof_gtb real
@attribute material_roof_pp1 real
@attribute material_roof_mub real
@attribute material_roof_wood real
@attribute material_wall_snpwm real
@attribute material_wall_spwm real
@attribute material_wall_gimas real
@attribute material_wall_bb real
@attribute material_wall_concrete real
@attribute material_wall_aom real
@attribute material_floor_mud real
@attribute material_floor_wb real
@attribute material_floor_bb real
@attribute material_floor_stone real
@attribute material_floor_cement real
@attribute material_floor_mf real
@attribute material_floor_aom real
@attribute dwelling_r_ner real
@attribute dwelling_r_or real
@attribute dwelling_r_tr real
@attribute dwelling_r_th_r real
@attribute dwelling_r_fr real
@attribute dwelling_r_fi_r real
@attribute dwelling_r_sra real
@attribute h_size_1 real
@attribute h_size_2 real
@attribute h_size_3 real
@attribute h_size_4 real
@attribute h_size_5 real
@attribute h_size_6_8 real
@attribute h_size_9 real
@attribute o_status_o real
@attribute o_status_r real
@attribute o_status_ao real
@attribute married_c_n real
@attribute married_c_1 real
@attribute married_c_2 real
@attribute married_c_3 real
@attribute married_c_4 real
@attribute married_c_5 real
@attribute dw_tfts real
@attribute dw_tfus real
@attribute dw_cw real
@attribute dw_uw real
@attribute dw_handpump real
@attribute dw_tb real
@attribute dw_spring real
@attribute dw_rc real
@attribute dw_tpl real
@attribute dw_os real
@attribute within_premises real
@attribute near_premises real
@attribute away real
@attribute msl_electricty real
@attribute msl_kerosene real
@attribute msl_se real
@attribute msl_oo real
@attribute msl_ao real
@attribute msl_nl real
@attribute latrine_premise real
@attribute latrine_pss real
@attribute latrine_st real
@attribute latrine_os real
@attribute pit_latrine_svi real
@attribute pit_latrine_sop real
@attribute disposed_drain real
@attribute service_latrine_nrh real
@attribute service_latrine_nsa real
@attribute h_latrine_premoses real
@attribute alternative_source real
@attribute alternative_source_open real
@attribute households_bathroom real
@attribute households_ewr real
@attribute households_no real
@attribute waste_water_cd real
@attribute waste_water_od real
@attribute waste_water_nd real
@attribute cooking_fw real
@attribute cooking_cr real
@attribute cooking_cc real
@attribute cooking_clc real
@attribute cooking_kerosene real
@attribute cooking_lpg_png real
@attribute cooking_electricity real
@attribute cooking_biogas real
@attribute cooking_ao real
@attribute cooking_nc real
@attribute cooking_ih real
@attribute has_kitchen real
@attribute dnhk real
@attribute cooking_oh real
@attribute has_kitchen1 real
@attribute dnh_kitchen real
@attribute no_cooking real
@attribute tnhab real
@attribute assets_rt real
@attribute assets_tel real
@attribute assets_cl_wi real
@attribute assets_clwi real
@attribute assets_tm_lo real
@attribute assets_tm_mo real
@attribute assets_tm_both real
@attribute assets_bicycle real
@attribute assets_smm real
@attribute assets_cjv real
@attribute household_tv_lp real
@attribute none_as real
@attribute permanents real
@attribute semi_permanent real
@attribute total_temporary real
@attribute serviceable real
@attribute non_serviceable real
@attribute unclassifiable real
@attribute contition_t_total real
@attribute contition_t_good real
@attribute contition_t_livable real
@attribute contition_t_dilapidated real
@attribute contition_r_total real
@attribute residence_good real
@attribute residence_livable real
@attribute residence_dilapidated real
@attribute residence_cum_other real
@attribute residence_cum_good real


@data

?,?,58.1,?,?,?,?,7.2,9.1,1.0,7.1,?,7.8,0.1,0.3,?,0.1,1.1,87.1,0.6,?,0.5,0.4,?,31.1,?,?,0.3,44.7,1.4,?,55.9,6.6,?,3.6,33.5,?,0.1,2.7,?,?,25.3,?,3.5,?,0.8,3.8,?,?,?,40.3,?,98.2,?,?,?,?,13.6,?,0.3,0.1,?,?,?,?,?,?,?,24.8,1.6,?,?,36.0,?,76.5,11.1,3.0,?,4.9,?,48.9,?,4.4,?,2.8,6.3,?,?,?,51.1,?,?,57.9,?,38.7,?,25.5,70.9,?,2.6,0.9,0.0,?,11.7,?,?,?,0.1,?,93.7,?,?,?,1.5,?,49.1,54.4,23.1,0.6,4.0,?,?,1.2,?,1.6,2.5,0.4,?,52.9,?,6.0,5.6,0.4,?,?,33.6,?,8.3,90.9,?,?,?,?,1.0
1,?,?,?,91.0,33.8,50.2,6.9,?,0.9,7.1,1.0,?,0.1,0.3,?,0.1,?,87.5,0.7,?,0.5,?,?,28.6,7.9,2.4,0.3,46.2,?,1.0,?,6.3,0.4,?,36.0,?,0.0,2.7,20.6,27.0,?,12.8,3.6,7.6,?,?,?,10.0,13.9,40.0,?,?,?,1.3,?,75.5,13.7,?,?,0.1,?,?,?,10.4,?,1.9,?,23.2,1.5,6.2,?,35.4,?,?,10.4,?,?,4.8,3.1,50.9,4.8,6.2,?,3.0,6.2,2.1,17.6,?,49.1,7.8,?,?,3.4,37.9,?,27.1,?,?,2.4,0.8,?,0.8,14.8,?,?,?,0.1,97.6,94.0,3.5,2.3,?,1.4,0.1,50.2,?,?,?,4.2,1.4,50.0,1.5,?,1.7,2.8,0.5,25.0,?,?,5.6,5.2,0.4,?,?,34.8,57.3,7.9,91.0,33.8,?,6.9,9.0,?
?,45.7,49.5,4.8,91.8,45.0,?,4.5,8.2,0.7,7.3,0.2,2.9,0.2,?,0.0,?,0.8,91.3,?,2.2,0.4,?,14.0,4.8,13.2,4.6,0.2,60.6,0.8,?,?,?,1.1,?,60.5,0.1,0.0,2.1,14.0,26.2,29.8,?,?,10.4,1.0,3.5,6.4,10.2,14.6,37.3,?,97.5,?,0.4,?,?,?,2.4,?,0.1,?,?,?,?,2.6,3.8,1.1,8.0,?,6.0,43.9,29.7,?,?,3.2,0.3,?,3.5,1.7,70.2,6.6,?,10.9,5.2,?,?,?,?,29.8,4.4,?,?,?,29.9,5.3,42.3,?,?,0.7,?,?,2.1,45.3,0.3,0.6,0.0,?,98.7,97.0,?,1.2,0.8,?,0.1,?,68.4,44.3,1.7,6.3,2.6,56.5,?,?,2.7,?,1.5,13.9,76.0,?,1.3,?,?,3.1,100.0,45.7,49.5,?,?,45.0,?,4.5,8.2,0.7
0,49.7,?,?,97.2,49.0,44.5,?,2.8,0.7,1.8,0.2,2.6,?,?,?,?,0.7,92.2,1.8,2.1,?,0.2,8.4,1.1,0.9,0.4,?,85.7,1.2,?,?,1.9,?,?,48.0,0.1,?,?,14.8,?,23.6,18.2,?,10.0,0.8,?,3.4,?,11.0,?,14.0,?,?,0.6,8.9,?,15.4,2.9,?,?,?,45.6,0.7,?,?,?,0.5,14.7,0.0,1.2,?,?,?,89.8,6.7,?,?,1.3,0.4,83.3,6.7,?,9.8,?,?,0.6,?,0.5,?,?,11.5,78.7,?,?,?,43.5,45.3,59.3,7.4,20.1,?,0.4,10.2,?,1.1,1.1,0.1,88.5,?,4.2,11.4,8.0,3.4,?,50.3,66.4,50.9,?,?,?,64.4,3.2,?,5.2,4.2,1.2,?,86.0,8.9,1.7,1.6,0.2,3.4,?,49.7,46.3,3.9,97.2,49.0,?,3.7,?,?
1,51.6,?,?,97.3,?,43.0,3.5,2.7,?,1.7,?,2.8,0.2,0.4,0.0,0.1,?,91.6,?,?,?,0.2,8.2,?,0.9,0.3,?,85.8,?,?,43.2,1.8,?,2.2,52.1,0.1,0.1,?,14.2,25.3,24.1,17.9,?,10.8,?,2.2,3.8,8.1,12.0,?,13.5,?,?,?,9.1,?,15.4,?,?,?,30.4,?,?,0.7,?,?,0.5,13.2,0.1,?,51.8,33.8,14.4,?,6.0,1.4,?,1.2,?,84.3,?,?,9.3,2.9,4.1,?,41.8,0.7,?,?,10.7,80.1,4.0,?,?,44.0,?,55.8,?,?,?,0.6,?,?,1.2,1.0,?,?,85.3,4.2,?,7.3,3.0,0.1,53.9,67.3,?,2.0,3.9,?,66.3,3.9,?,?,5.1,1.7,11.8,86.2,8.9,1.8,?,0.2,3.1,100.0,?,44.7,?,?,50.8,43.0,?,2.7,0.8
2,?,?,?,98.1,?,?,2.4,1.9,?,0.6,0.2,4.6,0.3,0.5,?,?,0.4,88.0,5.0,0.9,0.4,0.2,7.1,0.2,?,0.2,0.3,?,3.5,?,?,?,1.6,1.0,79.1,?,?,?,?,?,?,15.8,?,?,?,?,?,14.1,18.8,46.9,10.5,98.0,1.6,0.5,?,69.5,15.3,3.7,0.7,0.1,58.1,29.4,?,?,?,?,?,3.2,0.7,0.4,74.4,?,?,97.9,?,0.1,?,0.0,?,90.4,17.9,?,?,1.9,1.0,9.8,?,1.7,9.6,?,5.4,89.0,3.4,7.6,?,?,?,33.3,5.9,7.1,?,2.1,48.0,1.4,?,0.2,?,95.8,91.2,4.7,?,?,0.7,0.2,77.2,73.3,79.1,?,6.8,?,78.6,8.6,15.7,?,?,5.0,?,87.9,8.5,2.1,1.7,?,1.5,100.0,63.6,33.8,2.6,98.1,62.5,?,2.4,?,1.1
0,46.4,51.5,2.1,?,45.8,50.8,?,1.4,0.6,0.7,?,97.3,?,?,0.0,0.0,?,0.6,0.5,?,0.2,0.1,?,?,25.9,12.7,0.0,0.1,?,?,90.2,1.3,?,0.2,6.7,?,0.7,?,?,22.6,?,13.8,8.0,9.9,?,6.8,9.8,?,17.9,28.9,10.3,95.3,2.3,2.4,17.3,59.3,18.7,?,?,0.2,3.9,?,0.5,0.4,27.5,0.4,4.0,40.3,0.1,4.3,?,?,33.8,76.3,4.9,?,0.1,0.3,0.5,88.1,1.7,1.3,4.4,?,4.5,0.0,10.4,0.1,?,1.0,?,36.0,4.5,?,?,7.7,?,31.4,?,13.1,0.1,1.1,52.8,0.0,?,?,0.2,95.9,?,13.0,3.9,0.9,2.9,?,85.2,70.2,?,1.5,5.2,14.8,23.3,?,?,5.6,?,1.8,?,?,38.1,59.7,59.4,?,1.3,100.0,?,51.5,?,98.6,?,50.8,2.0,?,0.6
1,45.8,?,1.8,?,?,51.8,1.8,?,0.7,0.6,0.0,?,0.2,?,?,0.1,0.3,0.8,1.5,?,?,0.2,68.2,?,19.6,?,?,0.1,0.2,0.8,81.6,?,0.6,0.3,?,0.2,0.5,7.3,?,21.1,?,?,8.2,?,?,?,?,21.3,18.3,25.9,8.5,93.3,?,2.4,17.8,61.3,?,?,0.4,0.2,9.5,20.6,0.5,0.3,28.2,?,3.0,?,0.3,7.5,14.6,52.8,32.7,83.0,?,12.7,0.1,0.3,?,?,?,?,3.3,67.9,4.2,0.3,9.8,0.1,9.6,1.0,?,45.2,?,50.4,?,10.2,81.0,22.5,0.3,9.3,?,?,?,0.0,0.6,0.0,0.2,96.9,87.1,9.8,2.9,?,2.1,?,87.3,?,?,2.8,7.6,12.7,?,23.4,2.9,6.2,20.6,4.7,9.5,1.2,30.2,67.5,?,0.5,1.1,100.0,45.8,52.4,1.8,?,45.1,51.8,1.8,?,?
?,44.3,54.6,?,98.7,43.4,?,1.1,?,0.9,0.4,?,92.3,0.4,0.3,0.1,?,?,1.2,3.9,?,1.1,0.2,89.7,?,4.8,3.1,?,?,0.5,0.0,61.2,1.2,?,0.3,?,?,0.1,7.1,18.2,17.4,?,16.3,?,?,?,?,?,28.0,19.4,18.8,4.1,88.6,?,2.4,?,?,12.4,2.0,0.3,0.1,22.5,25.7,0.6,?,29.8,?,0.7,3.7,0.6,15.2,24.2,45.9,29.9,98.9,?,0.4,0.0,0.1,0.2,?,4.8,?,1.0,73.0,3.4,0.8,?,?,?,1.1,?,?,?,?,?,?,?,?,0.1,0.4,?,1.4,?,?,0.0,0.0,0.2,99.2,96.8,2.4,0.6,?,0.2,?,92.3,80.4,?,?,13.2,7.9,?,37.3,?,?,?,?,?,1.7,11.6,85.9,84.8,1.1,0.8,100.0,?,54.6,1.1,98.7,43.4,54.2,?,?,?
