@relation dataset

@attribute make {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20}
@attribute fuel-type {0, 1}
@attribute aspiration {0, 1}
@attribute num-of-doors {0, 1}
@attribute body-style {0, 1, 2, 3, 4}
@attribute drive-wheels {0, 1, 2}
@attribute wheel-base real
@attribute length real
@attribute width real
@attribute height real
@attribute curb-weight real
@attribute engine-type {0, 1, 2, 3, 4}
@attribute num-of-cylinders {0, 1, 2, 3, 4, 5}
@attribute engine-size real
@attribute fuel-system {0, 1, 2, 3, 4, 5, 6}
@attribute bore real
@attribute stroke real
@attribute compression-ratio real
@attribute horsepower real
@attribute peak-rpm real
@attribute city-mpg real
@attribute highway-mpg real
@attribute price real
@attribute symboling {0, 1, 2, 3, 4, 5}


@data

0,1,?,?,0,2,88.6,?,?,48.8,?,0,2,130.0,4,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,13495.0,5
0,?,?,?,0,2,88.6,168.8,64.1,48.8,2548.0,0,2,130.0,4,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,16500.0,5
0,1,?,1,2,2,94.5,171.2,65.5,52.4,2823.0,4,3,?,?,?,3.47,9.0,154.0,5000.0,?,26.0,16500.0,3
1,1,0,0,3,1,99.8,?,66.2,54.3,2337.0,2,2,109.0,4,3.19,3.4,10.0,102.0,5500.0,24.0,?,?,4
?,1,?,0,3,?,?,176.6,66.4,54.3,2824.0,2,1,136.0,4,3.19,3.4,8.0,115.0,5500.0,18.0,22.0,17450.0,4
?,1,0,1,3,1,99.8,177.3,66.3,53.1,2507.0,?,1,136.0,4,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,15250.0,4
1,1,?,0,3,1,105.8,192.7,71.4,55.7,2844.0,2,1,136.0,4,3.19,3.4,8.5,?,5500.0,?,25.0,17710.0,3
1,1,0,0,?,?,?,192.7,?,55.7,2954.0,2,1,136.0,4,3.19,3.4,8.5,?,5500.0,19.0,?,18920.0,3
1,?,1,0,3,1,?,192.7,71.4,55.9,3086.0,2,1,131.0,?,?,?,8.3,140.0,5500.0,17.0,?,23875.0,3
2,1,0,1,3,2,101.2,176.8,64.8,54.3,?,?,2,108.0,4,3.5,2.8,8.8,?,5800.0,23.0,29.0,16430.0,4
2,1,0,0,3,2,101.2,176.8,64.8,54.3,2395.0,2,2,108.0,4,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16925.0,?
2,1,0,1,3,2,?,?,64.8,54.3,2710.0,2,3,164.0,4,3.31,3.19,9.0,121.0,4250.0,21.0,?,20970.0,?
2,1,0,0,3,2,101.2,176.8,64.8,54.3,?,2,3,164.0,4,3.31,?,9.0,121.0,?,21.0,28.0,?,2
2,?,0,0,?,?,103.5,189.0,66.9,?,3055.0,2,?,?,4,3.31,3.19,9.0,?,4250.0,20.0,25.0,24565.0,3
2,?,0,0,3,2,?,189.0,66.9,55.7,?,2,3,209.0,4,3.62,3.39,?,182.0,5400.0,?,22.0,?,2
2,1,0,1,3,2,?,193.8,67.9,?,3380.0,2,3,209.0,4,?,3.39,8.0,182.0,5400.0,16.0,22.0,?,2
2,?,0,0,3,2,?,197.0,70.9,56.3,3505.0,?,3,209.0,?,3.62,3.39,8.0,182.0,5400.0,?,?,36880.0,?
3,1,0,1,?,1,88.4,?,?,53.2,1488.0,1,?,61.0,1,2.91,?,?,48.0,5100.0,47.0,53.0,5151.0,4
3,1,0,?,2,1,94.5,155.9,63.6,52.0,?,?,2,90.0,1,3.03,3.11,9.6,?,5400.0,38.0,43.0,6295.0,3
3,1,0,?,3,?,94.5,158.8,63.6,52.0,1909.0,2,2,?,1,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,6575.0,2
4,1,0,1,2,1,93.7,157.3,63.8,50.8,?,2,2,90.0,1,2.97,3.23,?,68.0,5500.0,37.0,41.0,5572.0,3
?,1,0,1,2,1,93.7,157.3,63.8,50.8,1876.0,2,?,90.0,?,2.97,3.23,?,?,5500.0,?,38.0,6377.0,3
4,?,?,1,2,1,93.7,157.3,63.8,50.8,2128.0,2,2,98.0,4,3.03,3.39,7.6,102.0,?,24.0,30.0,7957.0,3
4,1,0,0,2,1,93.7,?,?,?,1967.0,2,?,90.0,1,2.97,3.23,?,68.0,5500.0,31.0,38.0,6229.0,3
4,1,?,0,3,1,93.7,157.3,63.8,50.6,1989.0,2,2,90.0,1,?,3.23,9.4,68.0,?,31.0,?,6692.0,?
4,1,0,0,3,1,93.7,157.3,?,50.6,1989.0,2,2,?,1,2.97,3.23,9.4,68.0,?,31.0,38.0,7609.0,3
4,1,0,0,4,?,103.3,174.6,64.6,59.8,2535.0,2,2,?,1,3.34,3.46,8.5,88.0,5000.0,?,30.0,8921.0,1
4,1,?,1,2,?,95.9,173.2,66.3,50.2,2811.0,2,2,156.0,3,3.6,?,7.0,145.0,5000.0,?,24.0,12964.0,5
5,1,0,1,?,1,86.6,144.6,63.9,50.8,1713.0,2,2,?,0,2.91,?,9.6,58.0,?,49.0,?,6479.0,4
5,1,?,?,?,1,?,144.6,63.9,50.8,1819.0,2,2,92.0,0,2.91,3.41,9.2,76.0,6000.0,31.0,38.0,6855.0,4
5,1,0,1,2,1,93.7,?,64.0,52.6,1837.0,2,2,79.0,0,2.91,3.07,10.1,60.0,5500.0,38.0,42.0,?,3
5,1,0,1,2,1,93.7,150.0,64.0,52.6,1940.0,2,?,92.0,?,2.91,3.41,9.2,76.0,6000.0,30.0,?,6529.0,?
?,1,0,?,?,?,93.7,150.0,64.0,52.6,?,2,2,92.0,0,2.91,3.41,9.2,76.0,6000.0,?,?,7129.0,3
5,1,0,0,3,1,96.5,?,64.0,54.5,2010.0,2,2,92.0,0,2.91,3.41,9.2,?,6000.0,30.0,34.0,7295.0,2
5,?,?,0,4,1,96.5,157.1,?,?,2024.0,2,?,92.0,?,2.92,3.41,9.2,76.0,6000.0,30.0,34.0,7295.0,?
?,1,?,1,2,?,96.5,167.5,65.2,53.3,2236.0,2,2,?,0,3.15,?,9.0,?,5800.0,27.0,33.0,7895.0,2
5,1,?,1,2,1,?,167.5,?,53.3,2289.0,2,2,110.0,0,3.15,3.58,?,86.0,5800.0,27.0,33.0,9095.0,2
5,1,0,?,3,?,96.5,?,65.2,54.1,2304.0,?,2,110.0,0,3.15,3.58,9.0,86.0,?,27.0,33.0,8845.0,2
5,1,?,0,3,1,96.5,175.4,?,54.1,?,?,2,110.0,0,3.15,3.58,9.0,86.0,5800.0,?,33.0,10295.0,2
5,1,0,0,3,1,96.5,?,65.2,54.1,2465.0,?,?,110.0,4,?,3.58,9.0,101.0,?,?,?,12945.0,2
?,1,0,?,3,1,96.5,169.1,66.0,51.0,2293.0,2,2,110.0,1,3.15,?,9.1,100.0,5500.0,25.0,?,10345.0,3
?,?,0,?,3,2,94.3,170.7,61.8,53.5,2337.0,?,2,?,?,3.31,3.23,8.5,?,?,24.0,29.0,6785.0,2
6,?,0,1,2,2,96.0,172.6,65.2,?,2734.0,2,?,119.0,6,3.43,3.23,9.2,90.0,?,24.0,29.0,11048.0,4
7,1,0,0,3,2,113.0,199.6,?,52.8,?,0,3,?,4,?,4.17,8.1,?,4750.0,15.0,19.0,32250.0,?
?,1,0,0,?,2,113.0,?,?,?,4066.0,0,3,?,4,3.63,4.17,?,?,4750.0,15.0,19.0,35550.0,2
?,1,0,1,3,2,?,191.7,70.6,47.8,?,4,?,326.0,4,3.54,2.76,11.5,262.0,5000.0,13.0,17.0,36000.0,2
8,1,0,1,2,1,93.1,159.1,?,54.1,1890.0,2,2,91.0,1,3.03,?,?,68.0,5000.0,?,?,5195.0,3
8,?,?,1,2,1,93.1,159.1,?,54.1,?,2,2,91.0,1,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6095.0,3
?,1,0,1,2,1,93.1,159.1,?,54.1,1905.0,2,2,91.0,1,3.03,3.15,9.0,68.0,5000.0,?,38.0,6795.0,3
8,1,0,?,?,1,93.1,?,64.2,54.1,1945.0,2,2,91.0,1,3.03,3.15,?,68.0,5000.0,?,38.0,6695.0,3
