@relation dataset

@attribute attribute_0 real
@attribute attribute_1 real
@attribute attribute_2 real
@attribute attribute_3 real
@attribute attribute_4 real
@attribute attribute_5 real
@attribute attribute_6 real
@attribute attribute_7 real
@attribute attribute_8 real
@attribute attribute_9 real
@attribute attribute_10 real
@attribute attribute_11 real
@attribute attribute_12 {1, 2}


@data

7.0,?,0.36,20.7,?,45.0,?,?,3.0,?,8.8,?,?
6.3,0.3,?,1.6,?,14.0,132.0,?,3.3,?,?,6.0,?
8.1,0.28,0.4,6.9,0.05,30.0,97.0,?,3.26,?,?,6.0,2
?,?,0.32,?,?,47.0,186.0,?,?,0.4,9.9,6.0,2
7.2,0.23,?,8.5,0.058,47.0,?,?,3.19,0.4,9.9,?,?
8.1,0.28,0.4,?,0.05,30.0,?,?,3.26,?,10.1,6.0,2
6.2,0.32,0.16,7.0,0.045,30.0,?,0.9949,3.18,0.47,9.6,?,?
7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6.0,2
?,0.3,0.34,1.6,?,14.0,132.0,?,?,0.49,?,?,2
8.1,0.22,0.43,1.5,0.044,28.0,129.0,?,3.22,?,11.0,6.0,?
8.1,0.27,0.41,1.45,?,?,?,?,2.99,0.56,12.0,5.0,2
8.6,?,0.4,4.2,0.035,?,109.0,?,3.14,?,?,5.0,2
7.9,0.18,0.37,1.2,0.04,16.0,75.0,0.992,3.18,0.63,10.8,?,?
6.6,0.16,0.4,1.5,?,48.0,143.0,?,?,?,12.4,?,2
8.3,0.42,0.62,?,0.04,41.0,172.0,?,2.98,0.67,?,?,2
?,?,0.38,1.5,0.032,?,?,?,3.25,0.55,?,7.0,2
6.3,?,?,?,0.046,?,99.0,0.9928,3.24,?,9.6,?,?
6.2,0.66,0.48,?,0.029,?,?,0.9892,3.33,0.39,12.8,8.0,2
?,0.34,0.42,1.1,?,17.0,?,0.9917,3.12,0.53,?,6.0,2
?,?,0.14,?,?,34.0,?,0.9955,?,?,9.5,5.0,2
6.2,0.66,0.48,?,0.029,29.0,?,0.9892,3.33,0.39,?,?,2
6.4,0.31,0.38,2.9,?,19.0,102.0,?,?,?,11.0,7.0,2
6.8,?,?,1.7,0.049,41.0,?,0.993,3.47,0.48,?,8.0,2
7.6,?,0.14,1.5,?,25.0,?,0.9937,3.05,0.51,9.3,?,?
?,0.27,0.41,1.3,0.052,16.0,142.0,0.9951,?,?,?,6.0,?
?,?,?,?,0.046,56.0,245.0,0.9955,3.25,?,10.4,?,?
6.9,?,0.35,?,?,?,146.0,0.993,?,0.44,?,6.0,2
7.0,0.28,?,?,0.051,?,141.0,0.9961,3.38,?,?,?,2
7.4,0.27,0.48,1.1,0.047,17.0,132.0,?,3.19,0.49,11.6,6.0,?
7.2,?,0.36,?,0.033,?,114.0,0.9906,?,0.71,12.3,?,?
8.5,0.24,?,10.4,0.044,20.0,142.0,?,3.2,0.53,?,6.0,2
8.3,0.14,0.34,?,0.042,7.0,47.0,0.9934,3.47,0.4,10.2,6.0,?
7.4,0.25,?,2.05,?,31.0,100.0,0.992,3.19,0.44,10.8,?,2
6.2,0.12,0.34,1.5,0.045,43.0,117.0,?,?,?,9.0,6.0,?
?,0.27,0.2,14.95,?,?,?,?,?,0.37,10.2,5.0,2
7.3,0.28,?,1.7,?,?,?,?,?,0.42,12.8,?,2
6.5,0.39,?,?,0.051,?,?,?,3.24,0.35,10.0,?,2
7.0,0.33,0.32,1.2,0.053,?,138.0,?,?,0.28,11.2,?,2
7.3,0.24,0.39,?,0.057,45.0,149.0,?,?,?,?,?,2
7.3,0.24,0.39,17.95,0.057,45.0,149.0,?,?,?,8.6,5.0,2
?,0.23,?,2.5,0.172,63.0,158.0,0.9937,3.11,0.36,?,?,2
6.7,?,0.39,?,?,63.0,?,?,3.1,0.34,?,?,2
7.0,0.31,0.26,?,0.069,28.0,160.0,?,?,?,?,?,?
?,0.24,0.27,?,?,?,?,?,3.22,0.56,?,6.0,?
?,?,0.26,1.4,0.06,33.0,154.0,?,3.24,0.56,9.5,6.0,2
7.4,?,0.31,1.4,0.058,38.0,?,0.9931,3.16,0.53,?,?,?
?,?,?,?,0.063,63.0,206.0,?,?,?,?,4.0,2
?,?,0.25,?,?,?,207.0,0.9939,3.25,?,?,5.0,?
7.0,0.31,0.26,?,?,28.0,160.0,0.9954,?,?,?,6.0,2
6.9,0.19,?,5.0,?,32.0,?,?,3.36,0.48,9.8,5.0,?
7.2,?,0.31,1.6,0.062,31.0,?,?,3.35,0.44,?,6.0,?
6.6,?,0.29,?,0.068,?,124.0,?,?,0.58,?,7.0,2
?,?,0.33,1.1,0.057,?,82.0,0.991,3.32,0.46,?,?,2
?,?,0.35,?,0.045,39.0,108.0,?,3.31,0.35,?,6.0,?
6.8,?,0.59,0.9,0.147,?,132.0,0.993,?,0.38,9.1,?,?
?,0.25,0.35,?,0.039,29.0,?,?,3.13,0.52,?,6.0,2
7.2,0.21,?,?,0.043,?,213.0,0.9962,3.09,0.5,9.6,6.0,2
?,?,0.26,12.4,?,50.0,?,0.9972,?,?,8.9,6.0,?
6.6,0.38,0.15,?,0.044,?,78.0,?,3.11,0.38,?,6.0,2
7.4,?,0.36,?,0.038,?,?,0.9926,3.36,0.34,?,6.0,?
6.8,0.22,0.24,4.9,?,30.0,123.0,0.9951,3.03,0.46,8.6,?,2
?,?,?,12.4,?,?,147.0,?,?,0.36,?,6.0,?
?,0.47,?,?,0.035,17.0,151.0,?,?,0.34,10.5,5.0,2
6.6,0.38,?,4.6,?,25.0,?,?,?,0.38,10.2,6.0,2
?,0.24,0.27,?,0.038,31.0,122.0,?,3.15,0.46,10.3,6.0,?
?,?,?,1.2,0.064,?,120.0,0.9934,3.22,?,?,?,?
6.4,0.26,0.24,?,0.04,27.0,?,?,?,0.49,12.6,7.0,?
6.7,?,0.13,1.2,0.041,?,?,?,3.14,?,?,5.0,2
6.7,0.23,0.31,?,0.046,30.0,?,?,3.33,0.64,?,8.0,2
7.4,0.24,0.29,?,0.05,?,105.0,0.9962,3.13,0.35,9.5,?,?
6.2,?,?,?,0.056,48.0,?,?,?,0.51,9.0,?,?
6.8,0.3,0.23,?,0.061,50.5,238.5,?,3.32,?,?,?,2
