@relation dataset

@attribute attribute_0 real
@attribute attribute_1 real
@attribute attribute_2 real
@attribute attribute_3 real
@attribute attribute_4 real
@attribute attribute_5 real
@attribute attribute_6 real
@attribute attribute_7 real
@attribute attribute_8 real
@attribute attribute_9 real
@attribute attribute_10 real
@attribute attribute_11 real
@attribute attribute_12 {1, 2}


@data

7.0,0.27,0.36,?,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6.0,2
?,0.3,0.34,?,0.049,?,132.0,0.994,3.3,0.49,9.5,?,?
8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,?,6.0,2
7.2,0.23,0.32,?,0.058,?,?,?,?,0.4,9.9,?,2
7.2,?,0.32,?,?,47.0,186.0,0.9956,3.19,0.4,9.9,?,2
8.1,0.28,0.4,6.9,0.05,?,?,0.9951,3.26,0.44,10.1,6.0,2
6.2,?,0.16,7.0,?,30.0,136.0,0.9949,?,0.47,9.6,6.0,?
?,?,?,20.7,0.045,45.0,?,1.001,3.0,?,8.8,6.0,2
6.3,0.3,0.34,1.6,0.049,14.0,132.0,?,3.3,0.49,9.5,?,2
8.1,?,?,?,0.044,28.0,129.0,0.9938,?,0.45,11.0,6.0,?
?,?,0.41,1.45,0.033,11.0,63.0,?,2.99,?,12.0,5.0,2
?,0.23,?,4.2,0.035,?,?,0.9947,3.14,?,?,5.0,2
7.9,0.18,?,1.2,0.04,?,75.0,0.992,?,0.63,10.8,?,?
6.6,?,0.4,1.5,?,48.0,143.0,0.9912,?,0.52,12.4,7.0,?
?,0.42,0.62,?,?,41.0,?,1.0002,?,0.67,9.7,5.0,2
?,0.17,?,?,0.032,28.0,?,0.9914,?,0.55,?,7.0,2
6.3,?,?,1.1,0.046,30.0,99.0,0.9928,3.24,0.36,9.6,6.0,2
?,?,0.48,1.2,?,29.0,75.0,0.9892,3.33,0.39,?,8.0,?
7.4,0.34,0.42,?,0.033,?,171.0,?,3.12,0.53,?,6.0,?
?,?,0.14,?,0.044,34.0,133.0,?,3.22,0.5,9.5,?,2
?,0.66,?,?,0.029,?,75.0,0.9892,3.33,?,?,8.0,2
6.4,?,0.38,2.9,0.038,?,102.0,0.9912,?,0.35,11.0,7.0,?
6.8,?,0.42,?,0.049,41.0,?,0.993,?,0.48,10.5,?,2
?,?,0.14,1.5,?,25.0,?,0.9937,3.05,0.51,9.3,5.0,2
6.6,?,?,?,0.052,?,142.0,?,?,0.47,10.0,?,2
?,0.25,0.32,?,?,56.0,245.0,0.9955,?,0.5,10.4,6.0,2
6.9,0.24,?,?,0.052,35.0,?,?,3.45,?,?,?,2
7.0,0.28,0.39,8.7,?,32.0,?,0.9961,3.38,?,10.5,?,2
7.4,0.27,0.48,1.1,?,?,132.0,0.9914,?,0.49,11.6,6.0,2
?,?,?,2.0,0.033,37.0,?,0.9906,3.1,0.71,?,7.0,2
?,?,0.39,10.4,0.044,?,142.0,?,?,0.53,?,?,?
?,?,0.34,?,0.042,?,?,0.9934,?,?,10.2,?,2
7.4,0.25,?,?,0.05,31.0,?,0.992,3.19,0.44,10.8,6.0,?
?,?,0.34,?,?,43.0,117.0,0.9939,?,0.51,9.0,6.0,?
?,?,?,?,0.044,?,179.0,0.9962,?,0.37,?,?,2
7.3,0.28,0.43,1.7,0.08,?,?,0.9905,?,0.42,?,?,2
?,?,0.23,5.4,0.051,25.0,149.0,?,?,0.35,?,5.0,?
?,0.33,0.32,?,0.053,38.0,138.0,0.9906,?,?,11.2,?,?
?,?,?,?,0.057,45.0,?,0.9999,?,?,8.6,?,2
7.3,0.24,0.39,17.95,?,45.0,?,?,?,?,8.6,5.0,?
6.7,?,0.39,?,0.172,?,158.0,0.9937,3.11,?,9.4,6.0,2
?,0.24,?,2.9,0.173,63.0,?,0.9937,3.1,?,?,?,?
7.0,0.31,?,7.4,0.069,28.0,160.0,?,3.13,?,9.8,?,?
6.6,0.24,0.27,1.4,0.057,33.0,?,?,?,?,?,6.0,2
6.7,?,0.26,1.4,?,33.0,154.0,?,3.24,?,9.5,6.0,2
7.4,0.18,0.31,1.4,0.058,38.0,?,0.9931,3.16,0.53,?,?,2
?,0.45,0.26,?,0.063,63.0,?,?,3.27,?,9.8,?,2
6.2,0.46,?,4.4,0.066,?,?,0.9939,3.25,0.52,?,5.0,?
?,?,0.26,7.4,?,28.0,?,?,3.13,0.46,?,?,?
?,0.19,0.35,5.0,0.067,?,?,?,3.36,?,9.8,5.0,2
?,0.19,0.31,1.6,0.062,?,?,0.9917,3.35,?,11.7,6.0,?
6.6,0.25,0.29,?,0.068,39.0,124.0,0.9914,3.34,0.58,11.0,?,?
6.2,0.16,0.33,1.1,0.057,?,82.0,0.991,3.32,0.46,?,7.0,2
?,0.18,?,?,?,?,108.0,?,?,0.35,10.9,?,?
6.8,0.2,0.59,0.9,?,38.0,?,?,?,0.38,?,?,?
6.9,?,0.35,1.3,0.039,?,?,0.9908,?,0.52,11.0,6.0,?
?,?,0.34,11.9,0.043,?,?,?,?,0.5,9.6,6.0,?
6.0,0.19,0.26,?,?,?,?,?,3.3,?,?,6.0,2
?,0.38,0.15,?,0.044,?,?,0.9931,3.11,0.38,?,?,2
?,?,0.36,?,0.038,44.0,111.0,?,3.36,0.34,?,?,2
6.8,0.22,0.24,4.9,0.092,30.0,123.0,?,3.03,0.46,8.6,?,2
?,0.19,0.26,12.4,0.048,?,?,0.9972,3.3,?,?,6.0,2
7.0,0.47,?,1.1,?,17.0,151.0,0.991,3.02,0.34,10.5,?,2
6.6,0.38,?,?,0.044,25.0,78.0,0.9931,3.11,0.38,10.2,6.0,?
7.2,0.24,?,?,0.038,?,?,0.9927,3.15,0.46,?,?,2
6.2,?,?,?,0.064,?,120.0,0.9934,3.22,0.54,9.1,5.0,2
6.4,?,?,6.4,0.04,?,124.0,0.9903,3.22,0.49,12.6,?,2
?,0.25,?,1.2,?,81.0,174.0,0.992,?,?,?,?,?
?,?,?,2.1,0.046,30.0,?,0.9926,3.33,0.64,?,?,?
7.4,0.24,0.29,?,0.05,?,?,?,3.13,0.35,9.5,5.0,2
6.2,0.27,?,7.8,0.056,48.0,244.0,0.9956,3.1,0.51,?,6.0,2
?,0.3,?,?,0.061,50.5,238.5,0.9958,3.32,?,9.5,5.0,2
6.0,0.27,0.28,?,0.063,31.0,201.0,0.9964,3.69,?,?,?,?
8.6,?,?,?,?,9.0,72.0,0.9941,2.95,0.49,9.1,?,?
6.7,?,0.31,2.1,?,30.0,96.0,0.9926,?,?,10.7,?,2
?,?,0.29,?,?,?,105.0,?,3.13,?,?,?,2
?,?,0.36,1.4,?,31.0,87.0,?,3.26,0.37,?,7.0,?
?,?,?,?,?,20.0,?,0.9912,?,0.65,12.0,7.0,?
7.4,0.18,0.3,8.8,?,?,?,?,?,?,9.3,?,?
6.7,?,0.28,?,0.06,21.0,?,0.9949,3.27,0.37,9.0,5.0,?
?,0.22,0.31,1.4,0.053,?,?,?,3.39,?,?,?,2
?,0.2,0.34,16.0,?,?,?,?,3.21,0.6,?,6.0,2
?,0.34,0.2,?,0.063,47.0,?,?,?,?,10.0,?,2
?,0.22,0.3,8.2,0.047,?,207.0,0.9966,?,0.46,9.5,6.0,2
?,0.43,?,11.8,0.045,54.0,155.0,0.9974,3.11,?,?,5.0,2
7.1,0.44,?,?,0.044,52.0,152.0,0.9975,3.12,?,8.7,6.0,2
7.2,?,?,?,0.044,55.0,156.0,0.9974,3.09,0.44,?,?,2
6.8,0.25,0.31,13.3,?,?,202.0,0.9972,3.22,0.48,?,6.0,2
7.1,?,0.61,11.8,0.045,?,155.0,0.9974,?,?,8.7,?,?
?,0.44,0.62,11.8,?,?,152.0,0.9975,3.12,0.46,?,6.0,?
?,0.39,0.63,?,0.044,55.0,156.0,0.9974,3.09,0.44,8.7,6.0,2
?,?,?,?,0.049,65.0,243.0,0.9957,3.12,0.47,9.0,?,2
?,0.24,0.33,?,?,?,136.0,0.99,3.26,?,12.6,?,2
6.9,0.21,0.33,?,0.034,48.0,136.0,?,?,0.41,12.6,7.0,?
7.5,?,0.32,?,0.04,51.0,148.0,0.9916,3.21,?,11.5,?,2
7.1,0.26,0.29,?,0.044,62.0,?,?,3.04,0.42,9.2,6.0,2
6.0,0.34,0.66,?,?,?,164.0,0.9979,?,0.5,8.8,6.0,?
8.6,0.265,0.36,1.2,0.034,?,80.0,0.9913,?,0.36,11.4,7.0,2
?,0.36,?,10.5,?,4.0,?,0.9956,2.89,0.3,?,?,?
6.0,0.34,0.66,15.9,0.046,?,?,?,3.14,?,?,?,?
7.4,0.25,0.37,13.5,?,52.0,192.0,?,3.0,0.44,9.1,?,2
?,0.12,0.32,9.6,?,?,162.0,?,3.4,?,?,5.0,2
?,?,0.24,12.1,?,55.0,?,?,?,?,9.4,?,2
7.5,?,0.4,?,?,44.0,170.0,1.0,2.99,?,9.0,5.0,2
7.4,0.25,0.37,13.5,0.06,52.0,?,0.9975,?,0.44,?,?,?
7.3,0.13,0.32,14.4,?,?,109.0,?,3.2,0.35,9.2,6.0,2
7.1,?,?,?,?,64.0,162.0,0.9962,?,0.41,?,?,2
7.1,0.23,?,?,0.04,?,171.0,0.999,?,0.59,9.1,?,2
?,0.23,0.35,16.5,?,60.0,?,0.999,3.16,?,?,6.0,2
?,?,?,?,?,37.0,187.0,0.9927,?,0.6,10.3,?,?
6.5,0.17,?,8.5,0.082,64.0,?,0.9959,?,0.39,?,?,2
7.2,?,?,?,0.052,45.0,255.0,1.0,3.04,0.52,?,?,?
7.2,0.31,0.5,?,?,68.0,195.0,?,?,0.47,?,?,2
6.7,?,0.34,9.2,?,29.0,150.0,0.9968,3.22,?,?,5.0,2
6.7,0.41,?,?,?,?,?,?,3.22,?,?,5.0,2
5.5,0.485,0.001,?,?,?,?,?,3.63,0.4,9.7,?,2
6.0,?,?,?,?,25.0,?,0.9914,?,?,11.3,?,2
7.0,0.14,?,?,0.035,16.0,?,0.9911,3.19,0.42,?,?,2
7.2,0.31,?,13.3,0.056,68.0,195.0,0.9982,?,?,9.2,?,2
?,0.32,0.48,?,?,?,196.0,0.9982,3.04,0.5,9.2,5.0,2
5.9,?,?,5.7,?,?,87.0,?,3.22,0.51,?,5.0,2
7.8,?,0.32,12.2,0.054,?,?,0.9984,3.01,?,?,5.0,2
7.4,0.16,?,6.85,?,31.0,131.0,0.9952,3.29,?,?,?,?
?,0.19,0.28,5.0,0.058,14.0,146.0,0.9952,3.29,?,9.1,?,2
?,0.13,?,?,?,?,158.0,0.9928,3.21,0.36,9.8,6.0,?
6.7,0.19,?,1.1,0.026,?,143.0,0.9912,3.27,0.48,?,6.0,2
7.4,?,0.23,7.0,?,?,?,0.994,?,?,?,5.0,2
6.5,?,0.32,?,0.038,?,?,?,3.45,0.54,9.7,7.0,2
6.1,0.3,0.56,2.8,0.044,?,?,0.9924,3.3,0.57,?,7.0,2
?,0.3,0.56,2.7,?,?,184.0,0.9924,?,0.57,?,6.0,?
5.7,0.26,0.25,?,0.02,?,?,0.994,3.39,?,10.6,?,2
6.5,0.24,0.32,?,0.038,48.0,203.0,0.9958,?,?,9.7,7.0,?
?,0.425,?,?,0.038,59.0,241.0,0.9979,?,0.57,?,5.0,2
6.6,?,?,?,0.035,46.0,188.0,?,?,?,9.2,5.0,2
6.8,?,?,8.1,?,55.0,203.0,?,?,?,?,5.0,2
?,?,0.31,15.7,?,?,179.0,0.9979,3.26,?,?,5.0,2
8.2,0.23,0.4,?,0.027,?,121.0,?,?,0.38,?,6.0,?
?,0.37,?,10.5,?,49.0,155.0,?,3.16,0.44,8.7,5.0,2
6.8,?,0.36,1.9,0.035,30.0,?,0.9917,?,0.54,10.8,7.0,2
?,?,?,1.9,0.029,18.0,?,0.9923,?,?,11.8,6.0,2
?,0.31,0.34,?,0.045,20.0,77.0,?,?,?,?,5.0,2
7.1,0.37,?,?,0.045,?,155.0,0.9975,?,0.44,?,5.0,2
7.9,?,?,1.2,?,38.0,?,0.992,3.21,0.54,?,6.0,2
8.5,?,?,?,?,?,?,0.9947,?,?,?,6.0,?
?,0.2,0.4,2.0,?,19.0,87.0,0.9921,3.12,?,?,6.0,2
6.3,?,0.37,?,?,37.0,114.0,0.9905,?,?,10.9,?,2
?,0.16,0.27,?,0.044,?,168.0,0.9918,3.28,?,10.1,6.0,?
?,0.595,?,?,0.058,15.0,?,?,3.38,?,9.0,4.0,2
?,0.34,?,?,0.034,?,80.0,?,?,0.58,?,7.0,2
?,?,0.3,4.1,?,23.0,116.0,0.994,?,0.38,9.4,?,2
7.9,0.22,0.38,8.0,0.043,?,152.0,?,3.12,0.32,11.5,?,2
