@relation dataset

@attribute attribute_0 real
@attribute attribute_1 real
@attribute attribute_2 real
@attribute attribute_3 real
@attribute attribute_4 real
@attribute attribute_5 real
@attribute attribute_6 real
@attribute attribute_7 real
@attribute attribute_8 real
@attribute attribute_9 real
@attribute attribute_10 real
@attribute attribute_11 real
@attribute attribute_12 {1, 2}


@data

7.0,0.27,0.36,20.7,0.045,?,?,1.001,3.0,0.45,?,?,?
?,0.3,0.34,1.6,0.049,?,132.0,0.994,?,0.49,9.5,6.0,?
?,?,0.4,6.9,0.05,30.0,97.0,?,?,?,10.1,?,2
?,?,0.32,8.5,0.058,47.0,?,?,3.19,0.4,9.9,6.0,2
?,?,?,8.5,0.058,?,?,?,3.19,0.4,9.9,?,?
8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6.0,?
6.2,0.32,0.16,7.0,0.045,30.0,136.0,0.9949,3.18,0.47,9.6,?,2
?,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,?,8.8,?,2
6.3,0.3,0.34,1.6,0.049,?,132.0,?,?,0.49,9.5,6.0,2
8.1,0.22,0.43,?,0.044,?,129.0,0.9938,3.22,?,11.0,?,2
8.1,0.27,0.41,1.45,?,?,?,?,2.99,0.56,12.0,5.0,?
8.6,?,0.4,?,0.035,?,109.0,0.9947,3.14,0.53,?,?,2
7.9,0.18,0.37,?,0.04,16.0,75.0,?,3.18,0.63,10.8,?,?
?,0.16,0.4,1.5,0.044,48.0,?,0.9912,?,?,?,7.0,2
8.3,?,?,?,0.04,41.0,?,1.0002,?,?,?,5.0,?
?,0.17,0.38,1.5,0.032,28.0,?,0.9914,3.25,?,11.4,?,2
?,?,0.04,?,0.046,?,99.0,?,3.24,0.36,?,?,2
?,0.66,0.48,1.2,?,29.0,?,0.9892,3.33,0.39,?,8.0,?
7.4,?,0.42,1.1,0.033,17.0,171.0,0.9917,?,?,11.3,6.0,2
6.5,?,?,7.5,0.044,34.0,133.0,?,3.22,?,9.5,?,2
6.2,0.66,0.48,1.2,0.029,?,?,0.9892,3.33,?,12.8,8.0,2
6.4,?,?,2.9,0.038,19.0,102.0,0.9912,?,0.35,11.0,7.0,2
?,0.26,0.42,1.7,0.049,41.0,122.0,?,3.47,0.48,?,8.0,?
7.6,0.67,?,?,0.074,25.0,168.0,?,3.05,?,9.3,?,2
6.6,0.27,?,1.3,0.052,16.0,142.0,0.9951,3.42,0.47,10.0,?,?
?,0.25,?,?,?,56.0,?,0.9955,3.25,0.5,10.4,?,2
?,?,?,?,?,?,146.0,0.993,?,?,?,?,?
7.0,0.28,0.39,8.7,0.051,?,141.0,?,?,0.53,10.5,?,?
7.4,0.27,0.48,?,?,17.0,132.0,?,3.19,0.49,11.6,?,?
7.2,0.32,?,2.0,0.033,?,114.0,0.9906,3.1,?,12.3,7.0,2
?,?,0.39,10.4,0.044,20.0,?,0.9974,3.2,?,10.0,6.0,?
8.3,?,?,1.1,0.042,?,?,0.9934,?,?,10.2,6.0,2
7.4,0.25,0.36,?,?,31.0,?,?,3.19,0.44,10.8,6.0,2
6.2,0.12,0.34,1.5,?,?,?,0.9939,?,0.51,?,6.0,2
5.8,0.27,?,?,0.044,?,179.0,0.9962,3.37,?,10.2,?,2
7.3,?,0.43,1.7,0.08,?,?,0.9905,3.19,0.42,12.8,5.0,?
6.5,?,?,?,0.051,25.0,?,0.9934,?,?,?,5.0,2
?,0.33,0.32,1.2,0.053,?,138.0,0.9906,?,0.28,?,?,2
7.3,?,0.39,17.95,0.057,45.0,149.0,0.9999,3.21,?,8.6,?,2
?,?,?,17.95,0.057,?,149.0,0.9999,3.21,?,?,5.0,?
6.7,?,?,?,0.172,63.0,158.0,?,?,?,9.4,6.0,2
6.7,0.24,?,2.9,?,63.0,157.0,0.9937,3.1,0.34,9.4,6.0,?
?,0.31,0.26,?,0.069,?,160.0,?,3.13,0.46,?,?,?
?,?,?,?,0.057,33.0,152.0,?,?,0.56,?,?,2
6.7,0.23,?,1.4,?,?,?,0.9934,?,0.56,9.5,?,2
?,0.18,0.31,1.4,?,38.0,?,0.9931,3.16,0.53,10.0,?,?
6.2,0.45,0.26,?,0.063,63.0,?,0.994,?,0.52,?,?,2
6.2,0.46,?,4.4,0.066,?,207.0,?,?,?,?,?,2
?,?,?,7.4,?,?,?,0.9954,3.13,0.46,9.8,6.0,2
?,0.19,0.35,5.0,?,32.0,150.0,0.995,3.36,0.48,9.8,5.0,2
7.2,0.19,0.31,1.6,0.062,?,173.0,?,3.35,0.44,?,6.0,2
6.6,0.25,?,1.1,0.068,?,124.0,0.9914,3.34,0.58,11.0,?,?
?,?,?,?,0.057,?,82.0,?,?,0.46,?,?,?
6.4,0.18,?,1.0,?,39.0,108.0,0.9911,?,?,10.9,6.0,?
?,?,?,?,0.147,?,?,0.993,?,0.38,?,?,2
6.9,0.25,0.35,1.3,0.039,29.0,191.0,0.9908,3.13,?,11.0,?,?
7.2,?,0.34,11.9,?,37.0,?,0.9962,3.09,0.5,9.6,?,?
6.0,?,?,?,0.048,50.0,147.0,?,?,0.36,8.9,6.0,?
6.6,0.38,0.15,4.6,0.044,25.0,?,0.9931,?,0.38,?,?,2
7.4,?,0.36,1.2,0.038,44.0,?,0.9926,3.36,?,?,6.0,?
6.8,?,0.24,?,?,30.0,123.0,0.9951,?,?,8.6,?,?
6.0,0.19,0.26,12.4,?,50.0,?,?,3.3,0.36,8.9,?,2
7.0,0.47,0.07,?,0.035,17.0,151.0,0.991,3.02,0.34,?,5.0,2
6.6,?,0.15,4.6,0.044,25.0,78.0,0.9931,3.11,0.38,?,?,?
?,0.24,?,1.4,?,31.0,?,?,?,0.46,10.3,6.0,2
6.2,?,0.03,1.2,0.064,?,120.0,0.9934,?,0.54,?,?,?
6.4,0.26,0.24,?,?,?,?,?,?,0.49,12.6,7.0,2
6.7,0.25,?,1.2,0.041,?,?,0.992,3.14,0.42,9.8,?,?
?,?,0.31,2.1,?,?,96.0,0.9926,?,?,10.7,?,?
7.4,?,?,10.1,?,21.0,105.0,0.9962,3.13,0.35,9.5,?,2
?,0.27,0.43,?,0.056,48.0,244.0,?,3.1,0.51,?,?,2
?,0.3,0.23,4.6,?,?,238.5,0.9958,3.32,?,?,?,2
6.0,0.27,?,?,0.063,31.0,?,0.9964,3.69,0.71,10.0,?,2
8.6,0.23,0.46,?,0.054,9.0,?,0.9941,2.95,?,9.1,6.0,2
?,0.23,0.31,2.1,?,?,96.0,0.9926,3.33,?,?,8.0,?
7.4,0.24,?,?,?,21.0,?,0.9962,3.13,0.35,?,?,?
?,?,0.36,1.4,?,31.0,87.0,0.9898,3.26,0.37,?,7.0,?
?,?,0.34,1.3,0.042,?,69.0,0.9912,?,0.65,12.0,?,2
7.4,0.18,?,8.8,0.064,?,103.0,0.9961,?,?,?,?,?
6.7,?,?,5.4,0.06,21.0,?,?,?,0.37,9.0,5.0,?
6.8,?,0.31,1.4,?,?,?,0.9929,3.39,0.77,10.6,?,2
7.1,?,0.34,?,?,51.0,?,?,?,?,?,?,2
7.1,0.34,0.2,6.1,0.063,?,?,0.9946,3.17,?,10.0,5.0,?
7.3,?,0.3,?,0.047,?,207.0,0.9966,3.33,0.46,9.5,?,2
7.1,0.43,0.61,11.8,?,?,?,?,?,0.45,?,?,2
7.1,0.44,?,11.8,0.044,?,152.0,0.9975,3.12,0.46,8.7,6.0,2
?,?,0.63,?,?,?,?,0.9974,?,?,8.7,6.0,2
?,?,0.31,?,?,69.0,202.0,0.9972,?,0.48,9.7,6.0,2
?,0.43,0.61,11.8,0.045,54.0,155.0,?,3.11,0.45,?,?,2
7.1,0.44,0.62,11.8,0.044,52.0,152.0,0.9975,3.12,?,?,6.0,2
7.2,0.39,0.63,?,0.044,55.0,156.0,0.9974,3.09,?,8.7,6.0,2
6.1,0.27,?,7.5,0.049,?,?,0.9957,?,?,9.0,5.0,2
6.9,0.24,?,?,?,?,136.0,0.99,3.26,?,12.6,?,?
?,0.21,0.33,?,0.034,48.0,136.0,?,3.25,0.41,?,7.0,2
?,0.17,?,1.7,?,51.0,148.0,?,3.21,0.44,?,7.0,?
